ï»¿Organisme,Categorie_de_specialite,Domaine,Secteur,Specialite,Interne,Poste_vacant,Externe
RAMQ,TI,Personnel_encadrement,Technologies_de_information,Autres,4,2,0
RBQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
RBQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
RBQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
RBQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,1,0,0
RBQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
RBQ,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
RCQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
RCQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
RCQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
RCQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
RCQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
RCQ,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
RDL,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
RDL,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
RDL,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
RDL,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
RDL,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
RDL,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
Retraite Qc,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,6,1,0
Retraite Qc,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,4,0,0
Retraite Qc,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,2,0,0
Retraite Qc,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,5,1,0
Retraite Qc,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,1,0,0
Retraite Qc,TI,Personnel_encadrement,Technologies_de_information,Autres,0,1,0
SAAQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,8,1,0
SAAQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,6,1,0
SAAQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,2,0,0
SAAQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
SAAQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,6,2,0
SAAQ,TI,Personnel_encadrement,Technologies_de_information,Autres,3,0,0
SCT,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
SCT,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,1,0,0
SCT,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
SCT,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,1,0,0
SCT,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,1,0,0
SCT,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
SHQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
SHQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
SHQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
SHQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,2,0,0
SHQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
SHQ,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
SQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
SQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,3,0,0
SQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,2,0,0
SQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,1,0,0
SQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
SQ,TI,Personnel_encadrement,Technologies_de_information,Autres,8,0,0
TAQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
TAQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
TAQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
TAQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
TAQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
TAQ,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
TAT,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
