id_dis,arr_1,arr_2,ID_TRC,id_stt,sens_releve,date_releve,type_dis,configuration,codification,longueur,geometry
1095,Saint-Laurent,,4016726.0,,O-E,2023-11-16,glissiere,gauche,GSR/W/BE,84,"LINESTRING Z (-73.76429164421317 45.48958936677332 28.719599999996717, -73.76321722554519 45.48965255254423 31.1212948071704)"
1096,Saint-Laurent,,4014324.0,81-05485,N-S,2023-11-16,glissiere,gauche,GSR/W/BE,30,"LINESTRING Z (-73.76309239335306 45.489404863916235 37.2619438723766, -73.7632607529932 45.48916173919128 36.90459999999439)"
1097,Saint-Laurent,,4016727.0,,E-O,2023-11-16,glissiere,gauche,GSR/W/BE,90,"LINESTRING Z (-73.76366864902899 45.49006883220756 30.2679115782803, -73.76387124302731 45.49006303704934 30.0224149071187, -73.76404044853197 45.49005274288537 29.570538468462, -73.76423399668745 45.49004095079743 29.1033966240931, -73.76445314775401 45.49002719240079 28.4791930066624, -73.76462286393468 45.49001740174947 28.0718852571611, -73.76481616103166 45.490006643606165 27.3601422482148)"
1098,Saint-Laurent,,4016726.0,81-05485,N-S,2023-11-16,glissiere,droite,GR/BC,183,"LINESTRING Z (-73.76252785830626 45.490389685561986 38.121458270669, -73.76260784968396 45.49029499635646 38.2690223421847, -73.76280057813227 45.49004954058886 38.4695128814109, -73.76298667284064 45.48980487192773 38.2281390078664, -73.7631787004888 45.48955369851762 37.7419566006368, -73.76336493687958 45.48930933506109 37.3478377565653, -73.76352678931467 45.48909512695828 37.0099595990012, -73.76365506739089 45.48894430435002 36.4753988520663)"
1100,Saint-Laurent,,4016726.0,81-03238,E-O,2023-11-16,glissiere,gauche,GR/BC,127,"LINESTRING Z (-73.76226434038917 45.490389946114306 37.695129651523, -73.76236075840032 45.49031071716097 37.54580000000715, -73.76248148339714 45.49019289961571 37.68099999999686, -73.76254898783985 45.490110615265856 37.80229999999574, -73.76270588265633 45.489911394178115 37.81239999999525, -73.76301065692479 45.48950473562741 37.054000000003725, -73.76309239335306 45.489404863916214 37.261899999997695)"
1101,Saint-Laurent,,4014324.0,81-03238,N-S,2023-11-16,glissiere,gauche,GR/BC,195,"LINESTRING Z (-73.76321722554519 45.48965255254423 31.1212948071704, -73.76072738298033 45.48980882032424 32.5797874116471)"
1102,Saint-Laurent,,1609012.0,,S-N,2023-11-16,glissiere,gauche,GSR/W/AE,79,"LINESTRING Z (-73.76160668127613 45.48927026757645 34.39539999999397, -73.76150506957386 45.48926562003069 34.76940000000468, -73.76145595351299 45.48926496609313 34.85020000000077, -73.76140703136763 45.48926685814888 34.9661999999953, -73.76136001514574 45.48926946194312 35.26270000000659, -73.76131181932398 45.48927525379124 35.34399999999732, -73.76126381549916 45.48928365489637 35.423299999994924, -73.76121712201505 45.489294167276796 35.54009999999835, -73.76117227716523 45.489304873701606 35.88779999999679, -73.76112793502037 45.48931961205341 35.989300000001094, -73.76108466123816 45.489336415182116 36.07180000000517, -73.7610428325958 45.48935241405747 36.36410000000615, -73.76100251575367 45.4893721017956 36.45759999999427, -73.76096421553025 45.489393497666775 36.524600000004284, -73.76092883134382 45.489416169357575 36.844899999996414, -73.76089544837639 45.48944107172614 36.895000000004075, -73.7608622149007 45.489466695992355 37.04330000000482, -73.76082914455539 45.489491023779436 37.402799999996205, -73.76078111360252 45.48952936067028 37.577699999994365, -73.76074126878144 45.489560553746884 37.560599999997066)"
1103,Saint-Laurent,,4014324.0,81-03238,N-S,2023-11-16,glissiere,gauche,GSR/W/AE,112,"LINESTRING Z (-73.76143290731191 45.49021500462474 32.3769736813421, -73.7615863451825 45.49020643504952 32.4163573681363, -73.76180426937668 45.490191722450994 32.3070467969612, -73.76199887708576 45.490179668757236 32.2727507666, -73.76219269152003 45.49016731205624 32.129743991137, -73.7623869468707 45.490155958771986 32.0951287284293, -73.76258123883953 45.49014274689783 31.7012710744246, -73.76275088493306 45.49013300366729 31.7097447741162, -73.76285487936147 45.490126088339046 31.5268714890838)"
1104,Saint-Laurent,,4014326.0,,S-N,2023-11-16,glissiere,droite,GSR/W/AE,49,"LINESTRING Z (-73.76088202418033 45.48919935693387 36.5730639267515, -73.76086465454937 45.48921658721793 36.8434677058927, -73.76083378925368 45.48924367295674 36.9130353721545, -73.7608047860965 45.48927087593385 36.9551126400684, -73.76076022602831 45.489311173290545 37.0884347592992, -73.76072969524613 45.48933769023302 37.3839941012639, -73.76068443909085 45.489377627452136 37.3250383678683, -73.7606388392175 45.48941828133423 37.6233555849393, -73.76059539357144 45.48946006920966 37.8578883270684, -73.76056857409718 45.48948849361282 37.8719424526052, -73.7605443350288 45.4895180752826 37.975512438544, -73.76051524782946 45.489556583170646 38.3169875907152)"
1105,Saint-Laurent,,4015573.0,,E-O,2023-11-16,glissiere,droite,GSR/W/AE,106,"LINESTRING Z (-73.76106322774483 45.49059143554145 33.68090000000666, -73.761105157019 45.49060838662548 33.80130000000645, -73.76114683295435 45.49062654530265 33.87189999999828, -73.76118858518464 45.49064284468782 34.13509999999951, -73.76123417899645 45.490654263790034 34.15769999999611, -73.76125749591296 45.49065912672142 34.28889999999956, -73.76128098003913 45.49066412707983 34.47509999999602, -73.76130469624367 45.49066680054138 34.37279999999737, -73.76132826066673 45.49067025089815 34.49550000000454, -73.76135217272268 45.490673833404315 34.6701999999932, -73.76137664865038 45.490675124691606 34.59919999999693, -73.76140010146877 45.49067706359068 34.7219000000041, -73.76142485463626 45.490679303355506 34.94789999999921, -73.76144871667398 45.49067856873102 34.808499999999185, -73.76147260711686 45.490678661368555 34.90979999999399, -73.7614973473555 45.490679591142275 35.15219999999681, -73.76152131680743 45.49067791735551 35.02370000000519, -73.76154543773706 45.49067722225953 35.14579999999842, -73.7615698976885 45.49067643202513 35.35910000000149, -73.76159329366672 45.49067254861411 35.23110000000452, -73.76161651608761 45.49067000808021 35.32420000000275, -73.76164141126094 45.490667394971624 35.5283000000054, -73.76166440593401 45.49066262529861 35.4600000000064, -73.76168762353893 45.49065870375323 35.62760000000708, -73.76171158152023 45.49065423592415 35.79090000000724, -73.7617338333588 45.49064752434971 35.70249999999942, -73.76175640888987 45.49064118041011 35.86259999999311, -73.76177894872185 45.49063461528433 36.02479999999923, -73.7618002043014 45.49062631030807 35.92969999999332, -73.76182227614314 45.490619262604625 36.09990000000107, -73.76184433911898 45.490611967367606 36.26469999999972, -73.76186453327692 45.490602862368995 36.180200000002515, -73.76188616357159 45.4905952396345 36.380099999994854, -73.76190799115395 45.49058704392072 36.49060000000463, -73.76192819005361 45.49057758569865 36.49310000000696, -73.76194994721617 45.49056918067563 36.63649999999325, -73.76197017102056 45.490559845464176 36.755099999994854, -73.76198981210395 45.490549989002986 36.69049999999697, -73.7620096933085 45.490539129155614 36.614400000005844, -73.76202959385357 45.490529826657344 36.743900000001304, -73.76204928435378 45.49052034393848 36.914199999999255, -73.76206876684198 45.490509310258865 36.873099999997066, -73.76208697380801 45.490499121591256 36.97479999999632, -73.76210604570949 45.49048844155432 37.11070000000473, -73.76212520543164 45.49047739414206 37.263300000005984, -73.76214256230708 45.490465591975045 37.131099999998696, -73.76216092776505 45.49045459689682 37.28949999999895, -73.762179140768 45.49044317029604 37.23450000000594, -73.76219753541888 45.49043230609685 37.357399999993504, -73.76221454307434 45.4904221621975 37.523300000000745, -73.76223376645558 45.49041012262323 37.414199999999255, -73.7622515104562 45.49039886875352 37.422099999996135, -73.76226434038917 45.49038994611434 37.69509999999718)"
