ï»¿ID,MUNICIPALITE,MODELE,COULEUR,MISEAJOUR,LONGITUDE,LATITUDE,DATEENTRETIEN,PRESSIONDYNAMIQUE
,60013,AVK Model 27-80,Rouge,2019-10-24,-73.47011468672936,45.726216152950926,2023-10-17,48
,60013,McAvity M67,Rouge,2022-12-01,-73.46864021251314,45.72478993171053,2023-10-17,48
,60013,AVK Model 27-80,Rouge,2019-10-24,-73.4700015541813,45.72531755769508,2023-10-17,48
,60013,McAvity M67,Rouge,2019-12-09,-73.468169359459,45.723730639268396,2023-10-17,48
,60013,McAvity M67,Rouge,2019-04-15,-73.46953633920585,45.72430643671453,2023-10-17,48
,60013,McAvity M67,Rouge,2019-12-09,-73.47089195256487,45.72459661783128,2023-10-17,48
,60013,McAvity M67,Rouge,2019-04-26,-73.4724066672921,45.72431859849608,2023-10-17,48
,60013,Concord D67M,Rouge,2019-12-09,-73.47162289466979,45.72378009049522,2023-10-17,46
,60013,Concord D67M,Rouge,2019-04-15,-73.46894386633682,45.723438013685254,2023-10-17,46
,60013,Concord D67M,Rouge,2019-04-15,-73.46988842485418,45.72303573148646,2023-10-17,46
,60013,McAvity M67,Rouge,2018-04-13,-73.46961667974624,45.7221141300996,2023-10-17,38
,60013,McAvity M67,Rouge,2018-04-13,-73.47115708584927,45.72279122120325,2023-10-17,38
,60013,McAvity M67,Rouge,2019-04-15,-73.4726518273014,45.723446744077684,2023-10-17,45
,60013,Concord D67M,Rouge,2018-04-13,-73.47039310794227,45.72401069775759,2023-10-17,46
,60013,McAvity M67,Rouge,2018-04-13,-73.45665132959878,45.72676473975536,2023-10-17,12
,60013,AVK Model 27-80,Rouge,2019-01-22,-73.45502558173604,45.72828097988556,2023-10-17,20
,60013,Concord D67M,Rouge,2019-12-13,-73.46599266261049,45.73219484492908,2023-10-17,40
,60013,McAvity M59M,Rouge,2018-04-13,-73.46796174639978,45.73004644606622,2023-10-17,25
,60013,McAvity M59M,Rouge,2019-09-13,-73.46963144517608,45.730630635711584,2023-10-17,36
,60013,AVK Model 27-80,Rouge,2019-04-26,-73.46949728948721,45.72937517490527,2023-10-17,50
