,,"Comitéint pour la promotion du Créole et de l’alphabétisation (KEPKAA)",,,"5 000 $"
,,"Comité de revitalisation urbaine intégrée du quartier St-Pierre",,,"3 000 $"
,,"Communauté Sépharade unifiée du Québec",,,"7 000 $"
,,"Congrès national des Italo-Canadiens, région Québec",,,"25 000 $"
,,"Festival Accès Asie",,,"9 000 $"
,,"Festival de contes Il était une fois",,,"2 000 $"
,,"Festival Flamenco Montréal",,,"5 000 $"
,,"Festival International de Tango de Montréal",,,"3 000 $"
,,"Festival Polonais à Montréal",,,"3 000 $"
,,"FIP Le Festival international de percussion",,,"10 000 $"
,,"Folklore Canada International",,,"2 500 $"
,,"Fondation Fabienne Colas (FIFBM)",,,"15 000 $"
,,"Fondation Fabienne Colas (Haïti en folie)",,,"10 000 $"
,,"Fondation LatinArte",,,"5 000 $"
,,"La Maison des Familles de Mercier-Est",,,"1 000 $"
,,"L'Île de Cuba / La isla de Cuba",,,"3 000 $"
,,"Matsuri Japon",,,"1 500 $"
,,"Mon resto Saint-Michel",,,"4 000 $"
,,"Musée des maîtres et artisans du Québec",,,"1 000 $"
,,"Patrimoine funéraire Montréal",,,"1 000 $"
,,"Playmas Montréal cultural association inc.",,,"6 000 $"
,,"Prévention Côte-des-Neiges - Notre-Dame-de-Grâce",,,"4 500 $"
,,"Service des loisirs St-Jacques",,,"1 000 $"
,,"Société du patrimoine d'expression du Québec",,,"3 000 $"
,,"Société Québécoise d'Ensemble-claviers",,,"1 000 $"
,,"Table de concertation sur la culture de Mercier-Hoch-Mais",,,"6 000 $"
,,"Tohu, cité des arts du Cirque",,,"5 000 $"
,,,"Sous-total",,179 500 $
"Forum des équipements culturels - Soutien aux collectes de fonds",,"Nom de l'organisme","Titre du projet","Arrondissement","Montant octroyé"
,,,,,
"Forum des équipements culturels - Soutien aux études préalables ",,"Nom de l'organisme","Titre du projet","Arrondissement","Montant octroyé"
,"*","Ecole supérieure de ballet","programme fonctionnel et technique",,14 675 $
,"*","Casteliers","programme fonctionnel et technique",,25 000 $
,,"Eastern bloc, Ateliers créatifs ","Tour Wellington : étude faisabilité",,25 000 $
,"*","Usine C","Audit technique",,64 675 $
"Quartiers culturels-Mesure 2.5.5",,"Nom de l'organisme","Titre du projet","Arrondissement","Montant octroyé"
,"*","Regroupement arts et culture","Rendez-vous culturel 2015 et Parcours M",,11 500 $
"Equipements d'aide d'urgence",,"Nom de l'organisme","Titre du projet","Arrondissement","Montant octroyé"
,"*","Atelier circulaire","Achat d'équipements spécialisés",,16 800 $
,"*","Théâtre L'Illusion",,,17 660 $
,"*","Société des arts libres et actuels (SALA)","Achat d'équipements spécialisés",,74 289 $
,,,"Sous-total",,249 599 $
"Aide aux immobilisations et Soutien aux équipements municipaux",,"Nom de l'organisme","Titre du projet","Arrondissement","Montant octroyé"
,"*","Chapelle historique Bon pasteur","Conception de la mise en lumière",,10 337 $
,"*","Gaston Miron","Costumier",,25 000 $
,"*","Bain St-Michel","Acoustique",,10 359 $
,"*","Musée de Lachine","Achat de mobilier spécialisé et travaux d'aménagement pour les expositions",,43 734 $
,"*","Théâtre Outremont","Projet de mise à niveau des équipements scéniques",,150 000 $
,,,"Sous-total",,239 430 $
,,"Nom de l'organisme","Adresse","Arrondissement","Valeur estimée de la contribution"
,,"Centre de céramique Bonsecours","444, rue Saint-Gabriel","Ville-Marie",49 981 $
,,"Centre des métiers du Verre du Qc","1200, rue Mill","Sud-Ouest",33 493 $
,,"Écomusée du fier monde","2050, rue Amherst","Ville-Marie",29 119 $
,,"Les amis de la montagne","1260, chemin Remembrance ","Plateau-Mont-Royal",225 500 $
,,"Pointe-à-Callière ","350, place Royale","Ville-Marie",2 142 667 $
,,"Montréal arts interculturels (MAI)","3680, rue Jeanne-Mance, bureau 317","Plateau-Mont-Royal",194 621 $
,,"Centre de ressources transition pour danseurs (CRTD)","3680, rue Jeanne-Mance, bureau 318","Plateau-Mont-Royal",4 551 $
,,"Culture Montréal","3680, rue Jeanne-Mance, bureau 319","Plateau-Mont-Royal",30 260 $
,,"Regroupement québécois de la danse (RQD)","3680, rue Jeanne-Mance, bureau 320","Plateau-Mont-Royal",6 944 $
,,"Danse Cité","3680, rue Jeanne-Mance, bureau 321","Plateau-Mont-Royal",5 382 $
,,"Van Grimde Corps Secret","3680, rue Jeanne-Mance, bureau 322","Plateau-Mont-Royal",2 950 $
,,"Diversité artistique Montréal (DAM)","3680, rue Jeanne-Mance, bureau 323","Plateau-Mont-Royal",13 762 $
,,"l'Autre Montréal","3680, rue Jeanne-Mance, bureau 324","Plateau-Mont-Royal",14 080 $
,,"Black Theater Workshop","3680, rue Jeanne-Mance, bureau 325","Plateau-Mont-Royal",37 971 $
,,"Productions M.E. de l'art","3680, rue Jeanne-Mance, bureau 326","Plateau-Mont-Royal",1 066 $
,," ","Sous-total",,2 792 347 $
"Programme d'interprétation animée du Vieux-Montréal ",,"Nom de l'organisme","Nom de l'événement","Arrondissement","Montant octroyé"
,"*","Chapelle Notre-Dame-de-Bon-Secours et Musée Marguerite-Bourgeoys","Les Choralies - Chapelle-Notre-Dame-
de-Bon-Secours /Fièvre Gospel
",,"23 570 $"
,"*","Château Ramezay","Autour du foyer – Traditions du temps des Fêtes",,"40 900 $"
,,,"Espèces de courges!",,
,,,"Suivez le chef!",,
,"*","Société historique de Montréal","Commémoration de l’anniversaire de la fondation de Montréal",,"2 500 $"
,"*","Pointe-à-Callière, musée d’archéologie et d’histoire de Montréal","Le Marché public dans l’ambiance du 18e siècle/ Les Symphonies portuaires de Pointe-à-Callière",,"30 000 $"
,"*","Centre d'histoire de Montréal","Mémoires du sol (phase 2)",,"7 000 $"
,,"Héritage Maritime Canada","Défi canot à glace -Montréal 2016",,"15 000 $"
,"*","Société historique du Lac Saint-Louis","Animation militaire du 18e siècle à Montréal ",,"15 000 $"
,," ","Sous-total",,133 970 $
"Acquisition d'œuvres d'art (2 volets)",,,,,
"Volet 1 - développement de l'art public ",,"Nom de l'artiste","Titre de l'œuvre","Arrondissement","Montant octroyé"
,,"Alain-Martin Richard"," Trou de mémoire","Villeray-Saint-Michel-Parc-Extension",32 000 $
,,"Jacques Bilodeau et Claude Cormier et Associés","Au grand dam","LaSalle",74 780 $
,,"Patrick Coutu","Géologique","Stade de soccer de Montréal au CESM / Villeray-Saint-Michel-Parc-Extension",118 750 $
,,"Adad Hannah","Constellation en Sol","bibliothèque de Rosemont, arr. de Rosemont -La Petite-Patrie",2 640 $
,,"Mathieu Gaudet","Les environs","Complexe sportif de Saint-Laurent, arr de Saint-Laurent ",7 500 $
,,"Hal Ingberg","Chromazone","Bibliothèque de NDG, arr. de Cote-des-Neiges-Notre-Dame-de-Grâce",59 145 $
,,"Yannick Pouliot","Perte de signal","bibliothèque Saul-Bellow, arr. de Lachine",32 450 $
,,"Josée Dubeau","Cerf-volant","chalet de parc de Gaspé, arr. de Rosemont - La Petite-Patrie",4 645 $
,,"BGL","La vélocité des lieux","Montréal-Nord",346 925 $
,,,"Sous-total volet 1",,678 835 $
"Acquisition par don",,,,,
,,,,,
"Volet 2 - patrimoine artistique : Collection d'oeuvres d'art ",,"Nom de l'artiste","Titre de l'œuvre",,"Montant octroyé"
,,"Artiste anonyme","Disparition institutionnalisée",,
,,"Boyle-Singfield, John","Avant-garde Film",,
,,"Cardinal, Éric","Translation (fragment de l'instalation)",,
