"Station","Date","%OD","O2 (mg/L)","COND. (µs/cm)","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L) LD: 0,1","Al (µg/L) LD: 5","As (µg/L) LD: 0,2","Ba (µg/L) LD: 5,0","Be (µg/L) LD: 0,1","Ca (µg/L) LD: 50","Cd (µg/L) LD: 0,1","Co (µg/L) LD: 0,1","COT (mg/L) LD: 0,4","Cr (µg/L) LD: 0,3","Cu (µg/L) LD: 0,5","DBO5 Carbonée (mg/L)  LD: 3","Fe (µg/L) LD: 10","K (µg/L) LD: 50","Mg (µg/L) LD: 10","Mn (µg/L) LD: 0,2","Mo (µg/L) LD: 1,0","Nitrite-Nitrate (mg/L)  LD: 0,1","Na (µg/L) LD: 100","NH3 non ionisé (ug/L) LD: 20","NH4+ (µg/L) LD: 20","Ni (µg/L) LD: 0,2","NTK (mg/L) LD: 0,8","Orthophosphate (µg/L) LD: 50","Ptot (µg/L) LD: 3","Pb (µg/L) LD: 0,2","Résidus totaux (mg/L) LD: 20","MES (mg/L) LD: 0,5","Sb (µg/L) LD: 0,5","Se (µg/L) LD: 0,5","Sn (µg/L) LD: 1,0","Tl ug/L LD: 0,2","U (µg/L) LD: 0,1","V (µg/L) LD: 0,2","Zn (µg/L) LD: 7"
"EMIS-(-1)RS",2015/11/12,102,"11,82",308,"8,22","8,85","=",220,1,"0,1",31,"0,7",23,"0,1",32500,"0,1","0,1","2,6","0,3","0,8",3,51,1550,8370,"2,9","1,1","0,18",12700,20,20,"0,5","0,8",50,7,"0,2",196,2,"0,5","0,5",1,"0,2","0,4","0,2",7
"EMIS-(-1)RS",2015/11/14,"103,5","12,2",310,"8,13","8,17","=",180,-1,"0,1",46,"0,7",23,"0,1",33200,"0,1","0,1","2,7","0,3","1,1",3,69,1620,8810,"3,6","1,2","0,19",13300,20,20,"0,6","0,8",50,9,"0,2",97,"2,5","0,5","0,5",1,"0,2","0,4","0,2",7
"EMIS-(-1)RS",2015/11/16,,,310,"8,13","7,43","=",110,1,"0,1",68,"0,7",23,"0,1",33500,"0,1","0,1","2,6","0,3","0,9",3,88,1650,8700,"4,1","1,1","0,2",13300,20,20,"0,6",2,50,8,"0,2",214,"2,5","0,5","0,5",1,"0,2","0,4","0,2",7
"EMIS-(-1)RS",2015/11/18,,,309,"8,12","6,95","=",180,1,"0,1",45,"0,7",23,"0,1",33500,"0,1","0,1","2,7","0,3","0,9",3,63,1640,8680,"2,9","1,1","0,2",13200,20,20,"0,6","0,8",50,7,"0,2",167,"3,5","0,5","0,5",1,"0,2","0,4","0,2",7
"EMIS-4P1",2015/10/28,"93,6","10,78",333,"7,92","9,1",">",6000,1,"0,1",102,"0,7",24,"0,1",32600,"0,1","0,2","4,4","0,3","1,7",,108,2070,8540,6,"1,3",,16900,,450,"0,7",,,30,"0,2",,3,"0,5","0,5",1,"0,2","0,3","0,5",7
"EMIS-4P1",2015/11/10,"91,1","10,53",312,"7,86","8,97","=",51500,1,,,,,,,,,,,,4,,,,,,"0,19",,20,520,,"0,9",50,,,196,,,,,,,,
"EMIS-4P1",2015/11/12,"100,4","11,7",307,"8,07","8,6","=",23000,1,"0,1",107,"0,7",24,"0,1",30800,"0,1","0,1","3,4","0,3","1,2",3,136,1660,8110,"5,9","1,1","0,21",13700,20,200,"0,7","0,8",50,20,"0,2",206,"4,3","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-4P1",2015/11/14,"94,7","11,12",321,"7,97","8,33","=",49000,-1,"0,1",111,"0,7",23,"0,1",32200,"0,1","0,1","3,9","0,3","1,6",3,136,1780,8440,"6,8","1,1","0,2",14800,20,250,"0,7","0,8",50,21,"0,2",156,"4,8","0,5","0,5",1,"0,2","0,4","0,3",7
"EMIS-4P1",2015/11/16,,,317,"7,87","7,58","=",80000,1,"0,1",162,"0,7",24,"0,1",32400,"0,1","0,7","4,3","0,3","1,6",3,170,1980,8390,"8,5","1,1","0,22",15400,20,350,"0,8",1,50,27,"0,2",208,"3,9","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-4P1",2015/11/18,,,310,"7,87","6,65","=",29000,1,"0,1",135,"0,7",23,"0,1",31000,"0,1","0,7","4,8","0,3","1,5",4,148,1980,8100,"7,1","1,1","0,21",14700,20,340,"0,8","0,8",50,25,"0,2",177,"4,9","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-6RN",2015/10/14,"98,7","10,17",166,"8,04",14,"=",84,-1,"0,1",231,"0,6",21,"0,1",21600,"0,1","0,1","4,3","0,6","1,4",,287,1260,5670,"12,3",1,,9240,,20,"0,8",,,19,"0,2",,"3,9","0,5","0,5",1,"0,2","0,2","0,6",7
"EMIS-6RN",2015/10/28,"95,6","11,42",115,"7,84","7,64","=",140,1,"0,1",246,"0,4",18,"0,1",13000,"0,1","0,2","5,5","0,7","1,4",,352,999,3350,"14,5",1,,6070,,50,"0,8",,,20,"0,3",,"4,4","0,5","0,5",1,"0,2","0,1",1,7
"EMIS-6RN",2015/11/12,"100,9","12,36",157,"7,86","6,59","=",410,1,"0,1",435,"0,4",23,"0,1",15900,"0,1","0,2","6,8","1,1","1,6",3,532,1340,4260,"18,9",1,"0,52",7630,20,80,1,"0,8",50,32,"0,3",200,"5,5","0,5","0,5",1,"0,2","0,2","1,2",7
"EMIS-6RN",2015/11/14,"102,2","12,52",147,"7,77","6,64","=",600,-1,"0,1",636,"0,4",24,"0,1",14500,"0,1","0,4","6,6","1,5","1,9",3,828,1290,4020,"36,4",1,"0,44",7310,20,80,"1,3","0,8",50,43,"0,6",47,"14,8","0,5","0,5",1,"0,2","0,2","1,5",7
"EMIS-6RN",2015/11/16,,,140,"7,82","5,32","=",250,1,"0,1",453,"0,4",21,"0,1",14300,"0,1","0,2","7,2",1,"1,5",3,569,1180,3730,"23,2",1,"0,1",6830,20,70,1,"0,8",50,31,"0,4",229,8,"0,5","0,5",1,"0,2","0,2","1,1",7
"EMIS-6RN",2015/11/18,,,132,"7,93","4,64","=",320,1,"0,1",388,"0,4",20,"0,1",13800,"0,1","0,2","6,3","0,8","1,5",3,477,1160,3680,"17,2",1,"0,3",6590,20,80,"0,9","0,8",50,27,"0,3",95,"2,2","0,5","0,5",1,"0,2","0,2",1,7
"EMIS-9.5P1",2015/10/28,"97,9","11,3",312,"7,85","9,03",">",6000,1,"0,1",73,"0,7",23,"0,1",32400,"0,1","0,1","3,5","0,3","1,4",,82,1790,8470,"4,7","1,2",,14600,,190,"0,7",,,16,"0,2",,"1,8","0,5","0,5",1,"0,2","0,3","0,6",7
"EMIS-9.5P1",2015/11/10,"101,7","11,84",309,"8,08","8,66","=",25000,1,,,,,,,,,,,,3,,,,,,"0,2",,20,160,,"0,8",50,,,164,,,,,,,,
"EMIS-9.5P1",2015/11/12,"101,1","11,81",300,"8,11","8,53","=",8200,1,"0,1",95,"0,7",23,"0,1",30400,"0,1","0,1","3,2","0,3","1,1",3,126,1580,7830,"5,4","1,1","0,2",12800,20,110,"0,7","0,8",50,16,"0,2",236,"3,3","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-9.5P1",2015/11/14,"102,9","12,1",309,"8,01","8,25","=",25000,-1,"0,1",113,"0,7",24,"0,1",33400,"0,1","0,1","3,6","0,3","1,3",3,137,1720,8760,"6,5","1,1","0,21",14200,20,90,"0,8","0,8",50,17,"0,2",122,"4,6","0,5","0,5",1,"0,2","0,4","0,5",7
"EMIS-9.5P1",2015/11/16,,,299,"7,99","7,31","=",13000,1,"0,1",120,"0,7",23,"0,1",32600,"0,1","0,3","3,9","0,3","1,2",3,140,1780,8300,"6,3",1,"0,23",13800,20,150,"0,7","0,8",50,17,"0,2",205,"2,6","0,5","0,5",1,"0,2","0,3","0,3",7
"EMIS-9.5P1",2015/11/18,,,300,"7,95","6,5","=",31000,1,"0,1",129,"0,7",23,"0,1",32100,"0,1","0,4","4,1","0,3","1,2",3,149,1850,8410,"6,4",1,"0,22",14400,20,190,"0,9","0,8",50,18,"0,2",169,"3,5","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-M104N-1",2015/10/14,"97,2","10,38",302,"8,08","12,35","=",1000,-1,"0,1",92,"0,8",23,"0,1",32400,"0,1","0,1","2,7","0,3",1,,76,1550,8480,"3,9","1,1",,13000,,20,"0,7",,,9,"0,2",,2,"0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-M104N-1",2015/10/28,"104,9","12,12",303,"8,23","9,01","=",290,1,"0,1",43,"0,7",23,"0,1",32000,"0,1","0,1","2,5","0,3","1,1",,61,1570,8420,"3,5","1,1",,13000,,20,"0,6",,,7,"0,2",,"1,6","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-M104N-1",2015/11/10,100,"12,46",167,"7,97","5,97","=",140,1,,,,,,,,,,,,3,,,,,,"0,2",,20,20,,"0,8",50,,,209,,,,,,,,
"EMIS-M104N-1",2015/11/12,"104,1","12,15",301,"8,18","8,59","=",1400,1,"0,1",60,"0,7",24,"0,1",31800,"0,1","0,1","2,8","0,3","0,8",3,89,1580,8200,"4,1","1,1","0,2",12600,20,20,"0,6","0,8",50,10,"0,2",297,2,"0,5","0,5",1,"0,2","0,4","0,4",7
"EMIS-M104N-1",2015/11/14,"103,5","11,9",308,"8,11","8,36","=",4000,-1,"0,1",84,"0,7",24,"0,1",33200,"0,1","0,1",3,"0,3","1,2",3,111,1670,8850,"5,1","1,1","0,2",13700,20,30,"0,6",1,50,12,"0,2",123,"2,9","0,5","0,5",1,"0,2","0,4","0,3",7
"EMIS-M104N-1",2015/11/16,,,298,"8,13","7,37","=",1400,1,"0,1",107,"0,7",23,"0,1",32000,"0,1","0,1","2,9","0,3","0,9",3,125,1630,8210,"5,3",1,"0,22",12600,20,30,"0,7","0,8",50,11,"0,2",170,"2,3","0,5","0,5",1,"0,2","0,3","0,3",7
"EMIS-M104N-1",2015/11/18,,,297,"8,09","6,67","=",420,1,"0,1",89,"0,7",24,"0,1",33300,"0,1","0,1",3,"0,3","1,1",3,110,1680,8680,"4,5","1,1","0,21",13300,20,20,"0,7","0,8",50,9,"0,2",181,"2,8","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-MS57",2015/10/14,"97,8","10,18",259,"7,97","13,5","=",2200,-1,"0,1",140,"0,7",22,"0,1",27400,"0,1","0,1","3,4","0,3","1,2",,171,1460,7200,"8,3",1,,11500,,30,"0,7",,,14,"0,2",,"2,4","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-MS57",2015/10/28,"100,3","11,64",287,"7,84","8,81","=",120,1,"0,1",78,"0,7",22,"0,1",29900,"0,1","0,1","2,9","0,3","1,1",,110,1490,7700,5,1,,12100,,50,"0,6",,,9,"0,2",,"1,6","0,5","0,5",1,"0,2","0,3","0,5",11
"EMIS-MS57",2015/11/10,"104,4","12,35",263,"8,14","8,02","=",360,1,,,,,,,,,,,,3,,,,,,"0,24",,20,20,,"0,8",50,,,193,,,,,,,,
"EMIS-MS57",2015/11/12,"103,1","12,21",262,"8,08","7,97","=",5300,1,"0,1",166,"0,6",23,"0,1",26300,"0,1","0,2","4,3","0,5","1,3",3,222,1510,6880,"8,9",1,"0,29",11100,20,60,"0,8","0,8",50,21,"0,2",160,"3,4","0,5","0,5",1,"0,2","0,3","0,6",7
"EMIS-MS57",2015/11/14,"97,8","11,71",243,"7,94","7,49","=",3900,-1,"0,1",312,"0,6",23,"0,1",24600,"0,1","0,2",5,"0,8","1,5",3,398,1510,6660,"16,7",1,"0,31",11200,20,50,"0,9","0,8",50,26,"0,3",59,7,"0,9","0,5",1,"0,2","0,3",1,7
"EMIS-MS57",2015/11/16,,,228,"7,88","6,24","=",300,1,"0,1",292,"0,5",22,"0,1",22800,"0,1","0,2","5,1","0,6","1,2",3,360,1440,5920,"14,8",1,"0,3",9740,20,50,"0,8","0,8",50,22,"0,3",149,"5,4","0,5","0,5",1,"0,2","0,3","0,6",7
"EMIS-MS57",2015/11/18,,,230,"7,9","5,59","=",350,1,"0,1",229,"0,5",22,"0,1",23400,"0,1","0,1","4,8","0,5","1,2",3,283,1390,6150,"10,7",1,"0,26",9930,20,40,"0,8","0,8",50,18,"0,2",173,"4,3","0,5","0,5",1,"0,2","0,3","0,8",7
"EMIS-MS57N",2015/10/14,97,"10,05",206,"8,06","13,77","=",210,-1,"0,1",255,"0,6",20,"0,1",19900,"0,1","0,1","4,5","0,6","1,4",,313,1240,5310,"13,3",1,,9080,,40,"0,8",,,22,"0,2",,4,"0,5","0,5",1,"0,2","0,2","0,7",7
"EMIS-MS57N",2015/10/28,"98,9","11,7",182,"7,56","8,01","=",160,1,"0,1",222,"0,5",20,"0,1",18600,"0,1","0,1","4,8","0,5","1,3",,309,1200,4880,"12,6",1,,8270,,20,"0,8",,,20,"0,2",,4,"0,5","0,5",1,"0,2","0,2","0,9",7
"EMIS-MS57N",2015/11/10,"105,5","12,98",153,"7,81","6,43","=",1000,1,,,,,,,,,,,,3,,,,,,"0,42",,20,110,,"0,8",50,,,140,,,,,,,,
"EMIS-MS57N",2015/11/12,102,"12,37",191,"7,84",7,"=",1900,1,"0,1",325,"0,5",23,"0,1",18800,"0,1","0,2",6,"0,8","1,5",3,425,1370,4980,"15,1",1,"0,14",8570,20,90,"0,9","0,8",50,31,"0,3",113,"5,1","0,5","0,5",1,"0,2","0,3","0,9",7
"EMIS-MS57N",2015/11/14,"104,6","12,84",164,"7,74","6,55","=",1700,-1,"0,1",707,"0,4",26,"0,1",16500,"0,1","0,4","6,7","1,6",2,3,850,1460,4600,"32,3",1,"0,48",8600,20,90,"1,4","0,8",50,41,"0,5",76,"12,2","0,5","0,5",1,"0,2","0,2","1,6",7
"EMIS-MS57N",2015/11/16,,,156,"7,73","5,18","=",1200,1,"0,1",501,"0,4",22,"0,1",16100,"0,1","0,3","6,9",1,"1,6",3,615,1350,4360,"25,3",1,"0,4",8000,20,100,"1,1","0,8",50,35,"0,4",128,"7,8","0,5","0,5",1,"0,2","0,2","1,1",7
"EMIS-MS57N",2015/11/18,,,154,"7,78","4,62","=",820,1,"0,1",365,"0,4",20,"0,1",15200,"0,1","0,2","6,2","0,8","1,4",3,451,1190,4130,"16,5",1,"0,32",7200,20,90,"0,9","0,8",50,27,"0,3",97,6,"0,5","0,5",1,"0,2","0,2","0,9",7
"EMIS-MS57P",2015/10/14,"98,2","10,26",291,"7,95","13,37","=",5000,-1,"0,1",91,"0,7",22,"0,1",30300,"0,1","0,2","3,1","0,3","1,2",,119,1540,7960,"5,9",1,,12700,,50,"0,7",,,13,"0,2",,"2,3","0,5","0,5",1,"0,2","0,3","0,3",7
"EMIS-MS57P",2015/10/28,98,"11,34",303,"8,08","8,95","=",17000,1,"0,1",61,"0,7",27,"0,1",32000,"0,1","0,1",3,"0,3","1,1",,85,1640,8270,"4,4","1,1",,13500,,90,"0,6",,,11,"0,2",,"2,2","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-MS57P",2015/11/10,106,"12,4",295,"8,17","8,49","=",9000,1,,,,,,,,,,,,3,,,,,,"0,2",,20,80,,"0,8",50,,,192,,,,,,,,
"EMIS-MS57P",2015/11/12,"102,9","12,07",290,"8,14","8,36","=",5100,1,"0,1",99,"0,7",24,"0,1",29600,"0,1","0,1","3,5","0,3","1,2",11,134,1570,7570,"5,6",1,"0,22",12300,20,70,"0,7","0,8",50,17,"0,2",165,"2,8","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-MS57P",2015/11/14,"102,7","12,12",293,"8,04","8,11","=",3600,-1,"0,1",146,"0,7",24,"0,1",31800,"0,1","0,1","3,4","0,4","1,4",3,194,1700,8490,"8,5","1,1","0,23",13800,20,50,"0,7","0,8",50,20,"0,3",224,"4,6","0,6","0,5",1,"0,2","0,3","0,6",7
"EMIS-MS57P",2015/11/16,,,287,"8,02","7,08","=",7200,1,"0,1",141,"0,7",23,"0,1",31700,"0,1","0,2","3,6","0,3","1,1",3,166,1720,8120,"6,7",1,"0,25",13000,20,80,"0,7","0,8",50,15,"0,2",185,"2,5","0,5","0,5",1,"0,2","0,3","0,3",7
"EMIS-MS57P",2015/11/18,,,276,"8,04","6,19","=",4700,1,"0,1",113,"0,7",23,"0,1",29400,"0,1","0,2","3,7","0,3","1,1",3,150,1580,7640,6,1,"0,23",12100,20,70,"0,7","0,8",50,13,"0,2",184,"3,3","0,5","0,5",1,"0,2","0,3","0,4",7
"EMIS-MS57P1",2015/10/14,100,"10,43",281,"8,02","13,4","=",3700,-1,"0,1",121,"0,8",22,"0,1",30300,"0,1","0,1","3,2","0,3","1,2",,127,1520,7880,"6,4",1,,12600,,50,"0,7",,,13,"0,2",,"2,8","0,5","0,5",1,"0,2","0,3","0,6",7
"EMIS-MS57P1",2015/10/28,"100,1","11,6",290,"8,05","8,84","=",2000,1,"0,1",64,"0,7",23,"0,1",30800,"0,1","0,1","2,8","0,3","0,9",,99,1540,7920,"4,9","1,1",,12400,,20,"0,6",,,9,"0,2",,"2,4","0,5","0,5",1,"0,2","0,3","0,3",7
"EMIS-MS57P1",2015/11/10,"105,9","12,45",281,"8,18","8,27","=",550,1,,,,,,,,,,,,3,,,,,,"0,22",,20,20,,"0,8",50,,,176,,,,,,,,
"EMIS-MS57P1",2015/11/12,"102,7","12,13",271,"8,12","8,09","=",4300,1,"0,1",136,"0,7",24,"0,1",27900,"0,1","0,2",4,"0,4",2,3,186,1530,7230,"7,4",1,"0,26",11600,20,50,"0,7","0,8",50,19,"0,2",146,"3,4","0,5","0,5",1,"0,2","0,3","0,5",7
"EMIS-MS57P1",2015/11/14,"98,1","11,66",272,"8,01","7,84","=",4700,-1,"0,1",212,"0,6",24,"0,1",27700,"0,1","0,2",4,"0,5","1,4",3,274,1570,7500,"11,8",1,"0,28",12300,20,40,"0,8","0,8",50,22,"0,3",90,"5,9","0,9","0,5",1,"0,2","0,3","0,7",7
"EMIS-MS57P1",2015/11/16,,,260,"8,03","6,7","=",540,1,"0,1",190,"0,6",23,"0,1",28300,"0,1","0,1","4,1","0,4","1,1",3,227,1560,7180,"9,4",1,"0,26",11400,20,40,"0,7","0,8",50,17,"0,2",232,"3,8","0,5","0,5",1,"0,2","0,3","0,5",7
"EMIS-MS57P1",2015/11/18,,,261,8,"5,99","=",350,1,"0,1",156,"0,6",22,"0,1",26700,"0,1","0,1",4,"0,4","1,1",3,199,1480,7010,"7,9",1,"0,24",11100,20,40,"0,7","0,8",50,14,"0,2",171,"3,5","0,5","0,5",1,"0,2","0,3","0,6",7
"EMIS-MS57P2",2015/10/14,"99,3","10,4",301,"8,03","13,25","=",4100,-1,"0,1",48,"0,7",23,"0,1",31600,"0,1","0,1","2,7","0,3","1,1",,65,1570,8470,4,"1,1",,13200,,40,"0,6",,,10,"0,2",,"1,3","0,5","0,5",1,"0,2","0,3","0,2",7
"EMIS-MS57P2",2015/10/28,"98,7","11,39",302,"8,13","9,02","=",3200,1,"0,1",50,"0,7",24,"0,1",32800,"0,1","0,1","2,7","0,3",1,,69,1630,8710,"3,7","1,2",,13500,,30,"0,7",,,8,"0,2",,"1,2","0,5","0,5",1,"0,2","0,3","0,3",7
"EMIS-MS57P2",2015/11/10,"105,1","12,25",302,"8,16","8,62","=",5100,1,,,,,,,,,,,,3,,,,,,"0,2",,20,60,,"0,8",50,,,195,,,,,,,,
"EMIS-MS57P2",2015/11/12,"102,7","11,98",300,"8,17","8,58","=",5100,1,"0,1",68,"0,7",24,"0,1",31400,"0,1","0,1","2,9","0,3",1,3,93,1540,7970,"4,4","1,1","0,2",12500,20,30,"0,6","0,8",50,11,"0,2",122,"2,6","0,5","0,5",1,"0,2","0,4","0,3",7
"EMIS-MS57P2",2015/11/14,"102,4","12,02",308,"8,07","8,35","=",16000,-1,"0,1",92,"0,7",24,"0,1",32800,"0,1","0,1","3,1","0,3","1,4",3,121,1660,8730,"5,9","1,1","0,2",13800,20,70,"0,6","0,8",50,14,"0,2",163,4,"0,5","0,5",1,"0,2","0,3","0,3",7
"EMIS-MS57P2",2015/11/16,,,298,"8,04","7,33","=",13000,1,"0,1",112,"0,7",24,"0,1",34100,"0,1","0,2","3,2","0,3",1,3,128,1780,8720,"5,5","1,1","0,23",13800,20,70,"0,6","0,8",50,14,"0,2",216,3,"0,5","0,5",1,"0,2","0,4","0,3",7
"EMIS-MS57P2",2015/11/18,,,297,"8,05","6,61","=",2900,1,"0,1",84,"0,7",24,"0,1",32300,"0,1","0,1","3,4","0,3",1,4,108,1660,8410,"4,7",1,"0,1",13100,20,50,"0,7","0,8",50,11,"0,2",189,"3,1","0,5","0,5",1,"0,2","0,3","0,3",7
"EMIS-MS57RN",2015/10/14,"95,1","9,82",177,"8,2","13,9","=",350,-1,"0,1",323,"0,5",20,"0,1",17400,"0,1","0,2","5,2","0,7","1,8",,391,1250,4600,"15,4",1,,8860,,60,"0,9",,,26,"0,3",,"3,6","0,5","0,5",1,"0,2","0,2",1,14
"EMIS-MS57RN",2015/10/28,"95,5","11,5",145,"7,69","7,31","=",300,1,"0,1",402,"0,4",21,"0,1",13900,"0,1","0,2","5,6","0,9","1,6",,508,1320,3830,18,1,,7870,,100,"0,9",,,31,"0,3",,"5,2","0,5","0,5",1,"0,2","0,2","1,2",7
"EMIS-MS57RN",2015/11/10,"100,9","12,48",153,"7,76","6,23","=",1500,1,,,,,,,,,,,,3,,,,,,"0,46",,20,140,,"0,8",50,,,160,,,,,,,,
"EMIS-MS57RN",2015/11/12,"100,8","12,39",167,"7,75","6,48","=",1500,1,"0,1",454,"0,4",23,"0,1",15400,"0,1","0,2","6,8",1,"2,2",3,553,1370,4190,19,1,"0,56",8270,20,140,"1,1","2,3",50,36,"0,3",126,"5,3","0,5","0,5",1,"0,2","0,2","1,2",7
"EMIS-MS57RN",2015/11/14,"102,3","12,64",180,"7,68","6,28","=",2000,-1,"0,1",838,"0,4",27,"0,1",17000,"0,1","0,4","6,8",2,"2,3",3,1010,1670,5040,"32,8",1,"0,6",9910,20,140,"1,6","1,5",50,51,"0,6",82,"11,6","0,5","0,5",1,"0,2","0,3","1,8",7
"EMIS-MS57RN",2015/11/16,,,164,"7,71","4,98","=",990,1,"0,1",649,"0,4",24,"0,1",16400,"0,1","0,3",7,"1,3","1,8",3,733,1500,4660,"26,2",1,"0,51",8850,20,140,"1,2","0,8",50,42,"0,4",169,"9,6","0,5","0,5",1,"0,2","0,2","1,4",7
"EMIS-MS57RN",2015/11/18,,,154,"7,77","4,13","=",1500,1,"0,1",417,"0,3",21,"0,1",15100,"0,1","0,2","6,7","0,9","1,5",3,513,1280,4160,"19,1",1,"0,4",7870,20,140,1,"0,8",50,44,"0,3",114,"6,7","0,5","0,5",1,"0,2","0,2",1,7
"EMIS-MS57RN-1",2015/10/14,"94,3","9,75",177,"8,02","13,85","=",2100,-1,"0,1",380,"0,5",21,"0,1",15900,"0,1","0,3","5,6","0,9","1,7",,515,1410,4380,"20,2",1,,10600,,170,"1,2",,,35,"0,3",,"6,2","0,5","0,5",1,"0,2","0,2","1,1",7
"EMIS-MS57RN-1",2015/10/28,"97,9","11,95",163,"7,83","6,78","=",1400,1,"0,1",496,"0,4",22,"0,1",14600,"0,1","0,2","5,7",1,"1,7",,622,1540,4170,"19,6",1,,9190,,170,"1,1",,,37,"0,4",,"5,8","0,5","0,5",1,"0,2","0,2","1,3",7
"EMIS-MS57RN-1",2015/11/10,"99,5","12,4",168,"7,93","5,95","=",1800,1,,,,,,,,,,,,3,,,,,,"0,55",,20,190,,"0,8",50,,,161,,,,,,,,
"EMIS-MS57RN-1",2015/11/12,"99,3","12,32",181,"7,79","6,1","=",1900,1,"0,1",455,"0,3",23,"0,1",15900,"0,1","0,3","6,8","1,1","1,7",3,637,1500,4520,"23,2",1,"0,61",10000,20,220,"1,1","0,8",50,41,"0,4",97,"5,2","0,5","0,5",1,"0,2","0,2","1,3",7
"EMIS-MS57RN-1",2015/11/14,"93,8","11,7",216,"7,66","5,87","=",2100,-1,"0,1",1080,"0,4",30,"0,1",19200,"0,1","0,6","6,7","2,6","2,8",3,1270,2060,6000,"34,6",1,"0,77",12100,20,200,2,"0,8",50,69,"0,7",175,"16,2","0,5","0,5",1,"0,2","0,3","2,3",8
"EMIS-MS57RN-1",2015/11/16,,,193,"7,87","4,7","=",2000,1,"0,1",759,"0,3",25,"0,1",17600,"0,1","0,4","6,6","1,5","1,9",3,812,1670,5160,"25,4",1,"0,67",10200,20,190,"1,3","0,8",50,51,"0,4",182,10,"0,5","0,5",1,"0,2","0,2","1,5",7
"EMIS-MS57RN-1",2015/11/18,,,180,"7,9","3,5","=",1500,1,"0,1",496,"0,3",22,"0,1",16700,"0,1","0,3","6,9",1,"1,6",3,625,1490,4870,"21,8",1,"0,57",9960,20,230,"1,1","0,8",50,42,"0,5",108,"8,1","0,5","0,5",1,"0,2","0,2","1,1",7
"FSL-190",2015/11/11,,,308,"8,37",10,"<",10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-190",2015/11/12,,,308,"8,29","10,3","<",10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-190",2015/11/13,,,306,"8,36","8,89","=",18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-190",2015/11/14,,,342,"7,87","8,35","<",10,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-190",2015/11/15,,,336,"8,03","8,55","=",30,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-190",2015/11/16,,,335,"8,07","8,56","=",150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-190",2015/11/17,,,333,"7,96","8,29","<",10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-190",2015/11/18,,,345,"8,08","8,11","<",10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-190","Moyenne géométrique QUALO 2015",,,,,,"=",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-192",2015/11/24,,,230,,7,"<",10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-194",2015/11/24,,,240,,"7,2","=",18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-194.5",2015/11/24,,,230,,"7,1","=",72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-195",2015/11/24,,,230,,"7,1","=",140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-196",2015/11/24,,,230,,"6,5","<",10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-200",2015/11/11,,,286,"8,2","9,6","=",110,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-200",2015/11/12,,,287,"8,2","10,1","=",200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-200",2015/11/13,,,287,"8,09","8,55","=",22000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-200",2015/11/14,,,325,"7,8","8,36","=",13000,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-200",2015/11/15,,,330,"7,89","8,57","=",14000,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-200",2015/11/16,,,,,,"=",11000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-200",2015/11/17,,,316,"7,92","7,34","=",5600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSL-200",2015/11/18,,,315,"7,92","7,47","=",640,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
