Année,Secteur,N° de référence du GPC,Portée,Catégorie,Sous-catégorie,Activité,Description,CO2,CH4,N2O,Total en t éq.CO2,CO2(b),Qualité données
2021,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Autre,Émissions déclarées au gouvernement,547209,146,2451,549806,220,H
2021,Sources fixes,I.3.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Industrie non spécifiée (1.A.2.m),Électricité,Toutes les industries,0,0,0,2341,0,H
2021,Sources fixes,I.4.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Autres industries énergétiques (1.A.1.c.ii),Autre,Tous les combustibles fossiles consommés,851969,156,3625,855750,0,H
2021,Sources fixes,I.8.1,1,Émissions provenant d'émissions fugitives à l'intérieur des limites de la ville,Pétrole,Autre,"Émissions fugitives de distribution de gaz naturel, production pétrolière et torchère",314821,13759,560,329141,0,M
2022,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gaz naturel,Consommation de gaz naturel pour le chauffage résidentiel,779646,374,4222,784243,0,H
2022,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gasoil,Consommation de fioul léger pour le chauffage résidentiel,64319,15,42,64376,0,M
2022,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Bois ou déchets de bois,Consommation de bois de chauffage pour le chauffage résidentiel,0,12598,3054,15652,131444,M
2022,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Propane,Consommation de propane (et autres combustibles),19071,8,405,19484,0,L
2022,Sources fixes,I.1.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Électricité,Consommation d'électricité,0,0,0,18122,0,H
2022,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gaz naturel,Consommation de gaz naturel pour le chauffage,1297428,623,7027,1305078,0,H
2022,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gasoil,Consommation de fioul léger pour le chauffage,30647,7,103,30757,0,M
2022,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre,Consommation de fioul lourd pour le chauffage,4351,2,26,4379,0,M
2022,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Propane,Consommation de propane,103766,41,2204,106011,0,L
2022,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Institutionnel,Boues d'épuration,Incinération des boues d'épuration pour le chauffage,24808,179,54038,79025,97173,H
2022,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre biogaz,Consommation de gaz naturel renouvelable,0,5,60,65,10996,H
2022,Sources fixes,I.2.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Électricité,Consommation d'électricité,0,0,0,16947,0,H
2022,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Gaz naturel,Consommation de gaz naturel pour le chauffage,1079091,518,5510,1085119,0,H
2022,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Autre,Émissions déclarées au gouvernement,533684,133,2425,536242,1793,H
2022,Sources fixes,I.3.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Industrie non spécifiée (1.A.2.m),Électricité,Toutes les industries,0,0,0,5003,0,H
2022,Sources fixes,I.4.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Autres industries énergétiques (1.A.1.c.ii),Autre,Tous les combustibles fossiles consommés,897060,163,3815,901038,0,H
2022,Sources fixes,I.8.1,1,Émissions provenant d'émissions fugitives à l'intérieur des limites de la ville,Pétrole,Autre,"Émissions fugitives de distribution de gaz naturel, production pétrolière et torchère",262711,14141,481,277332,0,M
