NOM_CLIENT_PARTENAIRE,NOM_CORPORATION_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,CATEGORIE_INSTITUTION,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE ET RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,URL_WEB,LONGITUDE,LATITUDE
Centre national d'exposition de Saguenay,L'Institut des arts au Saguenay,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","4160, rue du Vieux Pont",Saguenay Arr.Jonquière,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G7X 7W4, http://www.centrenationalexposition.com ,-71.269333398330602,48.410822396498325
Chapelle de Tadoussac,La Fabrique de la paroisse de Sainte-Croix,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,"Histoire,ethnologie et archéologie","Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","169, rue du Bord-de-l'Eau",Tadoussac,9,Côte-Nord,Québec,Canada,G0T 2A0,http://tourismecote-nord.com/membres/patrimoine-religieux/petite-chapelle-de-tadoussac/,-69.71606729014772,48.142750514942293
"Cité historia, musée du Sault-au-Récollet",Corporation de la Maison du Pressoir,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","10897, rue du Pont",Montréal ,6,Montréal,Québec,Canada,H2B 2H3,http://www.citehistoria.qc.ca/,-73.659461080162345,45.574489036027693
Comité de protection des oeuvres d'Ozias-Leduc de Shawinigan-Sud ,Comité de protection des oeuvres d'Ozias-Leduc de Shawinigan-Sud inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","825, 2e Avenue",Shawinigan-sud ,4,Mauricie,Québec,Canada,G9P 1E1, http://www.eglisendp.qc.ca ,-72.750027278530041,46.527484091164048
Domaine Joly-De Lotbinière,Fondation du Domaine Joly-De Lotbinière,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","7015, route de Pointe-Platon",Sainte-Croix,12,Chaudière-Appalaches,Québec,Canada,G0S 2H0,http://www.domainejoly.com/,-71.846639992780425,46.665833563781007
"Éco-Nature, Parc de la Rivière-des-Mille-Îles",Éco-Nature de Laval,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","345, boulevard Sainte-Rose",Laval,13,Laval,Québec,Canada,H7L 1M7,http://www.parc-mille-iles.qc.ca/,-73.796391624254284,45.608366333342907
Écomusée du fier monde,L'Écomusée de la maison du fier monde inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2050, rue Amherst",Montréal ,6,Montréal,Québec,Canada,H2L 3L8, http://www.ecomusee.qc.ca ,-73.563792067086339,45.520196353158909
Exploramer,idem,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1, rue du Quai",Sainte-Anne-des-Monts,11,Gaspésie-Iles-de-la-Madeleine,Québec,Canada,G4V 2B6,http://www.exploramer.qc.ca/,-66.487515072087859,49.131320684530863
"Exporail, Musée ferroviaire canadien",L'Association canadienne d'histoire ferroviaire,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Sciences et technologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","110, rue Saint-Pierre",Saint-Constant,16,Montérégie,Québec,Canada,J5A 1G7, http://www.exporail.org ,-73.564310955812019,45.375283263817984
"Expression, Centre d'exposition de Saint-Hyacinthe","Expression, centre d'exposition de Saint-Hyacinthe inc.","Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","495, rue Saint-Simon",Saint-Hyacinthe,16,Montérégie,Québec,Canada,J2S 5C3, http://expression.qc.ca ,-72.945530280814367,45.624584600997302
