"Soum.","Date d'annonce","Date d'ouverture","Mois de l'ouverture","No. GDD","Catégorie de travaux","4 Catégories 
Analyse de marché","Nature de travaux","Description","Arrondissement","Chargé de projet","Estimé
DGPEC","Estimé externe","Estimé DEC ou EXT 'TOTAL (B)","Adjudicataire","Valeur de la soumission retenue
(C)","% écart

(C-B)/B","Nbs de soum.","% écart

(moyenne-B)/B","% écart

(plus haute-B)/B","Moyenne des soumissions","Plus haute soumission"
214710,41960,2014-12-17,"décembre",,"Infrastructures souterraines/réam géom./voirie/éclairage","Égout/Aqueduc","Reconstruction  d’infrastructures   souterraines  et  réaménagement géométrique incluant des travaux de structures, de voirie et pour des travaux d’éclairage et de feux de signalisation","Rues de Nazareth, Duke et l’autoroute Bonaventure de la rue de la Commune à la rue William. Projet Bonaventure ","Ville-Marie et le Sud-Ouest
","François Hubert",,"34067050,4","34067050,4","Construction Bau-Val inc.","22397663,53","-0,34",5,"-0,27","-0,19","24787850,41","27537203,14"
266201,41967,2014-12-17,"décembre",,"Planage/feux","Pavage","Planage, le revêtement bitumineux et les feux de circulation","Avenue Dollard, d’un point au sud de la rue Elmslie à un point au nord de la rue Elmslie","Arrondissement: LaSalle","Robert Cardin","671899,31",,"671899,31","Les Pavages Chenail inc.","587061,22","-0,13",5,"0,02","0,21","683803,01","814735,55"
,,,,,,,,,,,"165562965,65","57116038,28","222679003,93",,"211197076,94",,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,
