Organisme,Type_organisme,VD_Encadrement,VD_Continuite,VD_Projets,VND_Services_internes,VND_Services_externes,VND_Remuneration_du_personnel,VND_Acquisition_et_location_de_biens,VND_Frais_connexes,VC_Depenses_capitalisables,VC_Depenses_non_capitalisables
Société de télédiffusion du Québec,Organisme autre que budégtaire,259,4908.2,0,105.5,1214.2,1586.7,2239.2,21.6,2200.1,2967.1
Société des établissements de plein air du Québec,Organisme autre que budégtaire,540.6,2653.3,1790.6,0,687.9,2970.7,1294.9,31,1764.2,3220.3
Société des Traversiers du Québec,Organisme autre que budégtaire,204.4,1471.2,347,356.8,659.9,675.3,324,6.6,316.5,1706.1
Société d'habitation du Québec,Organisme autre que budégtaire,761.9,6146,924.8,37.8,2305.6,3260.7,2209.5,19.1,1450.6,6382.1
Société du Centre des congrès de Québec,Organisme autre que budégtaire,32.8,599,0,1.8,0,378.6,20,231.4,0,631.8
Société du Grand Théâtre de Québec,Organisme autre que budégtaire,15,321.7,0,14.4,115,15,192.3,0,192.2,144.5
Société du Palais des congrès de Montréal,Organisme autre que budégtaire,161.4,1741.8,67.3,0,213.5,811.8,400.5,544.7,489.5,1481
Société du parc industriel et portuaire de Bécancour,Organisme autre que budégtaire,0,0,0,0,0,0,0,0,0,0
Société du Plan Nord,Organisme autre que budégtaire,42.2,280.8,0,135.1,142.8,42.2,2.9,0,2.9,320.1
Société nationale de l'amiante,Organisme autre que budégtaire,0,0,0,0,0,0,0,0,0,0
Société québécoise de récupération et de recyclage,Organisme autre que budégtaire,50,668.9,327.4,108.5,228.8,369.7,337.8,1.5,583.6,462.7
Société québécoise des infrastructures,Organisme autre que budégtaire,1201.9,9027.1,2672.7,1374.6,3862.9,4641.7,983.3,2039.2,3339.2,9562.5
Société québécoise d'information juridique,Organisme autre que budégtaire,463,3374.2,166.8,13.4,248.6,3149.6,555.1,37.3,210.1,3793.9
Transition énergétique Québec,Organisme autre que budégtaire,0,0,0,0,0,0,0,0,0,0
Tribunal administratif des marchés financiers,Organisme autre que budégtaire,38.8,142.8,0,13,9,108.9,50.7,0,36.1,145.5
Tribunal administratif du Québec,Organisme autre que budégtaire,366,2265.4,114,374.7,497.6,1300.1,562.4,10.6,380.9,2364.5
Tribunal administratif du travail,Organisme autre que budégtaire,148.9,4549.8,0,1206.8,760.1,2305.7,426.1,0,250.8,4447.9
