ï»¿OBJECTID,NOMGENERIQUE,TYPERUE,CLASSEURBANISME,VITESSE,PROPRIETAIRE,TYPESENSUNIQUE,CODEMUNICIPALITE,TOPONYMIE,NUMERORUE 
80377,Thibeau,Boulevard,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,boulevard Thibeau,1427
80378,Decelles,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Decelles,407
80379,Decelles,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Decelles,407
80380,Decelles,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Decelles,407
80381,Decelles,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Decelles,407
80382,Goyer,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Goyer,636
80383,Goyer,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Goyer,636
80384,Goyer,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Goyer,636
80385,Vimont,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de Vimont,1475
80386,Vimont,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de Vimont,1475
80387,Lisieux,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de Lisieux,906
80388,Lisieux,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de Lisieux,906
80389,Montauban,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de Montauban,1056
80390,Rigaud,Boulevard,ArtÃ¨re secondaire,50,Public,MÃªme sens unique,37067,boulevard Rigaud,1260
80391,Rosemont,CÃ´te,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,cÃ´te Rosemont,1282
80392,Rosemont,CÃ´te,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,cÃ´te Rosemont,1282
80393,Rosemont,CÃ´te,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,cÃ´te Rosemont,1282
80394,Rosemont,CÃ´te,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,cÃ´te Rosemont,1282
80395,Deveau,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Deveau,434
80396,Deveau,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Deveau,434
80397,Catherine-Saint-PÃ¨re,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Catherine-Saint-PÃ¨re,242
80398,Prairies,Rue,Collectrice principale,70,Public,Pas de sens unique,37067,rue des Prairies,1213
80399,Chenaux,Boulevard,ArtÃ¨re principale,70,Public,Pas de sens unique,37067,boulevard des Chenaux,292
80400,Chenaux,Boulevard,ArtÃ¨re principale,70,Public,Pas de sens unique,37067,boulevard des Chenaux,292
80401,Chenaux,Boulevard,ArtÃ¨re principale,70,Public,Pas de sens unique,37067,boulevard des Chenaux,292
80402,ÃlÃ©ment,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue ÃlÃ©ment,484
80403,David,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue David,352
80404,Prairies,Rue,Locale secondaire,50,Public,Pas de sens unique,37067,rue des Prairies,1213
80405,Forsyth,Chemin,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,chemin Forsyth,552
80406,Pins,Chemin,Locale principale,70,Public,Pas de sens unique,37067,chemin des Pins,1196
80407,Pins,Chemin,Locale principale,70,Public,Pas de sens unique,37067,chemin des Pins,1196
80408,Bellevue,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bellevue,142
80409,Bellevue,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bellevue,142
80410,Bellevue,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bellevue,142
80411,Bellevue,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bellevue,142
80412,Bellevue,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bellevue,142
80413,Versailles,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de Versailles,1469
80414,Arthur-Rousseau,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard Arthur-Rousseau,90
80415,Arthur-Rousseau,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard Arthur-Rousseau,90
80416,Arthur-Rousseau,Boulevard,ArtÃ¨re principale,60,Public,Pas de sens unique,37067,boulevard Arthur-Rousseau,90
80419,6e Rang Est,Rang,Locale secondaire,50,Public,Pas de sens unique,37067,6e Rang Est,20
80420,Garneau,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Garneau,586
80421,Monty,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Monty,1067
80422,Monty,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Monty,1067
80423,Monty,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Monty,1067
80424,Fonderie,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de la Fonderie,542
80425,Bertrand,Rue,Locale secondaire,50,Public,Pas de sens unique,37067,rue Bertrand,157
80426,Bertrand,Rue,Locale secondaire,50,Public,Pas de sens unique,37067,rue Bertrand,157
80427,Lemarier,Place,Locale secondaire,30,Public,Pas de sens unique,37067,place Lemarier,877
80428,Lemarier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Lemarier,878
80429,Lemarier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Lemarier,878
80430,Beaudry,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Beaudry,125
80431,Beaudry,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Beaudry,125
80432,Aviation,Rue,Locale secondaire,50,Public,Pas de sens unique,37067,rue de l'Aviation,103
80433,Aviation,Rue,Locale secondaire,50,Public,Pas de sens unique,37067,rue de l'Aviation,103
80434,Bell,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bell,137
80435,Bell,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bell,137
80436,Prairies,Rue,Collectrice principale,70,Public,Pas de sens unique,37067,rue des Prairies,1213
80437,Rivage,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue du Rivage,1263
80438,Sainte-Marguerite,Chemin,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,chemin Sainte-Marguerite,1323
80439,Sainte-Marguerite,Chemin,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,chemin Sainte-Marguerite,1323
80440,Sainte-Marguerite,Chemin,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,chemin Sainte-Marguerite,1323
80441,Sainte-Marguerite,Chemin,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,chemin Sainte-Marguerite,1323
80442,Sainte-Marguerite,Chemin,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,chemin Sainte-Marguerite,1323
80443,Parent,Boulevard,Collectrice principale,70,Public,Pas de sens unique,37067,boulevard Parent,1135
80444,Parent,Boulevard,Collectrice principale,50,Public,Pas de sens unique,37067,boulevard Parent,1135
80446,Ãle-Saint-Quentin,Chemin,Locale secondaire,30,PrivÃ©,Pas de sens unique,37067,chemin de l'Ãle-Saint-Quentin,707
80448,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80449,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,boulevard des RÃ©collets,1239
80450,Rigaud,Boulevard,ArtÃ¨re secondaire,50,Public,MÃªme sens unique,37067,boulevard Rigaud,1260
80451,Rigaud,Boulevard,ArtÃ¨re secondaire,50,Public,MÃªme sens unique,37067,boulevard Rigaud,1260
80452,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80453,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80454,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80455,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80456,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80457,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80458,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80459,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80460,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80461,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80462,Forges,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des Forges,549
80463,Forges,Boulevard,ArtÃ¨re principale,30,Public,Pas de sens unique,37067,boulevard des Forges,549
80464,Charles-De Blois,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Charles-De Blois,274
80465,SÃ©bastien-Provencher,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue SÃ©bastien-Provencher,1384
80466,Claude,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Claude,304
80467,Roland-Montplaisir,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Roland-Montplaisir,1277
80468,Hayes,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Hayes,672
80469,Bellerive,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bellerive,141
80470,Bellerive,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bellerive,141
80471,Massicotte,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Massicotte,993
80472,Massicotte,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Massicotte,993
80473,Brunelle,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Brunelle,207
80474,Carignan,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Carignan,227
80475,Carignan,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Carignan,227
80476,Dorval,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Dorval,452
80477,Bellefeuille,Rue,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,rue Bellefeuille,139
80478,Bellefeuille,Rue,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,rue Bellefeuille,139
80479,Bellefeuille,Rue,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,rue Bellefeuille,139
80480,Bellefeuille,Rue,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,rue Bellefeuille,139
80481,Bellefeuille,Rue,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,rue Bellefeuille,139
80482,Bellefeuille,Rue,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,rue Bellefeuille,139
80483,MÃ¨re-Gamelin,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue de MÃ¨re-Gamelin,1019
80484,Courteau,Rue,Collectrice principale,80,Public,Pas de sens unique,,rue Courteau,334
80485,Caron,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Caron,233
80486,Forges,Boulevard,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,boulevard des Forges,549
80487,Forges,Boulevard,ArtÃ¨re principale,30,Public,Pas de sens unique,37067,boulevard des Forges,549
80488,Forges,Boulevard,Collectrice principale,30,Public,Pas de sens unique,37067,boulevard des Forges,549
80489,Saint-Jean,Boulevard,Locale principale,50,Public,Pas de sens unique,37067,boulevard Saint-Jean,1340
80490,Saint-Jean,Boulevard,Locale principale,50,Public,Pas de sens unique,37067,boulevard Saint-Jean,1340
80491,Davidson,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Davidson,354
80493,De La TerriÃ¨re,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue De La TerriÃ¨re,382
80494,De La TerriÃ¨re,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue De La TerriÃ¨re,382
80495,De La TerriÃ¨re,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue De La TerriÃ¨re,382
80496,De La TerriÃ¨re,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue De La TerriÃ¨re,382
80497,Laviolette,Boulevard,Locale principale,30,Public,Pas de sens unique,37067,boulevard Laviolette,854
80498,Laviolette,Boulevard,Locale secondaire,30,Public,Pas de sens unique,37067,boulevard Laviolette,854
80499,Laviolette,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard Laviolette,854
80500,Laviolette,Boulevard,ArtÃ¨re secondaire,50,Public,MÃªme sens unique,37067,boulevard Laviolette,854
80501,Laviolette,Boulevard,ArtÃ¨re secondaire,50,Public,MÃªme sens unique,37067,boulevard Laviolette,854
80502,Laviolette,Boulevard,ArtÃ¨re secondaire,50,Public,MÃªme sens unique,37067,boulevard Laviolette,854
80503,Fusey,Rue,ArtÃ¨re principale,60,Public,MÃªme sens unique,37067,rue Fusey,579
80504,Fusey,Rue,ArtÃ¨re principale,60,Public,MÃªme sens unique,37067,rue Fusey,579
80505,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80506,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80507,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80508,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80509,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80510,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80511,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80512,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80513,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80514,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80515,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80516,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80517,RÃ©collets,Boulevard,ArtÃ¨re principale,30,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80518,RÃ©collets,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard des RÃ©collets,1239
80521,RÃ©collets,Boulevard,ArtÃ¨re principale,30,Public,Pas de sens unique,37067,boulevard des RÃ©collets,1239
80522,RÃ©collets,Boulevard,ArtÃ¨re principale,30,Public,Pas de sens unique,37067,boulevard des RÃ©collets,1239
80523,Industriel,Boulevard,Collectrice secondaire,70,Public,Pas de sens unique,37067,boulevard Industriel,710
80524,Industriel,Boulevard,Collectrice secondaire,70,Public,Pas de sens unique,37067,boulevard Industriel,710
80525,Industriel,Boulevard,Collectrice secondaire,70,Public,Pas de sens unique,37067,boulevard Industriel,710
80526,Industriel,Boulevard,Collectrice secondaire,70,Public,Pas de sens unique,37067,boulevard Industriel,710
80527,Industriel,Boulevard,ArtÃ¨re secondaire,70,Public,Pas de sens unique,37067,boulevard Industriel,710
80528,Chicoyne,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Chicoyne,298
80529,Chicoyne,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Chicoyne,298
80530,Boulay,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Boulay,188
80531,Boulay,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Boulay,188
80533,Bougainville,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bougainville,186
80534,Bougainville,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bougainville,186
80535,Bougainville,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bougainville,186
80536,Brisebois,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Brisebois,200
80537,Brisebois,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Brisebois,200
80538,SabliÃ¨re,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue de la SabliÃ¨re,1295
80539,SabliÃ¨re,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue de la SabliÃ¨re,1295
80540,SabliÃ¨re,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue de la SabliÃ¨re,1295
80541,SabliÃ¨re,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue de la SabliÃ¨re,1295
80542,CoopÃ©rants,Avenue,Locale secondaire,30,Public,MÃªme sens unique,37067,avenue des CoopÃ©rants,325
80543,CoopÃ©rants,Avenue,Locale secondaire,30,Public,MÃªme sens unique,37067,avenue des CoopÃ©rants,325
80545,CoopÃ©rants,Avenue,Locale principale,30,Public,MÃªme sens unique,37067,avenue des CoopÃ©rants,325
80547,CoopÃ©rants,Avenue,Locale principale,30,Public,MÃªme sens unique,37067,avenue des CoopÃ©rants,325
80548,Arthur-Guimont,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Arthur-Guimont,89
80549,Arthur-Guimont,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Arthur-Guimont,89
80550,Arthur-Guimont,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Arthur-Guimont,89
80551,Arthur-Guimont,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Arthur-Guimont,89
80552,PrÃ©s-Verts,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des PrÃ©s-Verts,1216
80553,Brunelle,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Brunelle,207
80554,De La VÃ©rendrye,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue De La VÃ©rendrye,384
80555,De La VÃ©rendrye,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue De La VÃ©rendrye,384
80556,De La VÃ©rendrye,Rue,Collectrice principale,40,Public,Pas de sens unique,37067,rue De La VÃ©rendrye,384
80557,De La VÃ©rendrye,Rue,Collectrice secondaire,50,Public,Pas de sens unique,37067,rue De La VÃ©rendrye,384
80558,De La VÃ©rendrye,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue De La VÃ©rendrye,384
80559,De La VÃ©rendrye,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue De La VÃ©rendrye,384
80560,De La VÃ©rendrye,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue De La VÃ©rendrye,384
80561,De La VÃ©rendrye,Rue,Collectrice principale,30,Public,Pas de sens unique,37067,rue De La VÃ©rendrye,384
80562,De La VÃ©rendrye,Rue,Collectrice principale,30,Public,Pas de sens unique,37067,rue De La VÃ©rendrye,384
80563,Commune,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard de la Commune,320
80564,Commune,Boulevard,ArtÃ¨re principale,50,Public,MÃªme sens unique,37067,boulevard de la Commune,320
80565,Commune,Boulevard,Collectrice secondaire,50,Public,MÃªme sens unique,37067,boulevard de la Commune,320
80566,Commune,Boulevard,Collectrice secondaire,50,Public,MÃªme sens unique,37067,boulevard de la Commune,320
80567,Commune,Boulevard,Collectrice secondaire,50,Public,MÃªme sens unique,37067,boulevard de la Commune,320
80568,Commune,Boulevard,Collectrice secondaire,50,Public,MÃªme sens unique,37067,boulevard de la Commune,320
80569,Commune,Boulevard,Collectrice secondaire,50,Public,MÃªme sens unique,37067,boulevard de la Commune,320
80570,Chanoine-Chamberland,Rue,Collectrice principale,40,Public,Pas de sens unique,37067,rue du Chanoine-Chamberland,259
80571,Forges,Rue,ArtÃ¨re secondaire,40,Public,MÃªme sens unique,37067,rue des Forges,550
80572,Forges,Rue,ArtÃ¨re principale,40,Public,MÃªme sens unique,37067,rue des Forges,550
80573,Forges,Rue,ArtÃ¨re principale,40,Public,MÃªme sens unique,37067,rue des Forges,550
80574,Forges,Rue,ArtÃ¨re principale,40,Public,MÃªme sens unique,37067,rue des Forges,550
80575,Forges,Rue,ArtÃ¨re principale,40,Public,MÃªme sens unique,37067,rue des Forges,550
80576,Forges,Rue,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,rue des Forges,550
80577,Forges,Rue,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,rue des Forges,550
80578,Casernes,Rue,Locale secondaire,20,Public,Pas de sens unique,37067,rue des Casernes,238
80579,Gervais,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Gervais,614
80580,Gervais,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Gervais,614
80581,Gervais,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Gervais,614
80582,Buisson,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Buisson,209
80583,Jean-Bourdon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Jean-Bourdon,745
80584,Jean-Bourdon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Jean-Bourdon,745
80585,Jean-Bourdon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Jean-Bourdon,745
80586,Jean-Bourdon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Jean-Bourdon,745
80587,De Saint-RÃ©al,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue De Saint-RÃ©al,398
80588,De Saint-RÃ©al,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue De Saint-RÃ©al,398
80589,Hertel,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Hertel,685
80590,Hertel,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Hertel,685
80591,Hertel,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Hertel,685
80592,Hertel,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Hertel,685
80593,Fortin,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Fortin,553
80594,Fortin,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Fortin,553
80595,Fortin,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Fortin,553
80596,SÃ©nateur-Montplaisir,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue du SÃ©nateur-Montplaisir,1387
80597,SÃ©nateur-Montplaisir,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue du SÃ©nateur-Montplaisir,1387
80598,SÃ©nateur-Montplaisir,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue du SÃ©nateur-Montplaisir,1387
80599,SÃ©nateur-Montplaisir,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue du SÃ©nateur-Montplaisir,1387
80600,De Tonnancour,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue De Tonnancour,402
80601,De Tonnancour,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue De Tonnancour,402
80602,De Tonnancour,Rue,Locale secondaire,30,Public,MÃªme sens unique,37067,rue De Tonnancour,402
80603,De Tonnancour,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue De Tonnancour,402
80604,De Tonnancour,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue De Tonnancour,402
80605,Hart,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Hart,666
80606,Hart,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Hart,666
80607,Hart,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Hart,666
80608,Hart,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Hart,666
80609,Hart,Rue,Collectrice secondaire,30,Public,Pas de sens unique,37067,rue Hart,666
80610,Hart,Rue,Collectrice secondaire,30,Public,Pas de sens unique,37067,rue Hart,666
80611,Hart,Rue,Collectrice secondaire,30,Public,Pas de sens unique,37067,rue Hart,666
80612,Hart,Rue,Collectrice secondaire,30,Public,Pas de sens unique,37067,rue Hart,666
80613,Hart,Rue,Collectrice secondaire,30,Public,Pas de sens unique,37067,rue Hart,666
80614,Hart,Rue,Collectrice secondaire,30,Public,Pas de sens unique,37067,rue Hart,666
80615,Mortagne,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de Mortagne,1070
80616,Mortagne,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de Mortagne,1070
80617,Jutras,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Jutras,798
80618,Jutras,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Jutras,798
80619,J.-H.-Fortier,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue J.-H.-Fortier,725
80621,Cossette,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Cossette,330
80622,Gaudet,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Gaudet,592
80623,Gaudet,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Gaudet,592
80624,Adrienne-Choquette,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Adrienne-Choquette,36
80625,Adrienne-Choquette,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Adrienne-Choquette,36
80626,Adrienne-Choquette,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Adrienne-Choquette,36
80627,EspÃ©ranto,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de l'EspÃ©ranto,509
80628,Jean-Marchand,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Jean-Marchand,754
80629,Loranger,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Loranger,914
80630,Loranger,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Loranger,914
80631,Loranger,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Loranger,914
80632,Loranger,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Loranger,914
80633,Pelchat,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Pelchat,1150
80634,Pelchat,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Pelchat,1150
80635,Pelchat,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Pelchat,1150
80636,Pelchat,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Pelchat,1150
80637,Pelchat,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Pelchat,1150
80638,Pelchat,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Pelchat,1150
80639,Pelchat,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Pelchat,1150
80640,Pelchat,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Pelchat,1150
80641,Boivin,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Boivin,169
80642,GÃ©rin-Lajoie,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue GÃ©rin-Lajoie,610
80643,GÃ©rin-Lajoie,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue GÃ©rin-Lajoie,610
80644,La Sentinelle,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de La Sentinelle,807
80645,Champigny,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Champigny,255
80646,Chanoine-Groulx,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue du Chanoine-Groulx,261
80647,Desbiens,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Desbiens,424
80648,Desbiens,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Desbiens,424
