"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","Tl ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-7RS",2014-05-21 15:07,106,"11,2",237,"8,0","12,9","=",1200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-9.5P1",2014-10-01 09:44,96,"9,2",279,"8,2","17,4","=",43000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-9.5P1",2014-10-28 09:28,98,"10,6",225,"8,0","11,5","=",43000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-FOINS-1",2014-10-01 11:31,97,"9,5",111,"8,3","16,3","=",450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-FOINS-1",2014-10-28 11:14,98,"10,9",108,"8,3","10,8","=",1400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-FOINS-2",2014-10-01 11:45,98,"9,6",117,"8,1","16,5","=",1200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-FOINS-2",2014-10-28 11:34,99,"10,9",105,"7,8","11,0","=",640,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M104",2014-05-12 10:50,107,"12,1",239,"8,0","9,8","=",180,-2,,,,,,,,,,,,,,,,,,20,,16,,,,,,,,,
"EMIS-M104",2014-05-14 10:53,101,"11,4",262,"8,1","10,1","<",100,1,,,,,,,,,,,,,,,,,,20,,15,,,,,,,,,
"EMIS-M104",2014-05-21 10:56,104,"11,2",234,"8,0","12,4","=",180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M104E",2014-05-12 11:08,107,"11,9",232,"8,0","10,1","=",1400,-2,,,,,,,,,,,,,,,,,,27,,16,,,,,,,,,
"EMIS-M104E",2014-05-14 11:11,101,"11,2",242,"8,0","10,6","=",40000,1,,,,,,,,,,,,,,,,,,48,,18,,,,,,,,,
"EMIS-M104E",2014-05-21 11:13,103,"10,9",226,"7,9","13,2","=",3200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M104N",2014-05-12 10:57,106,"12,0",235,"8,0","10,1","=",270,-2,,,,,,,,,,,,,,,,,,20,,18,,,,,,,,,
"EMIS-M104N",2014-05-14 11:00,102,"11,4",250,"8,0","10,3","=",17000,1,,,,,,,,,,,,,,,,,,28,,17,,,,,,,,,
"EMIS-M104N",2014-05-21 11:01,105,"11,2",234,"7,9","12,7","=",450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
