FID,CODE,BUP_NO_BUREA,BUP_NO_REGIO,BUP_NOM_REGIO,BUP_NOM_BUREA,TYPE,BUP_ADR_DGPF,BUP_ADR_QUEBE,BUP_NOM_MUNIC,BUP_CODE_POSTA,SHAPE
Bureaux_protection_faune.fid--36104af1_191566b56df_6ff8,18,01_09,1,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de Témiscouata-sur-le-Lac,local,"748A, Montée du Détour, Témiscouata-sur-le-Lac, G0L 1X0","748, Montée du Détour, Témiscouata-sur-le-Lac, G0L 1X0",Témiscouata-sur-le-Lac,G0L1X0,POINT (-68.8105571646343 47.6162426582374)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ff9,19,01_11,1,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de La Pocatière,local,"218, route 230 Ouest,  La Pocatière, G0R 1Z0","218, route 230 Ouest,  La Pocatière, G0R 1Z0",La Pocatière,G0R1Z0,POINT (-70.042996599502 47.361702152265)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ffa,20,11_51,11,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de Sainte-Anne-des-Monts,local,"204 A, boulevard Sainte-Anne Ouest, Sainte-Anne-des-Monts, G4V 1R9","204 A, boulevard Sainte-Anne Ouest, Sainte-Anne-des-Monts, G4V 1R9",Sainte-Anne-des-Monts,G4V1R9,POINT (-66.4977492303811 49.1226601429396)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ffb,21,11_52,11,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de Gaspé,local,"21, rue des Lilas, local 1.03, Gaspé, G4X 2L9","21, rue des Lilas, Gaspé, G4X 2L9",Gaspé,G4X2L9,POINT (-64.4876245570375 48.8032248785092)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ffc,22,11_53,11,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de Chandler,local,"230 boul. René-Lévesque Est, Chandler, G0C 1K0","230 boul. René-Lévesque Est, Chandler, G0C 1K0",Chandler,G0C1K0,POINT (-64.6691382569601 48.350553187541)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ffd,23,11_54,11,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de New Richmond,local,"308, chemin St-Edgar, New-Richmond, G0C 2B0","308, chemin St-Edgar, New-Richmond, G0C 2B0",New Richmond,G0C2B0,POINT (-65.8235815606876 48.1710246063141)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ffe,24,11_55,11,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de Cap-aux-Meules (Saisonnier),local,"125, chemin du Parc, Cap-aux-Meules, G4T 1B3","125, chemin du Parc, Cap-aux-Meules, G4T 1B3",Les Îles-de-la-Madeleine,G4T1B3,POINT (-61.8571806439827 47.3803666966322)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fff,25,11_56,11,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de Grande-Vallée,local,"52, rue St-François-Xavier - C.P. 186, Grande-Vallée, G0E 1K0","52, rue St-François-Xavier, Grande-Vallée, G0E 1K0",Grande-Vallée,G0E1K0,POINT (-65.1137411984895 49.2268162541487)
Bureaux_protection_faune.fid--36104af1_191566b56df_7000,26,01_02,11,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de Matane,local,"120, rue Fraser, Matane, G4W 3G7","120, rue Fraser, Matane, G4W 3G7",Matane,G4W3G7,POINT (-67.5384149271066 48.8506312980371)
Bureaux_protection_faune.fid--36104af1_191566b56df_7001,27,02,2,Saguenay/Lac-Saint-Jean,Direction de la protection de la faune du SaguenayLac-Saint-Jean,local,"3950, boul. Harvey, 4e étage,  Jonquière, G7X 8L6","3950, boul. Harvey, Jonquière, G7X 8L6",Saguenay,G7X8L6,POINT (-71.2554146077503 48.4145673479823)
Bureaux_protection_faune.fid--36104af1_191566b56df_7002,28,02_01,2,Saguenay/Lac-Saint-Jean,Bureau local de Chicoutimi ,local,"1281, rue Manic - Suite D, Chicoutimi, G7K 1A1","1281, rue Manic, Chicoutimi, G7K 1A1",Saguenay,G7K1A1,POINT (-71.1125596952467 48.3991271457384)
Bureaux_protection_faune.fid--36104af1_191566b56df_7003,29,02_02,2,Saguenay/Lac-Saint-Jean,Bureau local dAlma ,local,"801, ch. Du Pont Taché Nord, Local RC-04,  Alma, G8B 5B7","801, ch. Du Pont Taché Nord, Alma, G8B 5B7",Alma,G8B5B7,POINT (-71.6355404661194 48.5614337963567)
Bureaux_protection_faune.fid--36104af1_191566b56df_7004,30,02_03,2,Saguenay/Lac-Saint-Jean,Bureau local de Roberval,local,"580, avenue Roberval, Roberval, G8H 1J4","580, avenue Roberval, Roberval, G8H 1J4",Roberval,G8H1J4,POINT (-72.2290685591964 48.5106174868844)
