ï»¿NOM,ADRESSE,ARRONDISSEMENT,DISTRICT,TELEPHONE
"Parc de Normandie,""450, rue de Normandie Longueuil QC CA J4H3P4"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 646-8682"
"Parc des GlaÃ¯euls,""7451, rue des Jonquilles Saint-Hubert QC CA J3Y8P7"",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311"
"Parc Des VÃ©tÃ©rans,""3400,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311"
"Parc du centre sportif Rosanne-Laflamme,""7405,  Saint-Hubert QC CA J3Y7K8"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311"
"Parc du Patriote-Joseph-Vincent,""1906,  Saint-Hubert QC CA J3Y4A3"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,"
"Parc Empire,""193,  Greenfield Park QC CA J4V1T9"",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311"
"Parc Fernand-Bouffard,""1000, rue Duvernay Longueuil QC CA J4K4K9"",,District 07 - Vieux-Longueuil,450 463-7311"
"Parc Fonrouge,""301, rue Cuvillier Est Longueuil QC CA J4L4T7"",,District 05 - Vieux-Longueuil,450 463-7311"
"Parc GÃ©nÃ©ration,""120, rue RenÃ©-Philippe LeMoyne QC CA J4R2K1"",,District 09 - Vieux-Longueuil,450 463-7311"
"Parc GÃ©rard-Carmel,""5200,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311"
"Parc GÃ©rard-Philipps,""3791,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311"
"Parc ImmaculÃ©e-Conception,""3675, rue Rocheleau Saint-Hubert QC CA J3Y6C6"",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311"
"Parc Jean-de-Lalande,""1681, rue Bourassa Longueuil QC CA J4J3A5"",,District 07 - Vieux-Longueuil,450 463-7311"
"Parc Jean-Jacques-Bertrand,""1359,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311"
"Parc Jean-Louis,""145, rue HÃ©mond Longueuil QC CA J4G1K2"",,District 01 - Vieux-Longueuil,450 463-7311"
"Parc Joseph-De-SÃ©rigny,""1100, chemin du Lac Longueuil QC CA J4J1W3"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 463-7311"
"Parc Joseph-ParÃ©,""4155,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 12 - Saint-Hubert,450 463-7311"
"Parc Joseph-William-Gendron,""3222, rue Windsor 02 QC CA J4T2X2"",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311"
"Parc Jubilee,""753, rue Barden Greenfield Park QC CA J4V2G3"",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311"
"Parc Jules-Moulin,""1780,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311"
"Parc La Fayette,""1585, boulevard La Fayette Longueuil QC CA J4K3B6"",,District 07 - Vieux-Longueuil,450 463-7311"
"Parc Laurier,""2095, rue Laurier Longueuil QC CA J4J4J4"",,District 04 - Vieux-Longueuil,450 463-7311"
"Parc Laviolette,""900, rue de Honfleur Longueuil QC CA J4J4R8"",,District 03 - Vieux-Longueuil,450 463-7311"
"Parc Lecavalier,""2040, rue BrÃ©beuf Longueuil QC CA J4J3P7"",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 463-7311"
"Parc Lionel-Groulx,""2700, rue PÃ©rigny Longueuil QC CA J4L4E7"",,District 02 - Vieux-Longueuil,450 463-7311"
"Parc Louis-Brosseau,""5231,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311"
"Parc Lucien-Millette,""480,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311"
"Parc Marcel-Simard,""1425, boulevard GaÃ©tan-Boucher Saint-Hubert QC CA J3Z1C8"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311"
"Parc Marie-JosÃ©e-Vandette,""3880, rue Labrosse Saint-Hubert QC CA J3Y3C8"",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311"
"Parc Marquette,""2300, rue Dollard Longueuil QC CA J4L2P5"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 463-7311"
"Parc Meunier,""525, rue Latour Saint-Hubert QC CA J3Y6A9"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311"
"Parc Mgr-A.-M.-Parent,""3875, Grande AllÃ©e Saint-Hubert QC CA J4T2V8"",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311"
"Parc Michel-Chartrand,""1895, rue Adoncour Longueuil QC CA J4J5G8"",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 468-7619"
"Parc Olynyk,""161,  Greenfield Park QC CA J4V3B1"",Arrondissement de Greenfield Park,District 10 - Greenfield Park,"
"Parcours du Cerf (golf),""2500, boulevard Fernand-Lafontaine Longueuil QC CA J4N1M5"",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 463-7311"
"Parc Pacific,""3460,  Saint-Hubert QC CA J3Y5K2"",,,"
"Parc Perras,""3450,  02 QC CA "",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311"
"Parc Pierre-et-Bernard-Lucas,""2060, rue Holmes Saint-Hubert QC CA J4T1R5"",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311"
"Parc Pierre-Laporte (Saint-Hubert),""5400,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311"
"Parc Quevillon,""4680,  Saint-Hubert QC CA J3Y2V2"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,"
"Parc Raymond,""1000, rue De Lorimier Longueuil QC CA J4K3N1"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7311"
"Parc Raymond-Brassard,""5551,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311"
"Parc Raymond-Comeau,""3995,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311"
