record,SEXE,AGE,LANGU,Q0QC,Q0QCP,Q1Ar1,Q1Ar2,Q1Ar3,Q1Ar4,Q1Ar5,Q1Ar6,Q1Ar7,Q1Ar8,Q1Ar9,Q1Ar96,Q1C,Q1B,Q2,Q3,Q4r1,Q4r2,Q5,Q6,Q7,Q8r1,Q8r2,Q8r3,Q8r4,Q9r1,Q9r2,Q9r3,Q9r4,Q9r5,Q9r6,Q10,N_BARRIERES,pond
1202,1,6,4,6,5,0,0,1,0,0,0,0,0,0,0,1,,5,1,3,5,7,8,1,3,2,4,3,1,2,2,2,2,1,1,7,2.67818
1222,1,8,1,6,32,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,4,7,7,1,2,2,4,3,1,2,2,2,2,1,1,7,1.15168
1226,1,3,4,6,5,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,5,6,4,2,3,4,4,3,1,2,2,2,2,1,2,5,4.19885
1229,1,4,2,6,13,0,0,0,0,1,0,0,0,0,0,3,1,2,3,1,5,4,1,4,1,2,3,3,1,2,1,2,2,1,1,11,3.26386
1243,2,8,1,6,20,0,0,1,0,0,0,0,0,0,0,2,2,5,1,5,5,7,11,1,2,2,4,2,1,2,2,2,2,1,2,7,0.77652
1247,1,10,5,6,2,0,0,0,1,0,0,0,0,0,0,3,1,6,1,5,4,7,8,1,3,1,4,3,1,2,1,1,1,1,1,3,1.1766
1250,2,3,1,6,24,1,0,0,0,0,0,0,1,0,0,1,,3,1,5,4,6,2,2,1,1,2,2,2,2,2,2,2,1,2,10,0.54079
1257,1,4,1,6,13,0,0,0,0,1,1,0,0,0,0,1,,5,1,5,3,7,6,3,2,3,4,2,1,2,2,2,2,1,2,7,1.95482
1263,2,5,4,6,5,0,0,1,0,0,0,0,0,0,0,1,,6,1,5,5,3,7,1,5,4,4,4,1,2,2,2,2,1,1,6,2.13629
1267,1,4,2,6,5,0,0,1,0,0,0,0,0,0,0,3,1,5,1,5,5,7,6,1,5,4,4,5,1,1,1,1,1,1,2,0,4.19885
1273,2,3,1,6,1,0,0,0,0,1,0,0,0,0,0,1,,5,1,5,3,6,4,3,3,3,3,3,2,2,2,2,2,1,1,8,0.7034
1279,2,2,5,6,2,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,5,5,3,1,2,2,5,2,1,2,1,2,2,1,2,7,1.41986
1280,1,3,2,6,17,0,0,0,1,0,0,0,0,0,0,2,2,3,1,4,4,4,4,2,4,3,4,4,1,1,1,1,1,1,2,1,3.26386
1281,1,3,1,6,2,1,0,0,0,0,0,0,0,0,0,2,2,2,2,5,2,3,5,2,3,2,4,2,2,1,1,2,2,1,1,9,1.95482
1285,2,3,1,6,24,1,0,0,0,1,0,0,0,0,0,3,1,4,1,5,4,6,6,3,2,2,3,3,1,1,1,1,1,1,1,4,0.54079
1286,1,11,1,6,24,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,4,7,7,1,1,1,1,1,2,2,2,2,2,1,1,10,0.39509
1294,2,11,1,6,24,0,0,0,0,0,0,0,0,1,0,3,1,5,1,5,3,7,5,1,3,4,1,1,1,2,2,2,2,1,1,8,0.59405
1308,1,7,1,6,2,0,0,1,0,0,0,0,0,0,0,3,1,4,1,5,4,7,11,1,3,3,4,3,1,2,1,2,2,1,1,4,1.15168
1312,2,2,4,6,5,0,0,1,0,0,0,0,0,0,0,2,98,3,1,4,5,6,6,2,4,2,4,4,1,2,1,1,2,1,1,4,1.82661
1317,2,8,1,6,5,0,0,1,0,0,0,0,0,0,0,1,,4,1,5,5,7,7,2,2,1,4,3,1,2,2,2,2,1,1,7,0.99897
1322,1,6,1,6,7,0,0,1,0,0,0,0,0,0,0,2,1,2,1,5,5,7,7,4,3,5,5,5,1,1,1,1,2,1,1,4,1.24685
1325,1,6,1,6,27,0,0,1,0,0,0,0,0,0,0,1,,4,1,4,5,7,7,2,3,4,4,3,1,2,1,1,1,1,2,1,1.24685
1327,1,10,2,6,31,0,0,0,0,1,0,0,0,0,0,3,2,5,1,3,5,7,11,1,5,4,4,4,1,2,1,2,2,2,1,6,1.1766
1328,2,5,7,6,29,0,0,0,0,1,0,0,0,0,0,1,,6,2,1,5,4,4,2,4,4,4,3,1,2,1,2,2,1,2,5,1.20956
1335,1,5,1,6,32,0,0,0,1,0,0,0,0,0,0,3,1,4,1,5,4,7,7,2,5,3,4,4,1,1,1,2,2,2,1,4,1.24685
1340,2,7,1,6,29,0,0,1,0,0,0,0,0,0,0,1,,2,1,5,4,7,8,1,4,4,4,3,1,1,1,1,1,1,1,2,0.56561
1348,2,6,2,6,6,0,0,0,0,1,0,0,0,0,0,3,2,6,1,4,5,7,11,1,1,1,2,1,2,2,2,2,2,2,1,11,1.66058
1364,1,9,4,6,27,0,0,0,0,0,0,0,0,1,0,3,1,3,1,5,4,7,3,2,3,4,5,4,2,2,1,1,1,1,1,4,1.1766
1365,1,6,1,6,2,0,0,1,0,1,0,0,0,0,0,1,,5,1,5,4,7,11,1,5,5,5,5,1,1,1,1,2,1,1,2,1.24685
1368,1,4,1,6,29,0,0,1,0,0,0,0,0,0,0,2,2,5,1,5,5,7,6,2,3,4,5,4,1,2,2,1,1,1,1,3,1.42389
1370,2,4,1,6,27,0,0,1,0,0,0,0,0,0,0,3,1,5,1,5,5,7,8,2,2,5,4,4,1,1,2,2,2,1,2,4,0.7034
1372,2,2,1,6,14,1,0,0,0,0,0,0,0,0,0,3,1,4,1,4,3,6,4,2,3,2,2,4,1,2,2,2,2,1,1,8,0.7034
1373,1,2,1,6,16,0,0,1,0,0,0,0,0,0,0,2,2,2,1,5,5,6,7,1,3,2,4,3,1,2,2,1,1,1,1,5,1.47857
1374,2,3,2,6,7,0,0,1,0,0,0,0,0,0,0,1,,5,1,4,5,6,10,1,1,3,4,2,1,1,2,2,2,1,1,6,1.41986
1385,1,7,1,6,16,0,0,0,0,1,0,0,0,0,0,3,1,5,1,5,3,7,7,1,3,2,5,3,1,2,1,1,2,1,1,4,0.8711
1387,2,8,7,6,29,0,0,1,0,0,0,0,0,0,0,1,,5,2,5,4,5,6,2,4,3,5,4,1,1,2,1,2,1,1,3,1.14172
1394,2,3,7,6,6,0,0,1,0,0,0,0,0,0,0,1,,5,1,5,5,5,6,2,4,4,4,4,2,1,2,2,2,2,1,6,1.41986
1402,2,3,4,6,6,0,0,1,0,0,0,0,0,0,0,3,1,5,1,5,5,6,7,2,4,4,4,4,2,2,2,2,2,2,1,7,1.41986
1404,1,5,7,6,13,0,0,1,0,0,0,0,0,0,0,1,,4,1,5,5,5,4,2,5,5,5,5,2,2,2,2,2,2,2,7,2.0818
1413,1,10,1,6,32,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,3,7,8,1,2,2,4,2,1,2,1,2,2,1,1,7,0.7047
1415,1,7,2,6,29,0,0,0,0,1,0,0,0,0,0,3,2,4,1,3,5,7,4,2,4,3,4,3,1,1,1,2,2,2,1,6,1.40063
1419,2,5,2,6,21,0,0,1,0,0,0,0,0,0,0,2,1,5,1,2,5,7,8,4,1,3,5,1,1,2,1,2,2,1,1,8,1.66058
1420,1,6,1,6,24,0,0,1,0,0,0,0,0,0,0,3,1,3,1,5,4,7,6,3,2,2,1,2,1,2,2,2,2,1,1,10,0.95861
1433,1,8,1,6,30,0,0,1,0,0,1,0,0,0,0,1,,5,2,5,2,4,6,1,5,5,5,5,1,2,1,1,1,1,2,1,1.15168
1435,2,7,6,6,7,0,0,1,0,0,0,0,0,0,0,2,98,5,1,4,5,6,8,2,4,4,4,2,1,2,2,2,2,1,1,6,1.56745
1442,1,9,1,6,23,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,3,7,7,1,4,3,4,3,1,2,1,1,1,1,2,1,0.7047
1444,2,1,4,6,12,0,0,0,0,1,0,0,0,0,0,1,,2,1,5,5,5,11,2,2,5,4,4,1,2,1,2,2,1,1,6,1.41986
1449,2,2,1,6,13,1,0,0,1,0,0,0,0,0,0,3,1,3,1,5,4,6,3,3,2,2,3,2,1,2,1,2,1,2,2,8,0.7034
1462,2,13,7,6,31,0,0,0,0,0,0,0,0,1,1,3,1,6,1,3,5,7,10,2,4,2,4,2,2,2,1,1,2,2,1,8,1.55969
1483,2,3,4,6,30,0,0,1,0,0,0,0,0,0,0,1,,5,1,5,5,5,11,1,4,4,5,4,1,2,2,2,2,1,2,4,1.41986
1485,2,5,1,6,5,0,0,1,0,0,0,0,0,0,0,1,,5,1,5,5,7,3,1,5,5,5,5,1,1,1,1,1,1,1,2,1.05833
1492,2,7,1,6,14,0,1,0,0,0,0,0,0,0,0,1,,6,2,5,4,5,6,2,3,3,4,4,1,1,1,1,1,1,2,0,0.77652
1525,2,6,1,6,23,0,0,1,0,0,0,0,0,0,0,3,1,2,1,5,3,7,8,1,3,1,1,2,1,2,1,2,2,1,1,8,0.82266
1528,2,5,7,6,16,0,0,0,1,0,0,0,0,0,0,1,,5,1,4,5,5,5,3,4,1,4,1,2,2,2,2,1,2,2,9,1.25602
1534,2,3,2,6,1,0,0,1,0,0,0,0,0,0,0,3,1,3,1,4,5,5,8,2,4,3,5,4,1,1,2,1,2,1,1,3,1.41986
1537,1,8,1,6,23,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,5,7,8,1,3,2,4,3,1,2,1,2,2,1,1,5,1.15168
1539,1,4,4,6,29,0,0,0,1,0,0,0,0,0,0,3,1,5,1,5,5,6,3,2,2,2,5,3,1,2,1,2,2,1,1,7,2.37739
1551,1,5,7,6,5,0,0,1,0,0,0,0,0,0,0,2,98,5,1,3,3,6,8,2,1,1,2,1,2,2,2,2,2,2,1,12,2.67818
1559,2,2,2,6,30,0,0,0,0,1,0,0,0,0,0,2,2,5,1,3,5,4,3,3,3,4,5,4,1,1,1,1,2,1,1,5,1.41986
1671,2,10,1,6,32,0,1,0,1,1,0,0,0,0,0,3,2,4,1,5,3,7,7,1,5,4,3,3,2,2,2,2,2,1,1,6,0.57891
1674,1,8,2,6,26,0,0,1,0,0,0,0,0,0,0,1,,3,1,2,5,7,9,1,1,5,3,2,1,2,1,2,2,1,1,7,1.92289
1681,1,12,2,6,5,0,0,0,0,0,1,0,0,0,0,3,2,3,1,3,5,7,7,2,4,4,3,3,1,2,2,2,2,2,2,6,1.10381
1685,2,5,4,6,5,0,0,0,0,0,0,1,0,0,0,1,,5,2,5,5,4,3,4,2,4,3,4,1,2,1,1,1,2,2,5,2.13629
1689,2,2,2,6,30,1,0,0,0,0,0,0,0,0,0,1,,5,1,4,5,6,3,2,4,4,5,4,1,2,1,2,2,1,1,5,1.41986
1690,1,13,2,6,33,0,0,0,0,1,0,0,0,0,0,3,2,6,2,4,5,7,11,2,4,3,5,3,2,2,2,2,2,2,1,7,0.85801
1692,1,13,2,6,2,0,0,0,0,0,0,0,0,1,0,1,,2,1,5,5,7,6,1,4,4,3,3,1,1,1,1,1,1,1,2,0.85801
1693,2,8,7,6,22,0,0,1,0,0,0,0,0,0,0,1,,4,1,4,4,7,7,1,4,3,4,4,1,2,1,2,2,2,1,5,1.56745
1701,1,5,1,6,14,0,0,1,0,0,0,0,0,0,0,1,,6,2,5,5,4,9,1,4,3,3,3,1,2,2,1,1,1,2,2,1.24685
1703,1,11,1,6,16,0,0,0,0,0,0,0,0,1,0,3,1,6,1,5,3,7,8,1,4,3,3,3,2,2,2,2,2,1,2,5,0.38869
1704,1,7,4,6,33,0,0,0,0,1,0,0,0,0,0,3,2,3,1,4,5,7,11,1,4,5,5,4,1,1,1,1,1,1,1,1,1.92289
1708,2,6,6,6,13,0,0,1,0,0,0,0,0,0,0,3,1,5,2,4,5,5,8,2,2,2,1,1,2,2,1,2,2,2,2,9,1.66058
1726,2,11,1,6,5,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,4,7,5,1,4,3,4,3,1,1,2,2,1,1,1,4,0.99403
1732,2,2,4,6,32,0,0,1,0,0,0,0,0,0,0,2,98,3,1,4,5,6,3,2,3,3,3,3,2,2,2,2,2,2,2,7,1.41986
1750,1,10,1,6,5,0,0,1,0,0,0,0,0,0,0,1,,7,1,5,5,7,10,1,4,4,4,4,1,2,1,1,2,1,1,3,0.90658
1769,1,8,6,6,14,0,0,0,0,1,0,0,0,0,0,1,,5,1,3,5,7,11,2,3,5,4,3,1,2,1,1,2,1,1,4,1.92289
1772,1,10,2,6,18,0,0,0,0,1,0,0,0,0,0,3,2,3,1,3,5,7,1,2,4,3,3,4,1,2,2,2,2,1,1,7,1.1766
1778,1,9,1,6,2,0,0,1,0,0,0,0,0,0,0,1,,6,1,5,5,7,7,2,3,3,3,3,1,2,2,2,2,1,2,4,0.7047
1783,2,9,1,6,33,0,0,1,0,0,0,0,0,0,0,3,1,5,1,5,3,7,11,1,3,5,3,2,1,1,1,1,2,1,1,3,0.57891
1791,1,6,4,6,18,0,0,1,0,0,0,0,0,0,0,1,,2,1,5,5,7,3,4,3,4,4,5,1,2,1,1,2,1,1,6,2.0818
1796,1,7,1,6,2,0,1,1,0,0,0,0,0,0,0,1,,4,1,5,3,6,7,1,3,4,5,2,1,2,2,1,2,1,2,4,1.15168
1801,2,11,1,6,5,0,0,0,0,0,0,0,0,1,0,1,,6,1,5,3,7,7,2,3,3,4,4,1,1,1,1,2,1,1,2,0.99403
1803,1,9,7,6,33,0,0,0,0,1,0,0,0,0,0,3,98,6,1,3,4,7,7,2,4,4,3,3,1,2,1,2,2,1,1,5,1.1766
1817,2,3,1,6,29,0,0,1,0,0,0,0,0,0,0,2,1,5,1,5,5,6,6,1,5,4,4,5,1,2,1,1,1,1,2,1,0.51236
1835,1,12,2,6,7,0,0,0,0,1,0,0,0,0,0,3,2,5,1,2,5,7,7,1,2,5,4,2,1,2,1,2,2,1,1,7,0.85801
1837,1,9,2,6,8,0,0,0,0,1,0,0,0,0,0,3,2,5,2,4,5,7,5,2,5,4,4,4,2,2,2,2,2,2,1,8,1.1766
1840,1,9,1,6,23,0,0,0,0,1,0,0,0,0,0,1,,2,1,5,4,7,8,1,3,2,2,3,1,2,1,1,1,1,1,5,0.7047
1842,1,2,1,6,1,1,0,1,0,0,0,0,0,0,0,3,1,3,1,5,4,6,3,1,3,3,3,4,1,2,2,2,1,1,1,5,1.95482
1846,1,6,6,6,2,0,0,1,0,0,0,0,0,0,0,1,,6,1,4,5,7,5,1,3,4,5,4,2,2,2,2,2,2,1,8,2.0818
1848,2,5,5,6,26,0,0,1,0,0,0,0,0,0,0,2,1,3,1,5,5,6,5,2,4,3,4,3,1,2,1,1,1,1,1,3,1.66058
1854,1,2,4,6,9,1,0,0,0,0,0,0,0,0,0,2,2,5,1,5,5,6,5,3,4,4,4,4,2,2,1,2,2,2,1,8,3.26386
1856,2,3,1,6,32,0,0,0,1,0,0,0,0,0,0,1,,6,1,5,4,4,7,2,2,4,3,3,1,2,2,2,2,1,1,6,0.7034
1859,2,5,2,6,21,0,0,0,0,1,0,0,0,0,0,98,98,5,1,4,5,7,3,2,1,3,3,2,2,2,1,2,2,1,1,8,1.66058
1863,1,6,2,6,5,0,0,0,0,1,0,0,0,0,0,3,98,3,1,5,5,7,5,1,4,3,5,5,1,2,1,2,1,1,1,4,2.67818
1872,2,7,7,6,15,0,0,0,0,1,1,0,0,0,0,1,,5,2,4,4,5,8,1,2,2,3,1,1,2,2,2,2,1,1,8,1.56745
1874,2,7,7,6,5,0,0,0,0,0,0,0,0,0,1,1,,4,2,4,5,5,5,2,3,4,5,3,2,2,1,2,2,2,1,7,2.01647
1890,2,6,1,6,16,0,0,1,0,0,0,0,0,0,0,1,,4,1,5,3,7,10,1,1,4,3,3,2,1,1,1,1,1,2,2,0.62223
1892,1,11,2,6,1,0,0,0,0,1,0,0,0,0,0,3,2,6,1,3,5,7,5,2,3,3,4,2,2,2,2,2,1,1,1,8,0.85801
1893,2,4,1,6,29,1,0,1,1,0,0,1,0,0,0,2,2,5,1,5,4,7,3,1,1,3,1,4,1,2,1,1,1,1,2,4,0.51236
1919,2,8,2,6,7,0,0,1,0,0,0,0,0,0,0,2,2,2,1,4,5,7,7,1,2,2,3,2,2,2,2,1,1,1,1,8,1.56745
1920,2,11,1,6,5,0,0,0,1,0,0,0,0,0,0,1,,5,2,5,4,7,6,2,2,2,4,2,1,2,2,2,2,2,1,9,0.99403
1930,1,8,1,6,24,0,0,0,1,1,0,0,0,0,0,3,2,5,1,5,5,7,4,2,4,4,3,3,1,2,2,2,2,2,1,7,0.88544
1934,1,1,1,6,5,1,0,0,0,0,0,0,0,0,0,1,,2,1,5,5,5,8,1,3,4,5,4,1,2,1,2,1,1,1,4,2.51482
1940,1,3,6,6,21,0,0,1,0,0,0,0,0,0,0,1,,5,1,3,4,3,8,2,3,4,4,3,1,1,1,1,1,1,2,2,3.26386
1942,1,3,4,6,1,0,1,0,1,0,0,0,0,0,0,1,,3,1,5,5,6,7,2,2,4,4,3,1,2,1,1,1,1,2,2,3.26386
1950,1,10,1,6,14,0,0,0,0,0,0,0,0,1,0,3,1,6,1,5,4,7,8,1,2,5,5,3,1,2,1,1,1,1,2,2,0.7047
1952,1,7,1,6,17,0,0,1,0,0,0,0,0,0,0,2,1,7,1,5,5,6,4,1,5,4,5,4,1,2,1,1,1,1,2,2,1.15168
1953,2,3,1,6,24,0,0,1,0,0,0,0,0,0,0,3,1,4,1,5,5,6,6,3,4,5,4,4,1,1,1,2,2,1,1,4,0.54079
1977,2,7,2,6,29,0,0,0,0,0,0,0,1,0,0,1,,3,1,3,5,7,3,4,3,3,4,2,1,2,2,2,2,1,1,9,1.14172
1984,1,8,4,6,30,0,0,0,0,0,0,1,0,0,0,1,,4,1,5,5,7,5,1,4,5,4,4,1,2,1,1,1,1,1,3,1.92289
1987,1,8,4,6,1,0,0,1,0,0,0,0,0,0,0,2,98,5,1,5,5,7,7,1,3,3,4,2,1,2,2,2,2,1,1,6,1.92289
1996,1,11,6,6,22,0,0,0,0,1,0,0,0,0,0,3,2,7,3,4,5,7,11,1,2,3,3,4,1,1,1,1,1,1,1,3,0.85801
2012,1,13,1,6,1,0,0,0,0,0,1,0,1,1,0,3,2,7,1,5,4,7,7,1,3,3,3,2,1,1,1,2,2,1,2,3,0.51389
2016,1,6,4,6,21,0,0,0,0,1,0,0,0,0,0,1,,3,1,5,5,7,5,2,3,4,3,5,1,1,1,2,2,1,1,4,2.0818
2021,2,6,1,6,23,0,0,1,0,0,0,0,0,0,0,3,1,3,1,5,3,7,3,3,4,3,2,2,1,2,1,2,2,1,1,8,0.82266
2022,1,4,4,6,13,1,0,0,0,0,0,0,0,0,0,2,1,3,1,5,5,7,7,2,3,3,5,4,2,2,2,2,2,1,1,6,3.26386
2048,1,12,2,6,14,0,0,0,0,1,0,0,0,0,0,3,2,5,1,3,5,7,3,2,1,3,2,4,1,1,1,2,2,1,1,7,0.85801
2061,1,9,1,6,8,0,0,1,0,0,0,0,0,0,0,3,1,4,1,5,4,7,11,1,4,3,4,4,1,1,1,2,2,1,1,3,0.7047
2062,2,4,4,6,5,0,0,1,0,0,0,0,0,0,0,1,,2,1,3,5,6,5,1,5,5,5,4,1,2,2,2,2,2,1,9,1.82661
2065,1,2,4,6,24,0,1,1,0,1,0,0,0,0,0,3,2,4,1,5,5,6,5,1,3,3,4,3,1,2,1,2,2,1,1,5,2.50932
2067,2,11,2,6,30,0,0,1,0,0,1,0,0,0,0,3,2,6,1,3,5,7,9,2,4,3,4,3,1,2,1,2,2,1,2,4,1.55969
2077,1,7,6,6,32,0,0,0,1,0,0,0,0,0,0,1,,3,1,4,5,7,4,1,4,1,5,2,2,2,2,2,2,1,1,9,1.92289
2086,1,11,6,6,10,0,0,0,0,1,0,0,0,0,0,3,2,3,1,5,5,7,10,1,4,4,4,4,1,1,1,2,2,1,1,3,0.85801
2098,1,5,1,6,30,0,0,0,0,0,1,0,0,0,0,3,2,5,1,5,4,7,11,1,4,3,4,3,1,2,1,2,2,2,2,4,1.24685
2099,2,6,1,6,18,0,0,1,0,0,0,0,0,0,0,3,1,2,1,5,5,7,7,3,2,3,2,3,2,2,1,2,1,1,1,8,0.82266
2102,1,8,1,6,24,0,0,0,1,1,0,0,0,0,0,3,2,3,1,5,3,7,7,2,5,5,3,3,1,1,1,1,1,1,1,1,0.88544
2108,2,6,1,6,16,1,0,0,0,1,0,0,0,0,0,1,,6,1,5,5,7,8,1,4,5,4,4,1,1,1,2,2,1,1,3,0.62223
2155,1,5,7,6,29,0,0,0,1,0,0,0,0,0,0,1,,5,1,5,5,6,2,2,3,3,3,3,2,2,2,2,2,2,1,8,1.51639
2161,2,9,2,6,27,0,0,0,0,1,0,0,0,0,0,3,2,3,3,3,5,7,7,1,4,3,5,4,1,1,1,1,1,1,1,3,1.16856
2167,2,1,6,6,7,1,0,0,0,0,0,0,0,0,0,1,,3,1,5,5,5,9,1,1,4,4,3,1,2,2,2,2,1,1,6,1.41986
2179,1,2,4,6,14,1,0,0,0,0,0,0,0,0,0,1,,5,1,5,4,3,5,2,4,5,4,4,1,1,1,2,1,1,1,4,3.26386
2188,2,4,2,6,15,0,0,1,0,0,0,0,0,0,0,2,1,6,3,1,5,2,10,1,4,3,4,3,2,2,2,2,2,1,1,9,1.41986
2199,1,3,6,6,5,0,0,0,0,0,0,0,1,0,0,3,1,2,1,3,4,5,7,2,3,3,3,3,1,2,1,1,1,1,1,4,4.19885
2217,1,10,2,6,15,0,0,0,0,1,0,0,0,1,0,3,2,5,2,3,5,6,5,2,3,5,4,5,1,1,1,1,2,1,1,4,1.1766
2219,2,4,1,6,1,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,4,7,11,1,3,4,4,1,1,2,2,2,2,1,1,6,0.7034
2220,1,11,1,6,4,0,0,1,0,0,1,0,0,0,0,3,2,5,1,5,5,7,11,1,4,4,4,5,1,1,1,1,2,1,2,1,0.51389
2236,1,4,1,6,26,0,0,1,0,0,0,0,0,0,0,2,98,3,1,5,5,7,6,2,4,4,3,3,1,2,1,1,2,1,1,3,1.95482
2238,1,4,1,6,29,0,0,0,1,1,0,0,0,0,0,3,98,6,1,5,5,7,11,1,4,3,5,4,1,2,1,1,1,1,1,2,1.42389
2247,2,8,1,6,24,0,0,1,0,0,0,0,0,0,0,1,,5,1,4,3,7,5,3,3,4,3,4,2,2,2,2,2,2,1,9,0.597
2256,2,6,1,6,24,0,0,0,1,0,0,0,0,0,0,2,98,5,1,5,4,7,7,2,1,3,3,2,1,2,2,2,2,2,2,7,0.63248
2263,1,7,2,6,15,1,1,1,1,1,1,1,1,1,0,3,2,6,1,5,5,7,11,1,2,4,4,2,1,1,1,1,1,1,2,2,1.92289
2269,2,8,1,6,31,0,0,0,0,0,0,0,1,0,0,1,,4,1,5,2,7,11,2,3,4,4,2,1,2,1,2,2,1,1,5,0.77652
2282,1,3,1,6,23,1,0,0,0,0,0,0,0,0,0,2,98,5,1,5,3,6,4,1,3,3,2,2,2,2,1,1,1,1,2,5,1.95482
2284,2,7,1,6,16,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,4,7,6,1,2,2,3,2,1,2,2,2,2,1,1,8,0.58734
2285,2,4,1,6,1,0,0,1,0,0,0,0,0,0,0,1,,4,1,5,5,7,9,2,4,4,4,5,1,1,1,1,1,1,2,0,0.7034
2300,1,9,2,6,10,0,0,0,0,1,0,0,0,0,0,1,,6,1,5,5,7,11,1,5,4,4,3,1,2,1,2,2,1,2,3,1.1766
2302,1,11,1,6,23,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,3,7,8,1,5,3,4,5,1,2,1,1,1,1,1,2,0.51389
2312,1,12,1,6,6,0,0,0,0,1,0,0,0,0,0,3,2,3,3,5,5,6,4,2,2,2,2,2,1,2,2,2,2,1,1,11,0.51389
2314,1,5,5,6,30,0,0,0,0,0,0,1,0,0,0,1,,5,2,5,5,4,1,1,2,4,3,3,2,2,1,2,1,1,1,6,2.0818
2315,2,6,1,6,32,0,0,1,0,0,0,0,0,0,0,3,1,5,1,5,4,7,7,2,5,3,4,3,1,2,1,2,2,1,1,4,0.82266
2319,2,2,1,6,24,0,0,1,0,0,0,0,0,0,0,2,98,5,1,5,5,6,7,1,2,3,4,2,1,2,2,1,2,1,1,6,0.54079
2321,1,8,5,6,18,0,0,0,0,0,0,0,0,0,1,2,1,3,2,5,3,6,1,3,4,3,5,4,1,2,2,2,2,1,1,7,1.92289
2332,1,3,1,6,16,0,0,1,0,0,0,0,0,0,0,3,1,2,1,5,4,6,7,1,3,3,3,3,1,1,1,1,1,1,2,1,1.47857
2334,1,2,5,6,5,1,0,0,0,0,0,0,0,0,0,2,1,2,2,5,2,3,1,3,2,4,4,4,1,2,1,2,2,1,2,8,4.19885
2378,2,4,2,6,17,0,1,0,0,0,0,0,0,0,0,3,1,6,2,4,4,2,1,3,3,3,3,3,1,2,1,2,2,2,1,8,1.41986
2430,1,10,7,6,14,0,0,0,0,1,0,0,0,0,0,3,2,5,2,5,5,7,3,2,4,3,5,3,1,2,2,2,2,1,1,6,1.1766
2443,1,6,1,6,14,0,0,0,0,0,0,0,0,0,1,2,98,5,2,5,5,7,2,2,4,4,5,3,1,2,2,1,2,1,1,5,1.24685
2445,2,6,1,6,16,0,0,1,0,0,0,0,0,0,0,2,98,5,1,5,4,7,11,1,4,1,3,1,2,2,2,2,2,2,2,8,0.62223
2447,1,8,6,6,22,0,0,0,0,0,0,0,1,0,0,3,1,3,1,4,5,7,11,1,4,2,4,3,1,2,1,2,2,1,1,5,1.92289
2449,1,9,1,6,24,0,0,0,0,1,0,0,0,1,0,3,2,4,1,5,4,7,10,1,4,1,3,1,1,2,2,2,2,1,1,7,0.54179
2453,1,9,7,6,10,0,0,0,0,1,0,0,1,0,0,3,2,5,1,2,5,7,7,2,3,4,4,5,1,2,1,2,2,1,1,5,1.1766
2455,1,4,5,6,18,0,0,0,1,0,0,0,0,0,0,1,,2,1,4,3,5,3,2,2,4,4,3,1,2,2,1,1,1,2,5,3.26386
2458,1,6,2,6,5,1,0,0,0,0,0,0,0,0,0,2,1,5,1,5,5,7,11,1,1,5,3,4,1,1,1,1,2,1,1,3,2.67818
2463,2,11,1,6,5,0,0,0,0,0,1,0,0,0,0,1,,5,1,5,3,7,9,1,3,3,4,3,1,1,1,2,1,1,2,1,0.99403
2468,1,8,1,6,11,1,0,0,0,1,0,0,0,0,0,3,1,3,1,5,5,7,11,1,5,2,5,2,1,2,2,1,2,1,1,6,1.15168
2481,2,4,1,6,15,0,1,1,0,0,0,0,0,0,0,1,,4,1,5,5,7,7,4,2,2,4,2,1,2,1,2,2,1,1,8,0.7034
2485,2,3,1,6,30,0,0,1,0,0,0,1,0,0,0,2,2,5,1,5,3,6,4,3,4,3,4,3,1,2,1,2,2,1,1,6,0.7034
2501,2,8,1,6,32,0,0,0,0,1,0,0,0,0,0,3,2,3,1,5,5,7,1,4,4,4,5,4,1,2,1,1,1,1,1,4,0.77652
2503,1,9,1,6,21,0,0,0,0,0,1,0,0,0,0,3,2,3,1,4,4,7,11,1,4,4,4,4,1,1,1,1,1,1,2,0,0.7047
2510,2,9,1,6,20,0,0,0,0,0,1,0,0,0,0,3,2,5,1,5,4,7,11,1,2,5,3,2,1,2,1,1,1,1,2,3,0.57891
2511,1,3,4,6,4,0,1,0,0,0,0,0,0,0,0,1,,3,1,4,3,6,5,2,3,2,3,4,1,2,1,1,2,2,1,6,3.26386
2512,2,5,1,6,15,0,0,1,0,0,0,0,0,0,0,3,1,5,1,4,3,7,4,3,1,2,3,3,1,2,1,1,2,1,1,7,0.82266
2513,2,7,2,6,30,0,0,1,0,0,0,0,0,0,0,2,98,3,1,3,5,7,7,1,3,2,3,1,2,2,2,2,2,2,1,10,1.56745
2514,1,4,2,6,15,0,0,1,0,0,0,0,0,0,0,1,,5,1,4,5,7,9,1,4,4,4,4,2,2,2,1,2,1,1,5,3.26386
