ID_BASSIN,NUM_DISTRICT,ARRONDISSEMENT,NOM_DISTRICT,NOM_BASSIN
287,132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE CHARLES-BRUNEAU-Gymnase"
288,132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE MADELEINE-DE-VERCHÈRES-Gymnase"
291,132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE SANS-FRONTIÈRES-Gymnase"
292,132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","COLLÈGE DE ROSEMONT (CEGEP)-Gymnase"
295,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-JEAN-DE-BRÉBEUF-Gymnase"
296,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE MASSON-Salle 2e étage"
297,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE ST-JEAN-DE-LA-LANDE ANNEXE-Gymnase"
300,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE MASSON-Salle 1er étage"
265,122,"Rivière-des-Prairies-Pointe-aux-Trembles","Pointe-aux-Trembles","ÉGLISE SAINT-MARCEL-"
380,171,"Verdun","Champlain–L’Île-des-Sœurs","VERRIÈRES I-Hall d'entrée"
381,171,"Verdun","Champlain–L’Île-des-Sœurs","VERRIÈRES IV-Hall d'entrée"
382,171,"Verdun","Champlain–L’Île-des-Sœurs","EVOLO 2-Salle commune"
386,171,"Verdun","Champlain–L’Île-des-Sœurs","AUDITORIUM DE VERDUN-Hall 2e étage"
387,171,"Verdun","Champlain–L’Île-des-Sœurs","CENTRE DE FORMATION PROFESSIONNELLE DE VERDUN-Cafétéria"
389,172,"Verdun","Desmarchais-Crawford","ÉCOLE RIVERVIEW-Gymnase"
397,172,"Verdun","Desmarchais-Crawford","ÉCOLE DES COQUELICOTS-Gymnase"
396,172,"Verdun","Desmarchais-Crawford","MAIRIE DE L'ARRONDISSEMENT DE VERDUN-Salle du Conseil"
403,181,"Ville-Marie","Peter-McGill","GRAND SÉMINAIRE DE MONTRÉAL-Parloir"
408,182,"Ville-Marie","Saint-Jacques","COMITÉ SOCIAL CENTRE-SUD-"
406,182,"Ville-Marie","Saint-Jacques","CEGEP DU VIEUX-MONTRÉAL-Hall d'entrée"
407,182,"Ville-Marie","Saint-Jacques","HOLIDAY INN MONTREAL CENTRE-VILLE-Salle Narcisse A et B"
411,182,"Ville-Marie","Saint-Jacques","ÉDIFICE CHAUSSEGROS-DE-LÉRY-Hall d'entrée"
