Fonds_gestion,Cofinancement,Annee_financiere,Debut_financement,Titulaire,Dossier,Etablissement,Pays_etablissement,Province_etablissement,Categorie_de_financement,Programme,Code_programme,Programme_volet,Code_volet,Montant_recherche,Frais_indirects,Montant_total,Domaine_de_recherche,Objet_de_recherche_1,Objet_de_recherche_2,Champs_application_1,Champs_application_2,Mots_cles
FRQNT,,2018-2019,2015-2016,"HYVRIER, CLÉMENT",195120,Cégep de Saint-Laurent,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,47000,0,47000,Structures abstraites,,,,,
FRQNT,,2018-2019,2015-2016,"BOUTIN, YVAN",195129,Cégep de Lévis-Lauzon,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Nature et interactions de la matière,,,,,
FRQNT,,2018-2019,2015-2016,"LEMAY, JEAN-FRANÇOIS",195130,Cégep de Shawinigan,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Nature et interactions de la matière,,,,,
FRQNT,,2018-2019,2015-2016,"POIRIER, DANIEL",195138,Cégep de Saint-Jérôme,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Matériaux,,,,,
FRQNT,,2018-2019,2015-2016,"MALTAIS, ANNE",195139,Collège de Maisonneuve,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Matériaux,,,,,
FRQNT,,2018-2019,2015-2016,"VUILLAUME, PASCAL",195140,Cégep de Thetford,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Matériaux,,,,,
FRQNT,,2018-2019,2015-2016,"VERMEERSCH, OLIVIER",195142,Cégep de Saint-Hyacinthe,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Matériaux,,,,,
FRQNT,,2018-2019,2014-2015,"GINGRAS, DENIS J. V.",195282,Université de Sherbrooke,CANADA,Québec,Bourses et stages de formation,Stages Accélération Québec,AQ,Stages Accélération Québec,AQ,5000,0,5000,"Techniques, mesures et systèmes",Équipements de transport,,Transport,,véhicules intelligents  // systèmes de transport intelligents // simulateur
FRQNT,,2018-2019,2014-2015,"GINGRAS, DENIS J. V.",195300,Université de Sherbrooke,CANADA,Québec,Bourses et stages de formation,Stages Accélération Québec,AQ,Stages Accélération Québec,AQ,10000,0,10000,"Techniques, mesures et systèmes",Robotique et automatisation,Systèmes d'information ,Transport,Technologies des communications et de l'information,système de transport intelligent // conduite automatisée // validation ADAS // capteurs embarqués // voitures intelligentes
FRQNT,,2018-2019,2015-2016,"CLOUTIER, CONRAD",195500,Université Laval,CANADA,Québec,Subventions de recherche,Projets de recherche orientée en partenariat,PRO,Projets de recherche orientée en partenariat / Agriculture nordique au Saguenay-Lac-Saint-Jean - II,0SN,9200,2484,11684,Organismes vivants ,Animal,Production et contrôle des insectes,Fondements et avancement des connaissances,Ressources naturelles,drosophile à ailes tachetées // bleuet nain // lutte intégrée // modélisation du risque d'infestation // seuil d'intervention // écologie saisonnière // bleuet // lutte intégrée // modélisation du risque d'infestation // drosophile à ailes tachetées // seuil d'intervention // écologie saisonnière
