IDENT_INTRT;NO_SEQ_DOCUM;DATE_ANC_COMMI;COD_MUNI_LIEU;TYP_DOCUM_INTRT;CODE_LOI_REGLEMENT;NO_ARTCL_L_R;COD_TYP_RESP_INFRA;COD_TYP_VEH_INFRA;DESC_TYP_VEH_INFRA;DESCN_CAT_INFRA;VL_CONF_PRMSE;VL_NCONF_CNTT 
DI99992BHXM300;3;2022-09-21;;ANC;c.P-30.3;5;PR;VL;Véhicule lourd;Règlement sur les PEVL;;
DI99992BHXM300;4;2022-09-21;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992BHXM300;5;2022-09-21;;ANC;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;
DI99992BHXM300;6;2022-09-21;;ANC;c.C-24.2;225;EX;VL;Véhicule lourd;Équipement;;
DI99992BHXM300;7;2022-09-21;;ANC;c.C-24.2;519.4;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992BKVM300;2;2022-09-12;;ANC;c.C-24.2;519.20;EX;VL;Véhicule lourd;Heures de conduite;;
DI99992BO3N300;1;2022-10-19;;ANC;c.C-24.2;519.4.1;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992BO3N300;2;2022-10-19;;ANC;c.C-24.2;519.4;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992BOFN300;1;2022-12-13;;ANC;c.C-24.2;423;CO;VR;Véhicule routier;Règles de circulation;;
DI99992BWZM300;2;2022-09-29;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992BWZM300;3;2022-09-29;;ANC;c.C-24.2;471;CO;VR;Véhicule routier;Arrimage;;
DI99992BX9N300;1;2022-11-17;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992C1IN300;1;2022-12-28;;ANC;c.C-24.2;470.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99992C6GM300;3;2022-06-13;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99992C6GM300;4;2022-06-13;;ANC;c.C-24.2;471;EX;VL;Véhicule lourd;Arrimage;;
DI99992CACN300;2;2022-11-28;;ANC;c.C-24.2;523;PR;VL;Véhicule lourd;Vérification mécanique (fréquence);;
DI99992CBQL300;1;2022-01-14;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992CDAN300;1;2022-11-19;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992CIKM300;3;2022-07-05;;ANC;c.T-12;4;EX;VL;Véhicule lourd;Documents d'expédition;;
DI99992CJ6N300;1;2022-11-01;;ANC;c.C-24.2;471;CO;VR;Véhicule routier;Arrimage;;
DI99992CMGN300;2;2022-12-15;;ANC;c.C-24.2;519.4;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992CMGN300;3;2022-12-15;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992CMGN300;6;2022-12-15;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992CNUL300;2;2022-02-09;;ANC;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;
DI99992CPEN300;1;2022-12-08;;ANC;c.T-11.2;73;PR;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;
DI99992CREM300;2;2022-06-07;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992CREM300;3;2022-06-07;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992CREM300;4;2022-06-07;;ANC;c.C-24.2;225;PR;VL;Véhicule lourd;Équipement;;
DI99992CSCN300;1;2022-11-30;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992CVAN300;1;2022-11-22;;ANC;c.C-24.2;299;CO;VR;Véhicule routier;Signalisation routière;;
DI99992CWOL300;1;2022-01-06;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992CWOL300;2;2022-01-06;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992CWOL300;3;2022-01-06;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99992CWOL300;5;2022-01-06;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992CWOL300;6;2022-01-06;;ANC;c.C-24.2;519.6;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992CWOL300;7;2022-01-06;;ANC;c.C-24.2;513;CO;EN;Ensemble de véhicules routiers;Permis spécial;;
DI99992D1JM300;2;2022-06-28;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992D2HN300;1;2022-12-19;;ANC;c.C-24.2;361;CO;VR;Véhicule routier;Règles de circulation;;
DI99992D4HM300;2;2022-06-16;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992D81N300;2;2022-10-07;;ANC;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge axiale;34000;36090
DI99992DFZL300;1;2022-02-25;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992DGLM300;1;2022-07-11;;ANC;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;
DI99992DP3M300;3;2022-03-25;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992DP3M300;4;2022-03-25;;ANC;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge totale;13980;14900
DI99992DQ1N300;3;2022-10-11;;ANC;c.C-24.2;471;EX;VL;Véhicule lourd;Arrimage;;
DI99992DQ1N300;4;2022-10-11;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992DQ1N300;5;2022-10-11;;ANC;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;
DI99992DQ1N300;6;2022-10-11;;ANC;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;
DI99992DQ1N300;7;2022-10-11;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992DQ1N300;8;2022-10-11;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992DSDM300;3;2022-05-31;;ANC;c.C-24.2;326.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99992DSDM300;4;2022-05-31;;ANC;c.C-24.2;636;CO;VR;Véhicule routier;Autres;;
DI99992DUPL300;1;2022-01-12;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992DUPL300;2;2022-01-12;;ANC;c.C-24.2;424;CO;VR;Véhicule routier;Règles de circulation;;
DI99992DUPL300;3;2022-01-12;;ANC;c.C-24.2;32;PR;VR;Véhicule routier;Immatriculation;;
DI99992DXZL300;1;2022-03-01;;ANC;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;
DI99992DYLM300;1;2022-07-13;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992DYXM300;1;2022-09-22;;ANC;c.C-24.2;471;EX;VL;Véhicule lourd;Arrimage;;
DI99992DZ7N300;1;2022-11-08;;ANC;c.C-24.2;329;CO;VR;Véhicule routier;Règles de circulation;;
DI99992E0IN300;1;2022-12-28;;ANC;c.C-24.2;470.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99992E6EN300;1;2022-12-06;;ANC;c.T-11.2;73;PR;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;
DI99992E7SL300;1;2022-01-25;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992E8QM300;1;2022-08-10;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992EB0M300;1;2022-03-02;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992EEMM300;2;2022-07-16;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992EEMM300;3;2022-07-16;;ANC;c.C-24.2;310;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992EEMM300;4;2022-07-16;;ANC;c.C-24.2;519.4.1;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992EEMM300;5;2022-07-16;;ANC;c.C-24.2;519.4;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992EEMM300;6;2022-07-16;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992EEMM300;7;2022-07-16;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992EGYL300;1;2022-02-21;;ANC;c.C-24.2;98;CO;VR;Véhicule routier;Permis de conduire;;
DI99992EHWM300;6;2022-09-15;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992ENSM300;1;2022-08-25;;ANC;c.T-1;50.0.6;;;;Permis IFTA;;
DI99992ENSM300;2;2022-08-25;;ANC;c.C-24.2;519.36;PR;VL;Véhicule lourd;Immatriculation;;
DI99992ENSM300;3;2022-08-25;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992ENSM300;4;2022-08-25;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992EO2N300;1;2022-10-14;;ANC;c.P-30.3;5;EX;VL;Véhicule lourd;Règlement sur les PEVL;;
DI99992EO2N300;2;2022-10-14;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992EO2N300;3;2022-10-14;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992EQ2M300;1;2022-03-25;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992EQ2M300;2;2022-03-25;;ANC;c.C-24.2;473;PR;VR;Véhicule routier;Dimension;;
DI99992ERCN300;1;2022-11-30;;ANC;c.C-24.2;519.4;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992ETOM300;1;2022-08-01;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992F1HN300;1;2022-12-19;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992F1HN300;2;2022-12-19;;ANC;c.C-24.2;239;PR;VR;Véhicule routier;Équipement;;
DI99992F5TL300;1;2022-01-31;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992F5TL300;2;2022-01-31;;ANC;c.C-24.2;265;EX;VL;Véhicule lourd;Équipement;;
DI99992F71N300;2;2022-10-06;;ANC;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;
DI99992F71N300;3;2022-10-06;;ANC;c.C-24.2;646;CD;VL;Véhicule lourd;Matières dangereuses;;
DI99992F71N300;4;2022-10-06;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992F71N300;5;2022-10-06;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992F9PM300;1;2022-08-04;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992F9PM300;3;2022-08-04;;ANC;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge totale;57500;58710
DI99992FFLM300;1;2022-07-11;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI99992FIJM300;2;2022-06-29;;ANC;c.C-24.2;50;CO;VR;Véhicule routier;Immatriculation;;
DI99992FOFM300;2;2022-06-09;;ANC;c.T-1;50.0.6;;;;Permis IFTA;;
DI99992FP1N300;1;2022-10-11;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992FXXM300;1;2022-04-28;;ANC;c.C-24.2;471;CO;VR;Véhicule routier;Arrimage;;
DI99992G2GN300;1;2022-12-14;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992G80N300;1;2022-10-03;;ANC;c.C-24.2;513;AU;VR;Véhicule routier;Permis spécial;;
DI99992GAOM300;1;2022-07-27;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992GFYL300;2;2022-02-21;;ANC;c.C-24.2;310;CO;VR;Véhicule routier;Signalisation routière;;
DI99992GRQL300;1;2022-01-18;;ANC;c.C-24.2;423;CO;VR;Véhicule routier;Règles de circulation;;
DI99992GYKM300;4;2022-07-07;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992HAPL300;1;2022-01-10;;ANC;c.C-24.2;225;PR;VL;Véhicule lourd;Équipement;;
DI99992HBZM300;1;2022-09-28;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992HDZL300;2;2022-02-24;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992HELM300;2;2022-07-11;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992HELM300;3;2022-07-11;;ANC;c.T-1;50.0.8;;;;Permis IFTA;;
DI99992HHJM300;1;2022-06-29;;ANC;c.C-24.2;257.1;PR;VL;Véhicule lourd;Équipement;;
DI99992HKTM300;1;2022-08-31;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99992HKTM300;2;2022-08-31;;ANC;c.C-24.2;636;CO;VR;Véhicule routier;Autres;;
DI99992HODN300;1;2022-12-04;;ANC;c.T-11.2;55;CQ;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;
DI99992HSPL300;1;2022-01-12;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992HTZM300;4;2022-09-29;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99992HTZM300;5;2022-09-29;;ANC;c.C-24.2;471;EX;VL;Véhicule lourd;Arrimage;;
DI99992I42N300;2;2022-10-12;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99992I42N300;3;2022-10-12;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99992I6QM300;2;2022-08-10;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992I70N300;2;2022-10-03;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992I8QL300;1;2022-01-14;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99992IAAN300;1;2022-11-18;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992IAAN300;2;2022-11-18;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992IAAN300;3;2022-11-18;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992ICYM300;2;2022-09-26;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992ICYM300;3;2022-09-26;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI99992IG6N300;1;2022-11-01;;ANC;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;
DI99992IJGN300;1;2022-12-15;;ANC;c.C-24.2;406.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99992ILSM300;3;2022-08-25;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992ILSM300;4;2022-08-25;;ANC;c.C-24.2;519.25;EX;VL;Véhicule lourd;Heures de conduite;;
DI99992ILSM300;5;2022-08-25;;ANC;c.C-24.2;646;EX;VL;Véhicule lourd;Matières dangereuses;;
DI99992INSL300;1;2022-01-27;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992IQQL300;1;2022-01-18;;ANC;c.C-24.2;519.15.1;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992IROM300;1;2022-08-01;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992IROM300;2;2022-08-01;;ANC;c.C-24.2;513;CO;EN;Ensemble de véhicules routiers;Permis spécial;;
DI99992ITOL300;2;2022-01-06;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI99992IUMM300;2;2022-07-19;;ANC;c.C-24.2;519.4;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992IWYL300;1;2022-02-23;;ANC;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;
DI99992IXKM300;1;2022-07-07;;ANC;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;
DI99992IXWM300;1;2022-09-19;;ANC;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge axiale;18000;19080
DI99992IXWM300;2;2022-09-19;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99992J4RM300;12;2022-08-16;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992J51N300;2;2022-10-06;;ANC;c.C-24.2;257.1;PR;VL;Véhicule lourd;Équipement;;
DI99992JB9N300;1;2022-11-15;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992JNDN300;2;2022-12-03;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992JQBN300;1;2022-11-25;;ANC;c.C-24.2;228;CD;VL;Véhicule lourd;Équipement;;
DI99992JRPL300;1;2022-01-12;;ANC;c.C-24.2;237;CD;VL;Véhicule lourd;Équipement;;
DI99992JVLM300;2;2022-07-13;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992JZHN300;1;2022-12-28;;ANC;c.C-24.2;474;CO;VR;Véhicule routier;Dimension;;
DI99992K0GN300;2;2022-12-14;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI99992K24M300;3;2022-04-01;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992K6CN300;1;2022-11-28;;ANC;c.C-24.2;216;PR;EN;Ensemble de véhicules routiers;Équipement;;
DI99992K8CM300;2;2022-05-20;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99992KKGM300;1;2022-06-14;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992KKGM300;2;2022-06-14;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992KWKM300;4;2022-07-07;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992KZUM300;4;2022-09-08;;ANC;c.C-24.2;441;CO;VR;Véhicule routier;Équipement;;
DI99992L13N300;1;2022-10-17;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992L1FN300;1;2022-12-08;;ANC;c.C-24.2;32;PR;VR;Véhicule routier;Immatriculation;;
DI99992L2TL300;1;2022-01-31;;ANC;c.C-24.2;326.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99992L3FM300;1;2022-06-07;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992L7BN300;1;2022-11-23;;ANC;c.C-24.2;225;PR;VL;Véhicule lourd;Équipement;;
DI99992L7BN300;2;2022-11-23;;ANC;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;
DI99992LBZL300;1;2022-02-24;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99992LD7N300;4;2022-11-04;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992LD7N300;5;2022-11-04;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992LD7N300;6;2022-11-04;;ANC;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;
DI99992LGHN300;1;2022-12-21;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992LITM300;1;2022-08-30;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992LITM300;2;2022-08-30;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992LJFN300;1;2022-12-12;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99992LKTL300;2;2022-02-02;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992LKTL300;3;2022-02-02;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992LKTL300;4;2022-02-02;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992LLFM300;1;2022-06-09;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992LLRM300;2;2022-08-19;;ANC;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99992LOPM300;1;2022-08-08;;ANC;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;
DI99992LRNM300;1;2022-07-25;;ANC;c.C-24.2;384;AU;VR;Véhicule routier;Règles de circulation;;
DI99992LRNM300;2;2022-07-25;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99992LRNM300;5;2022-07-25;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992LRNM300;6;2022-07-25;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992LRNM300;7;2022-07-25;;ANC;c.C-24.2;519.15.1;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992LRNM300;8;2022-07-25;;ANC;c.C-24.2;54;PR;VR;Véhicule routier;Immatriculation;;
DI99992LRNM300;9;2022-07-25;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992LRNM300;10;2022-07-25;;ANC;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;
DI99992LRNM300;12;2022-07-25;;ANC;c.C-24.2;106;EX;VL;Véhicule lourd;Permis de conduire;;
DI99992LUXM300;4;2022-09-22;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992M22N300;2;2022-10-12;;ANC;c.C-24.2;30;PR;VR;Véhicule routier;Immatriculation;;
DI99992M3SL300;1;2022-01-25;;ANC;c.C-24.2;421.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99992M7OM300;1;2022-07-27;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI99992ME6N300;1;2022-11-01;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992MGIM300;1;2022-06-23;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI99992MHGN300;3;2022-12-15;;ANC;c.T-12;4;EX;VL;Véhicule lourd;Documents d'expédition;;
DI99992MJGM300;2;2022-06-14;;ANC;c.C-24.2;646;CD;VL;Véhicule lourd;Matières dangereuses;;
DI99992MSMM300;3;2022-07-19;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992MZ4N300;1;2022-10-25;;ANC;c.C-24.2;464;CO;HN;Véhicule hors normes;Permis spécial;;
DI99992N03N300;2;2022-10-17;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992N03N300;3;2022-10-17;;ANC;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;
DI99992N8ZM300;1;2022-09-28;;ANC;c.C-24.2;370;CO;VR;Véhicule routier;Règles de circulation;;
DI99992N99N300;1;2022-11-15;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992NBLM300;1;2022-07-09;;ANC;c.C-24.2;646;CD;VL;Véhicule lourd;Matières dangereuses;;
DI99992NBLM300;2;2022-07-09;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99992NBLM300;3;2022-07-09;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99992NBXM300;1;2022-09-20;;ANC;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99992NFHN300;2;2022-12-21;;ANC;c.T-11.2;55;CQ;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;
DI99992NHTM300;1;2022-08-30;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI99992NKFM300;1;2022-06-09;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99992NKFM300;2;2022-06-09;;ANC;c.C-24.2;32;CO;VR;Véhicule routier;Immatriculation;;
DI99992NMRL300;1;2022-01-21;;ANC;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;
DI99992NR9N300;1;2022-11-17;;ANC;c.C-24.2;471;EX;VL;Véhicule lourd;Arrimage;;
DI99992NTLM300;1;2022-07-13;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99992NW7M300;1;2022-04-27;;ANC;c.T-12;4;EX;VL;Véhicule lourd;Documents d'expédition;;
DI99992NZ5M300;3;2022-04-13;;ANC;c.C-24.2;513;CO;VR;Véhicule routier;Permis spécial;;
DI99992NZTM300;1;2022-09-01;;ANC;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;
DI99992NZTM300;2;2022-09-01;;ANC;c.C-24.2;27;AU;VR;Véhicule routier;Immatriculation;;
DI99992O0GM300;3;2022-06-10;;ANC;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992O9AM300;1;2022-05-10;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99992O9AM300;2;2022-05-10;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992O9YM300;2;2022-09-26;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992OA8N300;1;2022-11-09;;ANC;c.C-24.2;37;AU;VR;Véhicule routier;Immatriculation;;
DI99992OCKM300;1;2022-07-05;;ANC;c.C-24.2;443.2;CO;VR;Véhicule routier;Règles de circulation;;
DI99992OFIM300;2;2022-06-23;;ANC;c.C-24.2;239;PR;VR;Véhicule routier;Équipement;;
DI99992OFIM300;3;2022-06-23;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992OFIM300;4;2022-06-23;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99992OFIM300;5;2022-06-23;;ANC;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;
DI99992OFIM300;6;2022-06-23;;ANC;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;
DI99992OFIM300;7;2022-06-23;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99992OFIM300;8;2022-06-23;;ANC;c.C-24.2;519.15.1;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992OFIM300;9;2022-06-23;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99992OFIM300;10;2022-06-23;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
