NAC,Nom_collection,AR,TI,DFP,MED,MA,SUP,TF,Tirage,Hauteur,Hauteur_exterieur,Largeur,Largeur_exterieur,Profondeur,Profondeur_exterieur,Diametre_exterieur
"2005.014","Collection permanente","Fauteux-Massé, Henriette","Monde Lumières no 8","1966","gouache","","carton","","","82.7","","54.9","","","",""
"2005.015","Collection permanente","Fauteux-Massé, Henriette","(Femme d'aujourd'hui) Le cercle dans notre univers","1967","huile; gesso","","toile","","","76.3","","127","","","",""
"2005.016","Collection permanente","Fauteux-Massé, Henriette","(Terre des Hommes) Le cercle dans notre univers no 1","1967","huile; gesso","","toile","","","127.2","","76","","","",""
"2005.017","Collection permanente","Fauteux-Massé, Henriette","Été-Automne","1958","gouache","","carton","","","100","","75","","","",""
"2005.018","Collection permanente","Fauteux-Massé, Henriette","Sans-titre (Égypte)","1966 c","gouache","","carton","","","101.5","","76","","","",""
"2005.019","Collection permanente","Fauteux-Massé, Henriette","Forces-Unies","1954","huile","","toile","","","102","","71","","","",""
"2005.020","Collection permanente","Fauteux-Massé, Henriette","Dolmen","1959","gouache","","carton","","","74","","41.2","","","",""
"2005.021","Collection permanente","Fauteux-Massé, Henriette","Hiver","1956","gouache","","masonite","","","98","","56.5","","","",""
"cdo.2005.022","Collection documentaire","Back, Frédéric","Le navigateur","","","","","","","20.5","","14","","","",""
"2005.023","Collection permanente","Derouin, René","Les jouets du pantin","1967","encre","","papier","eau-forte","10-sept","38","","57","","","",""
"2005.024","Collection permanente","Derouin, René","20-nov-74","1974","encre","","papier","sérigraphie","23/30","65","","50.5","","","",""
"cdi.2005.001","Collection didactique","Derouin, René","Julie et ses amis","1976","encre","","papier","sérigraphie","12/20","102","","65","","","",""
"cdi.2005.002","Collection didactique","Derouin, René","Maman y neige encore ce matin","1976","encre","","papier","sérigraphie","17/25","102","","65","","","",""
"cdi.2005.003","Collection didactique","Derouin, René","Rentrons à la maison","1976","encre","","papier","gravure sur bois","É.A. I/V ","102","","65","","","",""
"2005.032","Collection permanente","Derouin, René","Suite Baskatong II","1977","encre","","papier","gravure sur bois","7/25","56","","76","","","",""
"2005.029","Collection permanente","Derouin, René","Grands Remous","1977","encre","","papier","gravure sur bois","b.g. : EA III/V","76","","56","","","",""
"2005.030","Collection permanente","Derouin, René","Gatineau","1977","encre","","papier","gravure sur bois","EC II/III ","75.5","","56","","","",""
"2005.031","Collection permanente","Derouin, René","Gravelière","1977","encre","","papier","gravure sur bois","É.A.III/V","76","","55.5","","","",""
"p.2005.009","Collection de prêt","Derouin, René","Suite Cacouna III","1978","encre","","papier","gravure sur bois","3/25","56","","76","","","",""
"p.2005.010","Collection de prêt","Derouin, René","Nottaway","1979","encre","","papier","gravure sur bois","19/40","76","","56","","","",""
"p.2005.011.1","Collection de prêt","Derouin, René","Tryptique Mexico I","1989","encre","","papier","gravure sur bois","6/10","76","","56","","","",""
"p.2005.011.2","Collection de prêt","Derouin, René","Tryptique Mexico II","1989","encre","","papier","gravure sur bois","6/10","76","","56","","","",""
"p.2005.011.3","Collection de prêt","Derouin, René","Tryptique Mexico III","1989","encre","","papier","gravure sur bois","8/10","76","","56","","","",""
"p.2005.011.4","Collection de prêt","Derouin, René","Tryptique Mexico IV","1989","encre","","papier","gravure sur bois","2/10","76","","56","","","",""
"p.2005.011.5","Collection de prêt","Derouin, René","Tryptique Mexico V","1989","encre","","papier","gravure sur bois","2/10","76","","56","","","",""
"p.2005.011.6","Collection de prêt","Derouin, René","Tryptique Mexico VI","1989","encre","","papier","gravure sur bois","2/10","76","","56","","","",""
"p.2005.011.7","Collection de prêt","Derouin, René","Tryptique Mexico VII","1989","encre","","papier","gravure sur bois","2/10","76","","56","","","",""
"2005.035","Collection permanente","Côté, Richard","Capteur d'oeuvres","2005","","tubulure d'aluminium galvanisée; toile translucide","","","","243.84","","213.36","","","",""
"2006.001","Collection permanente","Lemoyne, Serge","Non titré","1965","gouache ?","","papier","","","66.2","","50.5","","","",""
"cdi.2006.012","Collection didactique","Pellan, Alfred","Graffiti","1973","encre","","papier","sérigraphie","","56","","50","","","",""
"2006.003","Collection permanente","Pellan, Alfred","Mini-J","1975","encre","","papier","sérigraphie","","55","","67","","","",""
"2006.004","Collection permanente","Pellan, Alfred","Fabien","1971","encre","","papier","sérigraphie","78/100","65","86.5","50","71.2","","3",""
"2006.005","Collection permanente","Pellan, Alfred","Viola","1971","encre","","papier","sérigraphie","78/100","65","86.5","50","71.2","","3",""
"2006.006","Collection permanente","Pellan, Alfred","Officier","1971","encre","","papier","sérigraphie","78/100","65","86.5","50","71.2","","3",""
"p.2006.004","Collection de prêt","Saint-Charles, Joseph","Rivière-du-Nord","c.1930","huile","","masonite","","","","38","","43.7","","4.9",""
"p.2006.005","Collection de prêt","Saint-Charles, Joseph","La Baie ","","huile","","bois","","","","37.4","","46","","4",""
"cdi.2006.011","Collection didactique","Létourneau, Lise; Cambell, Wanda","Roches nomades","2001","","roche, bouteille de vin, ustensil, assiette","","","","","","","","","",""
"p.2006.011.1","Collection de prêt","Beaulieu, Paul-Vanier","Nature morte aux fruits","1950 c","encre","","papier","eau-forte","","32.5","","25","","","",""
"p.2006.011.2","Collection de prêt","Beaulieu, Paul-Vanier","Coings","1948","encre","","papier","lithographie","","31.7","","24.5","","","",""
"p.2006.011.3","Collection de prêt","Beaulieu, Paul-Vanier","Femme","1954 c","encre","","papier","eau-forte","21/30","32.5","","25.5","","","",""
"p.2006.011.4","Collection de prêt","Beaulieu, Paul-Vanier","Grenade","1950 c","encre","","papier","eau-forte","épreuve d'artiste","33","","25","","","",""
"p.2006.011.5","Collection de prêt","Beaulieu, Paul-Vanier","Masque et potiche","1953 c","encre","","papier","eau-forte","épreuve","25","","32.5","","","",""
"p.2006.011.6","Collection de prêt","Beaulieu, Paul-Vanier","Jeune fille au chignon","1953 c","encre","","papier","eau-forte; monotype","","32.5","","25","","","",""
"p.2006.011.7","Collection de prêt","Beaulieu, Paul-Vanier","Profil","1951 c","encre","","papier","eau-forte; monotype","","32.5","","25","","","",""
"p.2006.011.8","Collection de prêt","Beaulieu, Paul-Vanier","Pinceaux de l'artiste","1944","encre","","papier","eau-forte; monotype","","32.2","","25","","","",""
"p.2006.011.9","Collection de prêt","Beaulieu, Paul-Vanier","Le rêveur","1955 c","encre","","papier","eau-forte","","33","","25","","","",""
"p.2006.011.10","Collection de prêt","Beaulieu, Paul-Vanier","Rivière-du-nord","1945 c","encre","","papier","pointe-sèche","","19.5","","28","","","",""
"p.2006.011.11","Collection de prêt","Beaulieu, Paul-Vanier","Portrait","1955 c","encre","","papier","eau-forte; monotype","","32.5","","25","","","",""
"p.2006.011.12","Collection de prêt","Beaulieu, Paul-vanier","Profil en Provence","1951 c","encre","","papier","eau-forte; monotype","","32","","25","","","",""
"p.2006.011.13","Collection de prêt","Beaulieu, Paul-Vanier","Jeune fille","1958 c","encre","","papier","eau-forte","","33","","25","","","",""
"p.2006.011.14","Collection de prêt","Beaulieu, Paul-Vanier","Poire","1950 c","encre","","papier","eau-forte","","24","","29.5","","","",""
"p.2006.011.15","Collection de prêt","Beaulieu, Paul-Vanier","Nature morte au pichet","1953 c","encre","","papier","eau-forte","","28","","38","","","",""
"p.2006.011.16","Collection de prêt","Beaulieu, Paul-Vanier","Provençale dans le paysage","1951 c","encre","","papier","eau-forte","b.g. : 25/30","28","","38","","","",""
"p.2006.011.17","Collection de prêt","Beaulieu, Paul-Vanier","Portrait de jeune femme","1952 c","encre","","papier","eau-forte; monotype","","33.5","","28.5","","","",""
"p.2006.011.18","Collection de prêt","Beaulieu, Paul-Vanier","Branche de pommier","1948","encre","","papier","eau-forte","","38.5","","28","","","",""
"p.2006.011.19","Collection de prêt","Beaulieu, Paul-Vanier","Nature morte aux coings","1948","encre","","papier","eau-forte","","28","","38","","","",""
"p.2006.011.20","Collection de prêt","Beaulieu, Paul-Vanier","Trois saltimbanques et plume","1954","encre","","papier","eau-forte","","32.5","51.3","50","70.5","","3",""
"p.2006.011.21","Collection de prêt","Beaulieu, Paul-Vanier","Trois saltimbanques et plume","1954","encre","","papier","eau-forte","","32.5","","49.5","","","",""
"p.2006.011.22","Collection de prêt","Beaulieu, Paul-Vanier","L'Oiseleur","1954","encre","","papier","eau-forte","","38.5","","56","","","",""
"p.2006.011.23","Collection de prêt","Beaulieu, Paul-Vanier","L'Oiseleur","1954","encre","","papier","eau-forte","","32.5","","50","","","",""
"p.2006.011.24","Collection de prêt","Beaulieu, Paul-Vanier","Saltimbanques au jardin","1955 c","encre","","papier","eau-forte","","49.7","","32.5","","","",""
"p.2006.011.25","Collection de prêt","Beaulieu, Paul-Vanier","Nature morte aux fruits","1956 c","encre","","papier","lithographie","","43","","57","","","",""
"p.2006.011.26","Collection de prêt","Beaulieu, Paul-Vanier","Tige de pommier","1948","encre","","papier","eau-forte","","49","","34","","","",""
"p.2006.011.27","Collection de prêt","Beaulieu, Paul-Vanier","Portrait d'une paysanne","1955 c","encre","","papier","eau-forte; monotype","","50","","33","","","",""
"p.2006.011.28","Collection de prêt","Beaulieu, Paul-Vanier","Jésus","1953 c","encre","","papier","eau-forte; monotype","","50","","33","","","",""
"p.2006.011.29","Collection de prêt","Beaulieu, Paul-Vanier","Couple de paysans","1955 c","encre","","papier","eau-forte; monotype","","32.5","","50","","","",""
"p.2006.011.30","Collection de prêt","Beaulieu, Paul-Vanier","Nature morte aux fleurs et au mortier","1956","encre","","papier","lithographie","","45.5","","56","","","",""
"p.2006.011.31","Collection de prêt","Beaulieu, Paul-Vanier","Nature morte au mortier","1956","encre","","papier","lithographie","3/10","45.5","","56","","","",""
"p.2006.011.32","Collection de prêt","Beaulieu, Paul-Vanier","Deux saltimbanques","1956","encre","","papier","lithographie","","56","69.8","46","60.9","","3",""
"p.2006.011.33","Collection de prêt","Beaulieu, Paul-Vanier","Deux saltimbanques","1956","encre","","papier","lithographie","","50.5","","43.5","","","",""
"p.2006.011.34","Collection de prêt","Beaulieu, Paul-Vanier","Nature morte au café","1956","encre","","papier","lithographie","","45.5","","56.2","","","",""
"p.2006.011.35","Collection de prêt","Beaulieu, Paul-Vanier","""Nature morte au pichet """"lavande""""""","1955 c","encre","","papier","lithographie","","50","","66","","","",""
"p.2006.011.36","Collection de prêt","Beaulieu, Paul-Vanier","Nature morte au pichet","1955 c","encre","","papier","lithographie","","50","","66","","","",""
"p.2006.011.37","Collection de prêt","Beaulieu, Paul-Vanier","Autoportrait","1949","fusain","","papier","","","62.5","","44.5","","","",""
"p.2006.011.38","Collection de prêt","Beaulieu, Paul-Vanier","Paule","1953","fusain","","papier","","","65","","49.5","","","",""
"p.2006.011.39","Collection de prêt","Beaulieu, Paul-Vanier","Monique","1955 c","fusain","","papier","","","64.5","","50","","","",""
"p.2006.011.40","Collection de prêt","Beaulieu, Paul-Vanier","Moine en prière","1950 c","fusain","","papier","","","59.5","","48","","","",""
"p.2006.011.41","Collection de prêt","Beaulieu, Paul-Vanier","Jeune fille au chapeau","1955 c","encre","","papier","eau-forte","","32.6","","25","","","",""
"p.2006.011.42","Collection de prêt","Beaulieu, Paul-Vanier","Tête d'homme","1953 c","encre","","papier","eau-forte","","33","","24.8","","","",""
"p.2006.011.43","Collection de prêt","Beaulieu, Paul-Vanier","Jeune fille à l'olivier","1951 c","encre","","papier","eau-forte","","32.7","","24.8","","","",""
"p.2006.011.44","Collection de prêt","Beaulieu, Paul-Vanier","Saltimbanques et nue","1953 c","encre","","papier","eau-forte","","37.8","","25.8","","","",""
"p.2006.011.45","Collection de prêt","Beaulieu, Paul-Vanier","Feuilles et pomme","1953","encre","","papier","eau-forte","","24.8","","32.5","","","",""
"p.2006.011.46","Collection de prêt","Beaulieu, Paul-Vanier","Couple et tourterelle","1954 c","encre","","papier","eau-forte","","26","","37.9","","","",""
"p.2006.011.47","Collection de prêt","Beaulieu, Paul-Vanier","Jeune fille en provence","1950 c","encre","","papier","eau-forte","","32.9","","24.7","","","",""
"p.2006.011.48","Collection de prêt","Beaulieu, Paul-Vanier","Profil d'une jeune fille en Provence","1951 c","encre","","papier","eau-forte","","24.8","","32","","","",""
"p.2006.011.49","Collection de prêt","Beaulieu, Paul-Vanier","Couple et coing","1950 c","encre","","papier","eau-forte","","32.5","","25","","","",""
"p.2006.012","Collection de prêt","Bruneau, Kittie","sans titre","","acrylique, pastel ?","","papier ?","","","","85","","123.8","","3.4",""
"p.2006.013","Collection de prêt","Bruneau, Kittie","Sans titre","1994","acrylique; pastel ?","","papier","","","","133.1","","94","","3.8",""
"p.2006.014","Collection de prêt","Bruneau, Kittie","Ô Jaisalmer","1989","encre","","papier","gravure sur bois; pointe-sèche","","","113.5","","84.5","","3.3",""
"p.2006.015","Collection de prêt","Bruneau, Kittie","Masque des sous-bois","1984","aquarelle; encre de chine ?; crayon ?","","papier","","","76.5","94.6","57.2","74.5","","4",""
"p.2006.016","Collection de prêt","Bruneau, Kittie","Qui suis-je?","1992","acrylique","","toile, masonite ","marouflée","","65.7","86.6","72.3","93.8","","3.8",""
"p.2006.002","Collection de prêt","Bruneau, Kittie","Saute-moutons","1969","acrylique","","toile, masonite","marouflée","","64.1","84.9","79.3","100.3","","8",""
"2006.018","Collection permanente","Bruneau, Kittie","Caprice","1985","acrylique","","toile","","","53","73","108.4","123.7","","4.2",""
"2006.019","Collection permanente","Bruneau, Kittie","Masque éternel","1984","acrylique","","toile","","","206","","183","","","",""
"2006.020","Collection permanente","Bruneau, Kittie","Méandres","1990","acrylique","","toile","","","183","","183","","","",""
"2006.021","Collection permanente","Bruneau, Kittie ","Masque s'enfonçant dans la terre","1984","acrylique","","toile","","","183","","183","","","",""
"p.2006.003","Collection de prêt","Bruneau, Kittie","Masque cerf-volant","1984","acrylique","","toile","","","160","","183","","","",""
"2006.023","Collection permanente","Baxter, Bonnie","Coming Out of Sleep (après mouchetache)","2005","encre","","toile","imprimé","verso, étiquette autocollante: 1/3","304.8","","152.4","","","",""
"2006.024","Collection permanente","Baxter, Bonnie","Apparitions","2005","","papier Hahnemühle; acétate; carton; encre"," ","imprimé; cousu","","15.2","","15.8","","","",""
"p.2006.001","Collection de prêt","Lanteigne, Danielle","Coeurs sous la table","2003","acrylique","","toile","","","274.7","","183","","","",""
"cdi.2006.010","Collection didactique","Goulet, Yvon","Mado","2004","acrylique","","sac en cellulose recyclé","","","58.3","","37.4","","","",""
"2006.027","Collection permanente","Derouin, René","Migration #7","1992","","bois; céramique; teinture","","","","61","","61","","","",""
"2006.028","Collection permanente","Derouin, René","Fleuve","1993","","bois; céramique; teinture","","","","90","","60.2","","","",""
"2006.029","Collection permanente","Derouin, René","Fleuve-mémoires 023","1994","","bois; céramique; teinture","","","","60.2","","60.2","","","",""
"p.2006.008","Collection de prêt","Derouin, René","Roches de feu","1978","encre","","papier","gravure sur bois","","","71.6","","84.4","","4.7",""
"2006.031","Collection permanente","Derouin, René","Paysans","1955","sanguine","","papier","","","","48","","38","","3.5",""
"p.2006.006","Collection de prêt","Derouin, René","Or noir","1977","encre","","papier","gravure sur bois","","","81.8","","74.3","","4.7",""
"p.2006.007","Collection de prêt","Derouin, René","Latitude Nord 60","1981","encre","","papier","gravure sur bois","","","67.5","","64","","4.7",""
"2006.034","Collection permanente","Derouin, René","5 décembre, Mexico 87","1987","pastel","","papier","","","","34.6","","37.2","","2.5",""
"cdi.2006.005","Collection didactique","Derouin, René","Femme châle","1997","","métal, bronze","","","","","8.7","","3.3","","3.2",""
"cdi.2006.001","Collection didactique","Derouin, René","Comédien","1997","","métal, bronze","","","","","10.8","","3.5","","4.7",""
"cdi.2006.002","Collection didactique","Derouin, René","Jupiter","1997","","métal, bronze","","","","","10.7","","3","","2.5",""
"cdi.2006.003","Collection didactique","Derouin, René","Porteur","1997","","métal, bronze","","","","","12.2","","4","","5.3",""
"cdi.2006.004","Collection didactique","Derouin, René","Itinérant","1997","","métal, bronze","","","","","13.3","","5.7","","4.2",""
"cdi.2006.006","Collection didactique","Derouin, René","Écorce","1997","","métal, bronze","","","","","16.4","","6.6","","6",""
"cdi.2006.007","Collection didactique","Derouin, René","Prêtre","1997","","métal, bronze","","","","","16.2","","6.6","","4.3",""
"cdi.2006.008","Collection didactique","Derouin, René","Métamorphose","1997","","métal, bronze","","","","","18.7","","7.3","","4.5",""
"cdi.2006.009","Collection didactique","Derouin, René","Maya","1997","","métal, bronze","","","","","19.3","","9.5","","5.8",""
"cdi.2007.003","Collection didactique","Derouin, René","Les Migrants du Vieux Palais","1994","encre","","papier","gravure sur bois","b.g. : 1/100","","71.2","","165.7","","6.2",""
"2007.002.1-2","Collection permanente","Derouin, René","Between","1982","encre","","papier","gravure sur bois","","","102.8","","95.4","","6.3",""
"2007.003","Collection permanente","Derouin, René","La mémoire de Jeanne","1996","épreuve couleur","","masonite","collé","","121.2","126","121.2","126","","4",""
"p.2007.006","Collection de prêt","April, Danielle","La Prose du paysage XIII","2006","","","pellicule Flex opaque","","","","86.2","","177.6","","5.4",""
"p.2007.007","Collection de prêt","April, Danielle","La Prose du paysage XXII","2006","","","pellicule Flex opaque","","","","86.2","","177.6","","5.4",""
"2007.006","Collection permanente","Connolly, Reynald","Composition #3","1971","acrylique","","toile","","","","123.6","","93.5","","3.5",""
"2007.007","Collection permanente","Demidoff-Séguin, Tatiana","Strates I","2002","acrylique","","toile","","","75.7","","60.7","","","",""
"p.2007.001","Collection de prêt","Demidoff-Séguin, Tatiana","Strates II","2002","acrylique","","toile","","","75.7","","60.7","","","",""
"2007.008","Collection permanente","Caiserman-Roth, Ghitta","Les marionnettistes 6","","acrylique","","toile","","","121.8","","121.8","","","",""
"cdo.2007.001.1","Collection documentaire","Bellemare jr, Robert","L'envol","","encre","","papier","sérigraphie","","56","","68","","","",""
"cdo.2007.001.2","Collection documentaire","","Jean-Paul Riopelle (1923-2002)","1989","encre","","acétate","","","55.3","","67.9","","","",""
"cdi.2007.001","Collection didactique","Bruneau, Kittie","Le musée des mesures dragoniennes","","acrylique; feutre","","papier","","","65.5","","105.4","","","",""
"p.2007.008","Collection de prêt","Baxter, Bonnie","Le lac des signes","1998","encre","","papier","bois gravé; infographie; sérigraphie","12/20","50","","65.6","","","",""
"p.2007.009","Collection de prêt","Bougie, Louis-Pierre","I Musici II","2001","encre","","papier","","6/26","66.4","","49.7","","","",""
"cdi.2007.002","Collection didactique","Bruneau, Kittie","Tranche de vide","","","papier-carton","","gravé","","39.8","","32","","","",""
"p.2007.002","Collection de prêt","Derouin, René","Les Migrants du Vieux Palais","1994","encre","","papier","gravure sur bois","b.g. : 72/100","","82","","66.8","","2",""
"p.2004.013.5.1","Collection de prêt","Carrier, Marcel ","Un atelier qui roule","1995","encre","","papier","eau-forte","1/50","37.9","44.7","56.7","63.8","","3",""
"2006.010.1","Collection permanente","Gnass, Peter","160 Nicolas, Ottawa Coin 1 / 1979","1979","","métal, acier; peinture","","soudé; peint","","113","","89.5","","63.5","",""
"2006.010.2","Collection permanente","Gnass, Peter","160 Nicolas, Ottawa Coin 1 / 1979","1979","crayon de plomb; feutre","","papier","","","","61.4","","81.7","","1.9",""
"2006.010.3","Collection permanente","Gnass, Peter","160 Nicolas, Ottawa Coin 1 / 1979","1979","crayon de plomb; feutre","","papier","","","","81.7","","61.4","","1.9",""
"2006.010.4","Collection permanente","Gnass, Peter","160 Nicolas, Ottawa Coin 1 / 1979","1979","crayon de plomb; feutre","","papier","","","","81.7","","61.4","","1.9",""
"2006.010.5","Collection permanente","Gnass, Peter","160 Nicolas, Ottawa Coin 1 / 1979","1979","crayon de plomb; feutre","","papier","","","","81.7","","61.4","","1.9",""
"2006.010.6","Collection permanente","Gnass, Peter","160 Nicolas, Ottawa Coin 1 / 1979","1979","épreuve argentique","","papier","","","60.7","","75.5","","","",""
"p.2007.003.1","Collection de prêt","Juneau, Denis","Ronds dans l'espace carré","1973","encre","","papier","sérigraphie","35/270","45.5","","45.5","","","",""
"p.2007.003.2","Collection de prêt","Wieland, Joyce","Soroseelutu Cape Dorset","1977","encre","","papier","lithographie","29/50","29.3","","35.7","","","",""
"p.2007.003.3","Collection de prêt","Tremblay, Michel-Thomas","Vie mécanique no 1","1973","encre","","papier","eau-forte","30-mai","64.7","","49.7","","","",""
"p.2007.003.4","Collection de prêt","Palumbo, Jacques","Huget 1J73 gf/gc","","encre","","papier","sérigraphie","25/50","66","","50.6","","","",""
"p.2007.003.5","Collection de prêt","Lacroix, Richard","Cristal IV","1971","encre","","papier","","43/75","65.7","","50.6","","","",""
"p.2007.003.6","Collection de prêt","Tremblay, Michel-Thomas","Les édifices","1973","encre","","papier","eau-forte","b.c. : 5/30","65.2","","49.8","","","",""
"p.2007.003.8","Collection de prêt","Parsons, Bruce","Apples after Adam","1973","encre","","carton","photolithographie","b.c. : 14/50","43.8","","55.5","","","",""
"p.2007.003.10","Collection de prêt","Tousignant, Serge","Neuf coins d'atelier","1972","encre","","papier","sérigraphie sur offset","b.g. : 28/100","49.2","","64.7","","","",""
"p.2007.003.9","Collection de prêt","Levine, Les","Peggy's Cove YRBB","1973","encre","","papier","photolithographie","b.c. : 18/80","64.4","","64.1","","","",""
"p.2007.003.11.1-4","Collection de prêt","Whittome, Irene","M.24.03.79","1979","encre","","papier","","b.g. : 32/35","91.1","","60.5","","","",""
"p.2007.003.12","Collection de prêt","Gagnon, Charles","Millerton","1971","encre","","papier","épreuve ozalid","b.c. : 26/30","","","","","","",""
"p.2007.003.13","Collection de prêt","Parsons, Bruce","Green apple twice removed","1973","encre","","papier","photolithographie","b.c. : 17/50","75.1","","86.3","","","",""
"p.2007.003.14","Collection de prêt","Hurtubise, Jacques","Nika","1971","encre","","papier","sérigraphie","b.g. : 40/50","77.4","92","65.6","80.7","","3.5",""
"p.2007.003.16","Collection de prêt","Hurtubise, Jacques","Nadja","1971","encre","","papier","sérigraphie","b.g. : 38/50","77.2","92","65.5","80.7","","3.5",""
"p.2007.003.17","Collection de prêt","Hurtubise, Jacques","Niti","1971","encre","","papier","sérigraphie ","b.g. : 38/50","77.2","92","65.5","80.7","","3.5",""
"p.2007.003.15","Collection de prêt","Hurtubise, Jacques","Naraboumba","1971","encre","","papier","sérigraphie","b.g. : 39/50","77.3","92","65.5","80.7","","3.5",""
"p.2007.003.18","Collection de prêt","Leclair, Michel","Combien pour une bonne botte...en cuir?","1973","encre","","carton","sérigraphie","b.g. : 18/30","59.8","","75.7","","","",""
"p.2007.003.21","Collection de prêt","Molinari, Guido","Opposition triangulaire","1971","encre","","carton","lithographie","verso, b.g. : 30/50","55.8","","55.8","","","",""
"p.2007.003.22","Collection de prêt","Fafard, Joe","1q","1978","encre","","papier","","b.c. : 57/65","73.2","","57","","","",""
"p.2007.003.23","Collection de prêt","Barbeau, Marcel","Non titré","1971","encre","","carton","sérigraphie","b.g. : 7/80","72.4","","57.3","","","",""
"p.2007.003.24","Collection de prêt","Wood, Alan","Lake Flower","1979","encre","","papier","sérigraphie?","b.g. : 2/75","56.5","","80.3","","","",""
"p.2007.003.25","Collection de prêt","Leclair, Michel","Miroir, Miroir dis-moi...?","1973","encre","","papier","sérigraphie","b.g. : 19/35","58.4","","78.3","","","",""
"p.2007.003.26","Collection de prêt","Leclair, Michel","En français S.V.P.","1973","encre","","carton","sérigraphie","b.g. : 28/35","56.5","","70.5","","","",""
"p.2007.003.27","Collection de prêt","Parsons, Bruce","Twilight Raga","1970","encre","","papier","","b.c.: 18/20","62.2","","48.4","","","",""
"p.2007.003.28","Collection de prêt","Tousignant, Claude","Le jaune et le rouge","1971","encre","","papier","sérigraphie","b.g. : 14/25","50.7","","65","","","",""
"p.2007.003.29","Collection de prêt","Leclair, Michel","Beaudry fruits","1973","encre","","carton","sérigraphie","b.g. : 28/30","58.7","","68.5","","","",""
"p.2007.003.30","Collection de prêt","Derouin, René","""Têtes en six ""Batiste""","1986","encre","","papier","gravure sur bois","b.g. : 1/25","","124.3","","89","","3.7",""
"p.2007.003.31","Collection de prêt","Ayot, Pierre","Pailles à boire","1973","encre; pailles; plastique, plexiglas","","carton","","b.g. : 35/80","","100.2","","56.4","","2.4",""
"p.2007.003.34","Collection de prêt","Leclair, Michel","Un dill pickle pour apporter S.V.P.","1973","encre","","papier","sérigraphie","b.g. : 18/30","","56.5","","74.5","","1.8",""
"p.2007.003.36","Collection de prêt","Gaucher, Yves","Jericho / Une allusion à Barnett Newman / An allusion to Barnett Newman","1978","encre","","papier","lithographie","","","81.6","","115","","1.8",""
"p.2007.003.7","Collection de prêt","Leclair, Michel","Vente de feu, 2 pour $14.95","1973","encre","","carton","sérigraphie","b.g. : 21/30","","","","","","",""
"p.2007.003.19","Collection de prêt","Lake, Suzy","Site","1972","encre; crayon de plomb; épreuve argentique","","carton","imprimé; collé","b.g. : 14/15","66","","51","","","",""
"p.2007.003.20","Collection de prêt","General Idea","Five - The Great Divide","1974","encre; épreuve couleur","","carton","sérigraphie?; collé","b.g. : 23/80","","","","","","",""
"p.2007.003.35","Collection de prêt","Dallegret, Francois","Urbatonnique","1967?","encre","","acétate miroir","sérigraphie","b.d. : 26/35","","72","","61.5","","1.8",""
"p.2007.003.32","Collection de prêt","Ayot, Pierre","cot...cot...cot","1972","encre","fil de fer","carton","sérigraphie photographique","b.g. : 6/20","","102","","71.5","","1.8",""
"p.2007.003.33","Collection de prêt","Rabinowitch, David","Non titré","1975","encre","","papier","lithographie","b.c. : 3/80","","137.5","","97","","3.5",""
"p.2004.013.5.2","Collection de prêt","Carrier, Marcel","Un atelier qui roule","1995","","métal, ?","","gravé","","22.7","","30.3","","","",""
"2007.016","Collection permanente","Fiore, Giuseppe","Chambre 27","1988","fusain ?; graphite ?","","papier","dessiné; collé","","","96","","126.5","","3.8",""
"2005.036.1","Collection permanente","Riopelle, Jean Paul","Les saisons de Saint-Cyr en Artie","1985","encre","","papier","lithographie","38/75","52","","70.5","","","",""
"2005.036.2","Collection permanente","Riopelle, Jean Paul","Les saisons de Saint-Cyr en Artie","1985","encre","","papier","lithographie","38/75","52","","70.5","","","",""
"2005.036.3","Collection permanente","Riopelle, Jean Paul","Les saisons de Saint-Cyr en Artie","1985","encre","","papier","lithographie","38/75","52","","70.5","","","",""
"2005.036.4","Collection permanente","Riopelle, Jean Paul","Les saisons de Saint-Cyr en Artie","1985","encre","","papier","lithographie","38/75","52","","70.5","","","",""
"2005.036.5","Collection permanente","Riopelle, Jean Paul","Les saisons de Saint-Cyr en Artie","1985","encre","","papier","lithographie","38/75","52","","70.5","","","",""
"2005.036.6","Collection permanente","Riopelle, Jean Paul","Les saisons de Saint-Cyr en Artie","1985","encre","","papier","lithographie","38/75","52","","70.5","","","",""
"2008.001","Collection permanente","Connolly, Reynald","El quatro por favor","2000","acrylique","","toile","","","227","","183.5","","","",""
"cdo.2008.001","Collection documentaire","Derouin, René","Hommage à Posada/ oeuvre complémentaire","1990","encre, crayon feutre, papier journal ","","papier","gravure sur bois rehaussée","","120.8","","80.3","","","",""
"p.2008.001","Collection de prêt","Garneau, Marc","Cantabile","1990","acrylique","","toile","","","101.5","","121.5","","","5",""
"2008.004","Collection permanente","Tremblay, Michel-Thomas","S.A.Q. Reminescence","1985","encre; papier; carton; métal; corde","","papier","","","113.3","124.5","76.4","88","","6.5",""
"2008.005","Collection permanente","Tremblay, Michel-Thomas","S.A.Q. Reminescence","1985","encre; papier; carton; métal; corde","","papier","","","113.3","124.5","76.4","88","","6.5",""
"2008.006","Collection permanente","Sullivan, Françoise","Cycle crétois 2 #10","1985","acrylique","","toile","collé, peint","","","55","","63.2","","4",""
"2007.017","Collection permanente","Moore, David","Comment attraper un poisson","1998","","bois; fragments de miroirs; métal, plomb ","","","","548.6","","487.6","","","",""
"2009.001","Collection permanente","Pilon, Suzie","Les croix de chemin","","","","","","","","","","","","",""
