"Annee_imposition","Genre","Age","Region_administrative","Nombre_de_particuliers","Credit_moyen"
2022,"Masculin","40 à 54 ans","14 - Lanaudière",596,1523.85
2022,"Masculin","40 à 54 ans","15 - Laurentides",567,1525.90
2022,"Masculin","40 à 54 ans","16 - Montérégie",1319,1567.26
2022,"Masculin","55 à 64 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",296,1472.35
2022,"Masculin","55 à 64 ans","02 - Saguenay - Lac-Saint-Jean",163,1454.40
2022,"Masculin","55 à 64 ans","03 - Capitale-Nationale",297,1408.01
2022,"Masculin","55 à 64 ans","04+17 - Mauricie + Centre-du-Québec",310,1401.66
2022,"Masculin","55 à 64 ans","05 - Estrie",212,1482.82
2022,"Masculin","55 à 64 ans","06 - Montréal",1362,1458.61
2022,"Masculin","55 à 64 ans","07 - Outaouais",230,1453.52
2022,"Masculin","55 à 64 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",131,1447.74
2022,"Masculin","55 à 64 ans","12 - Chaudière-Appalaches",207,1442.40
2022,"Masculin","55 à 64 ans","13 - Laval",525,1472.20
2022,"Masculin","55 à 64 ans","14 - Lanaudière",429,1445.85
2022,"Masculin","55 à 64 ans","15 - Laurentides",388,1421.97
2022,"Masculin","55 à 64 ans","16 - Montérégie",835,1457.26
2022,"Masculin","65 ans et plus","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",74,1341.42
2022,"Masculin","65 ans et plus","02 - Saguenay - Lac-Saint-Jean",63,1422.71
2022,"Masculin","65 ans et plus","03 - Capitale-Nationale",89,1364.68
2022,"Masculin","65 ans et plus","04+17 - Mauricie + Centre-du-Québec",75,1316.32
2022,"Masculin","65 ans et plus","05 - Estrie",71,1335.59
2022,"Masculin","65 ans et plus","06 - Montréal",442,1359.17
2022,"Masculin","65 ans et plus","07 - Outaouais",52,1423.90
2022,"Masculin","65 ans et plus","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",51,1375.41
2022,"Masculin","65 ans et plus","12 - Chaudière-Appalaches",61,1309.65
2022,"Masculin","65 ans et plus","13 - Laval",119,1369.95
2022,"Masculin","65 ans et plus","14 - Lanaudière",103,1324.23
2022,"Masculin","65 ans et plus","15 - Laurentides",130,1338.97
2022,"Masculin","65 ans et plus","16 - Montérégie",242,1339.46

