Circonscriptions,Anglophones_1991,Francophones_1991,Allophones_1991,Anglophones_1996,Francophones_1996,Allophones_1996,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Action_democratique_du_quebec,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_independants_04,Autres_independants_05,Autres_independants_06,Autres_independants_07,Autres_nouveau_parti_democratique,Autres_parti_de_la_loi_naturelle,Autres_equality_party,Autres_parti_de_la_souverainete_du_quebec,Autres_parti_vert,Autres_parti_citron,Autres_canada,Autres_parti_pour_la_republique_du_canada,Autres_developpement_quebec,Autres_parti_economique,Autres_parti_innovateur,Autres_parti_marxiste-leniniste,Autres_parti_communiste
Chutes-de-la-Chaudière,745,66325,395,1007,73673,435,49902,41357,643,40714,8545,9220,21091,7263,904,640,483,,,,,834,279,,,,,,,,,,,
Crémazie,2695,50850,15985,2636,45964,17895,36637,31516,568,30948,5121,14053,14482,1703,,,,,,,,337,193,,,,,,68,,,40,,72
D'Arcy-McGee,35752,9793,20160,31558,9602,21810,38868,32826,204,32622,6042,21325,1084,,10056,,,,,,,,157,,,,,,,,,,,
Deux-Montagnes,6166,63644,1400,6233,70602,1620,52644,43841,932,42909,8803,15053,20742,6523,,,,,,,,,286,,,,,,,305,,,,
Drummond,710,60195,285,870,62445,305,45476,36570,850,35720,8906,11859,16625,3585,3355,,,,,,,,296,,,,,,,,,,,
Dubuc,529,49406,110,387,49588,100,34450,26783,392,26391,7667,7142,16759,2162,,,,,,,,,328,,,,,,,,,,,
Duplessis,5195,43490,4920,5069,42651,5350,36402,26760,447,26313,9642,10525,15788,,,,,,,,,,,,,,,,,,,,,
Fabre,4518,52852,5055,4928,57517,6865,46899,40591,681,39910,6308,16570,17679,5043,,,,,,,,,259,,,359,,,,,,,,
Frontenac,619,46971,155,447,44518,220,34353,28865,556,28309,5488,14916,12580,,,,,,,,,,813,,,,,,,,,,,
Gaspé,3924,35801,60,3669,35216,80,29448,21647,274,21373,7801,8033,11410,1774,,,,,,,,,156,,,,,,,,,,,
Gatineau,8317,40713,1975,8788,43952,1815,37878,29528,251,29277,8350,19046,9363,,,,,,,,,,259,,,,609,,,,,,,
Gouin,2162,47788,11825,1922,43988,13815,39276,31437,765,30672,7839,10944,17305,,458,,,,,,,1428,263,,,,,,132,,,,142,
Groulx,3617,49683,3200,3805,52780,3715,39898,33148,558,32590,6750,12390,15027,4328,152,,,,,,,,185,,280,,228,,,,,,,
Hochelaga-Maisonneuve,1644,44426,3635,1380,40515,4080,31087,23482,545,22937,7605,6039,14858,1249,,,,,,,,392,190,,127,,,,,,,,82,
Hull,4306,51759,4640,5143,50597,5815,43670,34207,291,33916,9463,19184,13947,,,,,,,,,,231,,,,452,,56,,,,46,
Iberville,2093,58892,835,2057,60693,805,44299,36751,808,35943,7548,14140,15604,4122,1004,,,,,,,645,,,,428,,,,,,,,
