No.,Circonscription,Date,Jour,Mois,Annee,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Parti_liberal,Parti conservater,Parti_quebecois,Credit_social,Action_democratique,Quebec_solidaire,Parti_vert,Liberal_independant_01,Liberal_independant_02,Liberal_independant_03,Liberal_independant_04,Liberal_independant_05,Conservateur_indepedant_01,Conservateur_indepedant_02,Autres_01,Autres_02,Autres_03,Autres_04,Autres_05,Autres_06,Autres_07,Autres_08,Autres_09
227,Verchères,22 décembre 1921,22,décembre,1921,2975,2323,15,1391,,,,,,,917,,,,,,,,,,,,,,,
228,Sainte-Marie,22 décembre 1921,22,décembre,1921,12194,4139,56,1632,,,,,,,,,,,,,,2451,,,,,,,,
229,Sherbrooke,7 septembre 1922,7,septembre,1922,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
230,Labelle,17 août 1922,17,août,1922,10616,6536,61,3503,2972,,,,,,,,,,,,,,,,,,,,,
231,Abitibi,22 octobre 1922,22,octobre,1923,4955,2912,16,1852,,,,,,,1044,,,,,,,,,,,,,,,
232,Brôme,22 octobre 1922,22,octobre,1923,3708,2737,24,1703,1010,,,,,,,,,,,,,,,,,,,,,
233,Richmond,22 octobre 1922,22,octobre,1923,5378,3957,71,2165,1721,,,,,,,,,,,,,,,,,,,,,
234,Yamaska,22 octobre 1922,22,octobre,1923,4129,3232,29,1657,1546,,,,,,,,,,,,,,,,,,,,,
235,Bonaventure,5 novembre 1924,5,novembre,1924,6994,3859,72,2711,1076,,,,,,,,,,,,,,,,,,,,,
236,Québec-Comté,5 novembre 1924,5,novembre,1924,6110,5216,108,2490,2618,,,,,,,,,,,,,,,,,,,,,
237,Saint-Maurice,5 novembre 1924,5,novembre,1924,6761,5237,45,2950,2242,,,,,,,,,,,,,,,,,,,,,
238,Sherbrooke,5 novembre 1924,5,novembre,1924,7537,5106,137,2383,2586,,,,,,,,,,,,,,,,,,,,,
239,Sainte-Anne,5 novembre 1924,5,novembre,1924,6622,3357,117,1737,1503,,,,,,,,,,,,,,,,,,,,,
240,Témiscamingue,28 novembre 1924,28,novembre,1924,3313,2405,48,1237,,,,,,,1120,,,,,,,,,,,,,,,
241,Argenteuil,30 novembre 1925,30,novembre,1925,4436,3453,40,1489,1924,,,,,,,,,,,,,,,,,,,,,
242,Berthier,30 novembre 1925,30,novembre,1925,4889,3445,16,1805,1624,,,,,,,,,,,,,,,,,,,,,
243,Champlain,30 novembre 1925,30,novembre,1925,12127,7487,45,4000,3442,,,,,,,,,,,,,,,,,,,,,
244,Jacques-Cartier,30 novembre 1925,30,novembre,1925,9851,6079,31,3168,2880,,,,,,,,,,,,,,,,,,,,,
245,Kamouraska,31 octobre 1927,31,octobre,1927,4894,3777,12,2025,,,,,,,1740,,,,,,,,,,,,,,,
246,Portneuf,31 octobre 1927,31,octobre,1927,8032,6142,8,1936,,,,,,,4198,,,,,,,,,,,,,,,
247,Îles-de-la-Madeleine,14 juillet 1928,14,juillet,1928,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
248,Québec-Est,24 octobre 1924,24,octobre,1928,7264,4644,40,2850,1754,,,,,,,,,,,,,,,,,,,,,
249,Sainte-Marie,24 octobre 1924,24,octobre,1928,12431,6466,,2746,3526,,,,,,146,,,,,48,,,,,,,,,,
250,L'Islet,13 mai 1929,13,mai,1929,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
251,Compton,30 septembre 1929,30,septembre,1929,5593,4364,68,2270,2026,,,,,,,,,,,,,,,,,,,,,
252,Richelieu,28 octobre 1939,28,octobre,1929,4896,4135,,2426,1451,,,,,,258,,,,,,,,,,,,,,,
253,Montcalm,16 novembre 1929,16,novembre,1929,3470,2739,10,1843,886,,,,,,,,,,,,,,,,,,,,,
254,Beauce,9 décembre 1929,9,décembre,1929,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
255,Bellechasse,20 octobre 1930,20,octobre,1930,4720,3962,31,2412,,,,,,,1519,,,,,,,,,,,,,,,
256,Deux-Montagnes,4 novembre 1930,4,novembre,1930,3501,3214,26,1460,1728,,,,,,,,,,,,,,,,,,,,,
257,Huntingdon,4 novembre 1930,4,novembre,1930,3169,2676,28,1228,1420,,,,,,,,,,,,,,,,,,,,,
258,Maskinongé,4 novembre 1930,4,novembre,1930,3857,3143,16,1736,1391,,,,,,,,,,,,,,,,,,,,,
259,Nicolet,7 novembre 1933,7,novembre,1933,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
260,Wolfe,14 novembre 1933,14,novembre,1933,4175,3833,17,2221,1595,,,,,,,,,,,,,,,,,,,,,
261,Jacques-Cartier,25 novembre 1933,25,novembre,1933,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
262,Beauce,17 mars 1937,17,mars,1937,10373,8248,57,,3799,,,,,,,,,,,,,3391,1001,,,,,,,
263,Bagot,16 février 1938,16,février,1938,4635,4294,30,1905,2359,,,,,,,,,,,,,,,,,,,,,
264,Chicoutimi,25 mai 1938,25,mai,1938,14317,9803,72,,5623,,,,,,,,,,,,,979,3129,,,,,,,
265,Stanstead,2 novembre 1938,2,novembre,1938,7081,5501,51,2416,3034,,,,,,,,,,,,,,,,,,,,,
266,Saint-Louis,2 novembre 1938,2,novembre,1938,4479,3267,220,,1559,,,,,,,,,,,,,1488,,,,,,,,
267,Mégantic,19 novembre 1940,19,novembre,1940,9739,7526,61,3708,3757,,,,,,,,,,,,,,,,,,,,,
268,Terrebonne,19 novembre 1940,19,novembre,1940,11549,8827,103,4827,3857,,,,,,21,,,,,,,19,,,,,,,,
269,Huntingdon,6 octobre 1941,6,octobre,1941,7023,5343,50,3288,2005,,,,,,,,,,,,,,,,,,,,,
270,Saint-Jean-Napierville,6 octobre 1941,6,octobre,1941,16311,13447,232,6603,6612,,,,,,,,,,,,,,,,,,,,,
271,Richelieu-Verchères,23 mars 1942,23,mars,1942,22920,14231,146,11096,2989,,,,,,,,,,,,,,,,,,,,,
272,Sainte-Anne,23 mars 1942,23,mars,1942,43624,14000,288,9886,3826,,,,,,,,,,,,,,,,,,,,,
273,Saint-Jacques,23 mars 1942,23,mars,1942,47233,21443,633,10925,9885,,,,,,,,,,,,,,,,,,,,,
274,Westmount-Saint-Georges,23 mars 1942,23,mars,1942,41871,8740,147,6938,,,,,,,,,,,,,,1655,,,,,,,,
275,Beauce,21 novembre 1945,21,novembre,1945,22678,18900,760,5410,11204,,1526,,,,,,,,,,,,,,,,,,,
276,Compton,3 juillet 1946,3,juillet,1946,12754,10432,122,3541,6146,,,,,,623,,,,,,,,,,,,,,,
277,Bagot,18 décembre 1946,18,décembre,1946,9671,8476,126,3585,4725,,,,,,,,,,,,,40,,,,,,,,
278,Huntingdon,23 juillet 1947,23,juillet,1947,7359,6144,67,2675,3402,,,,,,,,,,,,,,,,,,,,,
279,Brôme,7 décembre 1948,7,décembre,1948,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
280,Lévis,16 février 1949,16,février,1949,24004,15577,308,,12328,,2941,,,,,,,,,,,,,,,,,,,
281,Matapédia,9 juillet 1953,9,juillet,1953,15422,12633,92,3560,8871,,110,,,,,,,,,,,,,,,,,,,
282,Portneuf,9 juillet 1953,9,juillet,1953,23794,19153,126,5723,10703,,,,,,,,,,,,,1492,1109,,,,,,,
283,Outremont,9 juillet 1953,9,juillet,1953,58838,28332,564,15484,11019,,,,,,754,,,,,,,511,,,,,,,,
284,Compton,14 septembre 1954,15,septembre,1954,12518,10274,86,3554,6587,,,,,,,,,,,,,47,,,,,,,,
285,Saint-Hyacinthe,6 juillet 1955,6,juillet,1955,22537,15813,143,5416,10195,,,,,,,,,,,,,59,,,,,,,,
286,Laurier,6 juillet 1955,6,juillet,1955,41387,19602,432,7697,11277,,,,,,,,,,,,,132,64,,,,,,,
287,Westmount-Saint-Georges,6 juillet 1955,6,juillet,1955,33031,11475,119,8357,2880,,,,,,,,,,,,,119,,,,,,,,
288,Châteauguay,18 septembre 1957,18,septembre,1957,12906,8767,116,1942,6709,,,,,,,,,,,,,,,,,,,,,
289,Compton,18 septembre 1957,18,septembre,1957,12337,9875,97,3127,6651,,,,,,,,,,,,,,,,,,,,,
290,Mégantic,18 septembre 1957,18,septembre,1957,25559,21494,191,7504,13799,,,,,,,,,,,,,,,,,,,,,
291,Vaudreuil-Soulanges,18 septembre 1957,18,septembre,1957,18279,15589,169,7344,8010,,,,,,,,,,,,,66,,,,,,,,
292,Matane,2 juillet 1958,2,juillet,1958,21069,13746,355,,12144,,,,,,,,,,,,,1247,,,,,,,,
293,Labelle,15 octobre 1958,15,octobre,1958,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
294,Roberval,15 octobre 1958,15,octobre,1958,24162,18173,151,,10487,,,,,,,,,,,,,7535,,,,,,,,
295,Labelle,16 septembre 1959,16,septembre,1959,12323,8666,101,1930,6635,,,,,,,,,,,,,,,,,,,,,
296,Lac-Saint-Jean,16 septembre 1959,16,septembre,1959,18512,15223,144,,8469,,,,,,,,,,,,,3324,3286,,,,,,,
297,Joliette,23 novembre 1960,23,novembre,1960,21742,16843,323,10361,5148,,,,,,,,,,,,,1011,,,,,,,,
298,Rouville,23 novembre 1960,23,novembre,1960,12986,11072,125,7415,3532,,,,,,,,,,,,,,,,,,,,,
299,Chambly,14 décembre 1961,14,décembre,1961,69818,26161,652,22537,,,,,,,1229,,,,,,1187,333,223,,,,,,,
300,Jacques-Cartier,14 décembre 1961,14,décembre,1961,13767,46752,675,34976,,,,,,,11101,,,,,,,,,,,,,,,
301,Notre-Dame-de-Grâce,25 septembre 1963,25,septembre,1963,78918,25767,214,21878,,,,,,,1108,225,,,,,,2342,,,,,,,,
302,Dorchester,5 octobre 1964,5,octobre,1964,20253,16412,250,7846,6270,,,,,,,,,,,,,2046,,,,,,,,
303,Matane,5 octobre 1964,5,octobre,1964,23047,17017,239,8900,7439,,,,,,,,,,,,,439,,,,,,,,
304,Saguenay,5 octobre 1964,5,octobre,1964,34240,20544,495,11919,8130,,,,,,,,,,,,,,,,,,,,,
305,Verdun,5 octobre 1964,5,octobre,1964,47110,27130,549,18203,8231,,,,,,,,,,,,,147,,,,,,,,
306,Saint-Maurice,18 janvier 1965,18,janvier,1965,35987,17632,308,14723,,,,,,,,,,,,,,2424,177,,,,,,,
307,Terrebonne,18 janvier 1965,18,janvier,1965,64433,23183,518,21106,,,,,,,,,,,,,,1559,,,,,,,,
308,Bagot,4 décembre 1968,4,décembre,1968,13261,11467,163,4476,6665,,,,,,,,,,,,,67,49,47,,,,,,
309,Notre-Dame-de-Grâce,4 décembre 1968,4,décembre,1968,43091,22396,573,17302,4521,,,,,,,,,,,,,,,,,,,,,
310,Dorion,3 mars 1969,3,mars,1969,35720,14662,508,5188,8147,,,,,,,,,,,,,819,,,,,,,,
311,Trois-Rivières,8 octobre 1969,8,octobre,1969,38158,21762,1151,,11003,,,,,,,,,,,,,5208,2983,1417,,,,,,
312,Vaudreuil-Soulanges,8 octobre 1969,8,octobre,1969,27044,12618,831,,8075,,,,,,,,,,,,,3111,601,,,,,,,
313,Sainte-Marie,8 octobre 1969,8,octobre,1969,33310,9787,677,,5142,,,,,,,,,,,,,1345,974,730,516,213,190,,,
314,Saint-Jacques,8 octobre 1969,8,octobre,1969,29503,8707,767,,5695,,,,,,,,,,,,,1050,407,374,220,194,,,,
315,Chambly,8 férier 1971,8,février,1971,52795,36001,928,22647,,11452,665,,,,,,,,,,,267,18,17,7,,,,,
316,Duplessis,11 octobre 1972,11,octobre,1972,26663,19983,473,13130,,6380,,,,,,,,,,,,,,,,,,,,
317,Gatineau,11 octobre 1972,11,octobre,1972,43083,25503,25503,,,,,,,,,,,,,,,,,,,,,,,
318,Gatineau,15 novembre 1972,15,novembre,1972,43083,21859,548,13895,7416,,,,,,,,,,,,,,,,,,,,,
319,Johnson,28 août 1974,28,août,1974,27183,19418,328,6797,7880,4165,,,,,,,,,,,,248,,,,,,,,
320,Notre-Dame-de-Grâce,5 juillet 1978,5,juillet,1978,33414,21001,436,12797,338,2347,,,,,,,,,,,,4983,100,,,,,,,
321,Argenteuil,30 avril 1979,30,avril,1979,34610,27072,1295,16600,1549,7367,,,,,,,,,,,,261,,,,,,,,
322,Jean-Talon,30 avril 1979,30,avril,1979,32523,26227,816,14714,1569,8977,,,,,,,,,,,,151,,,,,,,,
323,Beauce-Sud,14 novembre 1979,14,novembre,1979,33459,27505,557,15438,,11419,,,,,,,,,,,,91,,,,,,,,
324,Prévost,14 novembre 1979,14,novembre,1979,53771,41928,1145,25717,,14433,,,,,,,,,,,,298,257,78,,,,,,
325,Maisonneuve,14 novembre 1979,14,novembre,1979,29066,20808,596,11775,,7988,,,,,,,,,,,,262,111,41,35,,,,,
326,D'Arcy-McGee,26 novembre 1979,26,novembre,1979,41201,23407,301,22293,,813,,,,,,,,,,,,,,,,,,,,
327,Brôme-Missisquoi,17 novembre 1980,17,novembre,1980,31342,21403,154,13271,1909,5962,,,,,,,,,,,,107,,,,,,,,
328,Johnson,17 novembre 1980,17,novembre,1980,32353,22515,156,9200,4233,8828,,,,,,,,,,,,98,,,,,,,,
329,Mégantic-Compton,17 novembre 1980,17,novembre,1980,28222,19863,144,9259,3162,7135,,,,,,,,,,,,163,,,,,,,,
330,Outremont,17 novembre 1980,17,novembre,1980,39072,19056,248,11435,,7081,,,,,,,,,,,,125,70,53,44,,,,,
331,Louis-Hébert,5 avril 1982,5,avril,1982,38176,24608,637,12665,,10560,,,,,,,,,,,,404,274,68,,,,,,
332,Saint-Laurent,5 avril 1982,5,avril,1982,39852,21973,355,16776,,3523,85,,,,,,,,,,,721,262,128,123,,,,,
333,Charlesbourg,20 juin 1983,20,juin,1983,41208,25556,454,17586,1722,3273,75,,,,,,,,,,,2302,144,,,,,,,
334,Saguenay,20 juin 1983,20,juin,1983,35366,21945,309,9375,,6130,287,,,,,,,,,,,5844,,,,,,,,
335,Saint-Jacques,20 juin 1983,20,juin,1983,30552,15974,345,6911,492,6436,53,,,,,,,,,,,423,368,302,281,200,50,46,34,33
336,Jonquière,5 décembre 1983,5,décembre,1983,42725,32117,751,16338,,15028,,,,,,,,,,,,,,,,,,,,
337,Mégantic-Compton,5 décembre 1983,5,décembre,1983,28270,20476,194,13711,,6182,,,,,,,,,,,,233,156,,,,,,,
338,Marie-Victorin,18 juin 1984,18,juin,1984,35584,20078,421,11477,,7586,,,,,,,,,,,,474,120,,,,,,,
339,Marguerite-Bourgeoys,18 juin 1984,18,juin,1984,34030,15919,248,13030,,2412,,,,,,,,,,,,229,,,,,,,,
340,Sauvé,18 juin 1984,18,juin,1984,36022,16809,352,11976,,4072,,,,,,,,,,,,286,123,,,,,,,
341,Saint-Jacques,26 novembre 1984,26,novembre,1984,32414,16416,356,7889,,6651,,,,,,,,,,,,699,268,156,145,109,77,66,,
342,Bertrand,3 juin 1985,3,juin,1985,39776,27290,567,15490,,10217,182,,,,,,,,,,,408,162,135,129,,,,,
343,L'Assomption,3 juin 1985,3,juin,1985,48148,26522,789,12019,,5131,,,,,,,,,,,,8180,229,174,,,,,,
344,Trois-Rivières,3 juin 1985,3,juin,1985,39381,21858,472,14347,3357,3530,,,,,,,,,,,,152,,,,,,,,
345,Bourget,3 juin 1985,3,juin,1985,33788,15554,326,10289,,3199,83,,,,,,,,,,,953,485,219,,,,,,
346,Saint-Laurent,20 janvier 1986,20,janvier,1986,42514,19638,266,16020,,,66,,,,,,,,,,,1701,778,278,202,177,70,49,,31
347,Notre-Dame-de-Grâce,14 septembre 1987,14,septembre,1987,32820,14106,208,8622,,921,,,,,,,,,,,,3548,335,251,86,86,49,,,
348,Roberval,20 juin 1988,20,juin,1988,40490,26272,227,16152,,9356,,,,,,,,,,,,313,224,,,,,,,
349,Anjou,20 juin 1988,20,juin,1988,42202,21782,207,10806,,9663,,,,,,,,,,,,460,250,154,136,48,37,21,,
350,Hull,29 mai 1989,29,mai,1989,39544,14024,291,9223,,4510,,,,,,,,,,,,,,,,,,,,
351,Papineau,29 mai 1989,29,mai,1989,29845,15022,154,7758,,6733,,,,,,,,,,,,248,129,,,,,,,
352,Montmorency,12 août 1991,12,août,1991,46318,25598,595,8149,,13588,,,,,,,,,,,,1658,1169,439,,,,,,
353,Anjou,20 janvier 1992,20,janvier,1992,29043,16744,213,7342,,8619,61,,,,,,,,,,,283,143,45,38,,,,,
354,Portneuf,5 juillet 1993,5,juillet,1993,34085,21233,455,7066,,10603,,,,,,,,,,,,1205,1006,268,212,205,106,77,30,
355,Laval-des-Rapides,13 décembre 1993,13,décembre,1993,35961,13989,160,5831,,7511,,,,,,,,,,,,197,178,86,26,,,,,
356,Bonaventure,21 février 1994,21,février,1994,27689,21834,338,9409,,12087,,,,,,,,,,,,,,,,,,,,
357,Shefford,28 février 1994,28,février,1994,45662,23131,651,13039,,8907,,,,,,,,,,,,252,167,115,,,,,,
358,Jonquière,19 février 1996,19,février,1996,43614,26602,341,,,24900,,,,,,,,,,,,484,222,215,198,185,57,,,
359,Laprairie,19 février 1996,19,février,1996,53079,29509,305,9694,,15562,,3254,,,,,,,,,,270,86,82,79,67,59,51,,
360,L'Assomption,10 juin 1996,10,juin,1996,48626,23812,440,6451,,12931,,3795,,,,,,,,,,195,,,,,,,,
361,Outremont,10 juin 1996,10,juin,1996,42354,14589,173,8403,,4671,,744,,,,,,,,,,304,197,97,,,,,,
362,Pointe-aux-Trembles,9 décembre 1996,9,décembre,1996,38313,15620,333,5234,,7190,,2635,,,,,,,,,,119,109,,,,,,,
363,Beauce-Sud,28 avril 1997,28,avril,1997,41284,27685,432,15570,,10414,,1269,,,,,,,,,,,,,,,,,,
364,Prévost,28 avril 1997,28,avril,1997,46261,22391,571,9844,,10083,,1258,,,,,,,,,,398,237,,,,,,,
365,Bertrand,6 octobre 1997,6,octobre,1997,41178,22008,403,10599,,7846,,2956,,,,,,,,,,204,,,,,,,,
366,Duplessis,6 octobre 1997,6,octobre,1997,36548,17687,337,6881,,8747,,1722,,,,,,,,,,,,,,,,,,
367,Kamouraska-Témiscouata,6 octobre 1997,6,octobre,1997,34076,19496,351,9946,,7201,,1762,,,,,,,,,,236,,,,,,,,
368,Bourassa,6 octobre 1997,6,octobre,1997,31227,14747,305,8625,,4070,,1456,,,,,,,,,,145,98,48,,,,,,
369,Argenteuil,1 juin 1998,1,juin,1998,48340,24174,410,13589,,8928,,1247,,,,,,,,,,,,,,,,,,
370,Mercier,9 avril 2001,9,avril,2001,42651,17526,352,5953,,4915,,1077,,,,,,,,,,4163,890,67,50,32,27,,,
371,Blainville,1 octobre 2001,1,octobre,2001,46581,22628,309,8990,,10323,,2186,,,,,,,,,,384,339,97,,,,,,
372,Jonquière,1 octobre 2001,1,octobre,2001,44716,28374,273,13077,,8830,,5391,,,,,,,,,,480,323,,,,,,,
373,Labelle,1 octobre 2001,1,octobre,2001,41002,22771,317,9983,,10080,,2041,,,,,,,,,,350,,,,,,,,
377,Laviolette,1 octobre 2001,1,octobre,2001,34445,21908,317,13260,,5844,,1670,,,,,,,,,,620,197,,,,,,,
374,Anjou,15 avril 2002,15,avril,2002,35134,16381,178,8845,,4275,,2848,,163,,,,,,,,72,,,,,,,,
375,Saguenay,15 avril 2002,15,avril,2002,35378,21371,199,5973,,5070,,10129,,,,,,,,,,,,,,,,,,
376,Viger,15 avril 2002,15,avril,2002,36744,11726,166,8353,,1741,,1245,,221,,,,,,,,,,,,,,,,
378,Berthier,17 juin 2002,17,juin,2002,49941,32648,515,6771,,8973,,16389,,,,,,,,,,,,,,,,,,
379,Joliette,17 juin 2002,17,juin,2002,46551,29393,823,7064,,9115,,10970,,,,,,,,,,1421,,,,,,,,
380,Lac-Saint-Jean,17 juin 2002,17,juin,2002,41090,25391,280,3914,,10924,,10273,,,,,,,,,,,,,,,,,,
381,Vimont,17 juin 2002,17,juin,2002,57961,30779,304,10109,,4918,,15236,,,,,,,,,,212,,,,,,,,
382,Gouin,20 septembre 2004,20,septembre,2004,43858,15112,123,3645,,8661,,749,1195,558,,,,,,,,148,33,,,,,,,
383,Laurier-Dorion,20 septembre 2004,20,septembre,2004,47107,16601,171,7090,,7573,,460,783,379,,,,,,,,145,,,,,,,,
384,Nelligan,20 septembre 2004,20,septembre,2004,52163,14918,62,7812,,1538,,1039,120,251,,,,,,,,4038,58,,,,,,,
385,Vanier,20 septembre 2004,20,septembre,2004,50547,24037,173,6664,,5243,,11164,155,290,,,,,,,,112,100,71,65,,,,,
386,Outremont,12 décembre 2005,12,décembre,2005,41799,16838,89,8172,,6242,,338,1212,750,,,,,,,,35,,,,,,,,
387,Verchères,12 décembre 2005,12,décembre,2005,42401,19128,171,3344,,13118,,1919,576,,,,,,,,,,,,,,,,,
388,Sainte-Marie-Saint-Jacques,10 avril 2006,10,avril,2006,42437,13356,101,3700,,5462,,257,2943,815,,,,,,,,50,28,,,,,,,
389,Pointe-aux-Trembles,14 août 2006,14,août,2006,40516,13108,315,,,9077,,,1073,1514,,,,,,,,609,231,124,113,52,,,,
390,Taillon,14 août 2006,14,août,2006,55303,19265,197,5966,,8309,,2569,1373,575,,,,,,,,143,133,,,,,,,
391,Charlevoix,24 septembre 2007,24,septembre,2007,33174,19419,163,,,11400,,7125,,403,,,,,,,,135,77,64,52,,,,,
392,Bourget,12 mai 2008,12,mai,2008,47276,16333,162,5161,,6575,,1520,700,1839,,,,,,,,376,,,,,,,,
393,Pointe-aux-Trembles,12 mai 2008,12,mai,2008,40496,13821,146,2987,,7657,,1882,226,661,,,,,,,,153,78,31,,,,,,
394,Hull,12 mai 2008,12,mai,2008,48335,16504,128,7403,,5559,,529,1589,1185,,,,,,,,111,,,,,,,,
395,Jean-Talon,29 septembre 2008,29,septembre,2008,40434,20694,111,12039,,6278,,955,505,707,,,,,,,,99,,,,,,,,
396,Marguerite-Bourgeoys,22 juin 2009,22,juin,2009,46478,10794,87,7753,,1835,,384,265,290,,,,,,,,73,66,41,,,,,,
397,Rivière-du-Loup,22 juin 2009,22,juin,2009,34219,21091,119,9959,,7514,,3089,89,151,,,,,,,,93,40,37,,,,,,
398,Rousseau,21 septembre 2009,21,septembre,2009,55979,16924,216,5148,,9529,,782,735,514,,,,,,,,,,,,,,,,
399,Vachon,6 juillet 2010,6,juillet,2010,46046,13467,174,3236,,7863,,879,727,419,,,,,,,,98,71,,,,,,,
400,Saint-Laurent,13 septembre 2010,13,septembre,2010,52186,11298,166,7126,,1996,,931,566,513,,,,,,,,,,,,,,,,
401,Kamouraska-Témiscouata,29 novembre 2010,29,novembre,2010,34470,19871,296,7017,,7213,,4509,522,314,,,,,,,,,,,,,,,,
402,Bonaventure,5 décembre 2010,5,décembre,2011,29510,16100,154,7887,,5935,,365,1422,206,,,,,,,,131,,,,,,,,
403,Argenteuil,11 juin 2012,11,juin,2012,43441,18453,225,6038,,6631,,3905,500,549,,,,,,,,238,189,152,26,,,,,
404,Lafontaine,11 juin 2012,11,juin,2012,40679,10389,183,5446,,1736,,1601,603,308,,,,,,,,161,129,104,82,36,,,,
405,Outremont,9 décembre 2013,9,décembre,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Viau,9 décembre 2013,9,décembre,2013,,,,,,,,,,,,,,,,,,,,,,,,,,
