"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0800","RFU0900","RFU1000","RFU1100","RFU1300","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg" 
69045,Hinchinbrooke,M,2153,1.08,93788712.00,6820416.00,16942068.00,5052456.00,146688408.00,5964732.00,275256792.00,0.00,0.00,5508.00,430812.00,488535.30,0.00,0.00,79488.54,0.00,276261135.84,02,2 000 @ 9 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69050,Elgin,M,416,1.10,19659420.00,1614690.00,2932490.00,2814130.00,64984590.00,136400.00,92141720.00,0.00,0.00,0.00,245740.00,0.00,0.00,0.00,152.90,0.00,92387612.90,01,1 @ 1 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69055,Huntingdon,V,2488,1.05,93646245.00,25936995.00,2614815.00,32213685.00,1278270.00,3642030.00,159332040.00,0.00,0.00,105.00,529200.00,3680089.88,0.00,2686574.63,6129097.28,0.00,172357106.78,02,2 000 @ 9 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69060,Godmanchester,CT,1420,1.02,69061242.00,6782490.00,4374372.00,4035630.00,153818856.00,1460130.00,239532720.00,0.00,0.00,99144.00,0.00,0.00,0.00,0.00,16659.15,0.00,239648523.15,01,1 @ 1 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69065,Sainte-Barbe,M,1352,1.11,145301664.00,15959580.00,41455392.00,8559876.00,48775509.00,7857468.00,267909489.00,0.00,0.00,7104.00,0.00,0.00,0.00,0.00,0.00,0.00,267916593.00,01,1 @ 1 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69070,Saint-Anicet,M,2669,1.09,270257107.00,14020997.00,143515504.00,20962553.00,138030079.00,15255858.00,602042098.00,0.00,0.00,30302.00,152055.00,0.00,0.00,912241.71,7954.28,0.00,603144650.99,02,2 000 @ 9 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
69075,Dundee,CT,370,1.10,21534590.00,2157210.00,18229530.00,424710.00,59000260.00,1964050.00,103310350.00,0.00,0.00,410520.00,3412420.00,0.00,0.00,0.00,1146.75,0.00,107134436.75,01,1 @ 1 999,AR690,Le Haut-Saint-Laurent,,,16,Montérégie
70005,Saint-Urbain-Premier,M,1277,1.11,107209905.00,9956478.00,2017203.00,8516919.00,100086480.00,2499720.00,230286705.00,0.00,0.00,0.00,0.00,0.00,0.00,1255226.30,0.00,0.00,231541931.30,01,1 @ 1 999,AR700,Beauharnois-Salaberry,,,16,Montérégie
70012,Sainte-Martine,M,5586,1.04,358302256.00,109363384.00,8547968.00,47969480.00,133386760.00,8959288.00,666529136.00,0.00,0.00,0.00,172848.00,921063.00,0.00,1778232.56,1569126.52,0.00,670970406.08,02,2 000 @ 9 999,AR700,Beauharnois-Salaberry,,,16,Montérégie
70022,Beauharnois,V,13246,1.03,715300907.00,281037251.00,64761250.00,169039480.00,81290999.00,52393525.00,1363823412.00,0.00,0.00,913301.00,10432252.00,9541672.80,0.00,8213949.24,17427439.84,0.00,1410352026.88,03,10 000 @ 24 999,AR700,Beauharnois-Salaberry,CM663,Communauté métropolitaine de Montréal,16,Montérégie
