Date,Moyen,Site,Nombre,Montant
2019-02-01,"FERG","à Laval, sur le boulevard de la Concorde Ouest, à l'intersection de la 12e Avenue, en direction nord-est",379,64063
2019-02-01,"FERG","à Laval, sur le boulevard des Laurentides, à l'intersection du boulevard Dagenais, en direction sud-est",664,112210
2019-02-01,"FERG","À Laval, sur le boulevard Saint-Martin, à l'intersection de la route 335, dénommée boulevard des Laurentides, en direction sud-ouest",188,31778
2019-02-01,"FERG","à Lévis, à l'interserction boul. Wilfrid-Carrier et rue Louis-H.-La Fontaine sur la route Président-Kennedy (route 173)",9663,1545142
2019-02-01,"FERG","À Longueuil, à l'intersection du boulevard Gaétan-Boucher et du boulevard Cousineau en direction Sud-Est",101,17081
2019-02-01,"FERG","À Montréal, à l'intersection de la rue Berri et du boulevard Henri-Bourassa Est, sur la rue Berri",288,48651
2019-02-01,"FERG","à Montréal, à l'intersection de la rue D'Iberville et de la rue Sainte-Catherine Est",2230,355129
2019-02-01,"FERG","à Montréal, à l'intersection de la rue Notre-Dame Ouest et de la rue University",6268,983801
2019-02-01,"FERG","à Montréal, à l'intersection de la rue Paré et du boulevard Décarie Nord",8784,1403947
2019-02-01,"FERG","À Québec, à l'intersection de l'autoroute 573 et de l'avenue Industrielle, sur l'autoroute 573 en direction nord-ouest",13,2197
2019-02-01,"FERG","À Québec, à l'intersection du boulevard Charest ouest et de l'avenue Saint-Sacrement, sur le boulevard Charest en direction nord-est",106,17929
2019-02-01,"FERG","à Saint-Constant, à l'intersection du boulevard Monchamp et de la route 132",685,107857
2019-02-01,"FERG","À Saint-Esprit, à l'intersection de la route 158 et de la route 125, sur la route 158 en direction nord",647,109334
2019-02-01,"FERG","À Saint-Hyacinthe, à l'intersection du boulevard Laframboise et du boulevard Casavant ouest, sur le boulevard Laframboise en direction sud-est",101,17018
2019-02-01,"FERG","À Salaberry-de-Valleyfield, à l'intersection de la route 201 et de l'avenue de Grande-Île, sur la route 201 en direction sud-ouest",920,155472
2019-02-01,"FERG","à Thetford Mines, à l'intersection du boul. Ouellet et du boulevard Frontenac Est (route 112)",1277,203584
