stationId,polluant,valeur,date,heure
80,"PM",10,"2025-01-23",5
99,"SO2",1,"2025-01-23",5
99,"O3",19,"2025-01-23",5
99,"NO2",2,"2025-01-23",5
99,"PM",9,"2025-01-23",5
103,"O3",20,"2025-01-23",5
103,"NO2",1,"2025-01-23",5
103,"PM",10,"2025-01-23",5
3,"SO2",1,"2025-01-23",0
3,"O3",16,"2025-01-23",0
3,"NO2",3,"2025-01-23",0
3,"PM",19,"2025-01-23",0
6,"SO2",1,"2025-01-23",0
6,"O3",13,"2025-01-23",0
6,"NO2",4,"2025-01-23",0
6,"PM",28,"2025-01-23",0
17,"O3",16,"2025-01-23",0
17,"NO2",3,"2025-01-23",0
17,"PM",19,"2025-01-23",0
28,"CO",1,"2025-01-23",0
28,"O3",14,"2025-01-23",0
28,"NO2",4,"2025-01-23",0
28,"PM",20,"2025-01-23",0
31,"SO2",1,"2025-01-23",0
31,"CO",1,"2025-01-23",0
31,"O3",17,"2025-01-23",0
31,"NO2",3,"2025-01-23",0
31,"PM",17,"2025-01-23",0
50,"PM",16,"2025-01-23",0
55,"O3",9,"2025-01-23",0
55,"NO2",5,"2025-01-23",0
55,"PM",22,"2025-01-23",0
66,"O3",18,"2025-01-23",0
66,"NO2",3,"2025-01-23",0
66,"PM",11,"2025-01-23",0
80,"SO2",1,"2025-01-23",0
80,"O3",15,"2025-01-23",0
80,"NO2",4,"2025-01-23",0
80,"PM",16,"2025-01-23",0
99,"SO2",1,"2025-01-23",0
99,"O3",12,"2025-01-23",0
99,"NO2",5,"2025-01-23",0
99,"PM",14,"2025-01-23",0
103,"O3",18,"2025-01-23",0
103,"NO2",2,"2025-01-23",0
103,"PM",18,"2025-01-23",0
31,"CO",1,"2025-01-23",14
31,"O3",17,"2025-01-23",14
31,"NO2",4,"2025-01-23",14
31,"PM",12,"2025-01-23",14
50,"PM",10,"2025-01-23",14
55,"O3",21,"2025-01-23",14
55,"NO2",2,"2025-01-23",14
55,"PM",10,"2025-01-23",14
66,"O3",22,"2025-01-23",14
66,"NO2",2,"2025-01-23",14
80,"SO2",1,"2025-01-23",14
80,"O3",19,"2025-01-23",14
80,"NO2",3,"2025-01-23",14
80,"PM",11,"2025-01-23",14
99,"SO2",1,"2025-01-23",14
99,"O3",24,"2025-01-23",14
99,"NO2",1,"2025-01-23",14
99,"PM",9,"2025-01-23",14
103,"O3",21,"2025-01-23",14
103,"NO2",1,"2025-01-23",14
103,"PM",11,"2025-01-23",14
3,"SO2",1,"2025-01-23",1
3,"O3",16,"2025-01-23",1
3,"NO2",3,"2025-01-23",1
3,"PM",18,"2025-01-23",1
6,"SO2",1,"2025-01-23",1
6,"O3",12,"2025-01-23",1
6,"NO2",4,"2025-01-23",1
6,"PM",25,"2025-01-23",1
17,"O3",15,"2025-01-23",1
17,"NO2",3,"2025-01-23",1
17,"PM",17,"2025-01-23",1
28,"CO",1,"2025-01-23",1
28,"O3",13,"2025-01-23",1
28,"NO2",4,"2025-01-23",1
28,"PM",18,"2025-01-23",1
31,"SO2",1,"2025-01-23",1
31,"CO",1,"2025-01-23",1
31,"O3",17,"2025-01-23",1
31,"NO2",3,"2025-01-23",1
31,"PM",16,"2025-01-23",1
50,"PM",14,"2025-01-23",1
55,"O3",10,"2025-01-23",1
55,"NO2",5,"2025-01-23",1
55,"PM",19,"2025-01-23",1
66,"O3",18,"2025-01-23",1
66,"NO2",2,"2025-01-23",1
66,"PM",11,"2025-01-23",1
80,"SO2",1,"2025-01-23",1
80,"O3",15,"2025-01-23",1
80,"NO2",4,"2025-01-23",1
80,"PM",15,"2025-01-23",1
99,"SO2",1,"2025-01-23",1
99,"O3",14,"2025-01-23",1
99,"NO2",4,"2025-01-23",1
99,"PM",14,"2025-01-23",1
103,"O3",19,"2025-01-23",1
103,"NO2",1,"2025-01-23",1
103,"PM",17,"2025-01-23",1
3,"SO2",1,"2025-01-23",12
3,"O3",17,"2025-01-23",12
3,"NO2",3,"2025-01-23",12
3,"PM",13,"2025-01-23",12
6,"SO2",1,"2025-01-23",12
6,"O3",17,"2025-01-23",12
6,"NO2",3,"2025-01-23",12
6,"PM",13,"2025-01-23",12
3,"O3",18,"2025-01-23",13
3,"NO2",2,"2025-01-23",13
3,"PM",12,"2025-01-23",13
6,"SO2",1,"2025-01-23",13
6,"O3",19,"2025-01-23",13
6,"NO2",3,"2025-01-23",13
6,"PM",12,"2025-01-23",13
17,"O3",19,"2025-01-23",13
17,"NO2",3,"2025-01-23",13
17,"PM",13,"2025-01-23",13
3,"SO2",1,"2025-01-23",13
3,"SO2",1,"2025-01-23",6
3,"O3",20,"2025-01-23",6
3,"NO2",2,"2025-01-23",6
3,"PM",10,"2025-01-23",6
6,"SO2",1,"2025-01-23",6
6,"O3",17,"2025-01-23",6
6,"NO2",3,"2025-01-23",6
6,"PM",14,"2025-01-23",6
17,"O3",17,"2025-01-23",6
17,"NO2",3,"2025-01-23",6
17,"PM",11,"2025-01-23",6
28,"CO",1,"2025-01-23",6
28,"O3",14,"2025-01-23",6
28,"NO2",4,"2025-01-23",6
28,"PM",11,"2025-01-23",6
31,"SO2",1,"2025-01-23",6
31,"CO",1,"2025-01-23",6
31,"O3",15,"2025-01-23",6
31,"NO2",4,"2025-01-23",6
31,"PM",11,"2025-01-23",6
50,"PM",10,"2025-01-23",6
55,"O3",16,"2025-01-23",6
55,"NO2",3,"2025-01-23",6
55,"PM",11,"2025-01-23",6
66,"O3",18,"2025-01-23",6
66,"NO2",2,"2025-01-23",6
66,"PM",9,"2025-01-23",6
80,"SO2",1,"2025-01-23",6
80,"O3",16,"2025-01-23",6
80,"NO2",4,"2025-01-23",6
80,"PM",10,"2025-01-23",6
99,"SO2",1,"2025-01-23",6
99,"O3",17,"2025-01-23",6
99,"NO2",3,"2025-01-23",6
99,"PM",9,"2025-01-23",6
103,"O3",19,"2025-01-23",6
103,"NO2",1,"2025-01-23",6
103,"PM",10,"2025-01-23",6
17,"NO2",3,"2025-01-23",12
17,"PM",13,"2025-01-23",12
28,"CO",1,"2025-01-23",12
28,"O3",14,"2025-01-23",12
28,"PM",13,"2025-01-23",12
31,"SO2",1,"2025-01-23",12
31,"CO",1,"2025-01-23",12
31,"O3",15,"2025-01-23",12
31,"NO2",5,"2025-01-23",12
31,"PM",14,"2025-01-23",12
50,"PM",12,"2025-01-23",12
55,"O3",18,"2025-01-23",12
55,"NO2",2,"2025-01-23",12
55,"PM",11,"2025-01-23",12
66,"O3",20,"2025-01-23",12
66,"NO2",2,"2025-01-23",12
66,"PM",10,"2025-01-23",12
80,"SO2",1,"2025-01-23",12
80,"O3",17,"2025-01-23",12
80,"NO2",3,"2025-01-23",12
80,"PM",12,"2025-01-23",12
99,"SO2",1,"2025-01-23",12
99,"O3",22,"2025-01-23",12
99,"NO2",2,"2025-01-23",12
99,"PM",10,"2025-01-23",12
103,"O3",20,"2025-01-23",12
103,"NO2",1,"2025-01-23",12
103,"PM",12,"2025-01-23",12
3,"SO2",1,"2025-01-23",10
3,"O3",13,"2025-01-23",10
3,"NO2",4,"2025-01-23",10
3,"PM",14,"2025-01-23",10
6,"SO2",1,"2025-01-23",10
6,"O3",15,"2025-01-23",10
6,"NO2",4,"2025-01-23",10
6,"PM",15,"2025-01-23",10
17,"O3",14,"2025-01-23",10
17,"NO2",4,"2025-01-23",10
17,"PM",13,"2025-01-23",10
28,"CO",1,"2025-01-23",10
28,"O3",11,"2025-01-23",10
28,"NO2",5,"2025-01-23",10
28,"PM",13,"2025-01-23",10
31,"SO2",1,"2025-01-23",10
31,"CO",1,"2025-01-23",10
31,"O3",7,"2025-01-23",10
31,"NO2",8,"2025-01-23",10
31,"PM",15,"2025-01-23",10
50,"PM",14,"2025-01-23",10
55,"O3",14,"2025-01-23",10
55,"NO2",4,"2025-01-23",10
55,"PM",13,"2025-01-23",10
66,"O3",18,"2025-01-23",10
66,"NO2",2,"2025-01-23",10
66,"PM",11,"2025-01-23",10
80,"SO2",1,"2025-01-23",10
80,"O3",16,"2025-01-23",10
80,"NO2",4,"2025-01-23",10
80,"PM",13,"2025-01-23",10
99,"SO2",1,"2025-01-23",10
99,"O3",19,"2025-01-23",10
99,"NO2",3,"2025-01-23",10
99,"PM",12,"2025-01-23",10
103,"O3",17,"2025-01-23",10
103,"NO2",2,"2025-01-23",10
103,"PM",13,"2025-01-23",10
17,"O3",16,"2025-01-23",12
3,"SO2",1,"2025-01-23",9
3,"O3",14,"2025-01-23",9
3,"NO2",4,"2025-01-23",9
3,"PM",13,"2025-01-23",9
6,"SO2",1,"2025-01-23",9
6,"O3",9,"2025-01-23",9
6,"NO2",5,"2025-01-23",9
6,"PM",15,"2025-01-23",9
17,"O3",11,"2025-01-23",9
17,"NO2",5,"2025-01-23",9
17,"PM",13,"2025-01-23",9
28,"CO",1,"2025-01-23",9
28,"O3",9,"2025-01-23",9
28,"NO2",6,"2025-01-23",9
28,"PM",12,"2025-01-23",9
31,"SO2",1,"2025-01-23",9
31,"CO",1,"2025-01-23",9
31,"O3",3,"2025-01-23",9
31,"NO2",9,"2025-01-23",9
31,"PM",15,"2025-01-23",9
50,"PM",13,"2025-01-23",9
55,"O3",9,"2025-01-23",9
55,"NO2",5,"2025-01-23",9
55,"PM",13,"2025-01-23",9
66,"O3",15,"2025-01-23",9
66,"NO2",4,"2025-01-23",9
66,"PM",11,"2025-01-23",9
80,"SO2",1,"2025-01-23",9
80,"O3",10,"2025-01-23",9
80,"NO2",5,"2025-01-23",9
80,"PM",13,"2025-01-23",9
99,"SO2",1,"2025-01-23",9
99,"O3",14,"2025-01-23",9
99,"NO2",5,"2025-01-23",9
99,"PM",12,"2025-01-23",9
103,"O3",16,"2025-01-23",9
103,"NO2",2,"2025-01-23",9
103,"PM",13,"2025-01-23",9
28,"CO",1,"2025-01-23",13
28,"O3",15,"2025-01-23",13
28,"PM",12,"2025-01-23",13
31,"SO2",1,"2025-01-23",13
31,"CO",1,"2025-01-23",13
31,"O3",15,"2025-01-23",13
31,"NO2",5,"2025-01-23",13
31,"PM",12,"2025-01-23",13
50,"PM",11,"2025-01-23",13
55,"O3",19,"2025-01-23",13
55,"NO2",2,"2025-01-23",13
55,"PM",10,"2025-01-23",13
66,"O3",22,"2025-01-23",13
66,"NO2",1,"2025-01-23",13
66,"PM",10,"2025-01-23",13
80,"SO2",1,"2025-01-23",13
80,"O3",19,"2025-01-23",13
80,"NO2",3,"2025-01-23",13
80,"PM",11,"2025-01-23",13
99,"SO2",1,"2025-01-23",13
99,"O3",24,"2025-01-23",13
99,"NO2",1,"2025-01-23",13
99,"PM",9,"2025-01-23",13
103,"O3",21,"2025-01-23",13
103,"NO2",1,"2025-01-23",13
103,"PM",11,"2025-01-23",13
3,"SO2",1,"2025-01-23",8
3,"O3",13,"2025-01-23",8
3,"NO2",4,"2025-01-23",8
