ï»¿NO_LAMPE,TYPE_LAMPE,NO_CIVIQUE,NOMRUEAC,TYPEAC,PARTAC 
415-713-1,DEL,174,Dessureault,rue,
415-714-1,IND,160,Dessureault,rue,
415-715-1,IND,109,Dessureault,rue,
415-716-1,IND,105,Dessureault,rue,
415-717-1,IND,83,Dessureault,rue,
415-718-1,IND,71,Dessureault,rue,
415-719-1,IND,53,Dessureault,rue,
415-720-1,IND,39,Dessureault,rue,
415-721-1,IND,31,Dessureault,rue,
415-722-1,IND,17,Dessureault,rue,
415-723-1,IND,445,Bertrand,rue,
415-724-1,IND,465,Bertrand,rue,
415-725-1,IND,475,Bertrand,rue,
415-726-1,IND,485,Bertrand,rue,
415-727-1,IND,,Bertrand,rue,
415-728-1,IND,490,Bertrand,rue,
415-729-1,IND,494,Bertrand,rue,
420-212-1,IND,,Dumont,rue,
420-213-1,IND,,Dumont,rue,
420-214-1,IND,,Dumont,rue,
420-215-1,IND,,Dumont,rue,
420-216-1,IND,,Dumont,rue,
420-217-1,IND,,Dumont,rue,
415-730-1,IND,,Aviation,rue,de l'
415-731-1,IND,490,Aviation,rue,de l'
415-732-1,IND,494,Aviation,rue,de l'
415-733-1,IND,504,Aviation,rue,de l'
415-734-1,IND,520,Aviation,rue,de l'
415-735-1,IND,520,Aviation,rue,de l'
420-218-1,IND,489,Herlin,rue,
420-219-1,IND,485,Herlin,rue,
415-736-1,IND,,Le Moyne,rue,
415-737-1,IND,482,Leduc,rue,
415-738-1,IND,486,Leduc,rue,
415-739-1,IND,490,Leduc,rue,
420-220-1,IND,,Leduc,rue,
415-740-1,IND,,Leduc,rue,
415-741-1,IND,,Leduc,rue,
415-749-1,IND,825,Houssart,rue,
415-750-1,IND,,Houssart,rue,
415-751-1,IND,795,Houssart,rue,
415-752-1,IND,795,Houssart,rue,
415-753-1,IND,625,Houssart,rue,
415-754-1,IND,625,Houssart,rue,
420-222-1,IND,,Houssart,rue,
415-755-1,IND,,Charretier,rue,du
415-756-1,IND,587,Charretier,rue,du
415-757-1,IND,599,Charretier,rue,du
415-1534-1,IND,25,Biron,rue,
420-627-1,IND,45,Biron,rue,
420-628-1,IND,75,Biron,rue,
420-629-1,IND,95,Biron,rue,
420-630-1,IND,105,Biron,rue,
415-758-1,IND,583,Sabotier,rue,du
415-759-1,IND,584,Sabotier,rue,du
420-631-1,IND,125,Biron,rue,
415-760-1,IND,596,Sabotier,rue,du
415-761-1,IND,606,Sabotier,rue,du
415-762-1,IND,612,Sabotier,rue,du
420-632-1,IND,155,Biron,rue,
415-763-1,IND,624,Sabotier,rue,du
415-1533-1,IND,175,Biron,rue,
420-633-1,IND,185,Biron,rue,
420-634-1,IND,10,Langis,rue,
415-764-1,IND,205,Radnor,rue,
420-635-1,IND,30,Langis,rue,
415-765-1,IND,185,Radnor,rue,
420-636-1,IND,60,Langis,rue,
415-766-1,IND,165,Radnor,rue,
420-637-1,IND,70,Langis,rue,
415-1532-1,IND,100,Langis,rue,
415-768-1,IND,110,Radnor,rue,
415-769-1,IND,95,Radnor,rue,
415-770-1,IND,65,Radnor,rue,
420-638-1,IND,15,Beaudin,rue,
415-771-1,IND,57,Radnor,rue,
415-772-1,IND,55,Radnor,rue,
420-639-1,IND,45,Beaudin,rue,
420-640-1,IND,75,Beaudin,rue,
415-773-1,IND,40,Radnor,rue,
420-641-1,IND,105,Beaudin,rue,
415-774-1,IND,39,Radnor,rue,
415-775-1,IND,16,Radnor,rue,
415-776-1,IND,9,Radnor,rue,
415-1531-1,IND,,Wilfrid-Laurier,rue,
415-1530-1,IND,11,Wilfrid-Laurier,rue,
420-642-1,IND,35,Wilfrid-Laurier,rue,
420-643-1,IND,,Wilfrid-Laurier,rue,
420-644-1,IND,,Wilfrid-Laurier,rue,
420-645-1,IND,,Wilfrid-Laurier,rue,
420-646-1,IND,,Wilfrid-Laurier,rue,
415-1529-1,IND,,Wilfrid-Laurier,rue,
420-647-1,IND,15,Monseigneur-Tessier,rue,
420-648-1,IND,35,Monseigneur-Tessier,rue,
420-649-1,IND,65,Monseigneur-Tessier,rue,
420-650-1,IND,105,Monseigneur-Tessier,rue,
420-651-1,IND,115,Monseigneur-Tessier,rue,
420-652-1,IND,20,ZÃ©phirin-Garceau,rue,
420-653-1,IND,40,ZÃ©phirin-Garceau,rue,
415-777-1,IND,,Saint-Laurent,rue,
415-778-1,IND,16,Saint-Laurent,rue,
420-654-1,IND,45,ZÃ©phirin-Garceau,rue,
415-779-1,IND,21,Saint-Laurent,rue,
415-780-1,IND,33,Saint-Laurent,rue,
415-782-1,IND,40,Saint-Laurent,rue,
415-783-1,IND,57,Saint-Laurent,rue,
415-784-1,IND,81,Saint-Laurent,rue,
415-785-1,IND,86,Saint-Laurent,rue,
415-786-1,IND,100,Saint-Laurent,rue,
415-787-1,IND,119,Saint-Laurent,rue,
415-788-1,DEL,129,Saint-Laurent,rue,
415-789-1,IND,141,Saint-Laurent,rue,
415-790-1,DEL,163,Saint-Laurent,rue,
415-791-1,IND,182,Saint-Laurent,rue,
415-792-1,IND,204,Saint-Laurent,rue,
415-793-1,IND,228,Saint-Laurent,rue,
415-1528-1,IND,126,Traverse,rue,de la
415-794-1,IND,232,Saint-Laurent,rue,
415-795-1,DEL,234,Saint-Laurent,rue,
415-1754-1,IND,142,Traverse,rue,de la
415-796-1,IND,266,Saint-Laurent,rue,
415-797-1,DEL,263,Saint-Laurent,rue,
415-1527-1,IND,160,Traverse,rue,de la
415-798-1,DEL,278,Saint-Laurent,rue,
415-799-1,IND,273,Saint-Laurent,rue,
415-1526-1,IND,172,Traverse,rue,de la
415-800-1,IND,290,Saint-Laurent,rue,
415-1525-1,IND,190,Traverse,rue,de la
415-1753-1,IND,202,Traverse,rue,de la
415-801-1,IND,290,Saint-Laurent,rue,
415-802-1,IND,290,Saint-Laurent,rue,
415-1524-1,DEL,212,Traverse,rue,de la
420-655-1,IND,226,Traverse,rue,de la
415-803-1,IND,,Saint-Laurent,rue,
415-804-1,IND,307,Saint-Laurent,rue,
420-656-1,IND,232,Traverse,rue,de la
415-805-1,IND,311,Saint-Laurent,rue,
415-1523-1,IND,244,Traverse,rue,de la
415-806-1,IND,321,Saint-Laurent,rue,
415-807-1,IND,322,Saint-Laurent,rue,
415-808-1,DEL,330,Saint-Laurent,rue,
420-657-1,IND,249,Traverse,rue,de la
415-809-1,IND,334,Saint-Laurent,rue,
420-658-1,IND,265,Traverse,rue,de la
420-660-1,IND,277,Traverse,rue,de la
420-659-1,IND,283,Traverse,rue,de la
420-661-1,IND,295,Traverse,rue,de la
420-662-1,IND,307,Traverse,rue,de la
415-810-1,IND,338,Saint-Laurent,rue,
420-663-1,IND,319,Traverse,rue,de la
415-811-1,IND,344,Saint-Laurent,rue,
420-664-1,IND,331,Traverse,rue,de la
420-665-1,IND,343,Traverse,rue,de la
420-666-1,IND,355,Traverse,rue,de la
415-813-1,IND,354,Saint-Laurent,rue,
415-814-1,DEL,360,Saint-Laurent,rue,
415-815-1,IND,366,Saint-Laurent,rue,
415-816-1,DEL,372,Saint-Laurent,rue,
415-817-1,DEL,378,Saint-Laurent,rue,
415-1522-1,IND,15,Cossette,rue,
415-818-1,IND,386,Saint-Laurent,rue,
420-667-1,IND,35,Cossette,rue,
415-819-1,IND,400,Saint-Laurent,rue,
415-820-1,IND,408,Saint-Laurent,rue,
415-821-1,IND,424,Saint-Laurent,rue,
420-668-1,IND,65,Cossette,rue,
415-822-1,DEL,430,Saint-Laurent,rue,
420-669-1,IND,95,Cossette,rue,
420-670-1,IND,125,Cossette,rue,
415-823-1,IND,450,Saint-Laurent,rue,
420-671-1,IND,135,Cossette,rue,
415-824-1,IND,450,Saint-Laurent,rue,
415-825-1,IND,498,Saint-Laurent,rue,
420-672-1,IND,185,Cossette,rue,
415-826-1,IND,506,Saint-Laurent,rue,
415-827-1,IND,518,Saint-Laurent,rue,
420-673-1,IND,205,Cossette,rue,
420-674-1,IND,240,Cossette,rue,
415-828-1,IND,531,Saint-Laurent,rue,
415-1521-1,IND,270,Cossette,rue,
415-829-1,IND,552,Saint-Laurent,rue,
415-830-1,IND,,Saint-Laurent,rue,
420-675-1,DEL,300,Cossette,rue,
415-831-1,IND,,Saint-Laurent,rue,
420-676-1,IND,330,Cossette,rue,
415-832-1,IND,645,Saint-Laurent,rue,
415-833-1,IND,680,Saint-Laurent,rue,
415-834-1,IND,705,Saint-Laurent,rue,
420-677-1,IND,370,Cossette,rue,
415-835-1,IND,740,Saint-Laurent,rue,
415-836-1,IND,770,Saint-Laurent,rue,
415-837-1,DEL,800,Saint-Laurent,rue,
415-838-1,IND,830,Saint-Laurent,rue,
415-839-1,IND,,Saint-Laurent,rue,
420-678-1,IND,10,Labrecque,rue,
420-590-1,IND,,Parc,rue,du
420-679-1,IND,40,Labrecque,rue,
420-589-1,IND,,Parc,rue,du
420-588-1,IND,,Parc,rue,du
420-680-1,IND,70,Labrecque,rue,
420-587-1,DEL,,Parc,rue,du
420-681-1,DEL,15,FranÃ§ois-Courteau,rue,
420-682-1,IND,35,FranÃ§ois-Courteau,rue,
420-683-1,IND,55,FranÃ§ois-Courteau,rue,
420-684-1,IND,85,FranÃ§ois-Courteau,rue,
415-840-1,IND,402,Charpentier,rue,du
415-841-1,IND,374,Charpentier,rue,du
415-842-1,IND,470,Serrurier,rue,du
415-843-1,IND,451,Serrurier,rue,du
415-844-1,IND,430,Serrurier,rue,du
415-845-1,IND,392,Serrurier,rue,du
415-846-1,IND,375,Serrurier,rue,du
415-847-1,IND,355,Serrurier,rue,du
415-848-1,IND,337,Serrurier,rue,du
415-849-1,IND,310,Serrurier,rue,du
415-850-1,IND,315,Serrurier,rue,du
415-851-1,IND,,Serrurier,rue,du
415-852-1,IND,295,Serrurier,rue,du
415-853-1,IND,425,Menuisier,rue,du
415-854-1,IND,407,Menuisier,rue,du
415-855-1,IND,389,Menuisier,rue,du
415-856-1,IND,,Menuisier,rue,du
415-857-1,IND,477,Charbonnier,rue,du
415-859-1,IND,451,Charbonnier,rue,du
415-860-1,IND,,Charbonnier,rue,du
415-861-1,IND,425,Charbonnier,rue,du
415-862-1,IND,407,Charbonnier,rue,du
415-863-1,IND,384,Charbonnier,rue,du
415-864-1,IND,367,Charbonnier,rue,du
415-865-1,IND,345,Charbonnier,rue,du
415-866-1,IND,,Charbonnier,rue,du
415-867-1,IND,318,Charbonnier,rue,du
415-868-1,IND,,Houdan,rue,
415-869-1,IND,,GiguÃ¨re,rue,
415-870-1,IND,21,GiguÃ¨re,rue,
415-871-1,IND,8,Armurier,rue,de l'
415-872-1,IND,17,Armurier,rue,de l'
415-873-1,IND,30,Armurier,rue,de l'
415-874-1,IND,479,Verrier,rue,du
415-875-1,IND,452,Verrier,rue,du
415-876-1,IND,492,Sellier,rue,du
415-877-1,IND,464,Sellier,rue,du
415-878-1,IND,905,Berlinguet,rue,
415-879-1,IND,905,Berlinguet,rue,
415-880-1,IND,885,Berlinguet,rue,
415-881-1,IND,865,Berlinguet,rue,
415-882-1,IND,865,Berlinguet,rue,
415-883-1,IND,845,Berlinguet,rue,
415-884-1,IND,805,Berlinguet,rue,
415-885-1,IND,795,Berlinguet,rue,
415-886-1,IND,781,Berlinguet,rue,
415-887-1,IND,775,Berlinguet,rue,
415-888-1,IND,,Berlinguet,rue,
415-889-1,IND,715,Berlinguet,rue,
415-890-1,IND,715,Berlinguet,rue,
415-891-1,IND,718,Berlinguet,rue,
415-892-1,IND,712,Berlinguet,rue,
415-893-1,IND,,Berlinguet,rue,
415-894-1,IND,687,Berlinguet,rue,
415-895-1,IND,681,Berlinguet,rue,
415-896-1,IND,667,Berlinguet,rue,
415-897-1,IND,622,Berlinguet,rue,
415-898-1,IND,598,Berlinguet,rue,
415-899-1,IND,580,Berlinguet,rue,
415-900-1,IND,556,Berlinguet,rue,
415-901-1,IND,544,Berlinguet,rue,
415-903-1,IND,520,Berlinguet,rue,
415-904-1,IND,502,Berlinguet,rue,
415-905-1,IND,485,Berlinguet,rue,
415-906-1,IND,473,Berlinguet,rue,
415-908-1,IND,448,Berlinguet,rue,
415-909-1,IND,,Berlinguet,rue,
415-910-1,IND,,Berlinguet,rue,
415-911-1,IND,454,BÃ©liveau,rue,
415-912-1,IND,35,Duvernay,rue,
415-913-1,IND,15,Duvernay,rue,
415-914-1,IND,,Duvernay,rue,
415-915-1,IND,2,HÃ©bert,rue,
415-916-1,IND,28,HÃ©bert,rue,
415-917-1,IND,39,HÃ©bert,rue,
415-106-1,IND,60,HÃ©bert,rue,
415-107-1,IND,72,HÃ©bert,rue,
415-108-1,IND,90,HÃ©bert,rue,
415-109-1,IND,130,HÃ©bert,rue,
420-232-1,IND,150,HÃ©bert,rue,
420-233-1,IND,160,HÃ©bert,rue,
420-234-1,IND,190,HÃ©bert,rue,
420-235-1,IND,220,HÃ©bert,rue,
415-918-1,IND,3,Normand,rue,
415-919-1,IND,45,Normand,rue,
415-920-1,IND,65,Normand,rue,
415-922-1,IND,80,Normand,rue,
415-923-1,IND,84,Normand,rue,
415-924-1,IND,100,Normand,rue,
415-925-1,IND,122,Normand,rue,
415-926-1,IND,130,Normand,rue,
415-928-1,IND,158,Normand,rue,
415-929-1,IND,174,Normand,rue,
415-930-1,IND,184,Normand,rue,
415-931-1,IND,205,Normand,rue,
415-932-1,IND,220,Normand,rue,
415-933-1,IND,250,Normand,rue,
415-934-1,IND,260,Normand,rue,
415-935-1,IND,280,Normand,rue,
415-936-1,IND,300,Normand,rue,
415-937-1,IND,330,Normand,rue,
415-938-1,IND,,Normand,rue,
415-939-1,IND,10,Fonderie,rue,de la
415-940-1,IND,39,Fonderie,rue,de la
415-941-1,IND,44,Fonderie,rue,de la
415-942-1,IND,69,Fonderie,rue,de la
415-943-1,IND,75,Fonderie,rue,de la
415-944-1,IND,107,Fonderie,rue,de la
415-945-1,IND,119,Fonderie,rue,de la
415-946-1,IND,131,Fonderie,rue,de la
415-947-1,IND,143,Fonderie,rue,de la
415-948-1,IND,155,Fonderie,rue,de la
415-949-1,IND,167,Fonderie,rue,de la
415-950-1,IND,185,Fonderie,rue,de la
415-951-1,DEL,203,Fonderie,rue,de la
415-952-1,IND,215,Fonderie,rue,de la
420-236-1,IND,226,Fonderie,rue,de la
420-237-1,IND,233,Fonderie,rue,de la
420-239-1,IND,40,Lapointe,rue,
420-238-1,IND,70,Lapointe,rue,
415-953-1,IND,75,Lapointe,rue,
415-954-1,IND,310,Passage,chemin,du
415-955-1,IND,302,Passage,chemin,du
415-956-1,IND,,Passage,chemin,du
415-957-1,IND,257,Passage,chemin,du
415-958-1,IND,245,Passage,chemin,du
415-959-1,IND,231,Passage,chemin,du
415-960-1,IND,221,Passage,chemin,du
415-961-1,IND,209,Passage,chemin,du
415-962-1,IND,195,Passage,chemin,du
415-963-1,IND,185,Passage,chemin,du
415-964-1,IND,175,Passage,chemin,du
415-965-1,IND,155,Passage,chemin,du
415-966-1,IND,151,Passage,chemin,du
415-967-1,IND,137,Passage,chemin,du
415-968-1,IND,129,Passage,chemin,du
415-1517-1,DEL,2,Duplessis,rue,
415-969-1,IND,119,Passage,chemin,du
415-1516-1,IND,10,Duplessis,rue,
415-1515-1,IND,19,Duplessis,rue,
415-970-1,DEL,115,Passage,chemin,du
415-1514-1,IND,36,Duplessis,rue,
415-971-1,DEL,107,Passage,chemin,du
415-1513-1,IND,48,Duplessis,rue,
415-972-1,IND,88,Passage,chemin,du
415-973-1,IND,88,Passage,chemin,du
415-1512-1,IND,54,Duplessis,rue,
415-975-1,IND,84,Passage,chemin,du
415-976-1,IND,84,Passage,chemin,du
415-977-1,IND,80,Passage,chemin,du
415-978-1,IND,80,Passage,chemin,du
415-979-1,IND,,Passage,chemin,du
415-980-1,IND,,Passage,chemin,du
415-981-1,IND,10,Passage,chemin,du
415-982-1,IND,25,Passage,chemin,du
415-1511-1,IND,62,Duplessis,rue,
415-1510-1,IND,76,Duplessis,rue,
415-1509-1,IND,88,Duplessis,rue,
401-1-1,DEL,,Sainte-Madeleine,boulevard,
401-2-1,DEL,,Sainte-Madeleine,boulevard,
401-3-1,DEL,,Sainte-Madeleine,boulevard,
401-4-1,DEL,,Sainte-Madeleine,boulevard,
401-5-1,DEL,,Sainte-Madeleine,boulevard,
401-6-1,DEL,,Sainte-Madeleine,boulevard,
401-7-1,DEL,,Sainte-Madeleine,boulevard,
401-8-1,DEL,,Sainte-Madeleine,boulevard,
401-9-1,DEL,,Sainte-Madeleine,boulevard,
401-10-1,DEL,,Sainte-Madeleine,boulevard,
94594-1-1,IND,50,RenÃ©-Ãdouard-Caron,place,
94594-4-1,DEL,90,RenÃ©-Ãdouard-Caron,place,
94594-2-1,IND,120,RenÃ©-Ãdouard-Caron,place,
94594-3-1,IND,140,RenÃ©-Ãdouard-Caron,place,
94594-60-1,IND,215,Estacades,boulevard,des
94594-60-2,IND,215,Estacades,boulevard,des
94594-5-1,IND,,Pie-XII,rue,
94594-61-1,IND,195,Estacades,boulevard,des
94594-61-2,IND,195,Estacades,boulevard,des
94594-6-1,IND,515,Pie-XII,rue,
94594-62-1,IND,185,Estacades,boulevard,des
94594-62-2,IND,185,Estacades,boulevard,des
94594-7-1,IND,515,Pie-XII,rue,
94594-63-1,IND,175,Estacades,boulevard,des
94594-63-2,IND,175,Estacades,boulevard,des
94594-64-1,IND,165,Estacades,boulevard,des
94594-64-2,IND,165,Estacades,boulevard,des
94594-8-1,IND,,Pie-XII,rue,
94594-9-1,IND,,Pie-XII,rue,
94594-10-1,IND,,Pie-XII,rue,
94594-11-1,IND,,Pie-XII,rue,
94594-12-1,IND,475,Pie-XII,rue,
94594-65-1,IND,145,Estacades,boulevard,des
94594-65-2,IND,145,Estacades,boulevard,des
94594-66-1,IND,135,Estacades,boulevard,des
94594-67-1,IND,125,Estacades,boulevard,des
94594-66-2,IND,135,Estacades,boulevard,des
94594-67-2,IND,125,Estacades,boulevard,des
94594-68-1,IND,,Estacades,boulevard,des
94594-68-2,IND,,Estacades,boulevard,des
94594-69-1,IND,,Estacades,boulevard,des
94594-69-2,IND,,Estacades,boulevard,des
94594-70-1,IND,105,Estacades,boulevard,des
94594-70-2,IND,105,Estacades,boulevard,des
94594-71-1,IND,95,Estacades,boulevard,des
94594-71-2,IND,95,Estacades,boulevard,des
94594-72-1,IND,75,Estacades,boulevard,des
94594-72-2,IND,75,Estacades,boulevard,des
94594-73-1,IND,55,Estacades,boulevard,des
94594-73-2,DEL,55,Estacades,boulevard,des
94594-74-1,IND,65,Estacades,boulevard,des
94594-74-2,IND,65,Estacades,boulevard,des
94594-75-1,IND,45,Estacades,boulevard,des
94594-75-2,IND,45,Estacades,boulevard,des
94594-76-1,IND,39,Estacades,boulevard,des
94594-76-2,IND,39,Estacades,boulevard,des
94594-77-1,IND,25,Estacades,boulevard,des
94594-77-2,IND,25,Estacades,boulevard,des
94594-78-1,IND,21,Estacades,boulevard,des
94594-78-2,IND,21,Estacades,boulevard,des
94594-79-1,IND,17,Estacades,boulevard,des
94594-79-2,IND,17,Estacades,boulevard,des
94594-80-1,IND,13,Estacades,boulevard,des
94594-80-2,IND,13,Estacades,boulevard,des
94594-81-1,IND,1,Estacades,boulevard,des
94594-81-2,IND,1,Estacades,boulevard,des
94594-82-1,IND,1,Estacades,boulevard,des
94594-82-2,IND,1,Estacades,boulevard,des
425-1-1,DEL,266,Passage,chemin,du
425-2-1,DEL,,Passage,chemin,du
425-3-1,DEL,,Estacades,boulevard,des
425-4-1,DEL,,Estacades,boulevard,des
425-5-1,DEL,,Estacades,boulevard,des
425-6-1,DEL,,Estacades,boulevard,des
425-7-1,DEL,,Estacades,boulevard,des
425-8-1,DEL,,Estacades,boulevard,des
425-9-1,DEL,,Estacades,boulevard,des
425-10-1,DEL,,Estacades,boulevard,des
425-11-1,DEL,,Estacades,boulevard,des
425-12-1,DEL,,Estacades,boulevard,des
425-13-1,DEL,,Estacades,boulevard,des
425-14-1,DEL,,Estacades,boulevard,des
425-15-1,DEL,,Estacades,boulevard,des
94594-14-1,IND,435,Pie-XII,rue,
425-16-1,DEL,,Estacades,boulevard,des
425-17-1,DEL,,Estacades,boulevard,des
425-18-1,DEL,,Estacades,boulevard,des
94594-15-1,IND,425,Pie-XII,rue,
425-19-1,DEL,,Estacades,boulevard,des
94594-16-1,IND,,Pie-XII,rue,
425-20-1,DEL,,Estacades,boulevard,des
425-21-1,DEL,,Estacades,boulevard,des
425-22-1,DEL,,Estacades,boulevard,des
425-23-1,DEL,,Estacades,boulevard,des
94594-17-1,IND,,Pie-XII,rue,
425-24-1,DEL,,Estacades,boulevard,des
425-25-1,DEL,,Estacades,boulevard,des
94594-18-1,IND,,Pie-XII,rue,
425-26-1,DEL,,Estacades,boulevard,des
94594-19-1,DEL,,Pie-XII,rue,
425-27-1,DEL,,Estacades,boulevard,des
94594-20-1,IND,,Pie-XII,rue,
425-28-1,DEL,,Estacades,boulevard,des
94594-21-1,IND,,Pie-XII,rue,
425-29-1,DEL,,Estacades,boulevard,des
94594-22-1,IND,15,Fiset,rue,
94594-23-1,SHP,10,P.-E.-Trudeau,place,
94594-24-1,DEL,30,P.-E.-Trudeau,place,
94594-25-1,SHP,50,P.-E.-Trudeau,place,
94594-26-1,SHP,60,P.-E.-Trudeau,place,
94594-27-1,SHP,90,P.-E.-Trudeau,place,
94594-28-1,SHP,110,P.-E.-Trudeau,place,
94594-29-1,SHP,130,P.-E.-Trudeau,place,
94594-30-1,SHP,150,P.-E.-Trudeau,place,
94594-31-1,SHP,160,P.-E.-Trudeau,place,
425-36-1,DEL,,Barkoff,rue,
425-37-1,DEL,,Barkoff,rue,
425-38-1,DEL,,Barkoff,rue,
425-39-1,DEL,,Barkoff,rue,
425-30-1,DEL,,Vachon,rue,
425-31-1,DEL,,Vachon,rue,
425-32-1,DEL,,Vachon,rue,
425-33-1,DEL,,Vachon,rue,
94594-32-1,IND,,RenÃ©-LÃ©vesque,place,
425-34-1,DEL,,Vachon,rue,
425-35-1,DEL,,Vachon,rue,
94594-33-1,IND,15,RenÃ©-LÃ©vesque,place,
94594-34-1,IND,35,RenÃ©-LÃ©vesque,place,
94594-35-1,IND,65,RenÃ©-LÃ©vesque,place,
94594-36-1,IND,265,Belleau,rue,
94594-37-1,IND,285,Belleau,rue,
94594-38-1,IND,305,Belleau,rue,
94594-39-1,IND,315,Belleau,rue,
94594-40-1,IND,345,Belleau,rue,
94594-41-1,IND,365,Belleau,rue,
94594-42-1,IND,385,Belleau,rue,
94594-43-1,IND,405,Belleau,rue,
94594-44-1,IND,425,Belleau,rue,
94594-45-1,IND,165,Robitaille,rue,
94594-46-1,IND,145,Robitaille,rue,
94594-47-1,IND,125,Robitaille,rue,
94594-48-1,IND,105,Robitaille,rue,
94594-49-1,IND,85,Robitaille,rue,
94594-50-1,IND,45,Robitaille,rue,
94594-51-1,IND,235,Belleau,rue,
94594-52-1,IND,225,Belleau,rue,
94594-53-1,IND,205,Belleau,rue,
94594-54-1,IND,,Belleau,rue,
94594-55-1,IND,,Belleau,rue,
94594-56-1,IND,,Belleau,rue,
94594-57-1,IND,170,Belleau,rue,
94594-58-1,IND,200,Belleau,rue,
94594-59-1,IND,220,Belleau,rue,
470-1-1,IND,445,Belleau,rue,
470-2-1,IND,465,Belleau,rue,
470-10-1,IND,615,Belleau,rue,
44012-1-1,SHP,,Fusey,rue,
470-3-1,IND,485,Belleau,rue,
44012-1-2,SHP,,Fusey,rue,
470-4-1,IND,505,Belleau,rue,
470-5-1,IND,530,Belleau,rue,
470-6-1,IND,550,Belleau,rue,
44012-2-1,SHP,,Fusey,rue,
470-7-1,IND,585,Belleau,rue,
470-8-1,IND,595,Belleau,rue,
470-9-1,IND,605,Belleau,rue,
44012-2-2,SHP,,Fusey,rue,
470-11-1,IND,625,Belleau,rue,
44012-5-1,SHP,,Fusey,rue,
44012-5-2,SHP,,Fusey,rue,
470-13-1,IND,645,Belleau,rue,
44012-7-1,SHP,,Fusey,rue,
44012-7-2,SHP,,Fusey,rue,
470-14-1,IND,645,Belleau,rue,
470-15-1,IND,655,Belleau,rue,
44012-9-1,SHP,,Fusey,rue,
44012-9-2,SHP,,Fusey,rue,
44012-10-1,SHP,,Fusey,rue,
44012-10-2,SHP,,Fusey,rue,
407-13-1,SHP,15,Fusey,rue,
407-13-2,SHP,15,Fusey,rue,
44012-8-1,SHP,,Fusey,rue,
44012-8-2,SHP,,Fusey,rue,
470-16-1,IND,515,Belleau,rue,
470-17-1,IND,535,Belleau,rue,
407-17-1,SHP,21,Fusey,rue,
407-17-2,SHP,21,Fusey,rue,
44012-6-1,SHP,30,Notre-Dame Est,rue,
470-18-1,IND,565,Belleau,rue,
44012-6-2,SHP,30,Notre-Dame Est,rue,
407-28-1,SHP,32,Fusey,rue,
470-19-1,IND,10,JettÃ©,rue,
470-20-1,IND,20,JettÃ©,rue,
407-28-2,SHP,32,Fusey,rue,
407-25-1,SHP,35,Fusey,rue,
407-25-2,SHP,35,Fusey,rue,
407-27-1,SHP,40,Fusey,rue,
407-27-2,SHP,40,Fusey,rue,
407-21-1,SHP,39,Fusey,rue,
407-21-2,SHP,39,Fusey,rue,
407-26-1,SHP,44,Fusey,rue,
407-26-2,SHP,44,Fusey,rue,
407-24-1,SHP,39,Fusey,rue,
407-24-2,SHP,39,Fusey,rue,
407-23-1,SHP,48,Fusey,rue,
407-23-2,SHP,48,Fusey,rue,
407-22-1,SHP,55,Fusey,rue,
407-22-2,SHP,55,Fusey,rue,
407-20-1,SHP,58,Fusey,rue,
407-20-2,SHP,58,Fusey,rue,
420-241-1,IND,,Ogden,rue,
420-242-1,IND,,Ogden,rue,
420-243-1,IND,35,Ogden,rue,
420-244-1,IND,55,Ogden,rue,
420-245-1,IND,75,Ogden,rue,
420-246-1,IND,155,De Boucherville,rue,
420-247-1,IND,137,De Boucherville,rue,
420-248-1,IND,119,De Boucherville,rue,
420-249-1,IND,80,De Boucherville,rue,
420-250-1,DEL,89,De Boucherville,rue,
420-251-1,IND,65,De Boucherville,rue,
420-252-1,IND,49,De Boucherville,rue,
420-254-1,IND,4,De Boucherville,rue,
420-255-1,IND,,Flynn,rue,
420-256-1,IND,5,Flynn,rue,
420-257-1,IND,35,Flynn,rue,
420-258-1,IND,55,Flynn,rue,
470-21-1,IND,40,JettÃ©,rue,
470-22-1,IND,60,JettÃ©,rue,
470-23-1,IND,80,JettÃ©,rue,
470-24-1,IND,20,Langelier,rue,
470-25-1,IND,30,Langelier,rue,
470-26-1,IND,50,Langelier,rue,
470-27-1,IND,70,Langelier,rue,
420-259-1,IND,85,Flynn,rue,
420-260-1,IND,105,Flynn,rue,
420-261-1,IND,145,Flynn,rue,
470-28-1,IND,135,L.-P.-Brodeur,rue,
470-29-1,IND,125,L.-P.-Brodeur,rue,
420-262-1,IND,175,Flynn,rue,
470-30-1,IND,,L.-P.-Brodeur,rue,
470-31-1,IND,85,L.-P.-Brodeur,rue,
470-32-1,IND,65,L.-P.-Brodeur,rue,
470-33-1,DEL,45,L.-P.-Brodeur,rue,
420-263-1,IND,,Ross,rue,
470-34-1,IND,25,L.-P.-Brodeur,rue,
420-264-1,IND,,Ross,rue,
470-35-1,IND,,L.-P.-Brodeur,rue,
470-36-1,IND,,L.-P.-Brodeur,rue,
470-37-1,SHP,25,Leblanc,rue,
470-38-1,SHP,65,Leblanc,rue,
470-39-1,SHP,,Leblanc,rue,
470-40-1,DEL,,PÃ©rodeau,rue,
470-41-1,DEL,100,PÃ©rodeau,rue,
470-42-1,DEL,80,PÃ©rodeau,rue,
470-43-1,DEL,40,PÃ©rodeau,rue,
470-44-1,SHP,85,Patenaude,rue,
470-45-1,SHP,75,Patenaude,rue,
470-46-1,SHP,35,Patenaude,rue,
