ï»¿ID,MUNICIPALITE,AVIS_NO,STATUT,DATEDEBUT,DATEFIN,TYPE,SERVICE
174,Repentigny,40,Inactif,2020-08-25 19:00:00,2020-08-31 17:00:00,Avis d'Ã©bullition,Travaux publics
175,Repentigny,41,Inactif,2020-08-27 02:00:00,2020-08-31 19:30:00,Avis d'Ã©bullition,Travaux publics
176,Repentigny,25,Inactif,2020-08-28 11:30:00,2020-09-03 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
177,Repentigny,42,Inactif,2020-08-28 14:00:00,2020-08-31 19:30:00,Avis d'Ã©bullition,Travaux publics
178,Repentigny,26,Inactif,2020-09-10 20:30:00,2020-09-14 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
179,Repentigny,43,Inactif,2020-09-13 13:00:00,2020-09-15 19:00:00,Avis d'Ã©bullition,Travaux publics
180,Repentigny,44,Inactif,2020-09-23 22:00:00,2020-09-28 13:00:00,Avis d'Ã©bullition,Travaux publics
181,Repentigny,45,Inactif,2020-09-28 16:10:00,2020-10-01 18:00:00,Avis d'Ã©bullition,Travaux publics
182,Repentigny,21,Inactif,2020-08-04 04:00:00,2020-09-29 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
183,Repentigny,27,Inactif,2020-10-02 11:30:00,2020-10-05 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
184,Repentigny,46,Inactif,2020-10-02 13:15:00,2020-10-05 17:30:00,Avis d'Ã©bullition,Travaux publics
185,Repentigny,47,Inactif,2020-10-09 11:30:00,2020-10-13 13:00:00,Avis d'Ã©bullition,Travaux publics
186,Repentigny,48,Inactif,2020-10-10 11:35:00,2020-10-15 21:00:00,Avis d'Ã©bullition,Travaux publics
187,Repentigny,49,Inactif,2020-10-11 03:35:00,2020-10-15 21:00:00,Avis d'Ã©bullition,Travaux publics
188,Repentigny,50,Inactif,2020-10-12 00:30:00,2020-10-15 21:00:00,Avis d'Ã©bullition,Travaux publics
189,Repentigny,51,Inactif,2020-10-19 15:00:00,2020-10-22 13:40:00,Avis d'Ã©bullition,Travaux publics
190,Repentigny,0,Inactif,2020-10-21 04:00:00,2020-10-26 15:30:00,Avis d'Ã©bullition,
192,Repentigny,52,Inactif,2020-10-29 00:30:00,2020-11-02 15:30:00,Avis d'Ã©bullition,Travaux publics
193,Repentigny,53,Inactif,2020-10-29 13:55:00,2020-11-03 19:00:00,Avis d'Ã©bullition,Travaux publics
194,Repentigny,54,Inactif,2020-11-02 00:00:00,2020-11-04 17:30:00,Avis d'Ã©bullition,Travaux publics
195,Repentigny,55,Inactif,2020-11-02 17:35:00,2020-11-05 18:30:00,Avis d'Ã©bullition,Travaux publics
196,Repentigny,56,Inactif,2020-11-03 14:50:00,2020-11-05 18:30:00,Avis d'Ã©bullition,Travaux publics
197,Repentigny,57,Inactif,2020-11-04 15:20:00,2020-11-09 18:00:00,Avis d'Ã©bullition,Travaux publics
198,Repentigny,58,Inactif,2020-11-04 15:35:00,2020-11-09 14:00:00,Avis d'Ã©bullition,Travaux publics
199,Repentigny,59,Inactif,2020-11-05 16:30:00,2020-11-09 15:40:00,Avis d'Ã©bullition,Travaux publics
200,Repentigny,60,Inactif,2020-11-06 02:00:00,2020-11-09 18:00:00,Avis d'Ã©bullition,Travaux publics
201,Repentigny,28,Inactif,2020-11-06 13:30:00,2020-12-21 05:00:00,Avis d'Ã©bullition,Gestion des infrastructures
202,Repentigny,61,Inactif,2020-11-08 11:00:00,2020-11-11 14:00:00,Non consommation,Travaux publics
203,Repentigny,62,Inactif,2020-11-09 19:15:00,2020-11-12 15:00:00,Avis d'Ã©bullition,Travaux publics
204,Repentigny,63,Inactif,2020-11-10 18:15:00,2020-11-12 15:00:00,Avis d'Ã©bullition,Travaux publics
205,Repentigny,64,Inactif,2020-11-10 06:18:00,2020-11-13 16:00:00,Avis d'Ã©bullition,Travaux publics
206,Repentigny,65,Inactif,2020-11-24 15:45:00,2020-11-26 19:30:00,Avis d'Ã©bullition,Travaux publics
207,Repentigny,66,Inactif,2020-12-08 19:00:00,2020-12-10 19:30:00,Avis d'Ã©bullition,Travaux publics
208,Repentigny,67,Inactif,2020-12-12 20:00:00,2020-12-17 18:45:00,Avis d'Ã©bullition,Travaux publics
209,Repentigny,67,Inactif,2020-12-15 17:00:00,2020-12-17 18:30:00,Avis d'Ã©bullition,Travaux publics
210,Repentigny,69,Inactif,2020-12-18 16:10:00,2020-12-23 16:00:00,Avis d'Ã©bullition,Travaux publics
211,Repentigny,70,Inactif,2020-12-21 19:45:00,2020-12-23 16:00:00,Avis d'Ã©bullition,Travaux publics
212,Repentigny,71,Inactif,2020-12-22 17:30:00,2020-12-26 15:20:00,Avis d'Ã©bullition,Travaux publics
213,Repentigny,72,Inactif,2020-12-29 18:45:00,,Avis d'Ã©bullition,Travaux publics
214,Repentigny,73,Inactif,2020-12-30 10:30:00,2021-01-04 15:00:00,Avis d'Ã©bullition,Travaux publics
215,Repentigny,74,Inactif,2021-01-01 17:30:00,2021-01-04 16:15:00,Avis d'Ã©bullition,Travaux publics
216,Repentigny,75,Inactif,2021-01-03 17:00:00,,Avis d'Ã©bullition,Travaux publics
217,Repentigny,76,Inactif,2021-01-06 14:00:00,2021-01-08 17:00:00,Avis d'Ã©bullition,Travaux publics
218,Repentigny,1,Inactif,2021-01-10 02:30:00,2021-01-12 17:30:00,Avis d'Ã©bullition,Travaux publics
219,Repentigny,2,Inactif,2021-01-18 19:00:00,2021-01-20 19:30:00,Avis d'Ã©bullition,Travaux publics
220,Repentigny,3,Inactif,2021-01-20 16:30:00,2021-01-25 15:30:00,Avis d'Ã©bullition,Travaux publics
221,Repentigny,4,Inactif,2021-01-22 15:00:00,2021-01-25 15:30:00,Avis d'Ã©bullition,Travaux publics
222,Repentigny,5,Inactif,2021-01-26 20:00:00,2021-01-28 18:00:00,Avis d'Ã©bullition,Travaux publics
223,Repentigny,6,Inactif,2021-01-31 22:00:00,2021-02-04 15:30:00,Avis d'Ã©bullition,Travaux publics
224,Repentigny,7,Inactif,2021-02-04 04:30:00,2021-02-08 15:30:00,Avis d'Ã©bullition,Travaux publics
226,Repentigny,8,Inactif,2021-02-06 08:55:00,2021-02-09 16:15:00,Avis d'Ã©bullition,Travaux publics
227,Repentigny,10,Inactif,2021-02-13 19:30:00,2021-02-15 19:15:00,Avis d'Ã©bullition,Travaux publics
