NUMÉRO,DATE D'APPROBATION,NOM DU FOURNISSEUR,SERVICE,DESCRIPTION,NUMÉRO ENTENTE-CADRE,MONTANT 
1522762,2022-03-10,Magasins Best Buy Ltée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Appareil électronique,N/A,"583,72"
1522764,2022-03-10,Les Solutions De Rangement Prisma Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Accessoire et fourniture de mobilier de bureau,N/A,"1 091,87"
1523076,2022-03-14,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Appel d'urgence dégel de tuyaux et tuyau en fer au 32, Av. Claude-Champagne_aqueduc",N/A,"670,02"
1508505,2022-03-14,Inolec,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires et pièces de remplacement pour outil,N/A,"110,00"
1523072,2022-03-14,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"524,94"
1523076,2022-03-14,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"2 108,36"
1523088,2022-03-14,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"2 162,74"
1523097,2022-03-14,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"612,70"
1523100,2022-03-14,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"209,97"
1523104,2022-03-14,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"262,47"
1481578,2022-03-15,Lavo,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Traitement de l'eau,N/A,"7 462,52"
1523264,2022-03-15,Dépôt Alimentaire  Ndg,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Installation, gestion, entretien",N/A,"5 000,00"
1523268,2022-03-15,Socété Environnementale Côte-Des-Neiges,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Installation, gestion, entretien",N/A,"5 249,37"
1523286,2022-03-15,Bureau en Gros,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Appareil de communication,N/A,"36,74"
1523291,2022-03-15,Société Internationale D'Arboriculture Qéebec Inc. (S.I.A.Q.),Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Frais - Inscription pour colloque, conférence, séminaire et congrès",N/A,"949,09"
1523618,2022-03-16,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Logiciels Druide Antidote en français_cabinet de la mairesse.,N/A,"36,85"
1523694,2022-03-16,JF litho enseignes et affichage,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Achat et installation de protections en acrylique_BAM,N/A,"157,48"
1523618,2022-03-16,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Logiciel et progiciel,N/A,"244,47"
1523686,2022-03-16,Batteries Natech Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Produits électroniques,N/A,"1 454,08"
1523690,2022-03-16,Lucie  Bernier,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Logiciel et progiciel,N/A,"1 000,00"
1523695,2022-03-16,Créations Jean-Claude Tremblay Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Matériel pour loisir, jeu",N/A,"2 955,40"
1523774,2022-03-17,Tenaquip Limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Distributeur de produit nettoyant,N/A,"228,19"
1523940,2022-03-17,L'Empreinte imprimerie Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Articles promotionnels,N/A,"519,69"
1515362,2022-03-18,"Paris, Ladouceur & Associés Inc.",Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Évaluateur agréé,1438947,"20 997,50"
1516801,2022-03-18,"Ricci, Teasdale huissiers de justice Inc.",Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Huissier de justice,N/A,"1 259,85"
1524127,2022-03-18,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"637,36"
1524138,2022-03-18,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"787,41"
1524150,2022-03-18,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"690,10"
1524159,2022-03-18,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"1 263,42"
1524184,2022-03-18,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"680,25"
1524394,2022-03-21,Association sectorielle- fabrication d'équipement de transport et machines,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Formation à distance C-7 SIMDUT,N/A,"62,99"
1541369,2022-03-21,Acklands- Grainger inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Meuleuse,N/A,"228,20"
1524259,2022-03-21,Construction DJL Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Asphalte, bitume",1338038,"6 299,25"
1524356,2022-03-21,Esri Canada Limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Logiciel et progiciel,N/A,"1 627,57"
1524405,2022-03-21,La Compagnie De Location D'Autos Enterprise Canada.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Location - Automobile, camionnette et fourgonnette",1506805,"5 249,37"
1524412,2022-03-21,Tessier Récréo-Parc Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Équipement de sport et terrain de jeux,N/A,"9 503,47"
1524418,2022-03-21,Atelier D'usinage Innova Précision 2014,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Inspection de véhicules,N/A,"755,91"
1524394,2022-03-21,Association sectorielle - Fabrication d'équipement de transport et machines,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Frais - Inscription pour colloque, conférence, séminaire et congrès",N/A,"251,97"
1524416,2022-03-21,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement d'entretien manuel,1048199,"30,55"
1524417,2022-03-21,Trauma-Secours Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Formation en santé et sécurité,N/A,"270,87"
1524423,2022-03-21,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Logiciel et progiciel,N/A,"5 006,59"
1524424,2022-03-21,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Appareil électronique,N/A,"1 967,26"
1524506,2022-03-22,Bibliothèque publique juive,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contribution financière_projet d'activités de sensibilisation communautaire_GDD 1228942002,N/A,"30 000,00"
1524544,2022-03-22,De Grace Technologie,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Entrepreneur en intercommunication, téléphonie et surveillance",N/A,"750,66"
1524546,2022-03-22,Les Impressions Plastimax,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Infographie, graphisme",N/A,"2 301,07"
1524773,2022-03-23,Gbi Experts-Conseils Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ingénieur environnement,N/A,"21 774,40"
1524798,2022-03-23,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,N/A,"1 021,53"
1524804,2022-03-23,Vincent Ergonomie Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Ergothérapeute,N/A,"1 259,85"
1525070,2022-03-24,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"787,41"
1525072,2022-03-24,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"524,94"
1507411,2022-03-24,Conceptions Snotech Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Équipement de sport et terrain de jeux,N/A,"1 826,78"
1525064,2022-03-24,Jardins Zeillinger,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Produits horticoles,N/A,"1 886,99"
1525083,2022-03-24,Les Baristocrates,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Breuvage et nourriture,N/A,"1 102,37"
1525181,2022-03-25,Ferronnerie Bronx,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Matériel de fixation,N/A,"1 844,00"
1525190,2022-03-25,Atelier D'Usinage Innova Precision 2014,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement de protection,N/A,"460,59"
1525196,2022-03-25,Outillages Express,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Accessoires et pièces de remplacement pour outil,N/A,"1 147,30"
1525201,2022-03-25,Uline Canada Corp,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Fournitures d'expédition et étiquette,N/A,"190,22"
1525225,2022-03-25,Trauma-Secours Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Formation en santé et sécurité,N/A,"1 760,64"
1525222,2022-03-25,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,N/A,"1 448,32"
1525257,2022-03-25,Multirecycle,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Traitement/valorisation de déchets,N/A,"1 217,85"
1525264,2022-03-25,Les Industries Poly Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Numérisation de documents,1322302,"3 569,57"
1525433,2022-03-28,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service de dégel de tuyaux au 2422. Av. Mariette_aqueduc,N/A,"544,78"
1525355,2022-03-28,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"572,01"
1525357,2022-03-28,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"552,13"
1525358,2022-03-28,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"529,96"
1525386,2022-03-28,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"1 322,84"
1525433,2022-03-28,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"787,41"
1523109,2022-03-28,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service - Déglaçage, nettoyage et désobstruction de conduites",N/A,"1 744,87"
1525472,2022-03-28,Société canadienne des postes,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Fournitures d'expédition et étiquette,N/A,"10 498,75"
1525474,2022-03-28,"Hainault, Gravel Huissiers de justice Inc.",Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Huissier de justice,N/A,"7 349,12"
1499211,2022-03-29,Tech-Mix,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Asphalte, bitume",1380942,"3 149,62"
1526011,2022-03-30,Les installations sportives Agora Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Appel de service pour le remplacement câble de levage,N/A,"236,22"
1526011,2022-03-30,Les installations sportives Agora inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Appel de service pour le remplacement câble de levage,N/A,"1 265,10"
1491421,2022-03-30,Energenia Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Entrepreneur en structures de béton,N/A,"15 191,69"
1489113,2022-03-30,Zarate + Lavigne Architectes Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Entrepreneur en électricité,N/A,"6 431,80"
1525933,2022-03-30,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ordinateur et accessoire,1469292,"1 029,86"
1525944,2022-03-30,Ni Produits Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Poubelle et conteneur,N/A,"29 508,99"
1525997,2022-03-30,Uline Canada Corp.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Articles de papeterie,N/A,"364,81"
1526000,2022-03-30,Sécurite Landry Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Équipement de scène,N/A,"2 070,86"
1526004,2022-03-30,Systèmes Canadien Kronos Inc,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Formation en informatique,N/A,"1 160,99"
1526005,2022-03-30,Technologies Stay Connected Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Appareil électronique,N/A,"215,22"
1526006,2022-03-30,Les Couvre-Planchers Solathèque Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Entrepreneur en bâtiments de tout genre,N/A,"4 887,17"
1511999,2022-03-30,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Distributeur de produit nettoyant,N/A,"315,59"
1526008,2022-03-30,Proscène Dauphinais Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation/Entretien - Équipement de scène,N/A,"94,49"
1471692,2022-03-30,Sylvaine Chassay,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service - Organisation de festivals et spectacles,N/A,"6 000,00"
1526009,2022-03-30,Long & Mcquade Limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Matériel artistique,N/A,"107,09"
1526011,2022-03-30,Les Installations Sportives Agora Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Entrepreneur en bâtiments de tout genre,N/A,"1 028,88"
1526530,2022-04-04,Société canadienne des postes,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Bon de commande ouvert_ services postaux_DCSLDS_2022,N/A,"1 049,87"
1526547,2022-04-04,Services d'entretien Alphanet Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Bon de commande ouvert_entretien mensuel et lavage des vitres du chalet du Parc Gilbert-Layton_2022,N/A,"10 498,75"
1526569,2022-04-04,Vapro Commercial Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Service de dégel de tuyaux au 433, Av. Champagneur_aqueduc",N/A,"1 322,27"
1526634,2022-04-04,Sigmum Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Soutien à la rédaction, au suivi et à l'évaluation du Plan Arrondissement CDN-NDG 2030",N/A,"20 945,01"
1526648,2022-04-04,Machinerie plus ltée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation - Outil pour l'équipe de Monuments_unité Graffitis,N/A,"58,79"
1526685,2022-04-04,GFL environnemental Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,2022- Location de toilettes chimiques pour 7 parcs de l'arrondissement CDN-NDG_parcs,1408749,"8 504,01"
1526879,2022-04-05,Tessier Récréo-Parc Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Commande de glissoire éclair courbée pour le parc Somerled,N/A,"3 570,63"
1526941,2022-04-05,Centre patronal de santé et sécurité du travail du Québec (C P S S T Q ),Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Formation,N/A,"220,47"
1526953,2022-04-05,Sani-Dépôt,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Achat de vaporisateurs_parcs,N/A,"15,18"
1527113,2022-04-06,Compugen Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Achat de deux portables et deux stations d'accueil pour deux nouveaux employés_équipe d'urbanisme.,N/A,"2 353,50"
1527207,2022-04-06,Groupe Le Corre et associés Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Formation -Atelier_Gestion stratégique des lésions professionnelles,N/A,"624,68"
1527364,2022-04-07,Les jardins de l'écoumène Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Commande de semences pour la grainothèque de la bibliothèque Côte-des-Neiges,N/A,"132,46"
1527419,2022-04-07,Déneigement et excavation M. Gauthier Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contrat de service_location d'équipements avec opérateurs_nettoyage des trottoirs de l'arrondissement_GDD 1229454001,N/A,"70 724,83"
1527421,2022-04-07,C.M.S. Entrepreneurs généraux Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contrat pour le service de location d'équipements avec opérateurs pour le nettoyage des trottoirs de l'arrondissement_GDD 1229454001,N/A,"35 555,91"
1527426,2022-04-07,Déneigement et excavation M. Gauthier Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contrat pour le service de location d'équipements avec opérateur_nettoyage des rues et ruelles de l'arrondissement_GDD 1228268003,N/A,"124 271,59"
1527433,2022-04-07,Les revêtements Scell-Tech Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contrat pour le service de location d'équipements avec opérateurs pour le nettoyage printanier des rues et ruelles de l'arrondissement_GDD 1228268003,N/A,"33 439,95"
1527436,2022-04-07,Transport Gilbert Hamelin Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contrat pour le service de location d'équipements avec opérateurs pour le nettoyage printanier des rues et ruelles de l'arrondissement_GDD 1228268003,N/A,"58 356,25"
1527440,2022-04-07,Sharp électronique du Canada ltée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Cable pour gobe-sous pour photocopieur SHARP MX-3570,N/A,"230,97"
1527441,2022-04-07,Montréal Stencil Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Étampes pour la bibliothèque Côte-des-Neiges,N/A,"117,93"
1527551,2022-04-07,Multi-Pressions L.C. Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Pièce pour réparation d'un véhicule_unité Graffitis,N/A,"494,39"
1527552,2022-04-07,Vortex structures aquatiques internationales Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,2022- Ouverture et fermeture de 9 jeux d'eau. Arr. CDN-NDG_parcs,N/A,"5 406,86"
1527577,2022-04-08,Coopérative de l'université Laval,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ipad et étui_parcs,N/A,"2 597,85"
1527583,2022-04-08,Tenaquip limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Ruban de sécurité_parcs,N/A,"262,36"
1527588,2022-04-08,Distribution sports loisirs G.P. Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Filets soccer_parcs,N/A,"482,74"
1527613,2022-04-08,Sani-Dépôt,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Boîtes de gants nitrile_parcs,N/A,"1 903,42"
1527627,2022-04-08,Centre de services scolaires de Montréal,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Formation sur la maçonnerie pour 9 employés_permis et inspection.,N/A,"1 777,52"
1527629,2022-04-08,Inolec,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Huile synthétique,N/A,"175,04"
1527643,2022-04-08,Produits Sany,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Nettoyant pour toilette_parcs,N/A,"89,51"
1527662,2022-04-08,Magasins Best Buy ltée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Adaptateur DP2-VGA2_bureau technique,N/A,"39,88"
1527668,2022-04-08,Tenaquip limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Douille clé à chocs profond 11/16''_aqueduc,N/A,"59,88"
1527675,2022-04-08,Atelier d'usinage Innova Precision 2014,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Recertification min. protecta_parcs,N/A,"324,78"
1527678,2022-04-08,Outillages express,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Outil pour couper_parcs,N/A,"199,40"
1527700,2022-04-08,Inolec,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Réparation CL-12 perceuse à tuyaux_aqueduc,N/A,"1 134,69"
1527705,2022-04-08,Emco corporation,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Cylindres de gaz 34 Ltr_aqueduc,N/A,"1 448,83"
1527707,2022-04-08,Solutions Alernatives Environnement inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Formation - Inspection des arbres en milieu urbain,N/A,"787,41"
1527745,2022-04-11,Biblio RPL ltée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Divers préparation matérielle BIC,N/A,"1 118,32"
1527746,2022-04-11,Rouleaux de papier & rubans J.L. Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Rouleaux thermiques pour imprimante pour la Bibliothèque NDG,N/A,"280,32"
1527829,2022-04-11,Paroisse Notre-Dame-de-Grâce,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contribution financière_camp d'été des enfants pour les familles démunies et ciblées par l'école NDG et par la paroisse NDG_GDD 1227616003,N/A,"1 600,00"
1527832,2022-04-11,Fondation de l'école Notre-Dame-de-Grâce,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contribution financière_camp d'été des enfants pour les familles démunies et ciblées par l'école NDG et par la paroisse NDG_GDD 1227616003,N/A,"1 250,00"
1527834,2022-04-11,Conseil communautaire Notre-Dame-de-Grâce Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contribution financière_reconstruction du jardin d'herbes aromatiques à la caserne de pompiers 46_GDD 122761003,N/A,"336,22"
1527836,2022-04-11,Association des infirmiers et infirmières philippins du Québec AIIPQ Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contribution financière pour la 50e assemblée générale FNAQ & Acclamation_GDD 1227616003,N/A,"400,00"
1527838,2022-04-11,Patrimoine philippin Montréal,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contribution financière_4e anniversaire des célébrations et proclamations du mois de l'héritage filipino_GDD 1227616003,N/A,"1 350,00"
1527885,2022-04-11,Tenaquip limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,"Vêtements d'été voirie (Vestes, pantalons, manteaux circulation)",N/A,"4 805,72"
1527964,2022-04-11,Toshiba Solutions d'affaires,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Location de photocopieurs à la bibliothèque Côte-des-neiges,N/A,"4 130,62"
1527971,2022-04-11,Construction Urbex Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Parc Gilbert-Layton_contrat/ Projet de construction d'une aire de basketball_GDD 1228424002,N/A,"221 291,29"
1527986,2022-04-11,Equipements récréatifs Jambette Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Parc Elie Wiesel_contrat pour acquisition et installation de structures de jeu d'enfants»_GDD 1228424001,N/A,"50 634,95"
1528177,2022-04-12,Jean-Guy Lavallée,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contrat Gré à Gré - Services de un balai mécanique avec opérateur dans l'arrondissement,N/A,"19 840,28"
1528220,2022-04-12,Irriglobe Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Maison de la culture CDN_Contrat d'entretien Saison 2022 pour le toit végétalisé,N/A,"815,06"
1528287,2022-04-13,Acier balcon clôture ornemental Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Jardin communautaire Châteaufort -Parc Mahatma Gandhi_travaux pour sécuriser le garde-corps et l'accès à l'escalier,N/A,"3 648,32"
1528291,2022-04-13,Hardy expert conseil Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Théâtre l'Empress_travaux pour sécuriser les deux façades adjacentes à la ruelle arrière du bâtiment,N/A,"5 511,84"
1528313,2022-04-13,Tenaquip limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Achat de gants de cuir_voirie,N/A,"398,36"
1528325,2022-04-13,Tenaquip limited,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Achat de d'accessoire de sécurité_voirie,N/A,"518,89"
1528340,2022-04-13,Ass. québécoise parents et amis de la personne atteinte de maladie mentale Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Atelier formation,N/A,"3 937,03"
1528363,2022-04-13,Construction DJL Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Asphalte d'été_2022,N/A,"8 399,00"
1528383,2022-04-13,Ki-Ai! Conseils RH Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Audit et conférence sur la prévention des risques psychosociaux.,N/A,"1 889,77"
1528383,2022-04-13,Ki-Ai! Conseils RH inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Audit et conférence sur la prévention des risques psychosociaux,N/A,"343,14"
1528414,2022-04-13,Emco corporation,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Service d'étalonnage avec certificat et entretien_aqueduc,N/A,"629,92"
1528422,2022-04-13,Electrobac Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Récupération de petits appareils électroniques dans Le Centre culturel NDG et le Centre communautaire,N/A,"1 574,77"
1528448,2022-04-13,Société de développement commercial expérience Côte-des-Neiges,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contribution financière_projet de convention_GDD 1229223003,N/A,"60 000,00"
1528572,2022-04-14,Northern micro,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Achat de 5 écrans pour les installation de Sport et Loisir,1526433,"1 028,62"
1528581,2022-04-14,Terre promise,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Commande de semences pour la grainothèque de CDN,N/A,"39,90"
1528632,2022-04-14,Gai et Gris Montréal,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Contribution financière_conférence en ligne réunissant des chercheurs et militants qui discuteront des problèmes et des solutions en matière de soins aux personnes_GDD 1227616003,N/A,"750,00"
1528643,2022-04-14,Simco technologies Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Services professionnels_évaluation de l'état des parements extérieurs sur le Théâtre Empress,N/A,"7 442,56"
1528652,2022-04-14,Acklands-Grainger Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Formation protection respiratoire avec Fit-test et carte de certification_voirie,N/A,"211,59"
1528665,2022-04-14,Leblanc Illuminations-Canada Inc.,Arrondissement Côte-des-Neiges–Notre-Dame-de-Grâce,Guirlande LED scintillante et réparation décors/matériel,N/A,"217,48"
