ANNEE_FINANCIERE,SUB_ID,ORG_ID,ORG_NOM,ORG_TYPE,BEN_NOM,BEN_TYPE,SUB_TYPE,TITRE_VERSON_ORIGINALW,TITRE_VERSION_DOUBLEE,LANGUE_VERSION_ORIGINALE,LANGUE_VERSION_DOUBLEE,PREMIER_MARCHE,FORMAT,CATEGORIE,ANIMATION,DESTINE_AUX_ENFANTS,DUREE_DE_L_OEUVRE_DOUBLEE,NBR_EPISODES,NO_PREMIER_EPISODE,NO_DERNIER_EPISODE
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,1000 lb Sisters II,Deux surs : 1000 livres II,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,1,10
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Getaway Driver,Poursuite Ultime,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,8,1,8
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Ty Breaker I,Démolir ou partir I,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,8,1,8
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Born with Albinism,Vivre avec l'albinisme,Anglais,Français,Télévision,Moyen Métrage (31 à 74 minutes),Documentaire,FAUX,FAUX,60,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Borderforce USA : The Bridges,"frontière États-Unis  Mexique, La",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,1,10
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Murder at Starved Rock,"meurtres de Starved Rock, Les",Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,60,3,1,3
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,Haunted Hospital III,Hôpital hanté III,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,13,1,13
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Pixcom International inc.,Entreprise,Crédit d'impôt,"Rust Valley Restorers I, II et III","mécanos de Rust Valley, Les I, II et III",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,32,1,32
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Productions Eureka! inc.,Entreprise,Crédit d'impôt,"Art érotique, L'",Erotic Art,Français,Anglais,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,44,5,1,5
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Productions Eureka! inc.,Entreprise,Crédit d'impôt,Guides d'aventures IV,Aventure Guides IV,Français,Anglais,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,48,9,32,40
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,F*ck de Liefde II,F*ck Love Too II,Autre,Anglais,Télévision,Émission Unique,Fiction,FAUX,FAUX,92,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Pàlpito,"Marked Heart, The",Espagnol,Anglais,Télévision,Série (7 épisodes et plus),Fiction,FAUX,FAUX,40,14,101,114
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Tribal,Tribal-V.F.,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,60,4,105,108
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Border Patrol New Zealand,Patrouille frontalière : Nouvelle Zélande,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,30,10,1,10
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Engineering that Built the World,"Ingénierie qui a forgé le monde, L'",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,8,101,108
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Lakefront Bargain Hunt Renovation,Rénos au bord de leau,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,13,201,213
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,"My Mom, Your Dad","Ma mère, ton père",Anglais,Français,,,,FAUX,FAUX,0,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Paranormal Caught on Camera III,Paranormal sur le vif III,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,1,10
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Phoenix Rising,Phénix : pour la justice,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,120,2,101,102
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Scotts Vacation House Rules,Rénover pour louer avec Scott McGillivray,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Big time RV III,Grosse vie en VR III,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,30,13,301,313
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Cash Pad I,S'unir pour louer I,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,8,101,108
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Eddie Eats America I,Eddie dévore l'Amérique I,Anglais,Français,,,,FAUX,FAUX,0,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Fishing Impossible I,Pêches impossibles I,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,"Cabane a Histoires, La III","Treehouse Stories, The III",Français,Anglais,Télévision,Série (7 épisodes et plus),Fiction,FAUX,VRAI,7,28,301,328
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,Eiffel,Eiffel - V.F.,Français,Anglais,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,115,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,Flippé,Freaked Out,Français,Anglais,Télévision,Minisérie (2 à 6 épisodes),Fiction,VRAI,FAUX,2,3,101,103
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,Jasmin and Jambo,Jasmine et Jambo,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction-Animation,FAUX,VRAI,7,26,101,126
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,"422, Le ","422, Le - V.F.","Français, Autre","Anglais, Autre",Télévision,Série (7 épisodes et plus),Fiction,FAUX,VRAI,22,25,101,212
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,"Liste des Choses qui Existent, La II","Great List of Everything, The II",Français,Anglais,Télévision,Série (7 épisodes et plus),Fiction-Animation,FAUX,VRAI,3,13,201,213
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,Mothering Sunday,"Dimanche des Mères, Le",Anglais,Français,Télévision,Émission Unique,Fiction,FAUX,FAUX,110,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,Coda : A life in music,Coda : La vie en musique,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,97,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,Ich Bin Dein Mensch,Je Suis ton homme,Autre,Français,Télévision,Émission Unique,Fiction,FAUX,FAUX,105,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,Pattie et la colère de Poseidon,Pattie and Poseidon's wrath,Français,Anglais,Télévision,Émission Unique,Fiction-Animation,FAUX,VRAI,95,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,"Petite Dragouille, La","Little Spudragon, The",Français,Anglais,Télévision,Série (7 épisodes et plus),Fiction-Animation,FAUX,VRAI,3,15,101,115
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,Slashback,Horreur Boréale,Anglais,Français,Télévision,Émission Unique,Fiction,FAUX,FAUX,86,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,Wildhood,Wildhood - V.F.,Anglais,Français,Télévision,Émission Unique,Fiction,FAUX,FAUX,108,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,La Belle Équipe inc.,Entreprise,Crédit d'impôt,Christmas is in my heart,Noel dans mon cur,Anglais,Français,Télévision,Émission Unique,Fiction,FAUX,FAUX,84,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,We're All Gonna Die,On va tous mourir!,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,30,6,101,106
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Homicide- Hours to Kill III,Décompte mortel III,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,26,301,326
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Family Guy XX,Family Guy XX - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction-Animation,VRAI,FAUX,30,10,11,20
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Ruby and the Well,Ruby and the Well - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,VRAI,60,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Simpsons XXXII,Simpsons XXXII - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction-Animation,VRAI,FAUX,30,11,12,22
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Total Dramarama III,Garderie extrême III,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction-Animation,VRAI,VRAI,30,13,66,78
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Tribal II,Tribal II - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,FAUX,60,10,201,210
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Doctor Strange in the Multiverse of Madness,Docteur Strange dans le Multivers de la Folie,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,125,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Fireheart,Vaillante,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction-Animation,VRAI,VRAI,90,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,I Todos Juntos Siempre,Live is Life,Espagnol,Anglais,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,VRAI,109,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Expedition Unknown V,Josh Gates Traqueur de mystères V,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,11,501,511
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Cold Justice V-C,Crime Obscur V-C,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,8,519,526
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Boise Boys II,Flip de gars II,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,13,201,213
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Call of the Wildman III & IV,Call of the Wildman : l'homme tortue III & IV,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,30,23,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Restaurants on the Edge I,Tables avec vue I,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,13,101,113
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,I Am III & IV,Je suis III & IV,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,106,301,406
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Code of the Wild I,"Frères Keefer : au cur de linconnu, Les I",Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,8,101,108
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Dual Survival V,Unis pour survivre V,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,26,501,526
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Gordon Ramsay's 24 Hours to Hell and Back III,Gordon Ramsay : 24h en enfer III,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,9,301,309
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Best Cake Wins III,Dessine-moi un gâteau III,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,30,10,301,310
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Extreme Makeover : Home Edition (reboot) I,"Anges de la rénovation, Les I",Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Bargain Mansions I,Grandes maisons à petits prix I,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,30,14,101,114
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,"Hospitals, V","Hôpital : La réalité, V",Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,8,501,508
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Cruise Ship Killers I-A,Croisière vers la mort I-A,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,13,101,113
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Making it Home with Kortney and Dave I,Bienvenue chez vous! Avec Kortney et Dave I,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Cruise Ship Killers I-B,Croisière vers la mort I-B,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,13,114,126
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Life Below Zero Canada I,Vivre sous zéro : Canada I,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,8,101,108
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Me Contro Te: La vendetta del signor S,"Me Contro Te, va","Anglais, Espagnol",Anglais,Télévision,Moyen Métrage (31 à 74 minutes),Fiction,FAUX,FAUX,63,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Sonic II,Sonic le hérisson II,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction-Animation,VRAI,VRAI,114,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,After Ever Happy,After l'éternité,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,96,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,Ella and the Little Sorcerer,Ella et la petite magicienne,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction-Animation,VRAI,FAUX,91,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Cinélume Postproduction inc.,Entreprise,Crédit d'impôt,"Northman, the","Northman, the - V.F.",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,137,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Pauline Jaricot,Pauline Jaricot - V.A.,Français,Anglais,Vente aux détails,Émission Unique,Documentaire,FAUX,FAUX,27,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Killer Siblings I,Famille de tueurs I,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,The Smiley Face Killers: The Hunt for Justice,Sourires mortels,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,60,6,101,106
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,"Brigade, The : Race to the Hudson I","Aventuriers de la baie d'Hudson, Les I",Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,8,101,108
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Abraham Lincoln,Abraham Lincoln - V.F.,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,107,3,101,103
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Big Blue,Bleu Neptune,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction-Animation,VRAI,VRAI,30,8,119,126
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Malory Towers,Malory Towers - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,FAUX,VRAI,30,14,213,226
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,16 Hudson,16 Hudson - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Fiction,VRAI,VRAI,7,21,301,321
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Haunted by Murder -An Aurora Teagarden Mysteries 18,Haunted by Murder -An Aurora Teagarden Mysteries 18 - V.F.,Anglais,Français,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,85,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Blasted,Blasted - V.A.,Autre,Anglais,Télévision,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,114,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Crimes of the Future,"Crimes du futur, Les",Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,102,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Vengeance,Vengeance - V.F.,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,108,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Difuze inc.,Entreprise,Crédit d'impôt,Thor : Love and Thunder,Thor: Amour et Tonnerre,Anglais,Français,Salles,Long Métrage (75 minutes et plus),Fiction,FAUX,FAUX,109,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,America's Got Talent: The Champions II,Du talent à revendre: le championnat mondial II,Anglais,Français,Télévision,Série (7 épisodes et plus),Variétés,FAUX,FAUX,120,7,201,207
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Ambulance V,Ambulance V - V.F.,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,12,501,512
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Extreme Cake Makers IV,Impossible n'est pas gâteau IV,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,30,33,401,433
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Island of Bryan II,L'Île de Bryan II,Anglais,Français,"Télévision, Vente aux détails",Série (7 épisodes et plus),Fiction,FAUX,FAUX,60,8,2014,2021
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Up and Vanished I,Disparus sans laisser de trace I,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,60,6,1,6
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Man vs Food with Casey Webb IVb,Casse-croûte à l'américaine avec Casey Webb IVb,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,30,12,421,432
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Deadly Cults II,Sectes meurtrières II,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,8,8501,8508
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Murdered by Morning I,Tués avant l'aube I,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,60,10,101,110
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Expedition Unpacked with Steve Backshall I,Explorations de l'extrême : Moments inédits I,Anglais,Français,Télévision,Minisérie (2 à 6 épisodes),Documentaire,FAUX,FAUX,60,4,101,104
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,House in a Hurry I,2 jours pour acheter I,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,30,16,101,116
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Flipping 101 with Tarek El Moussa I,Flip 101 avec Tarek I,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,30,14,101,114
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Tiny House Big Living VI,Mini-maison : grande vie VI,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,30,14,601,614
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Rock the Park I,À la conquête des parcs américains I,Anglais,Français,Télévision,Série (7 épisodes et plus),Documentaire,FAUX,FAUX,30,10,401,410
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Property Brothers Forever Home I-C,Les frères Scott : une maison pour la vie I-C,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,13,128,140
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Family Home Overhaul I,Rénos pour famille d'exception I,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,8,101,108
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,Holmes Makes it right: Retooled I,Holmes le fait bien : conseils dexpert I,Anglais,Français,Télévision,Série (7 épisodes et plus),Magazine,FAUX,FAUX,60,12,101,112
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,The Case Died with Her,"Affaire meurt avec elle, L'",Anglais,Français,Télévision,Émission Unique,Documentaire,FAUX,FAUX,120,0,0,0
2022-2023,SUB_SODEC_CRIDOUB,539.00,SODEC,Public,Mels Doublage inc.,Entreprise,Crédit d'impôt,"Dirty John, the Dirty Truth",Dirty John : une rencontre fatale,Anglais,Français,Télévision,Émission Unique,Documentaire,FAUX,FAUX,120,0,0,0
