"No structure","IDE_STRCT","Groupe","Statut","Type structure","Charg. conception","Affichage sur place","Responsablilté de gestion","Centre de services","Role VM Inspection","Année de construction","Nom route","Nom obstacle","ICG","Catégorie ICG","Date Insp. Générale Fermee","Superficie du tablier","Superficie du mur","Longitude","Latitude","X","Y","lien_vers_rapport"
"81-05354",6009422,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1920,"Avenue Wrexham ",,90.97,4,"2021-11-16",,115,-73.5714572821869,45.4924834289875,299214.8527,5039175.822,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05354_inspection_generale_web.pdf"
"81-05355",6041984,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","25 - Arrondissement Rosemont-La Petite-Patrie","Inspections annuelle et générale par la Ville Montréal",1959,"Boul. Pie IX, côté Est",,66.21,3,"2021-11-19",,143,-73.5706095207026,45.5601479692003,299287.7269,5046695.388,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05355_inspection_generale_web.pdf"
"81-05357",6009459,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1987,"Chemin Hill Park",,100,4,"2019-08-06",,51,-73.5990684454749,45.4963051090503,297057.2701,5039602.817,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05357_inspection_generale_web.pdf"
"81-05370A",6042131,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1912,"Avenue du Docteur-Penfield, côté Sud",,51.96,3,"2020-12-03",,139,-73.5783584998017,45.5052694969457,298676.835,5040597.246,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05370A_inspection_generale_web.pdf"
"81-05371A",6057316,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1992,"Voie Camillien-Houde, côté Nord ",,75,4,"2021-05-10",,55,-73.59334,45.50577,297506.201,5040654.118,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05371A_inspection_generale_web.pdf"
"81-05371B",6034650,"M.S. Camillien-Houde / Chaînage 53+04","Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1992,"Voie Camillien-Houde ",,100,4,"2020-12-08",,135,-73.5931975,45.5060825,297517.3765,5040688.834,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05371B_inspection_generale_web.pdf"
"81-05373",6042135,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1956,"Avenue du Docteur-Penfield, côté Nord",,93.84,4,"2021-09-10",,143,-73.582815040499,45.5007134570571,298328.0658,5040091.281,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05373_inspection_generale_web.pdf"
"81-05376",6028366,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel",,30,2,"2020-11-09",,59,-73.632029,45.579284,294496.3923,5048828.063,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05376_inspection_generale_web.pdf"
"81-05377",6029500,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel",,30,2,"2020-11-09",,69,-73.631479,45.579645,294539.3803,5048868.111,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05377_inspection_generale_web.pdf"
"81-05378",6029516,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel",,30,2,"2020-11-09",,86,-73.6299055,45.5802495,294662.285,5048935.091,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05378_inspection_generale_web.pdf"
"81-05379",6029532,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel",,30,2,"2020-11-09",,72,-73.62901,45.5804705,294732.2086,5048959.538,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05379_inspection_generale_web.pdf"
"81-05380",6029548,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel",,30,2,"2020-11-10",,92,-73.6277785,45.580368,294828.2952,5048947.993,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05380_inspection_generale_web.pdf"
"81-05381",6029564,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel",,75,4,"2020-11-10",,107,-73.6264975,45.5798545,294928.1732,5048890.769,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05381_inspection_generale_web.pdf"
"81-05382",6029580,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel",,30,2,"2020-11-12",,174,-73.6256295,45.579395,294995.8317,5048839.597,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05382_inspection_generale_web.pdf"
"81-05383",6029596,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel",,30,2,"2020-11-10",,179,-73.624381,45.5788285,295093.1674,5048776.489,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05383_inspection_generale_web.pdf"
"81-05384",6029612,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel",,30,2,"2020-11-12",,206,-73.6233485,45.578344,295173.6621,5048722.521,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05384_inspection_generale_web.pdf"
"81-05385",6029628,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel",,30,2,"2020-11-11",,192,-73.621961,45.577776,295281.8491,5048659.232,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05385_inspection_generale_web.pdf"
"81-05386",6028381,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","16-MS250","Pont fermé","Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel","Carrière St-Michel",96.31,4,"2020-11-12",272,,-73.6212065213977,45.5773734532153,295340.663,5048614.407,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05386_inspection_generale_web.pdf"
"81-05387",6029740,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","16-MS250","Aucun affichage","Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel","Carrière St-Michel",96.91,4,"2020-11-12",272,,-73.618503,45.5761985,295551.4614,5048483.517,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05387_inspection_generale_web.pdf"
"81-05388",6029788,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","16-MS250","Aucun affichage","Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",1985,"Chemin de la carrière St-Michel","Carrière St-Michel",95.51,4,"2020-11-12",272,,-73.6177255,45.5758285,295612.0808,5048442.309,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05388_inspection_generale_web.pdf"
"81-05449",6042137,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",1917,"Rue à Évangéline, côté Nord",,98.85,4,"2021-04-28",,812,-73.580069,45.4645125,298538.6581,5036068.047,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05449_inspection_generale_web.pdf"
"81-05450",6015879,,"Actif Ville de Montréal","Pont à  haubans","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1993,"Avenue Pierre-Dupuy ","Canal Sud",73.06,3,"2020-12-12",1645,,-73.527597683229,45.5076356518816,302643.5257,5040857.582,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05450_inspection_generale_web.pdf"
"81-05451",6033512,,"Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1966,"Avenue Pierre-Dupuy ","Circuit Gilles-Villeneuve ",91.14,4,"2020-12-12",869,,-73.529043708112,45.5078458289397,302530.5422,5040880.979,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05451_inspection_generale_web.pdf"
"81-05452",6048987,,"Actif Ville de Montréal","Pont à  dalle pleine en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1993,"Avenue Pierre-Dupuy ( approche Sud du pont du Casino)","Accès au Casino",71.13,3,"2017-06-12",921,,-73.5260657247184,45.5074984076376,302763.2275,5040842.29,"https://depot.ville.montreal.qc.ca/pontsettunnels/2017/81-05452_inspection_generale_web.pdf"
"81-05453",6036827,,"Actif Ville de Montréal","Pont à  dalle pleine en béton précont.","98-Autre","Aucun affichage","Ville de Montréal","21 - Arrondissement Le Sud-Ouest","Inspection annuelle par la Ville de Montréal",1999,"Canadien National rail 1","rue de la Commune Ouest ",,,,1224,,-73.5560115,45.4928605,300422.1342,5039216.768,"Non disponible"
"81-05454",6030283,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",2000,"Chemin de la carrière St-Michel",,55.47,3,"2020-11-12",,1409,-73.6145594788341,45.5744214871208,295858.9506,5048285.588,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05454_inspection_generale_web.pdf"
"81-05457A",6009497,"M.S. Sud de la Commune / Esplanade Faubourg Québec","Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1995,"Rue de la Commune Est ",,99.88,4,"2020-11-03",,644,-73.5495875,45.511694,300925.5268,5041309.414,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05457A_inspection_generale_web.pdf"
"81-05457C",6009508,"M.S. Sud de la Commune / Esplanade Faubourg Québec","Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",2006,"Rue de la Commune Est ",,99.74,4,"2020-11-03",,446,-73.5490270275996,45.5123472724579,300969.3631,5041381.986,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05457C_inspection_generale_web.pdf"
"81-05458",6065144,,"Actif Ville de Montréal","Pont couvert","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1992,"Rue Saint-Dominique ","Rue De La Gauchetière Est ",100,4,"2021-05-10",10,,-73.5597285,45.5084435,300132.9006,5040948.723,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05458_inspection_generale_web.pdf"
"81-05459",6065245,,"Actif Ville de Montréal","Pont couvert","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1992,"Rue Jeanne-Mance ","Rue De La Gauchetière Ouest ",100,4,"2021-05-10",10,,-73.5619375,45.5053215,299960.025,5040601.905,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05459_inspection_generale_web.pdf"
"81-05461",6072183,,"Actif Ville de Montréal","Ponceau rectang. en béton armé","17-QS660","Aucun affichage","Ville de Montréal - MTQ","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",2000,"Autoroute 40, Est de la rue Damien-Gauthier ","Club de Golf de l'île de Montréal",100,4,"2021-04-20",,,-73.51301,45.6868975,303786.6345,5060779.082,"Non disponible"
"81-05462A",6042139,"M.S. Sud de la Commune / Esplanade Faubourg Québec","Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","98-Autre","Aucun affichage","Ville Montréal - Fédéral","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1995,"Esplanade Faubourg Québec","CFPM, Port de Montréal rail 1",100,4,"2020-11-02",2474,,-73.548578389067,45.5131986714966,301004.4739,5041476.581,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05462A_inspection_generale_web.pdf"
"81-05462B",6042160,,"Actif Ville de Montréal","Mur",,,"Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",2005,"Rue de la Commune Est, côté Sud",,97.37,4,"2020-11-02",,71,-73.5485045,45.5137525,301010.2842,5041538.125,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05462B_inspection_generale_web.pdf"
"81-05463",6056233,,"Actif Ville de Montréal","Pont à  dalle pleine en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1995,"Accès à  l'avenue Pierre-Dupuy, dir. Ouest ","Sentier polyvalent",99.84,4,"2021-07-22",426,,-73.5287579489081,45.5080596212728,302552.8798,5040904.73,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05463_inspection_generale_web.pdf"
"81-05464",6056241,,"Actif Ville de Montréal","Pont à  dalle pleine en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1995,"Accès entre l'ave Pierre-Dupuy et l'île Notre-Dame","piste site propre",100,4,"2020-12-12",190,,-73.5289792584329,45.5080643927178,302535.587,5040905.266,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05464_inspection_generale_web.pdf"
"81-05465",6056244,,"Actif Ville de Montréal","Pont à  poutres en acier","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1991,"Accès entre l'ave Pierre-Dupuy et l'île Ste-Hélène","Terrain vague",97.1,4,"2020-12-12",204,,-73.5328985781136,45.5085099494922,302229.3553,5040954.899,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05465_inspection_generale_web.pdf"
"81-05467",6033810,,"Actif Ville de Montréal","Pont à  poutres-caissons en acier","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1965,"Extrémité Ouest de l'île Notre-Dame","Fleuve Saint-Laurent",88.38,4,"2020-11-16",64,,-73.5192923503255,45.4955496776238,303292.1792,5039514.273,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05467_inspection_generale_web.pdf"
"81-05468",202591,,"Actif Ville de Montréal","Portique en béton armé","16-MS250","Aucun affichage","Ville de Montréal - MTQ","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1986,"rue Panet ","Autoroute 720 Est",99.98,4,"2021-11-16",451,,-73.5495347879707,45.5175607225307,300930.0476,5041961.385,"Non disponible"
"81-05469",202592,,"Actif Ville de Montréal","Portique en béton armé","16-MS250","Aucun affichage","Ville de Montréal - MTQ","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1986,"rue Atateken","Autoroute 720 Est",99.97,4,"2021-11-16",720,,-73.552049264249,45.5152088378748,300733.4323,5041700.142,"Non disponible"
"81-05470",6036830,,"Actif Ville de Montréal","Ponceau arqué en acier","13-H20-S16","Aucun affichage","Ville de Montréal","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1965,"Boulevard Maurice-Duplessis, à  l'Ouest de l'aut. 25 ","Ruisseau De Montigny",57.28,3,"2021-07-28",,,-73.6066195,45.6214135,296485.5869,5053507.066,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05470_inspection_generale_web.pdf"
"81-05471",6042162,,"Actif Ville de Montréal","Pont à  dalle pleine en béton précont.","98-Autre","Aucun affichage","Ville Montréal - Canadien National","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",2004,"Canadien National","rue Sherbrooke Est ",100,4,"2020-07-21",515,,-73.5031295,45.6753505,304556.1891,5059495.74,"Non disponible"
"81-05472",6065100,,"Actif Ville de Montréal","Pont couvert","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1998,"Avenue Viger Est ","Boulevard Saint-Laurent ",99.45,4,"2021-05-10",61,,-73.558872,45.50758,300199.756,5040852.713,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05472_inspection_generale_web.pdf"
"81-05473",6065101,,"Actif Ville de Montréal","Pont couvert","99-Inconnu","Aucun affichage","Ville de Montréal","20 - Arrondissement Ville-Marie","Inspections annuelle et générale par la Ville Montréal",1998,"Boulevard René-Lévesque Ouest ","Boulevard Saint-Laurent ",99.45,4,"2021-05-10",61,,-73.5613165,45.5086965,300008.838,5040976.933,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05473_inspection_generale_web.pdf"
"81-05475",6036833,,"Actif Ville de Montréal","Ponceau voà»té en béton armé","99-Inconnu","Aucun affichage","Ville de Montréal","09 - Arrondissement Anjou","Inspections annuelle et générale par la Ville Montréal",2001,"Stationnement au Nord du bassin d'anjou","Ruisseau De Montigny",99.99,4,"2020-10-29",,,-73.5981501270278,45.6113617433441,297144.6788,5052389.143,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05475_inspection_generale_web.pdf"
"81-05476",202206,,"Actif Ville de Montréal","Pont à  dalle pleine en béton précont.","17-QS660","Aucun affichage","Ville de Montréal - MTQ","09 - Arrondissement Anjou","Inspections annuelle et générale par la Ville Montréal",1999,"Rue Bombardier ","Autoroute 25 Sud",99.94,4,"2020-08-06",1803,,-73.581288,45.611037,298459.8213,5052351.582,"Non disponible"
"81-05485",6030335,,"Actif Ville de Montréal","Pont à  dalle évidée en béton précont.","17-QS660","Aucun affichage","Ville de Montréal","15 - Arrondissement Saint-Laurent","Inspections annuelle et générale par la Ville Montréal",1999,"Boulevard Hymus","Boulevard Alfred-Nobel",72.63,3,"2021-11-03",675,,-73.763461,45.4890385,284206.4638,5038824.267,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05485_inspection_generale_web.pdf"
"81-05488",6015901,,"Actif Ville de Montréal","Pont à  poutres en acier","14-H25-S20","Pont fermé","Ville de Montréal","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",1981,"Accès à  l'île Lapierre","Rivière-des-Prairies",73.23,3,"2018-08-14",210,,-73.6111545,45.635353,296134.0863,5055056.684,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05488_inspection_generale_web.pdf"
"81-05489",6036939,,"Actif Ville de Montréal","Ponceau voà»té en béton armé","18-CL625","Aucun affichage","Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",2008,"Autoroute 10 sortie île des Soeurs","Piste multifonctionnelle",100,4,"2020-08-26",,,-73.5434335,45.4729495,301404.0362,5037003.449,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05489_inspection_generale_web.pdf"
"81-05490A",6035469,"à Échangeur de la Pointe-Nord, île-des-soeurs","Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",2008,"Sortie aut.15 Sud vers chemin de la Pointe-Nord","Bretelle aut. 10 Est vers le pont Champlain",99.99,4,"2018-05-15",621,,-73.5442785,45.4694885,301337.7557,5036618.864,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05490A_inspection_generale_web.pdf"
"81-05490B",6035570,"à Échangeur de la Pointe-Nord, île-des-soeurs","Actif Ville de Montréal","Mur",,,"Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",2008,"Sortie aut.15 Sud vers chemin de la Pointe-Nord",,100,4,"2018-05-16",,167,-73.5448815,45.4693685,301290.5982,5036605.555,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05490B_inspection_generale_web.pdf"
"81-05490C",6035572,"à Échangeur de la Pointe-Nord, île-des-soeurs","Actif Ville de Montréal","Mur",,,"Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",2008,"Sortie aut.15 Sud vers chemin de la Pointe-Nord",,95.35,4,"2021-11-04",,56,-73.5453204907905,45.4695200324525,301256.2819,5036622.414,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05490C_inspection_generale_web.pdf"
"81-05491A",6042203,"à Échangeur de la Pointe-Nord, île-des-soeurs","Actif Ville de Montréal","Mur",,,"Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",2008,"Entrée aut. 15 Nord et aut. 10 Ouest",,100,4,"2018-05-17",,136,-73.540134,45.4709015,301661.9027,5036775.72,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05491A_inspection_generale_web.pdf"
"81-05491B",6036861,"à Échangeur de la Pointe-Nord, île-des-soeurs","Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal","12 - Arrondissement Verdun","Inspections annuelle et générale par la Ville Montréal",2008,"Entrée aut. 15 Nord et aut. 10 Ouest","autoroute 15-20 sortie Chemin de la Pointe-Nord",99.99,4,"2018-05-17",692,,-73.541286,45.471029,301571.8345,5036789.935,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05491B_inspection_generale_web.pdf"
"81-05492",5017813,,"Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal - MTQ","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",2008,"rue Tellier ","Autoroute 25",99.92,4,"2020-11-02",1656,,-73.5208062671809,45.5884182295393,303176.532,5049834.901,"Non disponible"
"81-05493",6036864,,"Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal","09 - Arrondissement Anjou","Inspections annuelle et générale par la Ville Montréal",2009,"Boulevard Louis-H.-La Fontaine ","Boulevard Louis-H.-La Fontaine ",99.98,4,"2018-04-03",224,,-73.5641565,45.602798,299795.2856,5051434.749,"https://depot.ville.montreal.qc.ca/pontsettunnels/2018/81-05493_inspection_generale_web.pdf"
"81-05494",202242,,"Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal - MTQ","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",2008,"rue Hochelaga ","Autoroute 25 Nord",99.98,4,"2019-08-01",3613,,-73.5261045,45.589916,302763.1765,5050001.472,"Non disponible"
"81-05495",6036867,,"Actif Ville de Montréal","Ponceau voà»té en béton armé","18-CL625","Aucun affichage","Ville de Montréal","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",2009,"Boulevard Gouin Ouest ","Ruisseau Bertrand, à  l'Est de l'aut. 13",99.86,4,"2021-10-13",,,-73.7581575,45.5087245,284628.0445,5041010.634,"https://depot.ville.montreal.qc.ca/pontsettunnels/2021/81-05495_inspection_generale_web.pdf"
"81-05497B",5070483,"P.S. Gouin / Aut. 19 - Prolongement de Papineau","Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal - MTQ","24 - Arrondissement Ahuntsic-Cartierville","Inspections annuelle et générale par la Ville Montréal",2009,"Boulevard Gouin Est ","Avenue Papineau, Aut. 19 Sud ",100,4,"2018-09-11",451,,-73.6602809948649,45.5709532993576,292289.7433,5047906.274,"Non disponible"
"81-05499",5150344,,"Actif Ville de Montréal","Pont à  poutres en acier","18-CL625","Aucun affichage","Ville de Montréal - MTQ","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",2011,"place Curatteau ","Autoroute 25 Sud",100,4,"2019-08-01",709,,-73.540376,45.593871,301649.8531,5050441.462,"Non disponible"
"81-05500",5273613,,"Actif Ville de Montréal","Pont à  pout. béton précont., préfabr.","18-CL625","Aucun affichage","Ville de Montréal - MTQ","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",2010,"Boulevard Saint-Jean-Baptiste  (P.-A.-T.) Nord","Autoroute 40 Est",100,4,"2019-07-03",2371,,-73.5281655,45.648218,302604.6418,5056480.789,"Non disponible"
"81-05501",6057322,,"Actif Ville de Montréal","Pont à  poutres en acier","98-Autre","Tonnage réduit","Ville de Montréal","19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles","Inspections annuelle et générale par la Ville Montréal",2011,"Piste cyclable du parc de la Pointe-aux-Prairies","Autoroute 40 Est",73.01,3,"2020-11-11",480,,-73.5193805,45.672178,303290.0323,5059143.346,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05501_inspection_generale_web.pdf"
"81-05503A",6069705,"P.S. Hochelaga / Aut. 25","Actif Ville de Montréal","Mur",,,"Ville de Montréal - MTQ","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",2010," Hochelaga",,100,4,"2020-11-16",,210,-73.5261256132424,45.587850168353,302761.4543,5049771.892,"Non disponible"
"81-05503B",6036870,"P.S. Hochelaga / Aut. 25","Actif Ville de Montréal","Pont à  poutres en acier","98-Autre","Aucun affichage","Ville de Montréal","23 - Arrondissement Mercier-Hochelaga-Maisonneuve","Inspections annuelle et générale par la Ville Montréal",2010,"Piste cyclable rue Hochelaga vers Souligny Est","Bretelle autoroute 25  Sud vers Souligny Ouest ",98.78,4,"2020-11-11",150,,-73.5258685454175,45.588147636645,302781.5237,5049804.944,"https://depot.ville.montreal.qc.ca/pontsettunnels/2020/81-05503B_inspection_generale_web.pdf"
"81-05505",6017360,,"Actif Ville de Montréal","Pont à  tablier supérieur, en acier","18-CL625","Aucun affichage","Ville de Montréal","26 - Arrondissement Villeray-Saint-Michel-Parc-Extension","Inspections annuelle et générale par la Ville Montréal",2005,"Sentier pédestre, Parc environnemental St-Michel","Rue Michel Jurdant",99.19,4,"2019-09-06",236,,-73.622752,45.557521,295216.6738,5046408.353,"https://depot.ville.montreal.qc.ca/pontsettunnels/2019/81-05505_inspection_generale_web.pdf"
