No structure,IDE_STRCT,Groupe,Statut,Type structure,Charg. conception,Affichage,Responsablilté de gestion,Centre de services,Role VM Inspection,Année de construction,Nom route,Nom obstacle,ICG,Catégorie ICG,Date Insp. Générale Fermee,Superficie du tablier,Superficie du mur,Longitude,Latitude,X,Y
81-05099,6017384,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,Passage piétons À l'Est du canal Ouest,Canal Sud,63.61,3,2017/06/13 00:00:00,326,,-73.5271531020241,45.5055949265868,302678.1885,5040630.783
81-05101,6034625,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,"Chemin des Floralies, à l'Est de l'avenue Pierre-Dupuy",Canal Nord,54.35,3,2016/10/18 00:00:00,317,,-73.5280124611227,45.5086113795005,302611.1529,5040966.026
81-05102,6017387,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,chemin des Floralies,Canal Nord,58.15,3,2016/10/18 00:00:00,490,,-73.5273223482264,45.5101691206914,302665.1361,5041139.121
81-05103,6033802,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,À l'extrémité Est du canal Sud,Canal Sud,72.75,3,2017/11/01 00:00:00,348,,-73.526185,45.5112005,302754.0415,5041253.709
81-05110A,6013205,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,13-H20-S16,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,Avenue Pierre-Dupuy,circuit Gilles-Villeneuve,55.41,3,2017/06/19 00:00:00,155,,-73.5294373428223,45.5078233999006,302499.7829,5040878.498
81-05111,6013214,,Actif Ville de Montréal,Pont à poutres-caissons en acier,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,Chemin Macdonald,chemin Macdonald Nord,60.88,3,2017/07/17 00:00:00,391,,-73.5326876124152,45.5080529538111,302245.8191,5040904.106
81-05112,6048977,,Actif Ville de Montréal,Pont à poutres en acier,98-Autre,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,Avenue Pierre-Dupuy,"Ch. Macdonald, direction Ouest",69.81,3,2017/07/10 00:00:00,7197,,-73.534550169293,45.5077402568177,302100.2656,5040869.417
81-05123B,6036510,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",17-QS660,Aucun affichage,Ville de Montréal,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,1990,boulevard Angrignon,Canal Lachine,70.8,3,2017/04/18 00:00:00,3585,,-73.6251311977781,45.4520974862493,295012.6771,5034692.869
81-05135,6035585,,Actif Ville de Montréal,Pont à poutres en acier,13-H20-S16,Aucun affichage,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1971,"Boulevard Rosemont, dir. Ouest",CP,70.1,3,2017/03/23 00:00:00,10581,,-73.6006325109278,45.5294519886336,296939.6456,5043286.604
81-05147,6018071,,Actif Ville de Montréal,Pont à poutres en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1965,avenue Pierre-Dupuy Est,Jetée Mackay,69.5,3,2017/06/02 00:00:00,7240,,-73.5439317757509,45.503355561208,301366.9247,5040382.502
81-05159,6013208,,Actif Ville de Montréal,Portique en béton armé,13-H20-S16,Aucun affichage,Ville de Montréal,22 - Arrondissement Le Plateau-Mont-Royal,Inspections annuelle et générale par la Ville Montréal,1972,avenue Van Horne,Rue Clark,73.94,3,2018/07/30 00:00:00,1194,,-73.606072,45.527791,296514.526,5043102.564
81-05164,6013270,,Actif Ville de Montréal,Portique en béton armé,14-H25-S20,Aucun affichage,Ville de Montréal,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1974,Piste cyclable,rue De Cadillac,73.6,3,2018/06/27 00:00:00,360,,-73.5325755,45.572158,302257.4704,5048028.175
81-05184,6030292,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1931,Chemin de fer CP,rue Hochelaga Dir. Ouest,59.21,3,2018/07/26 00:00:00,1170,,-73.5558555,45.5396235,300437.9416,5044413.567
81-05185,6015825,,Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien National,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1930,Canadien National,rue Hochelaga Dir. Ouest,66.34,3,2018/07/23 00:00:00,406,,-73.5409355,45.5643805,301604.5284,5047164.146
81-05200,6036712,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1970,Rue des Carrières,"Rue Saint-Hubert, dir. Sud",57.81,3,2018/09/12 00:00:00,382,,-73.594173,45.5319555,297444.521,5043564.21
81-05227,6013240,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",17-QS660,Aucun affichage,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1997,Avenue Marien,"Boulevard Henri-Bourassa Est, dir. Ouest",73.76,3,2015/07/13 00:00:00,1007,,-73.545456,45.648145,301256.9303,5056473.295
81-05245,6023431,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville Montréal - Canadien National,24 - Arrondissement Ahuntsic-Cartierville,Inspection annuelle par la Ville de Montréal,1960,Canadien National,Boulevard de l'Acadie Dir. Nord,,,,302,,-73.662671,45.53502,292095.1046,5043913.329
81-05288,6017392,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",1-5 tonnes,Aucun affichage,Ville Montréal - Canadien Pacifique,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1992,"Piste cyclable, au Sud de Sainte-Catherine E.",Canadien Pacifique,65.58,3,2016/07/25 00:00:00,203,,-73.543712,45.532777,301385.879,5043652.12
81-05293,6017284,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Ville de Montréal,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1980,Grand Boulevard,Canadien Pacifique,66.37,3,2016/07/26 00:00:00,641,,-73.6197641307722,45.4652440017623,295434.6468,5036153.197
81-05298,6029381,,Actif Ville de Montréal,Pont à poutres en bois,99-Inconnu,Aucun affichage,Ville de Montréal,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1980,Parc Guillaume-Couture,À l'Ouest de l'avenue Albani,72.56,3,2017/04/27 00:00:00,24,,-73.562081,45.583223,299955.5071,5049259.208
81-05450,6015879,,Actif Ville de Montréal,Pont à haubans,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1993,Avenue Pierre-Dupuy,Canal Sud,73.16,3,2017/06/12 00:00:00,1645,,-73.527597683229,45.5076356518816,302643.5257,5040857.582
81-05452,6048987,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1993,Avenue Pierre-Dupuy ( approche Sud du pont du Casino),Accès au Casino,71.13,3,2017/06/12 00:00:00,921,,-73.5260657247184,45.5074984076376,302763.2275,5040842.29
81-05453,6036827,,Actif Ville de Montréal,Pont à dalle pleine en béton précont.,98-Autre,Aucun affichage,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspection annuelle par la Ville de Montréal,1999,CN,rue de la Commune Ouest,,,,1224,,-73.5560115,45.4928605,300422.1342,5039216.768
81-05470,6036830,,Actif Ville de Montréal,Ponceau arqué en acier,13-H20-S16,Aucun affichage,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1965,"Boulevard Maurice-Duplessis, à l'Ouest de l'aut. 25",Ruisseau De Montigny,55.66,3,2017/07/19 00:00:00,,,-73.6066195,45.6214135,296485.5869,5053507.066
81-05485,6030335,,Actif Ville de Montréal,Pont à dalle évidée en béton précont.,17-QS660,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1999,Boulevard Hymus,Boulevard Alfred-Nobel,73.51,3,2017/10/26 00:00:00,675,,-73.763461,45.4890385,284206.4638,5038824.267
81-01201A,202204,,Actif Ville de Montréal,"Pont à pout. béton préc., coul. place",14-H25-S20,Aucun affichage,Ville de Montréal - MTQ,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1974,Avenue Bourget Nord,Autoroute 40 Ouest,99.7,4,2016/05/26 00:00:00,1202,,-73.5483945701644,45.6254096759115,301026.3576,5053946.782
81-01205,5073170,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal - MTQ,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1966,boulevard Yves-Prévost_Ouest,Autoroute 25 Sud,99.98,4,2018/09/06 00:00:00,931,,-73.5494009837107,45.597330288679,300945.9582,5050826.294
81-01208,202025,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",17-QS660,Aucun affichage,Ville de Montréal - MTQ,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1999,Rue Larrey,Autoroute 25 Sud,99.97,4,2015/09/23 00:00:00,1035,,-73.5881589308785,45.6132797153589,297924.1869,5052601.387
81-01301,6035822,,Actif Ville de Montréal,Ponceau voûté en béton armé,17-QS660,Aucun affichage,Ville de Montréal,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,2001,Boul. des Galeries d'Anjou,La coulée verte du ruisseau De Montigny,99.92,4,2017/08/22 00:00:00,,,-73.5941141790717,45.6090056829979,297459.1594,5052126.931
81-01351,6035831,,Actif Ville de Montréal,Ponceau rectang. en béton armé,17-QS660,Aucun affichage,Ville de Montréal,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1997,Rue Pascal-Gagnon,Ruisseau De Montigny,99.27,4,2017/07/19 00:00:00,,,-73.5993784473739,45.6128777873325,297049.0835,5052557.743
81-02201,6011745,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Municipalité,05 - Arrondissement Outremont,Inspections annuelle et générale par la Ville Montréal,1966,Avenue Rockland Direction Nord,Chemin de fer Canadien Pacifique,99.99,4,2016/09/27 00:00:00,4540,,-73.6239513968626,45.5194932514158,295116.5109,5042182.428
81-02202,6011751,,Actif Ville de Montréal,Pont à dalle évidée en béton précont.,13-H20-S16,Aucun affichage,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,1967,boulevard de l'Île-des-Soeurs,Piste Cyclable parc West Vancouver,85.32,4,2017/03/29 00:00:00,86,,-73.5429797988011,45.4573798131281,301438.5848,5035273.174
81-02203,6036789,,Actif Ville de Montréal,Pont à dalle évidée en béton précont.,13-H20-S16,Aucun affichage,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,1967,Boulevard de l'Île-des-Soeurs Dir. Est,Piste Cyclable parc West Vancouver,85.3,4,2017/03/29 00:00:00,82,,-73.5427122218968,45.4573403940333,301459.5095,5035268.782
81-02206,202263,,Actif Ville de Montréal,Portique en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,1963,rue Airlie,Route 138 Est,99.92,4,2018/08/06 00:00:00,399,,-73.650885745233,45.425373825553,292992.6745,5031726.548
81-02211,6041907,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville Montréal - Municipalité,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,2003,boulevard de l'Acadie dir. Sud,"Voie de service, dir Est",99.5,4,2016/09/19 00:00:00,471,,-73.6486221194661,45.5300577222393,293191.3263,5043359.739
81-02301,6036113,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,1920,Avenue Dollard,Canal de l'Aqueduc,99.92,4,2017/05/17 00:00:00,1043,,-73.6219547168115,45.4228860838559,295256.2072,5031446.248
81-02303,6036079,,Actif Ville de Montréal,"Pont à tablier inférieur, en acier",17-QS660,Aucun affichage,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,2003,boulevard Monk,Canal Lachine,99.86,4,2018/05/09 00:00:00,1509,,-73.5982856312488,45.4635177669705,297113.9946,5035959.083
81-03119,6048970,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien National,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1962,CN,Boulevard de la Côte-Vertu Dir. Est,99.61,4,2018/08/07 00:00:00,461,,-73.671551907799,45.5246204150037,291399.0205,5042759.056
81-03116A,202453,,Actif Ville de Montréal,"Pont à béquilles, béton armé",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1966,Autoroute 520,Boulevard Cavendish,75,4,2018/10/24 00:00:00,931,,-73.6883460927923,45.4879727563758,290077.573,5038689.322
81-03116B,6099763,,Actif Ville de Montréal,"Pont à béquilles, béton armé",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1966,Autoroute 520,Boulevard Cavendish,99.89,4,2018/10/24 00:00:00,931,,-73.6886875527315,45.4881477000305,290050.9278,5038708.826
81-03117A,202458,,Actif Ville de Montréal,"Pont à béquilles, béton armé",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1966,Autoroute 520,Rue McArthur,75,4,2018/10/24 00:00:00,734,,-73.6971623817592,45.481349774323,289386.6252,5037954.963
81-03117B,6099822,,Actif Ville de Montréal,"Pont à béquilles, béton armé",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1966,Autoroute 520,Rue McArthur,99.8,4,2018/10/24 00:00:00,734,,-73.6973084207998,45.4816754833809,289375.2974,5037991.187
81-03221,202542,,Actif Ville de Montréal,Pont à poutres en béton armé,14-H25-S20,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1975,rue Hickmore,autoroute 13,99.96,4,2016/06/01 00:00:00,808,,-73.6989949211563,45.4678868504089,289239.6599,5036459.182
81-03233,202136,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1965,boulevard Cavendish,Autoroute 40 Est,99.99,4,2018/10/29 00:00:00,5616,,-73.6962425849378,45.49293281362,289461.6752,5039242.012
81-03210A,6100266,,Actif Ville de Montréal,"Pont à béquilles, béton armé",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1966,Autoroute 520 direction Est,Autoroute 13 Nord,99.63,4,2018/10/24 00:00:00,975,,-73.7078231214072,45.4734238100596,288550.933,5037076.25
81-03210B,202454,,Actif Ville de Montréal,"Pont à béquilles, béton armé",99-Inconnu,Aucun affichage,Ville Montréal - MTQ - Municipalité,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1966,Autoroute 520 direction Ouest,Autoroute 13 Nord,75,4,2018/10/24 00:00:00,975,,-73.7081775521331,45.4735898413985,288523.2689,5037094.773
81-03237,202131,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1965,boulevard Henri-Bourassa Ouest,Autoroute 40 Est,96.62,4,2018/11/28 00:00:00,1564,,-73.7601931659232,45.4900984592845,284462.2768,5038941.228
81-03238,202132,,Actif Ville de Montréal,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1965,boulevard Henri-Bourassa Ouest,Autoroute 40 Est,99.64,4,2018/11/28 00:00:00,1546,,-73.7627951726824,45.4899106467903,284258.8255,5038921.018
81-03243,202553,,Actif Ville de Montréal,Pont à dalle pleine en béton précont.,14-H25-S20,Aucun affichage,Ville de Montréal - MTQ,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1975,Boulevard Henri-Bourassa Ouest Dir. Ouest,Autoroute 13 Nord,99.65,4,2016/05/30 00:00:00,1281,,-73.750137746306,45.4986209919552,285251.1969,5039885.843
81-03248,202042,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,2002,Boulevard de l'Acadie Nord,Autoroute 40 Ouest,99.88,4,2016/09/26 00:00:00,2700,,-73.6478955387062,45.531237676445,293248.3201,5043490.763
81-03250,202054,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,2003,Boulevard de l'Acadie Sud et bret. A,Autoroute 40 Ouest,99.92,4,2016/09/22 00:00:00,1928,,-73.6494888596589,45.5304824307778,293123.7143,5043407.063
81-03239,202552,,Actif Ville de Montréal,Pont à dalle pleine en béton précont.,14-H25-S20,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1975,boulevard de la Côte-Vertu,autoroute 13,75,4,2018/10/29 00:00:00,624,,-73.7233481400903,45.482212559254,287339.7929,5038056.2
81-03303,6029158,,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,06 - Arrondissement L'Île-Bizard-Sainte-Geneviève,Inspections annuelle et générale par la Ville Montréal,1969,rue Louis-Roch,Rivière-des-Prairies,96.44,4,2017/08/08 00:00:00,85,,-73.8781702070248,45.4838111992131,275237.4396,5038279.158
81-03304,6011805,,Actif Ville de Montréal,Pont à poutres en acier,15-MS200,Aucun affichage,Ville de Montréal,06 - Arrondissement L'Île-Bizard-Sainte-Geneviève,Inspections annuelle et générale par la Ville Montréal,1992,rue Louis-Roch,Rivière des Prairies,83.45,4,2017/08/08 00:00:00,47,,-73.877850724883,45.4837900584035,275262.4033,5038276.692
81-03305,6057303,,Actif Ville de Montréal,Ponceau rectang. en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Municipalité,13 - Arrondissement Pierrefonds-Roxboro,Inspections annuelle et générale par la Ville Montréal,1964,Chemin de l'Anse-à-l'Orme,Ruisseau  à l'Orme,97.67,4,2017/07/19 00:00:00,,,-73.9161056484666,45.4446891706594,272249.4201,5033946.196
81-03309,6011808,,Actif Ville de Montréal,Pont acier-bois,17-QS660,Aucun affichage,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1999,chemin des Iroquois,Canal Lachine,99.88,4,2016/08/19 00:00:00,197,,-73.6687283936795,45.4303628912315,291597.5894,5032283.752
81-03314,6036120,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal,13 - Arrondissement Pierrefonds-Roxboro,Inspections annuelle et générale par la Ville Montréal,1968,Rue de l'Île Barwick,Rivière des Prairies,89.64,4,2017/08/22 00:00:00,198,,-73.8564458711927,45.5064047233414,276946.8281,5040782.221
81-03405,6023361,,Actif Ville de Montréal,Ponceau rectang. en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1965,Autoroute 20 Ouest,Accès gare Lachine,98.87,4,2018/06/14 00:00:00,,,-73.7110585002909,45.4482299195684,288290.6172,5034277.121
81-03707,6041938,,Actif Ville de Montréal,"Pont à tablier inférieur, en acier",99-Inconnu,Aucun affichage,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1870,Piste site propre (21e avenue),Canal Lachine,99.13,4,2017/05/11 00:00:00,97,,-73.6837359819726,45.4325981388471,290423.8653,5032534.726
81-05010,202367,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,voie Privée (Virage en U voie de Service CP),Autoroute 15 Nord,99.96,4,2018/09/18 00:00:00,820,,-73.6502079146526,45.492920097284,293059.7433,5039232.841
81-05014,202374,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Rue Paré,Autoroute 15 Sud,99.95,4,2015/10/01 00:00:00,861,,-73.6556128925031,45.4959722416189,292637.947,5039572.83
81-05017,202377,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1966,Avenue Royalmount/Rue de la Savane,Autoroute 15 Nord,99.98,4,2018/10/09 00:00:00,1411,,-73.6604185160341,45.498945491912,292263.0194,5039903.988
81-05012,202351,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1966,Rue Monkland,Autoroute 15,97.88,4,2018/10/09 00:00:00,976,,-73.6199540492464,45.4787326884393,295422.0328,5037652.216
81-05026,202526,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal - MTQ,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1972,Boulevard Saint-Laurent,Autoroute 720 Ouest,99.84,4,2017/10/16 00:00:00,1069,,-73.558232,45.507303,300249.7431,5040821.893
81-05044,202134,,Actif Ville de Montréal,Pont à poutres en acier,13-H20-S16,Aucun affichage,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1966,rue Sherbrooke Est,Autoroute 25 Sud,99.78,4,2018/09/06 00:00:00,2726,,-73.536972,45.593228,301915.4012,5050369.876
81-05050,6030317,,Actif Ville de Montréal,"Pont à béquilles, béton armé",18-CL625,Aucun affichage,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,1920,Rue Crawford,Canal de l'Aqueduc,97.41,4,2016/07/11 00:00:00,286,,-73.596232529543,45.4405843675959,297271.4981,5033410.312
81-05051,6036497,,Actif Ville de Montréal,Pont à poutres-caissons en acier,18-CL625,Aucun affichage,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,1922,Pont Claude-Brunet,Canal de l'Aqueduc,99.95,4,2016/07/12 00:00:00,374,,-73.593382,45.443736,297494.9086,5033760.288
81-05053,6036159,,Actif Ville de Montréal,"Pont à tablier infér., béton armé",18-CL625,Aucun affichage,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1932,Rue Jolicoeur,Canal de l'Aqueduc,99.79,4,2018/05/09 00:00:00,1059,,-73.580555,45.4570025,298499.8169,5035233.501
81-05055,6030320,,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",17-QS660,Aucun affichage,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,1926,Rue Stephens,Canal de l'Aqueduc,99.38,4,2017/06/29 00:00:00,952,,-73.590493,45.4467735,297721.2893,5034097.585
81-05056,6030323,,Actif Ville de Montréal,Pont à poutres en béton armé,98-Autre,Aucun affichage,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1926,Rue Woodland,Canal de l'Aqueduc,98.54,4,2017/03/30 00:00:00,982,,-73.5831675,45.4531605,298295.0523,5034806.75
81-05057,6013355,,Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,1974,rue Galt,Canal de l'Aqueduc,98.7,4,2016/06/21 00:00:00,755,,-73.5804705,45.4624965,298507.0368,5035844.041
81-05063,6013362,,Actif Ville de Montréal,Pont à poutres en béton armé,4-12 Tonnes,Aucun affichage,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1945,Accès à  l'île Haynes,Coulée Grou,99.97,4,2016/08/15 00:00:00,114,,-73.5026235868042,45.698572546969,304595.688,5062076.5
81-05067,6017701,,Actif Ville de Montréal,"Pont à tablier supérieur, en acier",17-QS660,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1997,Rue Notre-Dame Est,rue Saint-Hubert,99.84,4,2018/05/28 00:00:00,5964,,-73.5507205,45.513381,300837.1193,5041496.947
81-05049,207679,,Actif Ville de Montréal,Pont à poutres en acier,17-QS660,Aucun affichage,Ville de Montréal - MTQ,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1938,Route 138,Rivière des Prairies,81.01,4,2018/10/31 00:00:00,11835,,-73.4836126641176,45.7028581963874,306076.0673,5062552.91
81-05074,6033507,,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1965,Boulevard Henri-Bourassa Est Dir. Est,"Accès au boui. Métropolitain Est, dir, Ouest",99.91,4,2017/03/30 00:00:00,408,,-73.5206365,45.6595115,303191.8125,5057735.696
81-05082,6036165,,Actif Ville de Montréal,Ponceau rectang. en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1961,Rue Mill,Décharge du canal Lachine,75,4,2016/10/26 00:00:00,,,-73.5516697406477,45.4909119590174,300761.3473,5038999.999
