IDE_STRCT,No structure,Nom route,Nom obstacle,Groupe,Centre de services,Type structure,Année de construction,Superficie du tablier,Superficie du mur,Charg conception,Affichage sur place,Statut,Responsablilté de gestion,Role VM Inspection,ICG,Catégorie ICG,Date Insp Générale Fermee,X,Y,latitude,longitude
202262,81-02207,Avenue Lafleur,Raccordement R-138 / Rue Airlie,,18 - Arrondissement LaSalle,"Port. béton armé, ss remblai",1963,791,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015-10-01,"293064,293604345","5031651,17628918","45,4246967961754","-73,6499687333823"
6041907,81-02211,Boul. de l'Acadie Sud,"Voie de service, dir. Est",,24 - Arrondissement Ahuntsic-Cartierville,Pont à poutres en acier,2003,471,,18-CL625,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Municipalité,Inspections annuelle et générale par la Ville Montréal,"99,5",4,2016-09-19,"293193,910161125","5043362,72586822","45,5300846419289","-73,6485891112678"
6036113,81-02301,Avenue Dollard,Canal de l'Aqueduc,,18 - Arrondissement LaSalle,Pont à poutres en acier,1920,1069,,18-CL625,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"295256,207228002","5031446,23729933","45,4228859863108","-73,6219547168115"
6030314,81-02302,Boulevard Bishop Power,Canal de l'Aqueduc,,18 - Arrondissement LaSalle,"Pont à tablier supér., béton armé",1920,2035,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"296236,907752694","5032217,20524564","45,429836260892","-73,6094363294821"
6036079,81-02303,Boul. Monk,Canal Lachine,,21 - Arrondissement Le Sud-Ouest,"Pont à tablier inférieur, en acier",2003,1512,,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"297113,994680802","5035959,07291103","45,4635176694253","-73,5982856312488"
6006660,81-02503,chemin de la Côte-Sainte-Catherine,,,05 - Arrondissement Outremont,Mur,1945,,427,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"98,78",4,2015-08-05,"297310,819443207","5041785,30530423","45,5159468024587","-73,5958576054"
6041609,81-02523,"Rue Panet, côté Ouest",,,20 - Arrondissement Ville-Marie,Mur,2005,,75,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,"299759,245321701","5042675,86400013","45,5239824027788","-73,564528215438"
6041611,81-02524,"Ch. de la Côte-de-Liesse, coté nord",,,24 - Arrondissement Ahuntsic-Cartierville,Mur,2002,,731,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,92",4,2016-09-19,"293128,276069847","5043222,90444065","45,5288253825927","-73,649426069491"
6034529,81-03108,Chemin de fer Canadien National,Avenue Sainte-Croix,,15 - Arrondissement Saint-Laurent,Pont à dalle pleine en béton armé,1969,795,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien National,Inspections annuelle et générale par la Ville Montréal,100,4,2016-05-30,"291514,446219353","5041173,34474569","45,5103538031537","-73,6700313195876"
6076481,81-03111A,"Ch. de la Côte-de-Liesse, dir. Est",43ième Avenue,P.I. 43ième Avenue / Aut. 520,17 - Arrondissement Lachine,"Pont à béquilles, béton armé",1966,325,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"68,68",3,2015-10-20,"287645,542066157","5036107,79244186","45,4646875609875","-73,7193690451826"
