SUB_ID,ORG_ID,ORG_NOM,ORG_TYPE,BEN_TYPE,BEN_NOM,BEN_ADRESSE,BEN_ADRESSE2,BEN_MUNICIPALITE,BEN_CODE_POSTAL,BEN_RADM,SUB_NOM,SUB_VOLET,SUB_SOUS-VOLET,SUB_DATE,SUB_TYPE,SUB_DESCRIPTION,SUB_DOMAINE,SUB_SOUS-DOMAINE,SUB_VALEUR
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,9432-9950 Québec inc.,"5333, avenue Casgrain",bureau 903,Rimouski,H2T1X3,Bas-Saint-Laurent,Aide à la création émergente 2022,Production 2022,,2021-10-29,Subvention,Circo,Cinéma et production télévisuelle,Production - Cinéma,21 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Fondation Québec Cinéma,"2, rue Sainte-Catherine Est",bureau 101,Montréal,H2X1K4,Montréal,Aide à la création émergente 2023,Activité d'accompagnement 2023,,2022-05-08,Subvention,Secrets de scénaristes,Cinéma et production télévisuelle,Production - Cinéma,14 250
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,"Makila, coopérative de solidarité","5445, Aenue De Gaspé",bureau 417,Montréal,H2T3B2,Montréal,Aide à la création émergente 2023,Activité d'accompagnement 2023,,2022-04-22,Subvention,Maillage - Cuban Hat 3.0,Cinéma et production télévisuelle,Production - Cinéma,3 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Films Rôdeurs inc.,"9, rue Irénée-Frenette",,Montréal,G2B3J1,Montréal,Aide à la création émergente 2023,Production 2023,,2023-03-15,Subvention,Phénix,Cinéma et production télévisuelle,Production - Cinéma,762 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,8901104 Canada inc. (Les Films Lost&Kik),"6671, rue Drolet",,Montréal,H2S2S9,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Cadavre exquis,Cinéma et production télévisuelle,Scénarisation,15 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,9322-3394 Québec inc.,"81, rue Watford",,Beaconsfield,H9W5Y2,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Workers Leaving,Cinéma et production télévisuelle,Scénarisation,25 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Boucane Films inc.,"129, rang de l'Éventail",,Rivière-Ouelle,G0L2C0,Bas-Saint-Laurent,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Matrimoine,Cinéma et production télévisuelle,Scénarisation,25 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Productions des Films de l'Autre inc.,"2205, rue Parthenais",bureau 108,Montréal,H2K3T3,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Parrandas,Cinéma et production télévisuelle,Scénarisation,25 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Rapailleurs inc.,"1035, rue de Montmartre",,Laval,H7E3P2,Laval,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Cette maison est la mienne,Cinéma et production télévisuelle,Scénarisation,25 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Productions Compass inc.,"220, avenue des Pins Ouest",bureau 4,Montréal,H2W1R9,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,La source,Cinéma et production télévisuelle,Scénarisation,25 000
