annee,reg_n,num_c,num_n,num_d,coord_x,coord_y,indice_fuites_ifi,indice_fuites_ifi_reg,indice_fuites_ifi_cpop,indice_fuites_ifi_qc,pertes_eau_reelles,pertes_eau_reelles_inev,pression_moy,nb_fuites_reparees,pourc_reseau_ausculte,long_reseau_km
2018,Bas-Saint-Laurent,08035,Saint-René-de-Matane,M,-67.3454257914391,48.723238094,2.6,1.9,2.1,6.0,8,3,52,1,0.00,2.968
2018,Bas-Saint-Laurent,08040,Sainte-Paule,M,-67.5341895350189,48.6689376805,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,08053,Matane,V,-67.4872737152448,48.799319831,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,08065,Saint-Léandre,P,-67.5962709359827,48.709816312,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,08073,Saint-Ulric,M,-67.7026546409236,48.748399351,1.1,1.9,2.1,6.0,12,11,63,2,100.00,9.336
2018,Bas-Saint-Laurent,08080,Baie-des-Sables,M,-67.8625956166573,48.7071762925,0.6,1.9,2.1,6.0,4,6,50,0,0.00,7.045
2018,Bas-Saint-Laurent,09005,La Rédemption,P,-67.8931198426695,48.4233797675,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,09010,Saint-Charles-Garnier,P,-68.0278496373373,48.3313804145,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,09015,Les Hauteurs,M,-68.1017330496553,48.3662179045,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,09020,Sainte-Jeanne-d'Arc,P,-67.9788364007113,48.4673509615,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,09025,Saint-Gabriel-de-Rimouski,M,-68.1907601379852,48.4174013235,1.3,1.9,2.1,6.0,9,7,38,2,0.00,5.804
2018,Bas-Saint-Laurent,09030,Saint-Donat,P,-68.239794360002,48.4924304365,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,09035,Sainte-Angèle-de-Mérici,M,-68.0824868716568,48.5046274325,7.1,1.9,2.1,6.0,58,8,39,1,100.00,4.115
2018,Bas-Saint-Laurent,09040,Padoue,M,-67.9492709303253,48.5938397005,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,09048,Métis-sur-Mer,V,-68.1100259476364,48.735850216,4.6,1.9,2.1,6.0,63,14,56,6,100.00,12.591
2018,Bas-Saint-Laurent,09055,Saint-Octave-de-Métis,P,-68.033583134355,48.6029160545,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,09060,Grand-Métis,M,-68.0894170766614,48.6300471105,0.3,1.9,,6.0,,,,0,700.00,
2018,Bas-Saint-Laurent,09065,Price,VL,-68.1263833656171,48.6013384125,0.3,1.9,2.8,6.0,5,21,48,1,97.00,17.372
2018,Bas-Saint-Laurent,09070,Saint-Joseph-de-Lepage,P,-68.1655071142206,48.559838592,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,09077,Mont-Joli,V,-68.1800528330374,48.585668248,2.3,1.9,3.2,6.0,113,49,42,12,76.00,56.518
2018,Bas-Saint-Laurent,09085,Sainte-Flavie,P,-68.2343214620286,48.5997591575,0.4,1.9,2.1,6.0,8,21,60,1,55.00,18.299
2018,Bas-Saint-Laurent,09092,Sainte-Luce,M,-68.3337857026383,48.534425449,1.6,1.9,2.8,6.0,84,52,59,17,100.00,50.380
2018,Bas-Saint-Laurent,10005,Esprit-Saint,M,-68.5322949802481,48.047619982,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,10010,La Trinité-des-Monts,P,-68.4184756040237,48.1313495015,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,10015,Saint-Narcisse-de-Rimouski,P,-68.4672054341229,48.250872993,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,10025,Saint-Marcellin,P,-68.2842475169472,48.337497089,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,10030,Saint-Anaclet-de-Lessard,P,-68.374191519013,48.442226485,1.0,1.9,2.8,6.0,21,22,66,3,0.00,18.257
2018,Bas-Saint-Laurent,10043,Rimouski,V,-68.6652504175447,48.4078333115,1.0,1.9,3.5,6.0,440,423,52,85,99.00,332.400
2018,Bas-Saint-Laurent,10060,Saint-Valérien,P,-68.6224303801402,48.2994250825,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,10070,Saint-Fabien,P,-68.8588530451159,48.285251974,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,10075,Saint-Eugène-de-Ladrière,P,-68.6903453449416,48.1871304145,,1.9,,6.0,,,,,,
