ï»¿ID,DATE_ATTRIB,TYPE_LIEU,TYPE_DOSSIER_INTERV,SECTEUR_SCIAN,REGION
92,2022-01-06,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,BAS-ST-LAURENT
93,2022-01-06,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,SAGUENAY-LAC-ST-JEAN
94,2022-01-06,ETABLISSEMENT,PLAINTE,CONSTRUCTION,BAS-ST-LAURENT
95,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,BAS-ST-LAURENT
96,2022-01-06,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,BAS-ST-LAURENT
97,2022-01-06,ETABLISSEMENT,PLAINTE,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",BAS-ST-LAURENT
98,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,LONGUEUIL
99,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LONGUEUIL
100,2022-01-06,AUTRE LIEU DE TRAVAIL,PLAINTE,INDETERMINE (AUTRES),MONTREAL
101,2022-01-06,AUTRE LIEU DE TRAVAIL,LOI ET REGLEMENTS,INDETERMINE (AUTRES),MONTREAL
102,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LANAUDIERE
103,2022-01-06,ETABLISSEMENT,PLAINTE,CONSTRUCTION,LAURENTIDES
104,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
105,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
106,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,ADMINISTRATIONS PUBLIQUES,CAPITALE-NATIONALE
107,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
108,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",ABITIBI-TEMISCAMINGUE
109,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,CAPITALE-NATIONALE
110,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,"SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN",VALLEYFIELD
111,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
112,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
113,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
114,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
115,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
116,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,ADMINISTRATIONS PUBLIQUES,VALLEYFIELD
117,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,OUTAOUAIS
118,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,ST-JEAN-SUR-RICHELIEU
119,2022-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),ESTRIE
120,2022-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),ESTRIE
121,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
122,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
123,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
124,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,VALLEYFIELD
125,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,ADMINISTRATIONS PUBLIQUES,VALLEYFIELD
126,2022-01-06,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,MAURICIE ET CENTRE-DU-QUEBEC
127,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,CAPITALE-NATIONALE
128,2022-01-06,ETABLISSEMENT,PLAINTE,CONSTRUCTION,CAPITALE-NATIONALE
129,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,MAURICIE ET CENTRE-DU-QUEBEC
130,2022-01-06,ETABLISSEMENT,PLAINTE,AUTRES SERVICES,CAPITALE-NATIONALE
131,2022-01-06,ETABLISSEMENT,PLAINTE,SERVICES D'ENSEIGNEMENT,MAURICIE ET CENTRE-DU-QUEBEC
132,2022-01-06,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,MAURICIE ET CENTRE-DU-QUEBEC
133,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,CAPITALE-NATIONALE
134,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,CAPITALE-NATIONALE
135,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",ABITIBI-TEMISCAMINGUE
136,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,MAURICIE ET CENTRE-DU-QUEBEC
137,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,CAPITALE-NATIONALE
138,2022-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE GROS,MAURICIE ET CENTRE-DU-QUEBEC
139,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,CONSTRUCTION,LAURENTIDES
140,2022-01-06,ETABLISSEMENT,PLAINTE,SERVICES D'ENSEIGNEMENT,MONTREAL
141,2022-01-06,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,LAVAL
142,2022-01-06,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,LAVAL
143,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LAURENTIDES
144,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
145,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
146,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
147,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
148,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
149,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
150,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
151,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
152,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
153,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
154,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
155,2022-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
156,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,SAGUENAY-LAC-ST-JEAN
157,2022-01-07,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,BAS-ST-LAURENT
158,2022-01-07,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,BAS-ST-LAURENT
159,2022-01-07,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,BAS-ST-LAURENT
160,2022-01-07,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,MONTREAL
161,2022-01-07,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,LAURENTIDES
162,2022-01-07,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),OUTAOUAIS
163,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,SAGUENAY-LAC-ST-JEAN
164,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,SAGUENAY-LAC-ST-JEAN
165,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,HEBERGEMENT ET SERVICES DE RESTAURATION,SAGUENAY-LAC-ST-JEAN
166,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,SOINS DE SANTE ET ASSISTANCE SOCIALE,ST-JEAN-SUR-RICHELIEU
167,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,SAGUENAY-LAC-ST-JEAN
168,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
169,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
170,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,SAGUENAY-LAC-ST-JEAN
171,2022-01-07,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LONGUEUIL
172,2022-01-07,ETABLISSEMENT,PLAINTE,ADMINISTRATIONS PUBLIQUES,ABITIBI-TEMISCAMINGUE
173,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,SAGUENAY-LAC-ST-JEAN
174,2022-01-07,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS NON DURABLES,LONGUEUIL
175,2022-01-07,ETABLISSEMENT,PLAINTE,"SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES",LONGUEUIL
176,2022-01-07,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LONGUEUIL
177,2022-01-07,ETABLISSEMENT,PLAINTE,AUTRES SERVICES,ST-JEAN-SUR-RICHELIEU
178,2022-01-07,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),SAGUENAY-LAC-ST-JEAN
179,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,SOINS DE SANTE ET ASSISTANCE SOCIALE,MAURICIE ET CENTRE-DU-QUEBEC
180,2022-01-07,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LONGUEUIL
181,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",ABITIBI-TEMISCAMINGUE
182,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,SOINS DE SANTE ET ASSISTANCE SOCIALE,ST-JEAN-SUR-RICHELIEU
183,2022-01-07,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),CHAUDIERE-APPALACHES
184,2022-01-07,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),CHAUDIERE-APPALACHES
185,2022-01-07,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),CHAUDIERE-APPALACHES
186,2022-01-07,ETABLISSEMENT,PLAINTE,ADMINISTRATIONS PUBLIQUES,BAS-ST-LAURENT
187,2022-01-07,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),CHAUDIERE-APPALACHES
188,2022-01-07,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),CHAUDIERE-APPALACHES
189,2022-01-07,ETABLISSEMENT,ASSISTANCE,SOINS DE SANTE ET ASSISTANCE SOCIALE,MAURICIE ET CENTRE-DU-QUEBEC
190,2022-01-07,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),CAPITALE-NATIONALE
191,2022-01-07,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,CHAUDIERE-APPALACHES
192,2022-01-07,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,SAGUENAY-LAC-ST-JEAN
193,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,SAGUENAY-LAC-ST-JEAN
194,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,SOINS DE SANTE ET ASSISTANCE SOCIALE,SAGUENAY-LAC-ST-JEAN
195,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
196,2022-01-07,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),MONTREAL
197,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
198,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
199,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
200,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,SAGUENAY-LAC-ST-JEAN
201,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,SAGUENAY-LAC-ST-JEAN
202,2022-01-07,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),BAS-ST-LAURENT
203,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
204,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
205,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
206,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,SOINS DE SANTE ET ASSISTANCE SOCIALE,SAGUENAY-LAC-ST-JEAN
207,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,SOINS DE SANTE ET ASSISTANCE SOCIALE,SAGUENAY-LAC-ST-JEAN
208,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
209,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LANAUDIERE
210,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
211,2022-01-07,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),VALLEYFIELD
212,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
213,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
214,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
215,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LANAUDIERE
216,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
217,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
218,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
219,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LANAUDIERE
220,2022-01-07,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LANAUDIERE
