Instance,Type_assemblee,Publique,Diffusion_web,Date,Heure,Endroit,Salle,Rue,No_civique
Comité exécutif ,Extraordinaire,Non,,2014-10-27,1:00:00 PM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2014-10-27,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,Non,2014-10-29,7:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-10-29,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Extraordinaire,Oui,Non,2014-10-29,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Extraordinaire,Oui,Non,2014-10-30,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2014-10-30,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-10-31,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-03,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-03,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-04,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-04,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-11-05,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-05,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-05,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le schéma d’aménagement et de développement de Montréal,Consultation publique,Oui,Non,2014-11-05,7:00:00 PM,,Salle du conseil de l'arrondissement d'Outremont,Davaar,530
