Nom Bibliothèque	Secteur	Titre	Nombre de prêt	Nombre de document	Lien URL
Bibliothèque de Saint-Pierre	Adultes - DVD	L'aube des morts[enregistrement vidéo] =Dawn of the dead /réalisation, Zack Snyder ; scénario, James Gunn.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1760181
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	Je t'aime de la tête aux pieds /Bernadette Rossetti-Shustak ; illustrations de Caroline Jayne Church ; [texte français d'Isabelle Allard].	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1578542
Bibliothèque de Saint-Pierre	Jeunes - BD	Watergate /dessin, Midam ... [et al.] ; scénario, Midam et Thitaume.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2414258
Bibliothèque de Saint-Pierre	Adultes - DVD	Philomena[enregistrement vidéo] /réalisation, Stephen Frears ; scénario, Steve Coogan, Jeff Pope.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2439075
Bibliothèque de Saint-Pierre	Adultes - DVD	Walk the line[enregistrement vidéo] /scénario, Gill Dennis, James Mangold ; réalisation, James Mangold.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1439308
Bibliothèque de Saint-Pierre	Adultes - DVD	Master and commander[enregistrement vidéo] :the far side of the world = [Maître à bord : de l'autre côté du monde] /direction, Peter Weir ; screenplay, Peter Weir, John Collee.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2098521
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	Le ballon /Dominique Jolin.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2285257
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	St. Patrick's Day.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2323328
Bibliothèque de Saint-Pierre	Adolescents - Romans	Maboul à zéro /Jean-Paul Nozière.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1342200
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	Petit Lapin blanc au zoo /[d'après l'oeuvre de Marie-France Floury & Fabienne Boisnard ; rédacteur, Cécile Beaucourt].	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2262159
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	Petit Lapin blanc voudrait un chaton /[d'après l'oeuvre de Marie-France Floury & Fabienne Boisnard ; rédacteur, Cécile Beaucourt].	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2262090
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	Petit Lapin blanc invite ses amis /[d'après l'oeuvre de Marie-France Floury & Fabienne Boisnard ; rédacteur, Cécile Beaucourt].	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2262143
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	Comptines à gestes /illustrations de Mélanie Florian.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1585631
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	Quel beau petit! /[texte de] Christiane Duchesne ; [illustrations de] Barbara Reid.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1928911
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	À poil(s) /[texte de] Michaël Escoffier ; [illustrations de] Kris Di Giacomo.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2082090
Bibliothèque de Saint-Pierre	Jeunes - Livres d'images (Albums)	Le tracteur rouge /[illustrations de Stephen Cartwright].	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1365757
Bibliothèque de Saint-Pierre	Jeunes - BD	Ça va barder! /Jacques Goldstyn.	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1748994
Bibliothèque de Saint-Pierre	Jeunes - BD	Le merveilleux pays d'Oz /adapté du roman de L. Frank Baum ; [scénario de] Eric Shanower ; [dessin de] Skottie Young ; [traduction, Françoise Effosse-Roche].	3	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2441806
Bibliothèque Benny	Inconnu	La très noble demoiselle /Louise Simard.	7	16	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1092876
Bibliothèque Benny	Adultes - Cours de langue	Italian[ensemble multi-supports] :beyond the basics /written by Antonella Ansani ; edited by Christopher A. Warnasch	7	6	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1416177
Bibliothèque Benny	Jeunes - Romans enfants	Lili se fait toujours gronder /[texte de] Dominique de Saint Mars ; [illustrations de] Serge Bloch.	5	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1254890
Bibliothèque Benny	Jeunes - Romans enfants	Max n'aime pas perdre /Dominique de Saint Mars ; [illustrations de] Serge Bloch.	5	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1227562
Bibliothèque Benny	Adultes - Cours de langue	Oxford take off in French /Marie-Thérèse Bougard	5	5	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1263369
Bibliothèque Benny	Jeunes - Nouveautés	Le collège de Raxford.14,Le concours de poésie /Téa Stilton ; [illustrations de Chiara Balleello ; traduction de Béatrice Didiot].	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2416481
Bibliothèque Benny	Jeunes - DVD	Hachi, a dog's tale[videorecording] /produced by Richard Gere, Bill Johnson, Vicki Shigekuni Wong ; screenplay by Stephen P. Lindsey ; directed by Lasse Hallstrèom.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1933009
Bibliothèque Benny	Jeunes - DVD	Toupie et Binou.On se déguise[enregistrement vidéo] :vroum vroum zoum = Toopey and Binoo.Dress up fun : vroom vroom zoom /réalisation, Peter Svatek.	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2427111
Bibliothèque Benny	Jeunes - Romans enfants	Max et Lili veulent éduquer leurs parents /[texte de] Dominique de Saint Mars ; [illustrations de] Serge Bloch.	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1941461
Bibliothèque Benny	Adultes - DVD	Byzantium[enregistrement vidéo] /réalisation, Neil Jordan ; scénario, Moira Buffini.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2432359
