quest,q2b,q2c,q33,q4,q4a,q4c,q4d,q4e,q4f,q4g,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q9a,q9b,q9c,q9d,q9e,q9f,q9g,q9h,q9i,q9j,q10,q11,q12a,q12b,q12c,q12d,q12e,q12f,q12g,q12h,q13a,q13b,q13c,q13d,q14,q15,q16,q17b,q17a,q18,q19a,q19b,q19c,q19d,q19e,q19f,q20,q21_m1,q21_m2,q21_m3,q21_m4,q21_m5,q21_m6,q21_m7,q21_m8,q21_m9,q21_m10,q22,q24,q25_m1,q25_m2,q25_m3,q25_m4,q25_m5,q26,q27_m1,q27_m2,q27_m3,q28,q29a,q29b,q29c,q29d,q29e,q29f,q29g,q29h,q30,q31,q34,q35,q36,q36b,q36c,q37,pondm 
1533,H1L,"9,00","4,00","1,00","2,00","3,00","1,00","2,00","4,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","2,00","3,00","2,00","2,00","3,00","3,00","2,00","1,00","2,00","1,00","1,00","1,00","2,00","2,00","2,00","2,00","3,00","2,00","3,00","2,00","1,00","1,00","1,00","1,00","3,00","3,00","2,00","3,00","2,00","2,00","1,00","9,00","2,00","2,00","2,00","1,00","1,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","14,00","35,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","1,00","4,00","1,00","1,00","2,00","0,93"
1536,H4C,"9,00","5,00","1,00","2,00","2,00","2,00","3,00","2,00","2,00","3,00","2,00","3,00","2,00","3,00","3,00","2,00","3,00","3,00","3,00","2,00","3,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","3,00","2,00","9,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","10,00","9,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"5,00","1,00","3,00","1,00","1,00","1,00","1,54"
1538,H2W,"7,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","2,00","2,00","1,00","1,00","1,00","4,00","4,00","3,00","2,00","4,00","4,00","2,00","4,00","4,00","2,00","4,00","4,00","2,00","2,00","3,00","2,00","2,00","4,00","4,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","97,00","2,00","3,00","4,00","2,00","9,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","3,00","24,00","14,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00",,,,,,,,,,,,"1,00","2,00",,,,,"2,00","1,00",,,"1,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","4,00","1,00","4,00","1,00","2,00","2,00","0,62"
1540,H3S,"6,00","6,00","1,00","9,00","1,00","1,00","9,00","1,00","3,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","3,00","2,00","1,00","1,00","2,00","1,00","2,00","1,00","1,00","1,00","2,00","1,00","2,00","1,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","9,00","9,00","1,00","1,00","1,00","1,00","98,00","1,00","2,00","2,00","1,00","1,00","2,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","99,00","13,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","2,00",,,,,"2,00","1,00","2,00",,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","4,00","1,00","4,00","3,00","1,00","2,00","0,76"
1549,H4L,"3,00","6,00","1,00","3,00","3,00","2,00","4,00","2,00","4,00","4,00","2,00","2,00","4,00","2,00","3,00","2,00","2,00","2,00","3,00","4,00","3,00","3,00","3,00","3,00","9,00","9,00","1,00","9,00","9,00","9,00","3,00","3,00","3,00","9,00","1,00","1,00","9,00","9,00","4,00","2,00","9,00","9,00","2,00","9,00","9,00","1,00","26,00","3,00","2,00","2,00","9,00","2,00","9,00","9,00","2,00","2,00","9,00","9,00","4,00","9,00","9,00","9,00","5,00","23,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","10,00",,,,,"10,00","1,00",,,"1,00","2,00","9,00","2,00","2,00","1,00","1,00","1,00","1,00","2,00","1,00","4,00","1,00","4,00","3,00","1,00","2,00","1,34"
1555,H2F,"15,00","6,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","3,00","2,00","2,00","4,00","3,00","3,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","1,00","1,00","1,00","2,00","2,00","1,00","1,00","2,00","1,00","1,00","2,00","2,00","2,00","2,00","1,00","2,00","1,00","1,00","1,00","2,00","1,00","98,00","3,00","2,00","1,00","2,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","11,00","8,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","1,00","3,00","3,00","4,00","1,00","0,82"
1560,H3K,"14,00","3,00","1,00","2,00","1,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","3,00","3,00","3,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","2,00","2,00","2,00","1,00","6,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","99,00","11,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","4,00","1,00","1,00","2,00","2,23"
1561,H8R,"7,00","4,00","1,00","2,00","3,00","2,00","2,00","2,00","2,00","4,00","3,00","4,00","3,00","3,00","3,00","2,00","4,00","4,00","3,00","2,00","2,00","4,00","2,00","3,00","3,00","2,00","3,00","3,00","2,00","2,00","4,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","1,00","2,00","2,00","3,00","2,00","2,00","9,00","3,00","4,00","3,00","4,00","2,00","3,00","3,00","2,00","9,00","1,00","3,00","3,00","4,00","4,00","3,00","3,00","3,00","8,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","7,00",,,,,"7,00","1,00",,,"4,00","3,00","2,00","2,00","2,00","1,00","2,00","2,00","2,00","3,00","3,00","2,00","1,00","4,00","1,00","1,00","2,00","0,62"
1564,H1H,"4,00","6,00","1,00","2,00","2,00","2,00","2,00","2,00","4,00","2,00","2,00","1,00","2,00","3,00","3,00","2,00","3,00","4,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","4,00","98,00","2,00","2,00","2,00","3,00","2,00","1,00","2,00","1,00","2,00","3,00","2,00","2,00","3,00","2,00","2,00","99,00","27,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","8,00",,,,,"8,00","1,00",,,"2,00","2,00","2,00","2,00","2,00","1,00","1,00","1,00","2,00","4,00","1,00","4,00","1,00","2,00","3,00","1,00","1,00","0,44"
1571,H2C,"10,00","6,00","1,00","2,00","2,00","1,00","3,00","1,00","1,00","3,00","1,00","3,00","3,00","1,00","4,00","1,00","4,00","4,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","4,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","4,00","9,00","9,00","1,00","3,00","1,00","9,00","1,00","9,00","9,00","2,00","12,00","2,00","2,00","2,00","1,00","1,00","9,00","9,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","36,00","7,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","1,00","4,00","3,00","1,00","2,00","0,43"
1574,H4G,"1,00","5,00","1,00","1,00","1,00","1,00","2,00","3,00","4,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","4,00","4,00","3,00","2,00","2,00","2,00","4,00","2,00","1,00","1,00","2,00","4,00","2,00","1,00","1,00","2,00","9,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","3,00","1,00","2,00","2,00","1,00","2,00","11,00","2,00","4,00","2,00","1,00","4,00","9,00","1,00","3,00","3,00","3,00","2,00","3,00","2,00","2,00","1,00","22,00","9,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","1,00","4,00","1,00","1,00","1,00","1,37"
1575,H1G,"17,00","4,00","1,00","1,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","1,00","2,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","98,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","24,00","23,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","1,00","4,00","1,00","1,00","1,00","1,03"
1589,H3V,"10,00","6,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","1,00","1,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","1,00","1,00","1,00","1,00","1,00","9,00","9,00","1,00","1,00","1,00","4,00","35,00","1,00","1,00","1,00","1,00","1,00","9,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","99,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","1,00","2,00","3,00","1,00","1,00","0,98"
1591,H4L,"3,00","5,00","1,00","2,00","2,00","1,00","2,00","2,00","4,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","4,00","4,00","4,00","2,00","2,00","2,00","4,00","2,00","2,00","2,00","3,00","3,00","9,00","2,00","1,00","9,00","3,00","2,00","3,00","2,00","2,00","2,00","2,00","3,00","3,00","9,00","2,00","2,00","2,00","2,00","2,00","2,00","4,00","2,00","2,00","2,00","3,00","2,00","2,00","3,00","3,00","3,00","3,00","3,00","3,00","3,00","1,00","14,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","21,00","4,00",,,,"4,00","1,00",,,"4,00","4,00","2,00","2,00","2,00","2,00","4,00","2,00","2,00","4,00","3,00","1,00","2,00","4,00","1,00","1,00","1,00","2,32"
1592,H8P,"15,00","5,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","2,00","4,00","2,00","1,00","2,00","1,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","1,00","3,00","9,00","1,00","2,00","2,00","2,00","14,00","1,00","2,00","1,00","1,00","1,00","2,00","1,00","2,00","1,00","1,00","2,00","9,00","1,00","1,00","1,00","28,00","6,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","4,00","1,00","1,00","2,00","0,73"
1601,H1M,"5,00","3,00","1,00","1,00","1,00","1,00","2,00","3,00","1,00","2,00","1,00","2,00","2,00","1,00","2,00","2,00","3,00","4,00","3,00","2,00","2,00","3,00","1,00","3,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","2,00","1,00","1,00","2,00","2,00","2,00","2,00","12,00","2,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","38,00","60,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","3,00","1,00","1,00","2,00","1,51"
1607,H2L,"2,00","6,00","1,00","2,00","2,00","3,00","2,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","3,00","2,00","1,00","3,00","3,00","3,00","3,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","1,00","1,00","1,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","3,00","4,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","9,00","9,00","2,00","3,00","2,00","2,00","99,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","1,00","3,00","3,00","1,00","2,00","0,30"
1609,H2E,"18,00","5,00","1,00","2,00","2,00","3,00","4,00","4,00","4,00","2,00","2,00","3,00","2,00","3,00","3,00","1,00","4,00","3,00","4,00","3,00","3,00","4,00","2,00","3,00","1,00","2,00","2,00","3,00","2,00","3,00","4,00","1,00","1,00","1,00","4,00","1,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","12,00","2,00","2,00","2,00","2,00","1,00","3,00","2,00","2,00","2,00","3,00","2,00","3,00","3,00","2,00","3,00","5,00","20,00","1,00","3,00","2,00","4,00","2,00","2,00","2,00","2,00",,,,,,,,,,,,"9,00",,,,,,,,,,,,,,,,,,,,,"5,00","2,00","3,00","3,00","1,00","2,00","0,98"
1613,H1V,"19,00","3,00","1,00","2,00","2,00","1,00","3,00","2,00","4,00","1,00","1,00","3,00","1,00","2,00","3,00","4,00","4,00","4,00","3,00","2,00","9,00","3,00","2,00","2,00","2,00","2,00","3,00","4,00","2,00","4,00","2,00","3,00","3,00","2,00","3,00","3,00","3,00","9,00","2,00","2,00","1,00","3,00","2,00","9,00","9,00","2,00","12,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","3,00","2,00","2,00","13,00","3,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","4,00","4,00","3,00","2,00","2,01"
1617,H2C,"9,00","5,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","3,00","3,00","3,00","2,00","2,00","3,00","2,00","2,00","1,00","1,00","2,00","2,00","1,00","2,00","1,00","2,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","1,00","1,00","1,00","98,00","1,00","2,00","2,00","2,00","2,00","1,00","1,00","1,00","2,00","1,00","1,00","9,00","2,00","1,00","1,00","1,00","23,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","4,00","7,00","1,00","1,00","1,54"
1618,H2P,"1,00","6,00","1,00","1,00","2,00","1,00","1,00","2,00","2,00","3,00","3,00","3,00","2,00","4,00","4,00","1,00","3,00","4,00","1,00","1,00","1,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","1,00","9,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","4,00","2,00","1,00","2,00","1,00","1,00","1,00","98,00","2,00","1,00","1,00","1,00","9,00","9,00","1,00","1,00","9,00","2,00","1,00","1,00","2,00","2,00","2,00","8,00","20,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","4,00","3,00","1,00","1,00","1,66"
1623,H2R,"19,00","3,00","1,00","3,00","3,00","3,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","4,00","2,00","2,00","3,00","3,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","9,00","2,00","3,00","4,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","3,00","2,00","3,00","13,00","14,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","2,00","38,00",,,,"38,00","1,00",,,"4,00","2,00","2,00","2,00","4,00","2,00","4,00","4,00","2,00","4,00","4,00","2,00","1,00","4,00","1,00","1,00","2,00","2,01"
1624,H4L,"19,00","6,00","1,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","1,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","9,00","2,00","1,00","2,00","4,00","2,00","2,00","2,00","2,00","2,00","9,00","9,00","2,00","2,00","3,00","3,00","9,00","2,00","2,00","2,00","15,00","14,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","4,00","7,00","1,00","2,00","1,80"
1626,H3V,"15,00","5,00","1,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","3,00","4,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","5,00","8,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","2,00","3,00","1,00","1,00","2,00","0,73"
1627,H1J,"3,00","5,00","1,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","1,00","2,00","9,00","2,00","2,00","2,00","2,00","2,00","9,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","8,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","2,00","4,00","6,00","14,00","2,00","1,36"
1637,H2E,"2,00","6,00","1,00","2,00","1,00","1,00","9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","1,00","1,00","1,00","9,00","1,00","9,00","1,00","1,00","1,00","9,00","2,00","1,00","9,00","9,00","2,00","1,00","1,00","2,00","20,00","1,00","2,00","9,00","2,00","1,00","9,00","1,00","2,00","1,00","1,00","1,00","2,00","2,00","1,00","2,00","99,00","15,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","2,00","3,00","1,00","2,00","0,30"
1648,H1T,"19,00","5,00","1,00","1,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","9,00","2,00","1,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","1,00","1,00","1,00","9,00","4,00","9,00","4,00","9,00","9,00","9,00","1,00","1,00","1,00","1,00","2,00","9,00","9,00","2,00","5,00","2,00","2,00","2,00","2,00","9,00","9,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","2,00","9,00","99,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"99,00","2,00","3,00","2,00","12,00","2,00","1,20"
1652,H2E,"16,00","2,00","1,00","2,00","4,00","1,00","1,00","4,00","4,00","4,00","3,00","4,00","4,00","3,00","4,00","3,00","4,00","2,00","4,00","4,00","4,00","4,00","1,00","4,00","4,00","4,00","4,00","4,00","4,00","2,00","1,00","1,00","4,00","1,00","4,00","2,00","1,00","4,00","1,00","4,00","1,00","3,00","1,00","4,00","4,00","4,00","4,00","1,00","4,00","4,00","4,00","9,00","4,00","1,00","4,00","1,00","1,00","3,00","3,00","4,00","4,00","4,00","9,00","8,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","15,00",,,,,"15,00","1,00",,,"4,00","4,00","9,00","4,00","1,00","4,00","1,00","4,00","1,00","4,00","4,00","1,00","1,00","4,00","4,00","3,00","1,00","1,83"
1655,H3J,"19,00","5,00","1,00","1,00","2,00","1,00","2,00","1,00","4,00","2,00","4,00","4,00","4,00","4,00","4,00","2,00","4,00","4,00","2,00","1,00","2,00","4,00","2,00","4,00","1,00","1,00","2,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","23,00","2,00","2,00","2,00","2,00","9,00","9,00","2,00","2,00","2,00","4,00","4,00","4,00","3,00","3,00","3,00","1,00","8,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"3,00","1,00","2,00","1,00","1,00","2,00","1,20"
1657,H8R,"17,00","6,00","1,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","3,00","4,00","4,00","4,00","4,00","3,00","3,00","3,00","3,00","2,00","3,00","3,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","15,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","99,00","25,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","2,00","3,00","1,00","1,00","2,00","0,38"
1660,H2K,"5,00","4,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","3,00","3,00","4,00","4,00","4,00","4,00","1,00","2,00","2,00","2,00","3,00","2,00","2,00","1,00","2,00","1,00","1,00","2,00","4,00","2,00","1,00","3,00","2,00","2,00","1,00","1,00","2,00","1,00","1,00","1,00","2,00","2,00","1,00","3,00","2,00","2,00","2,00","4,00","2,00","2,00","2,00","2,00","1,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","41,00","97,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","31,00",,,,,"31,00","3,00",,,"4,00","3,00","2,00","2,00","2,00","1,00","3,00","2,00","1,00","4,00","4,00","3,00","2,00","2,00","1,00","15,00","1,00","1,10"
1661,H4J,"18,00","3,00","1,00","2,00","2,00","9,00","2,00","3,00","3,00","3,00","3,00","2,00","3,00","2,00","3,00","4,00","3,00","3,00","3,00","3,00","3,00","4,00","2,00","4,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","1,00","2,00","1,00","2,00","2,00","1,00","2,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","2,00","99,00","2,00","1,00","2,00","2,00","3,00","3,00","2,00","1,00","2,00","2,00","4,00","9,00","2,00","2,00","2,00","23,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"5,00","2,00","3,00","5,00","1,00","1,00","3,55"
1662,H2C,"1,00","5,00","1,00","2,00","2,00","2,00","2,00","1,00","2,00","3,00","2,00","2,00","3,00","2,00","2,00","2,00","1,00","2,00","1,00","1,00","2,00","2,00","1,00","2,00","1,00","3,00","2,00","1,00","1,00","1,00","1,00","9,00","1,00","1,00","2,00","3,00","1,00","9,00","2,00","1,00","4,00","1,00","2,00","9,00","9,00","2,00","99,00","2,00","2,00","2,00","9,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","8,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","1,00",,,,,"1,00","1,00",,,"2,00","2,00","1,00","1,00","2,00","1,00","2,00","2,00","2,00","2,00","1,00","4,00","2,00","2,00","3,00","2,00","1,00","1,37"
1665,H2T,"1,00","6,00","1,00","1,00","1,00","1,00","4,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","4,00","4,00","1,00","1,00","4,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","9,00","1,00","1,00","4,00","4,00","9,00","2,00","1,00","1,00","1,00","1,00","1,00","9,00","9,00","2,00","18,00","1,00","4,00","3,00","1,00","1,00","9,00","2,00","2,00","2,00","2,00","2,00","9,00","2,00","1,00","1,00","12,00","11,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","1,00","4,00","2,00","1,00","2,00","0,96"
1672,H2S,"6,00","6,00","1,00","3,00","3,00","3,00","4,00","3,00","3,00","2,00","2,00","3,00","3,00","2,00","2,00","1,00","3,00","3,00","3,00","2,00","3,00","3,00","3,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","1,00","1,00","2,00","2,00","3,00","2,00","2,00","1,00","1,00","2,00","12,00","2,00","2,00","3,00","2,00","2,00","3,00","2,00","2,00","3,00","3,00","3,00","4,00","3,00","2,00","2,00","1,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","12,00","33,00",,,,"12,00","1,00",,,"1,00","1,00","9,00","3,00","3,00","1,00","3,00","3,00","3,00","2,00","2,00","4,00","1,00","4,00","3,00","1,00","2,00","0,76"
1675,H2L,"14,00","6,00","1,00","2,00","1,00","3,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","3,00","1,00","4,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","3,00","2,00","3,00","3,00","3,00","2,00","2,00","9,00","9,00","4,00","2,00","2,00","3,00","2,00","2,00","2,00","1,00","16,00","1,00","2,00","2,00","1,00","2,00","3,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","1,00","8,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","8,00",,,,,"8,00","1,00",,,"2,00","2,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","2,00","1,00","1,00","1,00","3,00","3,00","1,00","2,00","0,85"
1682,H1W,"18,00","4,00","1,00","2,00","2,00","1,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","3,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","9,00","2,00","3,00","3,00","2,00","2,00","3,00","3,00","3,00","3,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","3,00","3,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","5,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","18,00",,,,,"18,00","2,00",,,"1,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","4,00","1,00","3,00","1,00","0,74"
