responseid,survc,lang,qa,qx,postal6,sexe,age,q9,q9_99_other,cible,q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q3,q10_1,q10_2,q10_3,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q5,q5_7_other,q6,q7,q8,q8_7_other,POND,,
175,MW12000_112D,EN,1,15,H1R1L5,2,1,2, ,2,2,2,1,1,1,1,2,1,1,1,1,5,2,1,1,1,1,1,1,3,5, ,1,3,4, ,1.10889995098114,,
176,MW12000_112D,FR,9, ,G8z2g1,1,4,1, ,1,2,2,2,2,2,2,2,2,1,1,2,10,7,10,4,4,4,4,4,4,4, ,1,4,1, ,.316120088100433,,
177,MW12000_112D,FR,5, ,J3z1g9,1,4,1, ,1,2,2,3,2,2,2,2,2,2,2,2,8,8,9,2,2,2,2,2,2,2, ,1,4,1, ,.987214386463165,,
178,MW12000_112D,FR,9, ,G8y5h1,2,5,1, ,1,2,2,2,2,2,2,2,2,1,2,2,10,5,10,2,2,3,2,2,4,1, ,1,3,1, ,.344858318567276,,
179,MW12000_112D,FR,9, ,G9C0A9,2,1,1, ,1,2,2,2,2,2,2,2,1,1,1,2,9,8,8,2,2,2,2,3,3,1, ,1,3,1, ,.281199872493744,,
180,MW12000_112D,FR,7, ,g7h2y7,1,4,1, ,1,2,3,2,3,2,2,3,3,2,2,3,7,7,7,2,2,2,2,3,3,2, ,1,4,1, ,.322396665811539,,
181,MW12000_112D,FR,1,1,H2N1S8,1,3,1, ,1,3,3,2,3,3,3,3,3,3,3,3,9,9,7,2,2,2,2,2,2,1, ,2,3,6, ,2.6865861415863,,
182,MW12000_112D,FR,6, ,j1l1v7,1,1,1, ,1,3,3,2,2,2,2,2,2,3,3,2,7,98,7,1,1,2,1,3,4,4, ,2,3,4, ,1.0263923406601,,
183,MW12000_112D,EN,1,11,h2v2r2,2,1,2, ,2,3,3,2,3,2,3,3,2,2,2,3,5,1,1,3,3,3,4,3,4,5, ,2,3,4, ,1.16244971752167,,
184,MW12000_112D,FR,1,19,H3N2A2,1,4,1, ,1,3,3,3,3,3,4,3,3,3,2,3,8,7,7,4,3,4,3,4,4,1, ,2,3,1, ,1.99822735786438,,
185,MW12000_112D,EN,1,12,H1E6J3,2,1,2, ,2,3,3,2,2,2,2,2,2,2,2,2,7,8,7,3,3,3,3,3,3,2, ,1,3,4, ,2.16578602790833,,
186,MW12000_112D,EN,3, ,H7V3J6,2,4,2, ,2,2,4,3,3,3,3,4,3,3,3,3,7,7,9,4,4,4,4,4,4,1, ,1,2,2, ,2.05500626564026,,
188,MW12000_112D,FR,1,18,H2L0A2,2,6,1, ,1,2,3,3,3,4,3,3,3,3,3,3,8,98,8,2,2,2,2,2,2,4, ,2,3,3, ,.909100890159607,,
189,MW12000_112D,FR,2, ,G1V3N9,1,1,1, ,1,2,2,2,2,2,2,2,2,2,2,2,8,9,9,1,1,1,1,2,2,5, ,1,4,4, ,2.22339630126953,,
190,MW12000_112D,EN,3, ,H7Y1A9,2,3,2, ,2,2,3,2,3,2,3,3,3,2,2,2,6,5,6,3,3,3,3,3,8,7,Parents with Adult children at home,1,3,6, ,3.65156030654907,,
191,MW12000_112D,FR,7, ,g7g1y8,1,4,1, ,1,2,4,2,2,2,3,2,3,1,2,2,1,98,1,8,8,8,8,8,8,4, ,2,2,6, ,.322396665811539,,
192,MW12000_112D,FR,3, ,99,2,1,1, ,1,2,4,2,3,2,2,2,2,2,2,2,6,9,8,2,8,8,2,3,4,2, ,2,2,5, ,.515024483203888,,
193,MW12000_112D,FR,4, ,J8Z3M5,1,2,1, ,1,1,1,2,2,2,2,3,2,2,2,2,5,7,98,2,2,2,1,1,1,3, ,2,2,7,recherche emploie,1.69064998626709,,
194,MW12000_112D,FR,1,7,H1V1V6,2,2,1, ,1,3,2,3,3,3,3,3,4,2,2,2,3,3,5,1,1,2,1,8,3,5, ,2,4,6, ,1.72060477733612,,
195,MW12000_112D,FR,4, ,J8L1G6,1,5,1, ,1,4,4,3,3,3,4,4,4,4,3,4,6,1,1,1,1,4,2,3,4,4, ,1,2,3, ,.527850091457367,,
196,MW12000_112D,FR,6, ,J1r0a3,2,6,1, ,1,2,2,2,1,1,1,2,1,1,1,1,5,1,7,2,2,2,2,2,2,1, ,1,4,3, ,.682291626930237,,
197,MW12000_112D,FR,6, ,J1L1E4,1,5,1, ,1,3,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,4,5, ,2,2,3, ,.359161078929901,,
198,MW12000_112D,FR,3, ,H7X1E6,1,1,1, ,1,2,2,2,2,2,3,2,2,1,2,2,8,9,8,1,1,1,1,2,2,4, ,1,2,4, ,1.01690316200256,,
199,MW12000_112D,FR,5, ,J4K3G9,2,5,1, ,1,2,3,2,2,2,2,2,2,2,2,2,5,1,8,3,3,3,3,3,3,4, ,2,4,1, ,.63576602935791,,
200,MW12000_112D,FR,5, ,J4K4H1,1,5,1, ,1,2,2,2,3,2,2,3,2,1,2,2,7,8,4,4,4,4,4,4,4,1, ,1,4,3, ,.559750616550446,,
201,MW12000_112D,FR,7, ,g7x9z7,2,5,1, ,1,2,4,2,2,2,2,2,2,2,2,2,8,98,8,3,3,2,3,8,3,1, ,1,4,5, ,.34767347574234,,
202,MW12000_112D,EN,1,1,H2M1T5,2,1,2, ,2,2,2,2,1,1,1,2,3,2,1,1,98,1,98,1,1,1,1,1,8,2, ,1,4,6, ,2.34161019325256,,
203,MW12000_112D,FR,6, ,j1l0g5,1,6,1, ,1,2,2,2,2,2,2,2,2,2,2,2,9,10,9,2,2,2,2,2,8,1, ,2,2,3, ,.235627964138985,,
204,MW12000_112D,FR,7, ,G7H6L8,1,3,1, ,1,2,3,3,3,3,2,2,2,2,3,3,6,6,6,3,3,3,3,3,3,2, ,2,3,1, ,.407764583826065,,
205,MW12000_112D,FR,1,13,h1x2n2,1,5,1, ,1,3,4,3,3,3,4,4,3,4,3,4,5,6,10,2,2,2,1,2,3,1, ,2,3,1, ,1.19746518135071,,
206,MW12000_112D,FR,4, ,J8L2Y2,1,6,1, ,1,2,3,2,2,3,2,2,2,2,2,2,9,8,4,2,3,3,3,2,2,1, ,1,4,3, ,.320790022611618,,
207,MW12000_112D,FR,9, ,G9B2H1,2,5,1, ,1,1,3,2,2,1,2,1,2,1,1,2,7,1,8,1,1,1,1,8,8,4, ,1,4,3, ,.344858318567276,,
208,MW12000_112D,FR,5, ,J3Y6S6,1,6,1, ,1,3,3,3,2,3,3,2,2,2,2,3,8,5,7,2,3,4,4,4,4,1, ,1,4,3, ,.425261616706848,,
209,MW12000_112D,FR,2, ,G1m2b7,2,1,1, ,1,3,2,2,3,3,3,3,3,3,3,3,1,1,1,2,2,2,3,2,3,2, ,1,3,1, ,.657943844795227,,
210,MW12000_112D,FR,5, ,J4g2n8,2,5,1, ,1,1,1,1,1,1,1,1,1,1,1,1,4,4,10,8,8,8,8,8,8,2, ,1,4,1, ,.63576602935791,,
211,MW12000_112D,FR,7, ,G7H2N6,2,6,1, ,1,3,3,2,3,3,3,3,3,2,3,3,6,6,10,2,2,2,2,2,2,4, ,2,4,3, ,1.08833110332489,,
212,MW12000_112D,FR,1,4,h8r1e7,1,3,1, ,1,2,3,4,2,2,2,3,2,2,3,2,8,3,7,2,2,3,3,8,8,5, ,1,3,1, ,1.22616755962372,,
213,MW12000_112D,FR,7, ,g7h6l8,1,2,1, ,1,2,2,2,1,1,1,2,1,2,1,2,10,98,8,1,1,1,1,1,2,4, ,2,3,1, ,.337093740701675,,
214,MW12000_112D,FR,7, ,G7S0E8,1,2,1, ,1,4,4,1,2,2,3,2,2,1,1,2,10,10,10,1,1,1,1,1,4,2, ,1,4,1, ,.337093740701675,,
215,MW12000_112D,FR,1,7,H1L2E4,2,6,1, ,1,2,3,2,2,2,2,2,2,2,2,2,5,1,5,2,2,2,2,2,4,4, ,1,3,3, ,1.18001484870911,,
217,MW12000_112D,FR,9, ,G9A3H8,2,1,1, ,1,2,3,2,3,2,3,3,3,2,2,2,7,7,7,2,3,2,2,2,4,2, ,2,3,4, ,.281199872493744,,
218,MW12000_112D,FR,5, ,J4T1A8,1,4,1, ,1,2,4,3,3,3,3,4,3,2,3,3,10,5,10,2,2,2,1,2,4,2, ,1,2,1, ,.987214386463165,,
220,MW12000_112D,FR,9, ,G8V0B2,1,5,1, ,1,2,3,2,3,3,3,3,3,4,2,3,98,7,8,9,9,9,9,9,9,4, ,2,2,3, ,.394760280847549,,
221,MW12000_112D,FR,5, ,J4H0A1,1,5,1, ,1,2,2,3,3,3,3,3,2,2,2,2,7,2,8,4,3,4,3,3,4,4, ,1,4,1, ,.559750616550446,,
222,MW12000_112D,FR,1,10,H8z2g4,2,1,1, ,1,2,3,2,3,3,3,3,2,2,2,3,8,8,7,3,3,2,3,4,4,2, ,1,3,4, ,.436424165964127,,
223,MW12000_112D,FR,4, ,J8V0E7,2,4,1, ,1,3,3,3,3,2,2,3,3,3,3,2,3,1,10,3,2,3,3,3,4,2, ,1,4,1, ,1.6738201379776,,
224,MW12000_112D,FR,2, ,g1g1h0,2,3,1, ,1,3,3,4,2,3,3,3,2,2,2,3,8,6,8,2,2,2,2,2,2,2, ,2,3,2, ,1.79989194869995,,
225,MW12000_112D,FR,4, ,J8Z1T5,1,5,1, ,1,2,3,1,3,2,3,3,2,1,2,2,7,8,9,2,2,2,2,2,3,1, ,2,3,1, ,.527850091457367,,
226,MW12000_112D,FR,1,7,H2L2X4,1,6,1, ,1,4,3,3,4,4,4,4,3,4,3,3,9,7,1,4,3,4,3,8,3,4, ,2,3,3, ,1.31042504310608,,
227,MW12000_112D,FR,9, ,G8V2V3,1,3,1, ,1,2,2,2,2,2,2,3,2,2,1,2,9,5,7,1,1,1,1,3,2,2, ,1,4,1, ,.215202271938324,,
228,MW12000_112D,FR,8, ,G6Z2L2,1,6,1, ,1,2,2,2,2,2,2,2,2,1,2,2,1,5,5,3,3,3,8,3,3,1, ,1,4,3, ,.302330136299133,,
229,MW12000_112D,FR,6, ,j1e0g2,1,4,1, ,1,3,3,2,3,3,3,4,2,2,2,3,1,1,1,2,2,3,3,3,4,7,Couple hébergeant un parent,1,3,1, ,.502139210700989,,
230,MW12000_112D,FR,1,13,H2G3B7,2,3,1, ,1,3,3,3,3,4,3,3,3,2,2,3,7,7,5,2,2,2,2,2,1,4, ,2,4,1, ,2.07312440872192,,
231,MW12000_112D,FR,1,1,H4J2K8,1,6,1, ,1,2,3,2,2,3,3,2,2,2,2,2,10,3,8,1,1,1,1,1,3,1, ,1,4,3, ,2.07383441925049,,
232,MW12000_112D,FR,2, ,g2l2g1,2,4,1, ,1,2,2,2,2,1,2,2,2,1,1,2,9,5,9,2,2,2,2,4,4,7,monoparental avec jeune adulte,1,2,3, ,.995234429836273,,
233,MW12000_112D,FR,8, ,g6w6e3,1,5,1, ,1,1,1,2,1,1,1,2,1,1,1,1,6,98,6,2,2,4,2,4,4,1, ,1,3,1, ,.517014980316162,,
234,MW12000_112D,FR,1,2,H1J2A2,2,6,1, ,1,1,3,3,2,3,3,3,2,1,1,2,10,10,10,1,1,1,1,3,8,4, ,1,4,3, ,1.11480355262756,,
235,MW12000_112D,FR,3, ,H7A0E2,1,2,1, ,1,2,3,2,2,2,2,2,2,1,1,2,8,9,6,1,1,2,1,2,4,1, ,1,2,1, ,.969010472297668,,
236,MW12000_112D,EN,3, ,H7M3Z8,1,2,7, ,2,2,3,2,3,2,2,3,2,2,1,2,9,10,10,1,1,1,1,2,2,7,Living with Parents,1,4,1, ,2.5256974697113,,
237,MW12000_112D,FR,2, ,G2B2M6,1,6,1, ,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1, ,2,2,3, ,1.99651908874512,,
238,MW12000_112D,FR,1,13,h1w2z4,1,1,1, ,1,2,2,2,3,2,3,3,2,2,1,2,3,2,5,2,2,2,3,2,3,1, ,2,4,1, ,1.18542289733887,,
239,MW12000_112D,FR,2, ,G1L1P5,2,3,1, ,1,3,3,3,3,2,3,3,3,2,2,3,9,5,9,2,2,3,2,2,4,4, ,2,4,1, ,1.79989194869995,,
240,MW12000_112D,FR,5, ,J4n1r8,2,3,1, ,1,2,3,2,2,2,2,3,3,2,2,2,6,98,6,2,2,8,2,8,3,4, ,1,3,1, ,.770027279853821,,
241,MW12000_112D,FR,2, ,g1w4x3,2,6,1, ,1,2,2,2,2,2,2,2,2,2,2,2,1,1,6,2,2,2,2,2,2,7,veuve,2,1,7,retraité,1.8624552488327,,
242,MW12000_112D,FR,4, ,J8R0H9,2,1,1, ,1,2,2,3,3,2,3,2,3,3,3,3,8,5,4,1,1,1,2,1,2,1, ,2,4,1, ,.68740713596344,,
243,MW12000_112D,FR,7, ,G7S3C1,1,6,1, ,1,3,3,2,4,3,3,4,3,2,2,3,10,10,10,2,2,2,2,4,4,1, ,1,4,3, ,.399696797132492,,
244,MW12000_112D,FR,7, ,G7h3j8,1,2,1, ,1,2,2,2,2,2,2,2,3,2,2,2,7,7,7,2,2,2,2,2,2,2, ,1,3,1, ,.337093740701675,,
245,MW12000_112D,FR,9, ,G9B0B9,2,4,1, ,1,2,2,2,2,2,2,2,1,1,1,2,8,8,8,1,1,4,4,4,4,2, ,1,3,1, ,.308151513338089,,
246,MW12000_112D,FR,3, ,h7n5v5,2,5,1, ,1,2,2,2,2,2,2,2,2,1,1,2,7,4,7,8,8,8,8,8,8,1, ,99,3,5, ,.788402616977692,,
247,MW12000_112D,FR,8, ,g6w0e3,1,4,1, ,1,2,2,2,1,2,2,2,1,1,1,1,10,9,7,1,1,1,1,3,3,4, ,1,4,1, ,.263012439012527,,
249,MW12000_112D,EN,6, ,J1H1A8,2,1,1, ,1,2,3,3,3,4,3,2,3,3,2,3,1,1,5,2,2,2,1,3,4,1, ,2,2,4, ,.382609486579895,,
250,MW12000_112D,EN,1,1,H3M2Y7,1,4,99,Greek,2,2,2,2,2,2,2,2,2,2,3,1,6,6,6,1,1,1,1,1,8,5, ,1,4,7,self employed,3.77167844772339,,
251,MW12000_112D,FR,3, ,H7n3w8,2,5,1, ,1,2,2,2,2,2,2,2,2,1,1,2,5,7,4,2,2,2,2,3,2,1, ,1,3,3, ,.788402616977692,,
252,MW12000_112D,FR,5, ,J4V2M2,2,6,1, ,1,1,1,1,1,1,1,2,1,1,2,1,10,10,10,1,1,1,1,4,4,4, ,2,3,3, ,.497556060552597,,
253,MW12000_112D,FR,5, ,J4V2Y2,1,6,1, ,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,1,1,1,1,1,1,1, ,1,4,3, ,.425261616706848,,
254,MW12000_112D,FR,7, ,G7J3B1,1,4,1, ,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,1,1,1,1,1,1,2, ,1,2,1, ,.322396665811539,,
255,MW12000_112D,FR,2, ,G1P3J8,2,1,1, ,1,2,2,3,2,2,2,2,2,2,2,2,10,7,6,1,1,2,1,9,2,1, ,2,3,4, ,.657943844795227,,
256,MW12000_112D,FR,7, ,G7B3G2,1,6,1, ,1,2,2,2,2,2,2,3,2,2,1,2,4,4,4,2,2,2,3,3,3,1, ,1,2,3, ,.399696797132492,,
257,MW12000_112D,FR,8, ,g6k1k3,1,4,1, ,1,2,4,2,3,3,2,3,4,3,4,3,5,4,9,8,8,8,8,8,8,2, ,1,2,1, ,.263012439012527,,
258,MW12000_112D,FR,2, ,G2N2C1,2,1,1, ,1,4,4,4,4,4,4,4,4,3,4,4,1,1,1,4,4,4,4,4,4,1, ,1,2,1, ,.657943844795227,,
260,MW12000_112D,FR,1,17,H3E0B3,2,4,1, ,1,1,2,3,1,1,1,1,1,1,1,1,10,1,10,1,1,1,1,1,1,4, ,1,4,1, ,1.78430914878845,,
261,MW12000_112D,FR,6, ,J1E3S6,2,5,1, ,1,2,3,2,2,3,2,2,3,2,2,2,5,98,8,8,8,8,8,8,8,1, ,1,3,3, ,.569298148155212,,
262,MW12000_112D,FR,1,1,H2M2C1,1,5,1, ,1,3,4,3,3,3,4,3,3,2,2,3,7,7,10,2,2,2,2,2,2,3, ,2,4,3, ,1.53166806697845,,
263,MW12000_112D,FR,1,11,H2K4B7,2,5,1, ,1,1,2,2,2,2,2,2,2,2,2,2,8,7,7,2,2,2,2,9,2,1, ,1,3,3, ,1.31001448631287,,
264,MW12000_112D,FR,3, ,h7p3c6,1,5,1, ,1,2,2,3,2,2,2,2,2,1,2,2,7,3,3,2,2,3,3,3,3,1, ,1,4,3, ,.594921886920929,,
265,MW12000_112D,EN,1,3,H4P1T6,2,1,2, ,2,2,4,2,3,3,3,3,2,2,2,3,7,6,7,2,3,2,3,2,3,2, ,2,3,1, ,2.01912355422974,,
266,MW12000_112D,EN,1,3,H4B1R8,1,4,2, ,2,3,4,4,4,4,4,4,4,2,3,4,9,1,9,3,3,4,3,4,4,2, ,2,4,1, ,3.25224542617798,,
267,MW12000_112D,FR,1,15,H1P1V9,2,6,1, ,1,2,2,2,2,2,2,2,2,3,2,2,1,1,1,8,8,8,8,8,8,1, ,1,4,3, ,.884358584880829,,
268,MW12000_112D,FR,2, ,G1h5t6,2,2,1, ,1,1,1,1,1,1,1,1,1,1,1,1,98,1,10,1,1,2,1,2,4,2, ,2,4,1, ,1.88308048248291,,
269,MW12000_112D,FR,5, ,J4G1J3,2,5,1, ,1,1,2,2,2,2,2,3,2,2,2,2,5,5,5,2,2,2,2,2,2,1, ,1,2,3, ,.63576602935791,,
270,MW12000_112D,FR,5, ,j3y1k1,1,5,1, ,1,3,3,2,3,2,4,3,3,2,2,3,5,1,3,3,3,3,3,3,3,4, ,1,4,3, ,.559750616550446,,
271,MW12000_112D,FR,5, ,J4J1W2,1,6,1, ,1,2,3,2,3,3,3,4,3,3,3,3,1,1,1,4,4,4,4,4,4,4, ,2,3,3, ,.425261616706848,,
273,MW12000_112D,FR,1,12,H1A5P3,1,4,1, ,1,2,3,3,3,2,2,3,3,2,2,2,9,8,9,2,2,2,3,2,3,1, ,1,2,6, ,1.23887491226196,,
274,MW12000_112D,FR,8, ,G6X3S4,1,3,1, ,1,2,2,3,2,2,2,2,2,2,2,2,8,1,7,1,1,3,2,3,3,4, ,2,3,1, ,.333730548620224,,
275,MW12000_112D,FR,5, ,J4L4R3,2,6,1, ,1,1,2,1,1,2,2,2,2,2,1,2,1,10,10,2,2,4,2,4,4,1, ,2,4,3, ,.497556060552597,,
276,MW12000_112D,FR,3, ,H7R4N7,1,6,1, ,1,1,3,2,2,2,2,1,2,2,1,2,7,5,1,3,2,2,3,3,4,1, ,1,3,3, ,.8204625248909,,
278,MW12000_112D,FR,1,11,H2J3L4,2,3,1, ,1,2,4,3,3,2,3,2,2,2,2,2,9,9,4,1,1,1,1,1,4,4, ,2,4,1, ,1.31639957427979,,
279,MW12000_112D,FR,9, ,G9A2M4,1,5,1, ,1,2,2,3,3,3,2,2,2,3,3,3,10,10,10,2,2,2,2,2,2,4, ,2,2,3, ,.394760280847549,,
280,MW12000_112D,FR,2, ,G2g1x7,1,5,1, ,1,2,3,2,4,4,4,4,4,3,3,4,9,1,8,1,1,1,1,2,2,4, ,1,4,1, ,1.44697201251984,,
281,MW12000_112D,FR,4, ,J9A0B8,1,6,1, ,1,2,4,3,3,2,2,4,4,2,2,3,1,1,1,2,2,2,2,2,2,1, ,1,4,3, ,.320790022611618,,
282,MW12000_112D,FR,7, ,G7X3X4,2,3,1, ,1,3,4,1,3,3,3,3,2,1,2,2,9,4,9,2,2,3,2,4,4,2, ,1,4,1, ,.471347510814667,,
283,MW12000_112D,FR,8, ,G6W0M3,2,6,1, ,1,2,2,3,2,2,2,2,2,1,4,2,98,98,1,2,2,3,3,3,3,1, ,2,4,3, ,.389285206794739,,
284,MW12000_112D,FR,1,13,H1X2K4,2,6,1, ,1,2,3,4,3,3,4,3,3,1,1,3,3,1,7,2,2,2,2,2,3,4, ,2,4,3, ,1.45998954772949,,
285,MW12000_112D,FR,9, ,G8Z4P2,2,3,1, ,1,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,2,3,3,3,4,3, ,2,2,1, ,.518891394138336,,
286,MW12000_112D,FR,2, ,g1x4t9,1,5,1, ,1,2,2,2,2,2,2,2,2,2,2,2,9,1,8,2,2,2,2,4,4,1, ,1,4,1, ,1.44697201251984,,
287,MW12000_112D,FR,1,18,h2l1l8,1,5,1, ,1,1,2,3,2,2,3,2,2,2,2,2,1,10,10,3,3,4,3,9,4,4, ,2,2,1, ,.745633184909821,,
288,MW12000_112D,FR,2, ,G1C3A1,1,3,1, ,1,2,2,2,2,2,2,2,2,2,2,2,9,9,9,2,2,2,2,2,2,2, ,2,3,1, ,1.25286614894867,,
289,MW12000_112D,FR,9, ,G8T1H9,2,2,1, ,1,2,2,2,2,2,2,2,2,2,2,2,10,98,10,2,2,2,2,2,2,2, ,1,4,2, ,.700744032859802,,
291,MW12000_112D,FR,9, ,G9H1S4,2,1,1, ,1,2,2,2,2,3,3,2,2,3,2,2,9,7,10,1,1,1,1,1,2,1, ,1,3,4, ,.281199872493744,,
292,MW12000_112D,FR,9, ,G9c1l3,1,5,1, ,1,1,2,1,1,1,1,1,2,1,2,1,10,10,10,1,1,1,1,2,8,4, ,1,4,3, ,.394760280847549,,
293,MW12000_112D,FR,7, ,G7B2B9,1,5,1, ,1,2,2,2,2,2,2,2,2,1,2,2,5,1,8,2,2,2,2,2,2,1, ,2,2,3, ,.419397115707397,,
294,MW12000_112D,FR,5, ,j4k4x2,2,5,1, ,1,2,2,2,2,2,2,2,2,2,2,2,7,5,99,3,3,4,3,3,4,1, ,2,3,2, ,.63576602935791,,
295,MW12000_112D,FR,2, ,G1E6K6,2,5,1, ,1,2,1,2,2,2,2,2,2,1,2,1,10,3,8,1,1,2,1,2,4,1, ,1,4,3, ,1.82636094093323,,
296,MW12000_112D,FR,6, ,J1n0x9,1,2,1, ,1,2,3,2,3,3,4,4,3,2,1,3,9,1,98,2,2,2,3,2,4,2, ,1,3,1, ,.500995397567749,,
297,MW12000_112D,FR,1,13,H2S2R3,2,4,1, ,1,2,3,2,2,2,2,2,2,2,2,2,9,98,9,2,2,2,2,8,8,4, ,2,4,1, ,1.49397468566895,,
298,MW12000_112D,FR,1,11,H2L4S9,1,6,1, ,1,3,3,3,2,2,2,3,3,2,2,2,1,1,5,2,2,2,2,2,4,7,Retraité divorcé sans personne à charge,2,3,3, ,1.0295205116272,,
299,MW12000_112D,FR,8, ,G6W8L6,1,3,1, ,1,2,2,2,2,2,2,2,1,1,1,2,10,10,10,1,1,1,1,1,2,2, ,1,4,1, ,.333730548620224,,
300,MW12000_112D,FR,2, ,g1s4v5,1,6,1, ,1,2,2,3,3,3,3,3,3,3,2,3,6,10,8,2,2,2,2,2,4,4, ,1,4,3, ,1.99651908874512,,
301,MW12000_112D,FR,9, ,g9b1p7,2,6,1, ,1,3,3,3,3,2,3,3,3,2,3,3,98,98,98,3,3,3,3,3,3,1, ,1,2,3, ,.507809340953827,,
303,MW12000_112D,EN,1,17,H4H2G3,2,6,2, ,2,1,3,3,2,2,3,3,2,2,2,2,4,1,5,3,3,3,3,4,4,4, ,2,2,3, ,3.2750563621521,,
304,MW12000_112D,FR,7, ,G7H7M2,1,6,1, ,1,3,3,3,4,3,3,4,3,2,2,3,6,6,6,2,2,3,2,3,4,1, ,1,4,3, ,.399696797132492,,
305,MW12000_112D,FR,3, ,H7N4E9,2,3,1, ,1,2,3,2,2,2,2,2,2,2,2,2,7,9,9,2,2,2,2,4,4,3, ,2,3,1, ,1.40095984935761,,
306,MW12000_112D,FR,7, ,G7x1v5,2,2,1, ,1,2,2,2,2,2,2,3,2,1,1,2,6,2,9,2,2,2,2,3,3,2, ,1,4,1, ,.382513821125031,,
307,MW12000_112D,FR,4, ,J8r2g7,2,2,1, ,1,2,2,3,3,3,3,3,3,3,3,3,1,5,8,2,8,8,3,8,4,4, ,2,2,1, ,.781999945640564,,
308,MW12000_112D,FR,8, ,G6X3L3,1,4,1, ,1,1,3,3,3,3,3,3,2,2,2,2,10,1,5,2,2,4,2,4,4,2, ,1,4,1, ,.263012439012527,,
310,MW12000_112D,FR,3, ,H7K0C6,1,3,99,Vietnamien,2,2,2,3,2,2,2,3,2,2,2,2,7,7,8,2,2,3,3,4,4,2, ,1,4,1, ,1.31117653846741,,
311,MW12000_112D,FR,3, ,h7k1b2,1,4,1, ,1,2,2,3,2,2,2,3,2,2,1,2,6,1,5,4,4,4,4,4,4,1, ,1,4,1, ,.784232974052429,,
312,MW12000_112D,FR,3, ,H7N2T9,2,1,1, ,1,2,2,2,2,2,2,3,2,3,3,2,5,5,2,2,4,2,4,4,4,5, ,1,3,4, ,.515024483203888,,
313,MW12000_112D,FR,4, ,J8P1B3,1,4,1, ,1,1,1,2,3,3,2,2,2,2,2,2,7,9,9,2,2,3,1,3,4,3, ,1,4,1, ,.652162432670593,,
314,MW12000_112D,FR,5, ,j4j3k3,2,1,1, ,1,2,2,2,2,2,2,2,2,2,2,2,8,98,10,2,2,2,2,2,3,1, ,2,4,4, ,.815439224243164,,
315,MW12000_112D,FR,5, ,J4L1H1,1,6,1, ,1,2,2,2,2,2,2,2,2,2,2,2,10,7,10,1,1,1,1,1,1,1, ,1,3,3, ,.425261616706848,,
316,MW12000_112D,FR,1,18,H2K4E8,2,4,1, ,1,1,3,4,2,2,2,2,2,2,2,2,7,6,9,2,2,2,2,2,2,1, ,2,3,7,saisonnier,.930261731147766,,
317,MW12000_112D,FR,1,11,H2K3R6,2,2,1, ,1,3,3,2,3,2,3,3,3,2,2,3,5,8,10,1,1,1,3,1,3,4, ,2,4,1, ,1.35177159309387,,
318,MW12000_112D,FR,1,16,h2c2v4,1,2,1, ,1,2,3,2,2,2,1,2,2,2,1,1,7,8,6,2,2,2,2,2,2,1, ,2,3,1, ,1.19682812690735,,
319,MW12000_112D,FR,1,10,h8y2y8,2,6,1, ,1,1,1,2,2,2,3,2,2,1,1,2,10,98,10,1,2,4,3,1,4,7,femme agee retraitee vivant seule mais avec toutes mes facul,2,4,3, ,.653714954853058,,
320,MW12000_112D,FR,7, ,G7h2b1,1,2,1, ,1,2,2,2,2,2,2,2,2,2,2,2,9,10,8,2,2,2,2,2,2,4, ,2,3,4, ,.337093740701675,,
321,MW12000_112D,FR,1,7,H1L1H1,1,5,1, ,1,1,3,3,2,2,2,2,2,2,2,2,7,1,6,2,2,2,2,2,2,1, ,1,2,3, ,.967834889888763,,
322,MW12000_112D,FR,1,1,H3M2W7,2,6,1, ,1,2,2,2,2,2,2,2,2,2,2,2,5,6,6,3,3,3,3,4,4,1, ,1,4,3, ,1.86745452880859,,
323,MW12000_112D,FR,2, ,g1s2j7,2,6,1, ,1,2,2,1,2,2,2,2,1,1,1,2,4,9,5,2,2,2,2,9,8,4, ,2,4,3, ,1.8624552488327,,
324,MW12000_112D,FR,2, ,G1H4H9,2,6,1, ,1,2,2,2,2,2,2,2,1,1,1,2,10,10,7,2,2,2,2,2,2,99, ,1,3,3, ,1.8624552488327,,
325,MW12000_112D,FR,9, ,G9A4Z9,2,2,1, ,1,3,2,3,2,3,2,3,3,3,2,2,7,7,8,8,8,8,8,8,8,1, ,1,3,1, ,.700744032859802,,
326,MW12000_112D,FR,2, ,g1g4h8,2,3,1, ,1,2,2,3,1,1,1,1,1,1,1,1,7,4,10,2,2,3,2,4,4,1, ,1,3,1, ,1.79989194869995,,
327,MW12000_112D,FR,2, ,G1W4W6,1,3,1, ,1,2,3,4,3,2,3,3,2,2,2,3,6,3,1,3,2,2,2,2,2,3, ,1,4,1, ,1.25286614894867,,
