OBJECTID,NO_AIPL,SUPERFICIE,TRAIT_REA,LONGI,LAT,NO_REG_ADM,NO_UA,PRIORITE,INVEST_ANT,TRAIT_SITE,TR_REG_ART,PROC_REGE,TRAIT_EDUC,REMARQUE,DATE_EFFEC,DATE_MAJ,DATE_PUBLI,Shape_Leng,Shape_Area
"244","1116102",237.59000000000,"Traitement de site, Traitement de régénération artificielle,",-66.57974100000,48.56026400000,"01","11161","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,15914.48642170000,2355405.15510000009
"245","1116103",1191.61000000000,"Traitement de site, Traitement de régénération artificielle,",-66.57326900000,48.57649400000,"01","11161","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,76045.43828120000,11812510.79969999939
"246","1116104",2541.50000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.42537900000,48.63095300000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,156091.62032300001,25191404.74560000002
"247","1116106",412.95000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.50294700000,48.52954600000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,26526.67132620000,4094207.39919999987
"248","1116108",1747.12000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.52239300000,48.55471900000,"01","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,115246.05301300000,17320660.20479999855
"249","1116109",1348.09000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.37992200000,48.66117400000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,62727.38123240000,13360843.01339999959
"250","1116110",142.67000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.22244500000,48.65821900000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,11810.62033000000,1413995.90965000005
"251","1116111",900.39000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.28611100000,48.65631100000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,41663.60347150000,8923968.47360000014
"252","1116112",2092.19000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.64772300000,48.56926800000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,124445.32307000000,20741651.84420000017
"253","1116113",2073.57000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.72195900000,48.55844600000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,54472.08481290000,20556341.42790000141
"254","1116114",1558.85000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.69774300000,48.51910000000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,91011.92841450000,15455499.65760000050
"255","1116116",3106.26000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.64746200000,48.45965200000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,191632.21960700001,30802702.77279999852
"256","1116117",675.39000000000,,-66.72189000000,48.50082000000,"01","11161","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,43855.33724620000,6696716.80389999971
"257","1116119",782.11000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.53628500000,48.69337400000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,32912.49699100000,7751036.96365000028
"258","1116120",2265.16000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.39058700000,48.44119600000,"11","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,125544.62838400000,22462458.03720000014
"259","1116121",143.22000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.36547600000,48.56814700000,"01","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,9302.78407252000,1419845.02695000009
"260","1116122",1279.32000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.34780200000,48.58336400000,"01","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,73467.10400430000,12681562.51989999972
"261","1116123",799.54000000000,,-66.43341000000,48.42280700000,"11","11161","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,34690.65318670000,7929562.29920000024
"262","1116124",2533.20000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.72834500000,48.32602800000,"11","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,117984.39898300001,25127921.61829999834
"263","1116125",2138.78000000000,,-66.47693500000,48.42560000000,"11","11161","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,81402.98928110000,21211158.39530000091
"264","1116126",2165.33000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.48135600000,48.32602500000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,83425.31775839999,21480433.54100000113
"265","1116127",2115.29000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.46494000000,48.35940000000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,74204.00891770000,20980772.88870000094
"266","1116115",133.90000000000,,-66.67090400000,48.46435900000,"01","11161","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,13440.16359600000,1327761.84400000004
"267","1126380",3959.36000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-65.07965700000,49.10159600000,"11","11263","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,250336.43157200000,39198603.06419999897
"268","1126381",308.64000000000,"Traitement de site, Traitement de régénération artificielle,",-66.34791700000,49.13676600000,"11","11263","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,19472.73478580000,3055333.42705000006
"269","1126382",1153.17000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.29571300000,49.14096300000,"11","11263","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,84516.62475290000,11415534.67500000075
"270","1126383",130.48000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.29853100000,49.11295300000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,9646.76629580000,1291745.47870000009
"271","1126384",247.94000000000,"Traitement de site, Traitement de régénération artificielle,",-66.73609000000,48.99814400000,"01","11263","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,28496.97354310000,2455254.99745000014
"272","1126385",401.66000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.73906400000,48.93390600000,"01","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,60140.20415750000,3978231.34535000008
"273","1126386",469.62000000000,"Procédé de régénération,",-66.18825100000,49.13583100000,"11","11263","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,35132.94830580000,4649008.25360000040
"274","1126387",507.11000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.25047500000,49.11183800000,"11","11263","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,37840.60848510000,5020337.82235000003
"275","1126388",175.77000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.29627900000,49.09683200000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,20675.01600520000,1740131.96955000004
"276","1126389",523.86000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.33827900000,49.01946900000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,57423.88148840000,5187317.11945000011
"277","1126390",63.38000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.27606300000,49.04091500000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,12368.44835640000,627587.18649800005
"278","1126391",646.16000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération,",-66.13844000000,49.15705800000,"11","11263","0",O,O,O,O,N,,2013-2018,17/05/15,2021/02/01,25005.74556710000,6396251.57959999982
"279","1126392",52.72000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.67504400000,48.96426400000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,14095.17417740000,522152.52640199999
"280","1126393",219.55000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.07055200000,49.17310300000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,14227.89107300000,2173188.29014999978
"281","1126394",110.22000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.38634500000,49.07053600000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,26207.35944980000,1091359.84239999996
"282","1126395",738.18000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.33075300000,49.10730700000,"11","11263","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,50849.08088630000,7307973.64364000037
"283","1126396",709.81000000000,"Procédé de régénération,",-65.99524300000,49.18482900000,"11","11263","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,37358.61297410000,7025542.45689999964
"284","1126397",1273.61000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.51106800000,49.01443500000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,161247.20676299999,12611521.25669999979
"285","1126398",155.77000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.57109100000,48.99859600000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,31481.06530050000,1542567.55049999990
"286","011053",373.00000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-69.57308000000,47.34481400000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,12109.44794440000,3711472.55374999996
"287","011026",113.46000000000,"Procédé de régénération,",-69.43836600000,47.32162700000,"01","01171","1",O,N,N,O,N,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,6778.37011460000,1129062.69970000000
"288","011045",324.64000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.47263600000,47.66292700000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,12270.33713070000,3226904.82654999988
"289","011037",743.43000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.45372400000,47.77924700000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,29474.16675800000,7386861.52754999977
"290","011048",228.60000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.42018600000,47.68602900000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,8509.95715815000,2272124.88734999998
"291","011091",291.97000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.40823500000,47.69961400000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,12834.65823630000,2901788.10170000000
"292","011038",708.32000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.43158900000,47.72473300000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,18326.92085980000,7039230.53450000007
"293","011049",314.88000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.42157500000,47.83293500000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,10590.20693490000,3128228.35564999981
"294","011090",345.72000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.40977600000,47.75019000000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,10737.92001650000,3435433.03379999986
"295","011086",486.13000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.41868300000,47.92112300000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,8926.53464188000,4828195.75499999989
"296","011088",302.29000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.41614600000,47.81717900000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,8927.46531521000,3003300.21829999983
"297","011076",126.12000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération,",-68.82636600000,47.88677800000,"01","01171","1",O,O,O,O,N,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,5764.47771929000,1252711.87134999991
"298","011083",830.74000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.47706500000,47.99123700000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,30484.81193260000,8249044.42855000030
"299","011041",504.39000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.57254800000,47.90629000000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,26236.83184940000,5009745.61180000007
"300","011095",551.46000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération,",-68.48438800000,47.53030100000,"01","01171","1",O,O,O,O,N,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,22189.76531710000,5483644.21829999983
"301","011043",1159.59000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.52247500000,47.54367100000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,38623.72917930000,11530584.10469999909
"302","011042",485.85000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.48851200000,47.78074600000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,17088.37910220000,4827543.44620000012
"303","011089",286.59000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.50937400000,47.76052600000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,14905.82474990000,2847768.36964999977
"304","011047",211.10000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.40048100000,47.95971200000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,9794.79204357000,2096409.26919999998
"305","011040",674.58000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.43495300000,47.93374700000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,26433.24829670000,6699510.23175000027
"306","011087",859.32000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.44860300000,47.82273600000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,37039.78689070000,8537263.89140000008
"307","011079",322.63000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.72745100000,47.76840000000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,18109.25384590000,3205619.55019999994
"308","011085",373.07000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.50673000000,47.89942100000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,16646.03227130000,3705573.03260000004
"309","011084",247.70000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération,",-68.52856700000,47.94110000000,"01","01171","1",O,O,O,O,N,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,11288.47557820000,2459989.06740000006
"310","011077",324.63000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération,",-68.77240600000,47.86161600000,"01","01171","1",O,O,O,O,N,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,10008.77696140000,3224743.63565000007
"311","011075",155.63000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération,",-68.84832600000,47.89092800000,"01","01171","1",O,O,O,O,N,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,8613.08361515000,1545877.79355000006
"312","011027",5397.16000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.63262600000,47.46216800000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,141494.02182800000,53680555.77730000019
"313","011033",1053.30000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.51965600000,47.48322300000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,35883.89300500000,10475703.05700000003
"314","011031",1543.15000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.44827300000,47.53599700000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,42251.93954020000,15344985.10710000060
"315","011097",1781.39000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.44012900000,47.56682900000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,50399.70153970000,17712195.25299999863
"316","011098",1177.03000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-68.39760500000,47.57895000000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,34495.13001720000,11702666.59500000067
"317","011009",968.98000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-69.28965700000,47.40639400000,"01","01171","1",O,O,O,O,O,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,39926.27032770000,9640165.73955000006
"318","011025",287.26000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération,",-69.40138100000,47.29269300000,"01","01171","1",O,O,O,O,N,Réalisée selon le Guide d'identification des AIPL. Consultée et approuvée par les TLGIRT,2018-2023,2021/02/01,2021/02/01,14217.62960340000,2858776.48824999994
"319","1126330",756.54000000000,,-65.46018000000,49.07689400000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,42584.15693490000,7490289.39154999983
"320","1126331",243.34000000000,"Traitement de site, Traitement de régénération artificielle,",-64.75654300000,49.04785000000,"11","11263","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,25791.45684450000,2409520.86730000004
"321","1126332",945.40000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-64.78572700000,49.04587100000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,66325.98689330000,9360700.57259999961
"322","1126333",337.62000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-64.79120500000,49.10138700000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,42130.47382340000,3342469.40230000019
"323","1126334",615.20000000000,,-65.27175400000,48.94752300000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,41918.46389440000,6092629.50535000023
"324","1126335",305.38000000000,,-65.27526300000,48.99070200000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,20677.72990810000,3024162.78564999998
"325","1126336",140.47000000000,,-65.31583500000,48.95326200000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,12684.34518610000,1391171.23989999993
"326","1126337",103.80000000000,,-65.30050500000,48.94926200000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,10681.07202750000,1027962.95629999996
"327","1126338",504.05000000000,,-65.50253900000,49.10001200000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,33704.16635650000,4990101.36094999965
"328","1126339",364.01000000000,,-65.47015700000,49.14544700000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,23419.92918160000,3603377.19230000023
"329","1126340",308.66000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.22650500000,49.17262900000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,23390.74262460000,3055244.41974999988
"330","1126341",425.73000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.24777100000,49.19090600000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,33680.44294090000,4213874.68429999985
"331","1126343",1189.60000000000,"Traitement de site, Traitement de régénération artificielle,",-65.29709900000,49.09724000000,"11","11263","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,94184.55482390001,11776933.23120000027
"332","1126344",155.82000000000,,-65.72094400000,49.05848900000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,11938.09217400000,1542851.94164999994
"333","1126345",1336.96000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-65.51908400000,49.17191900000,"11","11263","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,98532.75739990000,13234081.51139999926
"334","1126348",1006.31000000000,"Traitement de site, Traitement de régénération artificielle,",-65.15124300000,48.93909800000,"11","11263","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,68711.52948960000,9966029.58290000074
"335","1126349",968.05000000000,,-65.13121800000,49.01318900000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,58929.38940390000,9585801.38024999946
"336","1126351",411.19000000000,,-65.58200400000,48.83307500000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,34991.65833360000,4073510.61210000003
"337","1126352",232.99000000000,,-65.62837200000,48.85161900000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,18087.47542540000,2308048.96400000015
"338","1126353",125.84000000000,,-65.37330600000,49.16256800000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,13113.92488400000,1245640.64555000002
"339","1126354",123.14000000000,"Procédé de régénération,",-65.40135100000,49.15182100000,"11","11263","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,8782.13492228000,1218984.06655000011
"340","1126355",160.32000000000,,-65.37313200000,49.12061100000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,16243.71491270000,1587098.15474999999
"341","1126356",1579.29000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération,",-65.35403100000,49.14448800000,"11","11263","0",O,O,O,O,N,,2013-2018,17/05/15,2021/02/01,104598.90280200000,15633703.94480000064
"342","1126357",190.64000000000,,-65.31565900000,49.05537900000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,18038.49323340000,1887588.94919999992
"343","1126358",1857.88000000000,"Procédé de régénération,",-65.38107800000,49.09012400000,"11","11263","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,147665.07652999999,18394065.26460000128
"344","1126359",159.95000000000,,-65.65750700000,49.16547800000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,15075.36898390000,1583315.57529999991
"345","1126360",111.07000000000,,-65.59574300000,49.15600400000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,14733.90687720000,1099469.87584999995
"346","1126361",1361.13000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-65.77337600000,49.16514700000,"11","11263","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,86683.94806540001,13473377.23909999989
"347","1126364",107.91000000000,,-65.61002500000,48.82981900000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,15040.62589720000,1069069.72515000007
"348","1126365",183.95000000000,"Procédé de régénération,",-65.77747600000,48.83746200000,"11","11263","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,13983.20853890000,1822291.82364999992
"349","1126366",522.11000000000,"Procédé de régénération,",-65.75056900000,48.83506300000,"11","11263","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,28506.75828710000,5172325.25585000031
"350","1126367",167.18000000000,,-65.32899800000,48.96680300000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,16558.90942670000,1655662.74655000004
"351","1126368",172.97000000000,,-65.33964000000,48.97142900000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,21853.79671200000,1712936.70054999995
"352","1126369",860.67000000000,,-65.29637300000,48.98778700000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,80602.75375950000,8523093.75623999909
"353","1126370",206.41000000000,,-65.18999200000,49.09175400000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,19046.68083660000,2043530.46999999997
"354","1126371",296.75000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.13738400000,49.07192900000,"11","11263","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,22164.20385130000,2938126.96405000007
"355","1126372",168.48000000000,"Procédé de régénération,",-64.85109500000,49.13160700000,"11","11263","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,26505.71843020000,1667857.51465000003
"356","1126374",159.50000000000,,-65.83516700000,49.21434800000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,13400.65838160000,1578692.17830000003
"357","1126375",462.79000000000,,-64.99955900000,49.06432800000,"11","11263","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,37576.84777620000,4582114.32395000011
"358","1126376",350.84000000000,"Traitement de site, Traitement de régénération artificielle,",-65.52718500000,49.03160200000,"11","11263","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,18412.90235600000,3473941.73739999998
