annee,arrondissement,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
1995,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",26,228427.46,38625740
1995,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",11,300,
1995,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",406,295510.28,34152578
1995,"L'Île-Bizard - Sainte-Geneviève","CA, CO, DE, TR",268,45073,15126725
1995,"LaSalle","CA",962,207630,1423060
1995,"LaSalle","CO",190,27656,29997529
1995,"LaSalle","TR",105,11265,6404750
1995,"Le Plateau-Mont-Royal","CO",20,44681.68,6393500
1995,"Le Plateau-Mont-Royal","DE",46,3600,
1995,"Le Plateau-Mont-Royal","TR",653,182092.87,47365372
1995,"Le Sud-Ouest","CO",26,39540.59,3685730
1995,"Le Sud-Ouest","DE",25,6300,
1995,"Le Sud-Ouest","TR",227,88766.59,14804068
1995,"Mercier - Hochelaga-Maisonneuve","CO",38,30589.24,7174300
1995,"Mercier - Hochelaga-Maisonneuve","DE",19,2700,
1995,"Mercier - Hochelaga-Maisonneuve","TR",384,135583.93,22670429
1995,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",206,76978.8,19254072
1995,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",21,5700,
1995,"Rivière-des-Prairies - Pointe-aux-Trembles","TR",296,134326.21,22882686
1995,"Rosemont - La Petite-Patrie","CO",29,24769.79,4841556
1995,"Rosemont - La Petite-Patrie","DE",35,3600,
1995,"Rosemont - La Petite-Patrie","TR",401,312389.02,55091206
1995,"Saint-Laurent","CA, CO, DE, TR",652,313571,75124261
1995,"Verdun","CO",381,36781,21782594
1995,"Verdun","DE",121,3078,
1995,"Ville-Marie","CO",12,441693.51,72920550
1995,"Ville-Marie","DE",27,5300,
1995,"Ville-Marie","TR",970,1065778.08,183561843
1995,"Villeray - Saint-Michel - Parc-Extension","CO",16,21044.05,3679855
1995,"Villeray - Saint-Michel - Parc-Extension","DE",28,2700,
1995,"Villeray - Saint-Michel - Parc-Extension","TR",305,114892.82,20755039
1996,"Ahuntsic - Cartierville","CO",53,48447.18,9897993
1996,"Ahuntsic - Cartierville","DE",23,2100,
1996,"Ahuntsic - Cartierville","TR",581,182050.86,30717297
1996,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",18,134685.91,22731984
1996,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",20,1851.99,
