ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice_PCI,Etat_PCI,Indice_IRI,Etat_IRI
1120105,"Foucher, rue","Saint-Alfred, rue","Jarry Est, rue",121.39,Villeray-Saint-Michel-Parc-Extension,2022-07-27,50,Moyen,7.11,Mauvais
1110198,"Foucher, rue","Jarry Est, rue","Mistral, rue",154,Villeray-Saint-Michel-Parc-Extension,2022-07-27,18,Très mauvais,7.29,Mauvais
1110199,"Foucher, rue","Mistral, rue","Guizot Est, rue",125.2,Villeray-Saint-Michel-Parc-Extension,2022-07-27,24,Mauvais,3.79,Bon
1110200,"Foucher, rue","Guizot Est, rue","Leman, rue",57.72,Villeray-Saint-Michel-Parc-Extension,2022-07-27,18,Très mauvais,4.34,Moyen
1110201,"Foucher, rue","Leman, rue","de Liège Est, rue",182.01,Villeray-Saint-Michel-Parc-Extension,2022-07-27,25,Mauvais,4.32,Moyen
1110202,"Foucher, rue","de Liège Est, rue","de Liège Est, rue",19.89,Villeray-Saint-Michel-Parc-Extension,2022-07-27,30,Mauvais,4.68,Moyen
1110203,"Foucher, rue","de Liège Est, rue","Crémazie Est, boulevard",222.59,Villeray-Saint-Michel-Parc-Extension,2022-07-27,39,Mauvais,2.91,Bon
1040217,"Foucher, rue","Crémazie Est, boulevard","Saint-Arsène, rue",143.03,Ahuntsic-Cartierville,2022-07-27,67,Bon,3.82,Bon
1040218,"Foucher, rue","Saint-Arsène, rue","Émile-Journault, avenue",200.05,Ahuntsic-Cartierville,2022-07-27,72,Bon,2.55,Bon
1040219,"Foucher, rue","Émile-Journault, avenue","Legendre Est, rue",260.27,Ahuntsic-Cartierville,2022-07-27,56,Moyen,5.23,Moyen
1040220,"Foucher, rue","Legendre Est, rue","Chabanel Est, rue",260.3,Ahuntsic-Cartierville,2022-07-27,18,Très mauvais,7.55,Mauvais
1040221,"Foucher, rue","Chabanel Est, rue","de Louvain Est, rue",260.21,Ahuntsic-Cartierville,2022-07-27,31,Mauvais,2.25,Excellent
1040222,"Foucher, rue","de Louvain Est, rue","Frémont, rue",158.07,Ahuntsic-Cartierville,2022-07-27,18,Très mauvais,4.37,Moyen
1040229,"Frémont, rue","Basile-Routhier, rue","Foucher, rue",67.83,Ahuntsic-Cartierville,2022-07-27,11,Très mauvais,4.25,Moyen
1040228,"Frémont, rue","Lajeunesse, rue","Basile-Routhier, rue",63.08,Ahuntsic-Cartierville,2022-07-27,3,Très mauvais,3.52,Bon
1040031,"Basile-Routhier, rue","de Louvain Est, rue","Frémont, rue",157.32,Ahuntsic-Cartierville,2022-07-27,21,Mauvais,3.1,Bon
1040030,"Basile-Routhier, rue","Chabanel Est, rue","de Louvain Est, rue",260.67,Ahuntsic-Cartierville,2022-07-27,10,Très mauvais,3.97,Bon
1040029,"Basile-Routhier, rue","Legendre Est, rue","Chabanel Est, rue",260.28,Ahuntsic-Cartierville,2022-07-27,87,Excellent,3.67,Bon
1040028,"Basile-Routhier, rue","Émile-Journault, avenue","Legendre Est, rue",260.43,Ahuntsic-Cartierville,2022-07-27,90,Excellent,2.58,Bon
1040027,"Basile-Routhier, rue","Saint-Arsène, rue","Émile-Journault, avenue",199.98,Ahuntsic-Cartierville,2022-07-27,84,Excellent,4.38,Moyen
1040026,"Basile-Routhier, rue","Crémazie Est, boulevard","Saint-Arsène, rue",131.32,Ahuntsic-Cartierville,2022-07-27,98,Excellent,3.81,Bon
1040499,"Saint-Arsène, rue","Lajeunesse, rue","Basile-Routhier, rue",62.81,Ahuntsic-Cartierville,2022-07-27,16,Très mauvais,,
1040500,"Saint-Arsène, rue","Basile-Routhier, rue","Foucher, rue",67.89,Ahuntsic-Cartierville,2022-07-27,25,Mauvais,6.48,Mauvais
1040501,"Saint-Arsène, rue","Foucher, rue",,33.76,Ahuntsic-Cartierville,2022-07-27,58,Moyen,,
1110346,"de Liège Est, rue","De Chateaubriand, avenue","Saint-Hubert, rue",86.96,Villeray-Saint-Michel-Parc-Extension,2022-07-27,100,Excellent,2.64,Bon
1110345,"de Liège Est, rue","des Belges, avenue","De Chateaubriand, avenue",63.43,Villeray-Saint-Michel-Parc-Extension,2022-07-27,97,Excellent,5.27,Moyen
1110344,"de Liège Est, rue","Foucher, rue","des Belges, avenue",69.83,Villeray-Saint-Michel-Parc-Extension,2022-07-27,61,Bon,4.98,Moyen
1110343,"de Liège Est, rue","Saint-Gérard, rue","Foucher, rue",69.64,Villeray-Saint-Michel-Parc-Extension,2022-07-27,18,Très mauvais,4.42,Moyen
1110342,"de Liège Est, rue","Lajeunesse, rue","Saint-Gérard, rue",69.81,Villeray-Saint-Michel-Parc-Extension,2022-07-27,59,Moyen,5.84,Mauvais
1110341,"de Liège Est, rue","Berri, rue","Lajeunesse, rue",64.78,Villeray-Saint-Michel-Parc-Extension,2022-07-27,46,Mauvais,3.49,Bon
1110035,"Berri, rue","Guizot Est, rue","de Liège Est, rue",259.16,Villeray-Saint-Michel-Parc-Extension,2022-07-27,28,Mauvais,3.96,Bon
1110034,"Berri, rue","Jarry Est, rue","Guizot Est, rue",264.9,Villeray-Saint-Michel-Parc-Extension,2022-07-27,95,Excellent,2.84,Bon
1120009,"Berri, rue","Gounod, rue","Jarry Est, rue",260.84,Villeray-Saint-Michel-Parc-Extension,2022-07-27,32,Mauvais,4.36,Moyen
1120008,"Berri, rue","Villeray, rue","Gounod, rue",263.2,Villeray-Saint-Michel-Parc-Extension,2022-07-27,28,Mauvais,3.1,Bon
1120007,"Berri, rue","Faillon Est, rue","Villeray, rue",232.64,Villeray-Saint-Michel-Parc-Extension,2022-07-27,25,Mauvais,3.88,Bon
1120006,"Berri, rue","De Castelnau Est, rue","Faillon Est, rue",247.03,Villeray-Saint-Michel-Parc-Extension,2022-07-27,20,Très mauvais,6.41,Mauvais
1120005,"Berri, rue","Jean-Talon Est, rue","De Castelnau Est, rue",245.16,Villeray-Saint-Michel-Parc-Extension,2022-07-27,23,Mauvais,4.12,Moyen
1110057,"Casgrain, avenue","de Liège Est, rue","Crémazie Est, boulevard",304.98,Villeray-Saint-Michel-Parc-Extension,2022-07-27,52,Moyen,3.04,Bon
1110056,"Casgrain, avenue","Guizot Est, rue","de Liège Est, rue",258.94,Villeray-Saint-Michel-Parc-Extension,2022-07-27,47,Moyen,2.93,Bon
1110055,"Casgrain, avenue","Jarry Est, rue","Guizot Est, rue",265.82,Villeray-Saint-Michel-Parc-Extension,2022-07-27,8,Très mauvais,6.8,Mauvais
1120025,"Casgrain, avenue","Gounod, rue","Jarry Est, rue",260.09,Villeray-Saint-Michel-Parc-Extension,2022-07-27,11,Très mauvais,3.75,Bon
1120024,"Casgrain, avenue","Villeray, rue","Gounod, rue",262.8,Villeray-Saint-Michel-Parc-Extension,2022-07-27,15,Très mauvais,4.99,Moyen
1120023,"Casgrain, avenue","Faillon Est, rue","Villeray, rue",242.48,Villeray-Saint-Michel-Parc-Extension,2022-07-27,16,Très mauvais,4.8,Moyen
1120022,"Casgrain, avenue","Jules-Verne, rue","Faillon Est, rue",77.6,Villeray-Saint-Michel-Parc-Extension,2022-07-27,13,Très mauvais,4.91,Moyen
