ï»¿nom,adresse,typologie,image,jeux_balancoire,jeux_balancoireadapte,jeux_eau,jeux_module,jeux_sable,sport_acceseau,sport_baseball,sport_basket,sport_bmx,sport_bocce,sport_dekhockey,sport_football,sport_glissade,sport_minisoccer,sport_moduleexercice,sport_patinoireext,sport_petanque,sport_peche,sport_picleball,sport_piscine,sport_plage,sport_sentiers,sport_skate,sport_soccer,sport_tennis,sport_velo,sport_volley,service_agora,service_barbecue,service_boitelivre,service_canin,service_chalet,service_eau,service_feu,service_gloriette,service_jardin,service_piquenique,service_stationnement,service_tableadapte,service_toilettes,autres,objectid
Espace vert rue du Lac-Bournival,Rue du Lac-Bournival / Chemin de Sainte-Flore,ilot et placette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
Espace vert 18e Rue/12e Avenue,18e Rue / 12e Avenue,espace vert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
Espace vert 25e rue/10e Avenue,25e rue / 10e Avenue,espace vert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
Espace vert 5e Avenue/26e Rue,5e Avenue / 26e Rue,espace vert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
Espace vert 7e Rue/16e Avenue,7e Rue / 16e Avenue,espace vert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
Parc de la RiviÃ¨re-Noire,214e Rue,espace vert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
Espace vert Chemin des rapides des HÃªtres,Chemin des rapides des HÃªtres,espace vert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
Espace vert Alfred-Desrochers,Avenue Graziella-Dumaine / Rue Alfred-Desrochers,espace vert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
Espace vert Place Richelieu,Place Richelieu,ilot et placette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
Espace vert dâAlmaville,Avenue du Capitaine-Veilleux,belvÃ©dÃ¨re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Espace vert HÃ´tel de ville,Avenue des CÃ¨dres,ilot et placette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
Place du MarchÃ©,5e rue de la Pointe,ilot et placette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
Parc de l'horloge du MillÃ©naire,105e Avenue,ilot et placette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
