caseid,mode,q1a,q1b,q2,age5,q3a,q3b,classc,q4,q4t,q4a,q5,qquot_m1,qquot_m2,qquot_m3,q6,q7,q7t_m1,q7t_m2,q8,q9,q10a,q10b,q10c,q10d,q10e,q10f,nbq10,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,q11i,nbq11,q12,q13,q14a,q14b,q14c,q14d,q14e,q14f,q14g,q14h,q14i,nbq14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,nbq15,q16,q17,q18,q19,q20,q21,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q22h,q22i,q22j,q22k,q22k_o,nbq22,q23a,q23b,q23c,q25a,q25b,q25c,q25d,q25e,q25f,q26a,q26b,q26c,q26d,q26e,q26f,q26g,q27a,q27b,q27c,q27d,q27e,q27f,nbq27,q28a,q28b,q28c,q28d,q28e,q28f,nbq28,q29,q30,q31,q32,q3132_m1,q3132_m2,q3132_m3,q33,q34,q35,poids
56855,1,1,14,7,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,8,2,,,,,,,,,,,,,,,,,,,,,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,,0,2,1,3,5,4,4,4,5,4,2,2,3,3,3,3,3,1,1,1,1,2,1,5,2,2,2,2,,2,0,2,4,,,,,,2,2,99,"0,190478146076202"
56927,1,1,17,6,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,1,9,2,2,2,1,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,4,2,2,2,2,2,2,2,2,9,2,2,2,,0,3,4,4,5,5,5,4,5,5,2,2,3,3,3,3,2,1,1,2,1,1,2,4,2,2,,2,2,,0,2,4,,,,,,2,2,99,"0,253374755382538"
57014,1,1,7,3,2,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,2,2,3,3,2,4,3,3,1,3,3,3,3,1,2,2,1,1,2,3,2,,,2,2,,0,1,3,,,,,,2,1,4,"1,7148529291153"
57033,1,1,1,4,3,1,1,1,,1,,,1,,,4,2,3,10,3,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,3,4,5,4,5,5,5,2,1,1,2,2,3,2,1,1,1,1,1,1,6,2,2,2,2,2,1,1,1,4,,,,,,2,2,7,"0,646503329277039"
57040,1,1,3,6,5,1,1,1,,1,,,1,,,2,1,2,11,3,2,1,1,2,1,2,2,3,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,9,4,3,5,2,9,5,1,1,1,2,3,2,2,2,2,2,2,2,2,0,,,,,,,0,2,3,,,,,,2,2,3,"0,223984658718109"
57074,1,1,14,5,4,1,1,1,,1,,,1,,,1,,1,11,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,5,5,5,5,5,5,2,3,2,3,1,3,2,2,2,1,2,2,2,1,,,2,,,,0,1,3,,,,,,2,2,2,"0,755922019481659"
57105,1,1,1,7,5,1,1,1,,1,,,1,,,2,1,2,11,4,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,1,1,2,1,2,2,2,2,2,2,2,9,2,2,2,,0,5,9,9,5,5,4,4,3,4,3,2,1,2,3,3,2,1,2,1,1,1,2,4,2,,2,2,2,,0,2,4,,,,,,2,2,99,"0,15487901866436"
57163,1,1,13,4,3,2,3,3,1,2,,4,2,6,,4,2,3,10,4,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,,2,3,4,3,3,5,4,5,5,4,2,2,2,3,3,3,2,1,1,1,1,2,2,4,2,2,2,2,,,0,2,4,1,1,1,2,3,2,2,7,"0,426511704921722"
57178,1,1,6,6,5,1,1,1,,1,,,1,,,1,,1,11,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,5,5,4,4,5,4,4,4,2,3,2,2,3,3,3,1,1,1,2,1,2,4,2,2,2,,2,,0,97,3,,,,,,2,2,2,"0,63159966468811"
57316,1,1,14,6,5,1,1,1,,1,,,1,,,1,,1,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,5,4,5,3,4,1,2,1,2,3,3,1,2,2,1,1,2,2,2,,,2,2,,,0,2,3,,,,,,2,2,2,"0,205123543739319"
57327,1,1,13,4,3,1,1,1,,1,,,1,,,13,6,7,10,4,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,0,3,4,4,4,3,4,2,4,4,2,1,2,2,2,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,2,,,,,,2,2,5,"2,38750076293945"
57437,1,1,1,1,1,1,1,1,,1,,,1,,,1,,1,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,4,5,3,4,3,4,5,3,3,1,1,3,3,1,2,2,2,2,2,2,0,,,,,,,0,2,4,,,,,,2,2,4,"1,01829481124878"
57483,1,1,4,3,2,1,1,1,,1,,,1,,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,3,4,4,5,5,2,4,1,2,1,2,3,3,2,2,1,1,1,1,2,4,,2,2,2,2,,0,1,4,,,,,,2,2,7,"2,95737504959106"
57494,1,1,6,3,2,1,1,1,,1,,,1,,,1,,1,11,2,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,3,5,2,4,4,5,2,1,1,3,3,3,2,1,2,1,2,2,2,2,2,,2,,,,0,1,4,,,,,,2,2,7,"3,4449667930603"
57555,1,1,7,7,5,2,3,3,1,2,,4,2,6,,1,,1,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,1,3,99,2,2,2,2,2,2,2,2,1,2,2,,1,4,4,3,2,4,4,5,5,3,1,3,3,3,3,3,2,1,1,2,2,2,2,2,2,2,,,,,0,2,3,4,2,4,,,2,2,99,"0,355502218008041"
57630,1,1,5,7,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,1,8,2,,,,,,,,,,,,,,,,,,,,,2,4,3,1,3,2,2,2,1,2,1,2,2,2,2,9,2,,2,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,2,1,2,2,2,1,2,,2,,,,2,0,2,4,,,,,,2,2,2,"0,330206423997879"
57685,1,1,6,6,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,1,1,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,,1,3,4,3,3,3,4,3,3,4,1,1,3,2,2,3,3,1,2,2,2,2,2,1,2,,,,,,0,1,3,,,,,,2,1,2,"0,63159966468811"
57712,1,1,13,6,5,1,1,1,,1,,,1,,,2,3,4,10,2,1,,,,,,,,,,,,,,,,,,7,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,5,5,5,5,5,5,2,3,2,2,1,1,2,1,1,2,1,1,1,5,2,2,,1,1,2,2,0,2,,,,,,2,2,2,"0,437838554382324"
57806,1,1,13,5,4,1,1,1,,1,,,1,,,2,5,6,11,2,2,1,1,2,1,1,2,4,2,2,2,2,2,1,1,2,1,3,5,2,,,,,,,,,,,,,,,,,,,,,4,4,3,1,4,1,1,2,1,2,1,1,1,2,1,2,2,,6,2,9,9,1,9,3,2,4,3,2,3,2,2,3,3,2,1,2,2,1,2,2,2,2,,,2,,,0,1,2,,,,,,2,1,1,"2,40262603759766"
57962,1,1,12,7,5,1,1,1,,1,,,1,,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,3,99,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,9,5,4,5,5,5,5,3,3,1,2,3,3,3,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,,,,,,2,2,99,"0,467784941196442"
57989,1,1,13,7,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,4,4,3,5,5,3,3,3,3,3,3,3,2,1,2,2,2,1,2,,2,,,,2,0,2,4,,,,,,2,2,99,"0,166312828660011"
57996,1,1,17,6,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,1,2,2,1,1,1,2,2,4,5,2,,,,,,,,,,,,,,,,,,,,,3,4,3,4,4,2,2,2,2,2,2,2,2,1,2,2,2,,1,5,4,4,5,5,5,1,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,0,,,,,,,0,1,3,,,,,,2,2,1,"0,405388653278351"
58089,1,1,15,6,5,2,3,3,1,2,,2,2,6,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,5,5,5,4,5,5,1,1,1,2,2,2,2,2,2,2,2,2,2,0,,,,,,,0,1,4,1,1,1,2,3,2,2,5,"0,47519451379776"
58123,1,1,14,3,2,1,1,1,,1,,,1,,,3,3,4,10,2,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,3,4,4,5,5,3,5,5,5,1,2,1,2,3,3,2,2,2,2,2,2,2,0,,,,,,,0,2,4,,,,,,2,2,5,"1,17613244056702"
58134,1,1,14,4,3,1,1,1,,1,,,1,,,4,2,3,10,4,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,0,3,4,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,5,4,5,5,5,3,2,2,2,2,2,2,2,1,2,1,2,1,3,,2,,2,,2,0,1,3,,,,,,2,2,7,"0,856237530708313"
58323,1,1,12,3,2,1,3,2,,1,,,1,,,1,,1,11,3,1,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,3,4,2,4,3,3,2,1,2,2,2,2,1,2,2,2,2,,2,1,2,2,5,5,5,5,5,5,2,3,1,3,3,2,3,2,2,2,1,2,2,1,,,,2,,,0,2,4,,,,,,2,2,6,"4,30099582672119"
58434,1,1,2,5,4,2,3,3,2,3,,2,2,6,,2,3,4,10,3,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,99,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,9,5,5,5,5,4,5,1,1,1,2,2,3,2,1,2,2,1,2,2,2,2,,,2,,,0,2,4,1,1,1,2,3,1,2,5,"0,281632214784622"
58437,1,1,17,6,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,8,2,,,,,,,,,,,,,,,,,,,,,4,4,4,1,1,2,2,2,2,2,9,2,9,2,2,2,2,,0,1,4,4,5,5,5,5,5,5,1,1,1,1,1,2,1,1,2,1,2,1,2,3,1,,1,,1,,3,2,4,,,,,,1,2,2,"0,253374755382538"
58499,1,1,9,6,5,1,1,1,,1,,,1,,,2,1,2,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1,2,2,2,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,4,5,5,5,5,5,2,2,2,3,3,3,3,1,1,1,1,1,1,6,2,2,2,2,1,2,1,2,2,,,,,,2,2,3,"0,604089081287384"
58503,1,1,9,6,5,1,1,1,,1,,,1,,,1,,1,11,1,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,5,4,5,5,5,4,2,3,3,2,1,3,3,1,1,1,1,1,2,5,2,2,2,2,2,,0,1,3,,,,,,2,2,2,"0,246554240584373"
58580,1,1,7,6,5,1,1,1,,1,,,1,,,1,,1,11,3,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,5,5,5,5,5,5,1,2,2,2,3,2,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,,,,,,2,2,99,"0,182475954294205"
58712,1,1,3,7,5,1,2,2,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,2,99,2,2,2,2,2,2,2,2,2,2,2,,0,4,3,4,4,4,4,1,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,0,,,,,,,0,2,3,,,,,,2,2,2,"0,223984658718109"
58784,1,1,1,4,3,1,3,2,,1,,,1,,,4,2,3,10,3,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,0,4,5,3,5,5,5,4,5,5,2,3,1,3,3,3,2,1,2,1,2,2,2,2,2,,2,,,,0,2,4,,,,,,2,2,7,"0,380894690752029"
58791,1,1,14,6,5,1,1,1,,1,,,1,,,3,2,3,10,4,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,,1,4,5,3,5,5,5,5,3,5,2,2,1,2,3,3,2,1,1,1,1,1,2,5,2,2,2,2,2,,0,1,4,,,,,,2,2,7,"0,190053045749664"
58973,1,1,13,7,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,2,1,8,2,,,,,,,,,,,,,,,,,,,,,4,4,1,1,2,4,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,4,1,1,4,5,2,2,2,3,2,3,1,3,3,1,2,2,2,2,2,1,2,,,,,,0,2,2,,,,,,2,2,2,"0,651963949203491"
59062,1,1,3,7,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,3,3,5,2,3,4,1,2,2,3,2,2,3,1,1,1,1,1,2,5,2,2,2,2,2,,0,2,4,,,,,,2,2,2,"0,20799320936203"
59200,1,1,6,4,3,1,1,1,,1,,,1,,,4,2,3,10,2,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,,1,3,4,4,5,5,5,5,3,5,1,1,1,3,3,3,2,2,2,1,2,2,2,1,,,2,,,,0,1,4,,,,,,2,2,7,"1,64782845973969"
59299,1,1,13,7,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,1,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,3,3,9,1,3,1,3,3,3,2,2,2,3,2,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,2,,,,,,2,2,3,"0,651963949203491"
59471,1,1,14,7,5,2,3,3,1,2,,2,2,6,,2,1,2,11,4,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,,0,3,9,9,3,3,9,2,3,4,3,3,1,3,3,3,3,1,1,2,2,2,2,2,2,2,,,,,0,1,3,20,2,4,,,2,2,2,"0,238524243235588"
59479,1,1,11,5,4,1,1,1,,1,,,1,,,2,1,2,11,4,1,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,9,3,5,5,5,5,5,5,3,2,1,2,3,3,2,2,2,2,2,2,2,0,,,,,,,0,2,3,,,,,,2,2,7,"0,610799431800842"
59499,1,1,16,5,4,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,2,4,3,4,1,1,2,1,2,2,2,2,2,2,1,2,2,,2,3,2,2,1,1,3,3,1,4,2,3,2,2,2,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,1,4,,,,,,2,1,3,"1,00187194347382"
59701,1,1,19,7,5,1,1,1,,1,,,1,,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,4,5,4,4,4,3,2,3,2,3,3,2,1,1,2,1,2,2,3,2,2,,2,,,0,2,2,,,,,,2,2,99,"0,96045583486557"
59702,1,1,17,7,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,1,2,2,99,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,5,4,4,3,5,4,3,2,3,3,3,3,3,2,2,2,2,2,1,1,,,,,,2,0,2,2,,,,,,2,1,4,"0,993253588676453"
59752,1,1,14,6,5,1,1,1,,1,,,1,,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,9,4,5,5,5,5,4,1,1,1,2,1,2,1,1,1,1,1,1,1,6,2,2,2,2,2,2,0,1,2,,,,,,2,2,6,"1,10938560962677"
59829,1,1,3,7,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,4,3,4,4,4,4,4,2,2,1,2,2,3,2,1,1,1,1,1,2,5,2,2,2,2,2,,0,1,4,,,,,,2,2,3,"0,309020727872848"
59920,1,1,9,7,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,4,4,5,4,5,2,2,2,2,3,3,2,2,2,1,2,2,2,1,,,2,,,,0,1,4,,,,,,2,2,2,"0,228951424360275"
59921,1,1,9,5,4,1,1,1,,1,,,1,,,4,2,3,10,4,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,2,4,2,1,2,2,2,2,2,2,2,2,2,2,9,2,2,,0,3,3,4,3,9,9,4,2,2,3,3,3,3,3,9,2,2,2,2,2,2,2,0,,,,,,,0,1,3,,,,,,1,2,99,"0,410701215267181"
59960,1,1,5,5,4,2,3,3,1,2,,4,2,6,,2,1,2,11,4,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,0,3,5,5,3,5,5,1,5,5,1,2,1,3,2,9,9,2,1,1,1,2,2,3,,2,2,2,,,0,2,2,,1,1,3,,1,2,4,"6,57534217834473"
59977,1,1,1,5,4,1,1,1,,1,,,1,,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,4,3,3,1,2,2,2,2,2,2,2,2,1,2,2,,1,4,9,9,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,1,2,2,1,,,,2,,,0,2,4,,,,,,2,2,7,"0,414017349481583"
60008,1,1,5,6,5,1,1,1,,1,,,1,,,1,,1,11,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,3,8,2,,,,,,,,,,,,,,,,,,,,,4,4,3,2,99,1,2,1,2,2,9,2,1,1,1,2,2,,4,3,5,9,5,4,4,2,5,2,3,9,2,3,3,3,3,1,2,2,1,2,1,3,2,,,2,,1,1,2,2,,,,,,1,2,1,"1,29444742202759"
60055,1,1,5,5,4,2,3,3,2,3,,4,2,6,,2,1,2,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,,0,4,9,9,5,5,9,9,5,5,2,1,2,3,2,3,2,2,2,2,1,2,2,1,,,,2,,,0,1,4,8,1,1,3,,2,2,2,"1,26990509033203"
60312,1,1,18,7,5,2,3,3,1,2,,4,2,6,,1,,1,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,4,2,9,1,2,2,2,2,1,1,1,2,2,,4,4,5,9,9,4,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,1,4,4,2,4,,,2,2,4,"0,38288539648056"
60410,1,1,1,6,5,1,1,1,,1,,,1,,,1,,1,11,1,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,,0,4,3,3,3,4,4,5,3,3,3,3,2,3,3,3,3,2,1,2,2,2,2,1,,2,,,,,0,1,4,,,,,,2,2,2,"0,230107858777046"
60443,1,1,9,6,5,1,1,1,,1,,,1,,,3,2,3,10,4,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,97,1,5,5,5,4,2,4,9,4,4,2,3,2,2,3,3,1,1,1,2,2,1,2,3,2,2,,,2,,0,1,4,,,,,,2,2,6,"0,153756573796272"
60468,1,1,15,6,5,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,0,5,4,4,5,4,5,4,3,5,1,3,2,3,3,3,2,1,1,1,2,1,2,4,2,2,2,,2,,0,2,3,,,,,,2,2,2,"0,294284164905548"
60484,1,1,19,6,5,1,1,1,,1,,,1,,,2,1,2,11,3,2,9,2,2,2,1,2,1,2,2,2,2,2,2,2,2,9,0,8,9,,,,,,,,,,,,,,,,,,,,,4,4,99,4,1,3,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,2,5,5,1,5,1,5,1,2,1,3,3,3,2,1,1,1,2,2,1,4,2,2,2,,,2,0,1,2,,,,,,2,2,4,"1,42697417736053"
60536,1,1,1,5,4,1,1,1,,1,,,1,,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,2,4,2,2,1,1,2,2,2,2,9,2,9,2,,2,4,9,9,5,5,2,2,4,5,2,3,3,2,3,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,3,,,,,,2,2,4,"0,44584932923317"
60551,1,1,1,4,3,1,1,1,,1,,,1,,,5,2,3,10,4,1,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,3,4,2,1,3,1,2,1,2,2,2,2,1,2,2,2,2,,2,5,5,4,1,4,1,5,1,3,2,3,1,3,3,3,1,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,,,,,,2,2,7,"0,380894690752029"
60560,1,1,5,5,4,1,1,1,,1,,,1,,,1,,1,11,2,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,3,4,3,4,5,3,5,4,4,2,3,2,1,2,3,2,1,1,2,1,1,1,5,2,2,,2,2,2,0,2,4,,,,,,2,2,6,"0,882699489593506"
60694,1,1,1,6,5,1,3,2,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,9,5,5,5,5,4,5,1,2,1,2,3,2,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,97,3,,,,,,2,2,3,"0,247800379991531"
60757,1,1,8,4,3,2,3,3,1,2,,4,2,6,,4,2,3,10,4,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,4,5,5,9,4,5,1,3,1,3,3,3,1,2,1,1,1,2,1,4,,2,2,2,,2,0,2,4,21,1,1,3,,1,2,5,"0,326215147972107"
60787,1,1,1,7,5,1,1,1,,1,,,1,,,1,,1,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,0,2,3,4,1,1,1,1,1,1,2,3,3,3,3,3,2,2,1,2,2,2,2,1,,2,,,,,0,1,4,,,,,,2,2,4,"0,230107858777046"
60920,1,1,9,4,3,1,1,1,,1,,,1,,,5,2,3,10,3,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,0,3,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,0,4,3,4,2,4,4,5,3,4,1,2,1,3,3,3,2,1,1,1,1,1,2,5,2,2,2,2,2,,0,2,4,,,,,,2,1,7,"0,378979653120041"
61049,1,1,16,5,4,2,3,3,1,2,,2,2,6,,6,2,3,10,3,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,5,1,1,1,1,2,9,2,1,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,97,0,5,4,5,4,5,4,5,5,5,1,2,1,3,3,3,1,1,1,1,1,2,2,4,2,2,2,2,,,0,2,4,2,1,1,3,,2,2,3,"0,455372214317322"
