Numero_Fournisseur,Cat_Description 
141153,Structure préfabriquée \ Auvent et marquise
,Mobilier urbain \ Mobilier pour espace public et jardin
141189,Communication graphique \ Service - Photographie
,Matériel promotionnel \ Article promotionnel
,Communication graphique \ Service - Sérigraphie
,Communication graphique \ Service - Reprographie
,"Papeterie et imprimerie \ Guide, brochure et affiche"
,"Matériel promotionnel \ Drapeau, bannière, fanion et décoration temporaire"
,Marketing \ Conseiller en commercialisation
,Communication graphique \ Matériel pour communication graphique
,Marketing \ Conseiller en marketing
,"Communication graphique \ Service - Infographie, graphisme"
,Papeterie et imprimerie \ Formulaire
,Papeterie et imprimerie \ Service - Impression
,"Marketing \ Service - Agence de publicité, promotion"
141300,Services comptables \ Juricomptable
141319,Alimentation \ Breuvage et nourriture
141325,Administration et gestion \ Gestionnaire de projet administratif
,Marketing \ Conseiller en marketing
,"Administration et gestion \ Conseiller en gestion, management"
,Relations publiques et communications \ Conseiller en relation gouvernementale
,Relations publiques et communications \ Conseiller en recherche de commandite
,Relations publiques et communications \ Conseiller en communications
,Relations publiques et communications \ Conseiller en relations publiques
141332,Informatique et télécommunication \ Conseiller en sécurité informatique
141341,Matériaux de construction \ Porte et fenêtre
,Entrepreneurs spécialisés \ 3.1 - Entrepreneur en structures de béton
,Matériaux de construction \ Isolant thermique et acoustique
,Matériaux de construction \ Panneau de finition
,Entrepreneurs spécialisés \ 3.2 - Entrepreneur en petits ouvrages de béton
,"Quincaillerie \ Matériel de fixation, clou, vis"
,Matériaux de construction \ Bois de construction
,"Quincaillerie \ Calfeutrage, scellant, mastic et bouche-pore"
,Matériaux de construction \ Réparation/Entretien - Porte et fenêtre
,Entrepreneurs spécialisés \ 8.0 - Entrepreneur en portes et fenêtres
,Matériaux de construction \ Agrégat ensaché
,Entrepreneurs spécialisés \ 5.2 - Entrepreneur en ouvrages métalliques
,Entrepreneurs généraux \ 1.5 - Entrepreneur en structures d'ouvrages de génie civil
,Matériaux de construction \ Recouvrement - toiture
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
,Entrepreneurs spécialisés \ 9.0 - Entrepreneur en travaux de finition
,Entrepreneurs spécialisés \ 6.2 - Entrepreneur en travaux de bois et plastique
,Peinture \ Peinture - résidentielle et industrielle
,Entrepreneurs spécialisés \ 5.1 - Entrepreneur en structures métalliques et éléments préfabriqués de béton
,Matériaux de construction \ Couvre-plancher
,"Matériaux de construction \ Bloc de béton, pavé, pierre et brique"
,"Entrepreneurs spécialisés \ 7.0 - Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur"
,Entrepreneurs spécialisés \ 6.1 - Entrepreneur en charpentes de bois
,Matériaux de construction \ Matériel de finition
,"Matériaux de construction \ Ciment, mélange à béton ensaché"
,Matériaux de construction \ Cloison sèche et plâtre
,Entrepreneurs spécialisés \ 4.1 - Entrepreneur en structures de maçonnerie
141399,Transport de biens et entreposage \ Service - Transport de conteneur
,Transport de biens et entreposage \ Service - Transport de matières en vrac
141424,"Horticulture \ Terre, terreau, compost et engrais"
141440,Gestion et organisation d'évènement public \ Service - Organisation de festivals et spectacles
141481,Machinerie et équipement industriel \ Location - Appareil spécialisé pour la mécanique
,Machinerie et équipement industriel \ Réparation/Entretien - Pompe et compresseur
,Machinerie et équipement industriel \ Réparation/Entretien - Machine et équipement d'aménagement paysager et déneigement
,Outil \ Outil électrique
,Machinerie et équipement industriel \ Réparation/Entretien - Génératrice
,Machinerie et équipement industriel \ Location - Génératrice
,Machinerie et équipement industriel \ Accessoire et pièce de remplacement pour machinerie et équipement industriel
,Outil \ Réparation/Entretien - Outil pneumatique
,Machinerie et équipement industriel \ Réparation/Entretien - Machine et équipement de construction
,Outil \ Location - Outil à batterie
,Machinerie et équipement industriel \ Appareil spécialisé pour la mécanique
,Machinerie et équipement industriel \ Génératrice
,Outil \ Location - Outil pneumatique
,Outil \ Réparation/Entretien - Outil électrique
,Outil \ Location - Outil manuel
,Machinerie et équipement industriel \ Location - Machine et équipement d'aménagement paysager et déneigement
,Outil \ Location - Outil électrique
,Outil \ Réparation/Entretien - Outil à batterie
,Machinerie et équipement industriel \ Réparation/Entretien - Appareil de soudure
,"Outil \ Location - Échelle, escabeau et échafaudage"
,Machinerie et équipement industriel \ Pompe et compresseur
,Machinerie et équipement industriel \ Location - Pompe et compresseur
,Machinerie et équipement industriel \ Location - Machine et équipement de construction
,Outil \ Outil à batterie
,Machinerie et équipement industriel \ Machine et équipement d'aménagement paysager et déneigement
,Outil \ Accessoire et pièce de remplacement pour outil
,Outil \ Outil pneumatique
,Machinerie et équipement industriel \ Réparation/Entretien - Appareil spécialisé pour la mécanique
,Machinerie et équipement industriel \ Machine et équipement de construction
,Machinerie et équipement industriel \ Appareil de soudure
,"Outil \ Échelle, escabeau et échafaudage"
,Machinerie et équipement industriel \ Location - Appareil de soudure
,Outil \ Outil manuel
141503,Entrepreneurs spécialisés \ 2.5 - Entrepreneur en excavation et terrassement
141540,"Arts et culture \ Service - Scénographie, éclairage et sonorisation"
141546,Sciences de l'environnement \ Agronome
141559,"Arts et culture \ Service - Scénographie, éclairage et sonorisation"
,Gestion et organisation d'évènement public \ Service - Organisation de festivals et spectacles
141633,Administration et gestion \ Conseiller en planification stratégique
,Administration et gestion \ Conseiller en développement organisationnel
,"Sécurité \ Service - Enquêteur, détective"
141641,Entrepreneurs spécialisés \ 2.5 - Entrepreneur en excavation et terrassement
,Entrepreneurs spécialisés \ 2.7 - Entrepreneur en travaux d'emplacement
,Entrepreneurs spécialisés \ 9.0 - Entrepreneur en travaux de finition
141672,Papeterie et imprimerie \ Service - Reliure
141702,Artiste \ Service - Artiste de la scène
141773,"Entrepreneurs spécialisés \ 7.0 - Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur"
,Matériaux de construction \ Recouvrement - toiture
,Entrepreneurs généraux \ 1.2 - Entrepreneur en petits bâtiments
141777,"Relations publiques et communications \ Concepteur graphique, infographiste"
141780,Ingénierie \ Ingénieur forestier
141787,"Sciences humaines \ Sociologue, ethnologue"
141800,Santé et sécurité \ Conseiller en ergonomie
,Formation \ Service - Formation en santé et sécurité
141821,Entrepreneurs spécialisés \ 15.8 - Entrepreneur en ventilation
,"Chauffage, climatisation et ventilation \ Réparation/Entretien - Appareil et système de ventilation"
,"Chauffage, climatisation et ventilation \ Réparation/Entretien - Appareil et système de chauffage"
,"Chauffage, climatisation et ventilation \ Accessoire et pièce de remplacement pour appareil et système de CCV"
,"Chauffage, climatisation et ventilation \ Appareil et système de ventilation"
,"Chauffage, climatisation et ventilation \ Appareil et système de climatisation"
,"Chauffage, climatisation et ventilation \ Appareil et système de chauffage"
,"Chauffage, climatisation et ventilation \ Réparation/Entretien - Appareil et système de climatisation"
141920,"Arts et culture \ Service - Scénographie, éclairage et sonorisation"
,Relations publiques et communications \ Concepteur multimédia
141948,Horticulture \ Végétaux
,Horticulture \ Couvre-sol
141951,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
141987,Papeterie et imprimerie \ Service - Numérisation de documents
,Multimédia \ Service - Production multimédia
,Sport et loisir \ Accessoire de sport
,"Matériel de bureau \ Reliure, porte-document"
,Sport et loisir \ Équipement de sport
,Matériel promotionnel \ Article promotionnel
,Vêtement et uniforme \ Vêtement de travail
,Vêtement et uniforme \ Uniforme - Agent de sécurité
,Vêtement et uniforme \ Gant
,Vêtement et uniforme \ Accessoire vestimentaire
,"Matériel promotionnel \ Drapeau, bannière, fanion et décoration temporaire"
,Papeterie et imprimerie \ Service - Impression
,Communication graphique \ Service - Sérigraphie
,"Papeterie et imprimerie \ Papier, article de papeterie"
,Multimédia \ Service - Diffusion
,Marketing \ Service - Distribution
,Matériel promotionnel \ Objet souvenir
,Vêtement et uniforme \ Uniforme - Agent de stationnement/Bureau du taxi
,"Communication graphique \ Service - Infographie, graphisme"
,"Sport et loisir \ Matériel pour loisir, jeu"
,Communication graphique \ Service - Reprographie
142001,"Véhicule et appareil automobile \ Location - Véhicule lourd, machinerie lourde et camion avec équipement spécialisé"
,Remorque \ Location - Remorque motorisée
,Remorque \ Location - Remorque non motorisée
142010,Quincaillerie \ Accessoire de charpente et de clôture
142016,Formation \ Service - Formation en développement interpersonnel/relationnel
,Ressources humaines \ Conseiller en ressources humaines
,Administration et gestion \ Conseiller en planification stratégique
,Ressources humaines \ Conseiller en relations industrielles
,Ressources humaines \ Conseiller en recrutement et évaluation des compétences
,"Administration et gestion \ Conseiller en gestion, management"
,Ressources humaines \ Conseiller en orientation professionnelle
,Ressources humaines \ Concepteur de programme de formation
142028,"Informatique \ Service - Traitement de données, bureautique"
142043,Artiste \ Service - Artiste de la scène
,Artiste \ Service - Artiste musical
,Artiste \ Service - Artiste visuel
142045,Artiste \ Service - Artiste musical
,Artiste \ Service - Artiste de la scène
142063,Sciences humaines \ Muséologue
142086,Science du langage \ Traducteur
,Science du langage \ Interprètre
142092,Plastique \ Matière plastique
142111,"Aqueduc et égout \ Puisard, chambre de vanne, trou d'homme et regard"
,"Aqueduc et égout \ Service - Déglaçage, nettoyage et désobstruction de conduites"
,Aqueduc et égout \ Fosse septique
,"Aqueduc et égout \ Service - Vidange de puisards, regards et fosses septiques"
,Aqueduc et égout \ Service - Inspection de conduites
142154,Équipement pour véhicule et appareil \ Équipement - Véhicule pompier
,Équipement pour véhicule et appareil \ Équipement - Véhicule policier
,Équipement pour véhicule et appareil \ Aménagement de véhicules
,Remorque \ Accessoire et pièce de remplacement pour remorque
,Équipement pour véhicule et appareil \ Équipement - Véhicule et appareil
,"Mécanique \ Électronique, circuit électrique,éclairage, instrument, jauge, cadran, compteur, radio, avertisseur pour matériel roulant"
,Mécanique \ Allumage et système de charge pour matériel roulant
,Mécanique \ Chauffage et air conditionné pour matériel roulant
142184,Arts et culture \ Livre
142190,Alimentation \ Service - Traiteur
142202,Horticulture \ Service - Entretien paysager
142247,Artiste \ Service - Artiste de la scène
142248,Structure préfabriquée \ Auvent et marquise
142278,Voirie \ Service - Marquage de rue
,Voirie \ Signalisation routière
142279,"Architecture, arpentage et urbanisme \ Arpenteur-géomètre"
142283,Alimentation \ Breuvage et nourriture
,Sport et loisir \ Accessoire de sport
,"Sport et loisir \ Service - Animation, entraînement"
,Sport et loisir \ Équipement de sport
,Matériel promotionnel \ Objet souvenir
,Hébergement et voyage \ Service - Hébergement
,Gestion et organisation d'évènement public \ Service - Organisation d'activités sportives
,Communication écrite et orale \ Service - Conférence
,"Sport et loisir \ Matériel pour loisir, jeu"
,Alimentation \ Service - Traiteur
,Sport et loisir \ Location - Équipement de sport
142308,"Arts et culture \ Journal, magazine et revue"
142314,Ingénierie \ Ingénieur civil -  Structure de bâtiment
,Ingénierie \ Ingénieur civil -  Structure routière (Ponts et tunnels)
142327,"Arts et culture \ Service - Formation, animation d'atelier"
142328,"Entrepreneurs généraux \ 1.1.1 Entrepreneur en bâtiments résidentiels neufs visés à un plan de garantie, classe 1"
,Entrepreneurs généraux \ 1.5 - Entrepreneur en structures d'ouvrages de génie civil
,"Entrepreneurs généraux \ 1.1.2 Entrepreneur en bâtiments résidentiels neufs visés à un plan de garantie, classe 2"
,Entrepreneurs généraux \ 1.2 - Entrepreneur en petits bâtiments
,Entrepreneurs spécialisés \ 10.0 - Entrepreneur en systèmes de chauffage localisé à combustible solide
,Entrepreneurs spécialisés \ 15.7 - Entrepreneur en ventilation résidentielle
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
,Entrepreneurs spécialisés \ 2.7 - Entrepreneur en travaux d'emplacement
,Entrepreneurs spécialisés \ 2.5 - Entrepreneur en excavation et terrassement
,Entrepreneurs généraux \ 1.4 - Entrepreneur en routes et canalisation
142346,"Alimentation \ Location - Accessoire et équipement de restauration, vaisselle"
,"Mobilier de bureau \ Classeur, étagère et armoire de rangement"
,Mobilier de bureau \ Accessoire et fourniture de mobilier de bureau
,Mobilier de bureau \ Table de travail et table de conférence
,Mobilier de bureau \ Location - Bureau (Mobilier autoportant)
,Mobilier de bureau \ Bureau (Mobilier autoportant)
,"Sport et loisir \ Matériel pour loisir, jeu"
,"Alimentation \ Accessoire et équipement de restauration, vaisselle"
,Sport et loisir \ Équipement pour piscine et jeu d'eau
,Mobilier de bureau \ Chaise et fauteuil ergonomique
,Arts et culture \ Location - Équipement de scène
,Arts et culture \ Équipement de scène
,Meuble et électroménager \ Location - Meuble
,Sport et loisir \ Équipement et fourniture pour terrain de jeux
,Décoration \ Accessoire et fourniture de décoration
,Installation temporaire \ Location - Chapiteau
,"Installation temporaire \ Scène, estrade, kiosque"
,Meuble et électroménager \ Meuble
,Sport et loisir \ Location - Équipement de sport
142347,Entrepreneurs spécialisés \ 13.5 - Entrepreneur en installations spéciales ou préfabriquées
,Entrepreneurs spécialisés \ 5.2 - Entrepreneur en ouvrages métalliques
,Entrepreneurs généraux \ 1.6 - Entrepreneur en ouvrages de génie civil immergés
,Entrepreneurs généraux \ 1.2 - Entrepreneur en petits bâtiments
,Entrepreneurs spécialisés \ 14.1 - Entrepreneur en ascenseurs et monte-charges
,Entrepreneurs spécialisés \ 5.1 - Entrepreneur en structures métalliques et éléments préfabriqués de béton
,Entrepreneurs spécialisés \ 6.2 - Entrepreneur en travaux de bois et plastique
,Entrepreneurs spécialisés \ 15.10 - Entrepreneur en réfrigération
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
,Entrepreneurs spécialisés \ 9.0 - Entrepreneur en travaux de finition
,Entrepreneurs spécialisés \ 11.2 - Entrepreneur en équipements et produits spéciaux
,Entrepreneurs spécialisés \ 14.3 - Entrepreneur en autres types d'appareils élévateurs
,"Entrepreneurs spécialisés \ 7.0 - Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur"
,Entrepreneurs spécialisés \ 13.4 - Entrepreneur en systèmes localisés d'extinction incendie
,Entrepreneurs spécialisés \ 2.8 - Entrepreneur en sautage
,Entrepreneurs spécialisés \ 15.7 - Entrepreneur en ventilation résidentielle
,Entrepreneurs spécialisés \ 2.5 - Entrepreneur en excavation et terrassement
,Entrepreneurs spécialisés \ 2.1 - Entrepreneur en puits forés
,Entrepreneurs spécialisés \ 10.0 - Entrepreneur en systèmes de chauffage localisé à combustible solide
,Entrepreneurs spécialisés \ 2.3 - Entrepreneur en systèmes de pompage des eaux souterraines
,Entrepreneurs spécialisés \ 15.8 - Entrepreneur en ventilation
,Entrepreneurs spécialisés \ 4.1 - Entrepreneur en structures de maçonnerie
,Entrepreneurs spécialisés \ 2.6 - Entrepreneur en pieux et fondations spéciales
,Entrepreneurs spécialisés \ 14.2 - Entrepreneur en appareils élévateurs pour personnes handicapées
,Entrepreneurs spécialisés \ 12.0 - Entrepreneur en armoires et comptoirs usinés
,"Entrepreneurs spécialisés \ 4.2 - Entrepreneur en travaux de maçonnerie non structurale, marbre et céramique"
,Entrepreneurs spécialisés \ 8.0 - Entrepreneur en portes et fenêtres
,Entrepreneurs spécialisés \ 2.4 - Entrepreneur en systèmes d'assainissement autonome
,Entrepreneurs spécialisés \ 3.2 - Entrepreneur en petits ouvrages de béton
,"Entrepreneurs spécialisés \ 17.1 - Entrepreneur en instrumentation, contrôle et régulation"
,Entrepreneurs spécialisés \ 2.2 - Entrepreneur en ouvrages de captage d'eau non forés
,Entrepreneurs spécialisés \ 6.1 - Entrepreneur en charpentes de bois
,"Entrepreneurs spécialisés \ 17.2 - Entrepreneur en intercommunication, téléphonie et surveillance"
,Entrepreneurs généraux \ 1.4 - Entrepreneur en routes et canalisation
,Entrepreneurs spécialisés \ 2.7 - Entrepreneur en travaux d'emplacement
,Entrepreneurs généraux \ 1.10 - Entrepreneur en remontées mécaniques
,Entrepreneurs généraux \ 1.5 - Entrepreneur en structures d'ouvrages de génie civil
142360,"Sciences de la santé \ Psychologue, Travailleur social"
142362,Remorque \ Réparation/Entretien - Remorque non motorisée
142388,Entrepreneurs spécialisés \ 8.0 - Entrepreneur en portes et fenêtres
,Aqueduc et égout \ Produit de branchement
,Entrepreneurs généraux \ 1.4 - Entrepreneur en routes et canalisation
,Entrepreneurs spécialisés \ 5.2 - Entrepreneur en ouvrages métalliques
,Entrepreneurs spécialisés \ 2.7 - Entrepreneur en travaux d'emplacement
,Entrepreneurs spécialisés \ 11.2 - Entrepreneur en équipements et produits spéciaux
,Aqueduc et égout \ Réparation de conduit d'aqueduc
,Plomberie \ Tuyauterie et raccord
,"Entrepreneurs spécialisés \ 7.0 - Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur"
,Ingénierie \ Ingénieur civil - Aqueduc et égout
,Entrepreneurs spécialisés \ 11.1 - Entrepreneur en tuyauterie industrielle ou institutionnelle sous pression
,Entrepreneurs spécialisés \ 12.0 - Entrepreneur en armoires et comptoirs usinés
,Entrepreneurs spécialisés \ 9.0 - Entrepreneur en travaux de finition
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
,Entrepreneurs spécialisés \ 6.2 - Entrepreneur en travaux de bois et plastique
,Entrepreneurs généraux \ 1.6 - Entrepreneur en ouvrages de génie civil immergés
,Entrepreneurs spécialisés \ 3.2 - Entrepreneur en petits ouvrages de béton
142405,Relations publiques et communications \ Conseiller en communications
142421,Opération et logistique \ Conseiller en productivité et performance
,Informatique et télécommunication \ Architecte informatique
,Informatique et télécommunication \ Concepteur et développeur de systèmes informatiques
,"Informatique et télécommunication \ Programmeur, analyste"
,Informatique et télécommunication \ Administrateur de bases de données
,Informatique et télécommunication \ Conseiller en réseautique
,Informatique et télécommunication \ Conseiller en sécurité informatique
,Informatique et télécommunication \ Conseiller en informatique
142423,"Énergie \ Carburant (essence, diesel, kérosène)"
,Énergie \ Huile à chauffage et mazout
,"Produit chimique \ Huile, graisse et lubrifiant"
142451,"Sécurité \ Service - Agence de sécurité, gardiennage"
,"Sécurité \ Service - Enquêteur, détective"
,Santé et sécurité \ Conseiller en prévention au travail
142474,Équipement et produit d'entretien \ Distributeur de produit nettoyant
142483,Plomberie \ Accessoire et fourniture de plomberie
,Plomberie \ Tuyauterie et raccord
,Mécanique \ Quincaillerie et courroie pour matériel roulant
,Équipement pour véhicule et appareil \ Équipement - Véhicule pompier
,Vêtement et uniforme \ Accessoire vestimentaire
,"Mécanique \ Système hydraulique, pneumatique pour matériel roulant"
,Machinerie et équipement industriel \ Accessoire et pièce de remplacement pour machinerie et équipement industriel
,"Vêtement et uniforme \ Botte, soulier et couvre-chaussure"
,Outil \ Accessoire et pièce de remplacement pour outil
142510,Électricité \ Pièce électrique
,Entrepreneurs spécialisés \ 16.0 - Entrepreneur en électricité
,Électricité \ Fil et câble électrique
,"Électricité \ Conduit, raccord et finition"
,"Électricité \ Éclairage, lumière"
142620,Informatique \ Service - Accès aux bases de données
,Informatique et télécommunication \ Administrateur de bases de données
,Informatique et télécommunication \ Spécialiste Internet/Web
,"Informatique \ Service - Traitement de données, bureautique"
,"Informatique et télécommunication \ Programmeur, analyste"
,Informatique \ Logiciel et progiciel
,Informatique et télécommunication \ Architecte informatique
,Informatique et télécommunication \ Conseiller en informatique
,Informatique et télécommunication \ Concepteur et développeur de systèmes informatiques
,Informatique et télécommunication \ Conseiller en réseautique
,Informatique \ Service - Soutien informatique
142624,"Électricité \ Éclairage, lumière"
,Entrepreneurs généraux \ 1.4 - Entrepreneur en routes et canalisation
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
,Entrepreneurs spécialisés \ 13.3 - Entrepreneur en systèmes d'extinction d'incendie
,Entrepreneurs spécialisés \ 13.4 - Entrepreneur en systèmes localisés d'extinction incendie
,Entrepreneurs spécialisés \ 11.1 - Entrepreneur en tuyauterie industrielle ou institutionnelle sous pression
,Entrepreneurs spécialisés \ 13.1 - Entrepreneur en protection contre la foudre
,Entrepreneurs spécialisés \ 10.0 - Entrepreneur en systèmes de chauffage localisé à combustible solide
,Électricité \ Fil et câble électrique
,Entrepreneurs généraux \ 1.5 - Entrepreneur en structures d'ouvrages de génie civil
,"Électricité \ Conduit, raccord et finition"
,Électricité \ Pièce électrique
,Entrepreneurs spécialisés \ 15.10 - Entrepreneur en réfrigération
,Entrepreneurs généraux \ 1.2 - Entrepreneur en petits bâtiments
142634,"Sécurité \ Service - Agence de sécurité, gardiennage"
,"Sécurité \ Service - Enquêteur, détective"
142639,Alimentation \ Service - Traiteur
142647,Santé et sécurité \ Conseiller en ergonomie
142648,Entrepreneurs spécialisés \ 15.5 - Entrepreneur en plomberie
,Entrepreneurs spécialisés \ 15.8 - Entrepreneur en ventilation
,Entrepreneurs spécialisés \ 5.1 - Entrepreneur en structures métalliques et éléments préfabriqués de béton
,"Entrepreneurs spécialisés \ 7.0 - Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur"
,Entrepreneurs généraux \ 1.2 - Entrepreneur en petits bâtiments
,"Entrepreneurs spécialisés \ 17.1 - Entrepreneur en instrumentation, contrôle et régulation"
,Entrepreneurs spécialisés \ 15.2 - Entrepreneur en systèmes de brûleurs au gaz naturel
,Entrepreneurs spécialisés \ 11.1 - Entrepreneur en tuyauterie industrielle ou institutionnelle sous pression
,Entrepreneurs spécialisés \ 8.0 - Entrepreneur en portes et fenêtres
,Entrepreneurs spécialisés \ 15.10 - Entrepreneur en réfrigération
,Entrepreneurs spécialisés \ 2.7 - Entrepreneur en travaux d'emplacement
,Entrepreneurs spécialisés \ 15.3 - Entrepreneur en systèmes de brûleurs à l'huile
,Entrepreneurs spécialisés \ 6.1 - Entrepreneur en charpentes de bois
,Entrepreneurs spécialisés \ 5.2 - Entrepreneur en ouvrages métalliques
,Entrepreneurs spécialisés \ 11.2 - Entrepreneur en équipements et produits spéciaux
,Entrepreneurs spécialisés \ 15.1 - Entrepreneur en systèmes de chauffage à air chaud
,Entrepreneurs spécialisés \ 15.4 - Entrepreneur en systèmes de chauffage à eau chaude et à vapeur
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
142659,Équipement technique \ Fourniture et accessoire scientifique
,Équipement technique \ Appareil scientifique
,Équipement technique \ Accessoire et pièce de remplacement pour équipement technique
142691,Transport de biens et entreposage \ Service - Entreposage
,Sécurité \ Produit de cadenassage
,Sécurité \ Service - Serrurier
142692,Science du langage \ Traducteur
,Communication écrite et orale \ Service - Conférence
,"Communication écrite et orale \ Service - Rédaction, révision"
142722,Marketing \ Conseiller en marketing
142730,"Sciences de la santé \ Psychologue, Travailleur social"
142739,Entrepreneurs spécialisés \ 13.5 - Entrepreneur en installations spéciales ou préfabriquées
,Entrepreneurs spécialisés \ 15.1 - Entrepreneur en systèmes de chauffage à air chaud
,Entrepreneurs spécialisés \ 15.5 - Entrepreneur en plomberie
,"Entrepreneurs spécialisés \ 17.1 - Entrepreneur en instrumentation, contrôle et régulation"
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
,Entrepreneurs spécialisés \ 13.3 - Entrepreneur en systèmes d'extinction d'incendie
,"Entrepreneurs spécialisés \ 7.0 - Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur"
,Entrepreneurs spécialisés \ 11.2 - Entrepreneur en équipements et produits spéciaux
,Entrepreneurs spécialisés \ 15.8 - Entrepreneur en ventilation
,Entrepreneurs spécialisés \ 13.4 - Entrepreneur en systèmes localisés d'extinction incendie
,Entrepreneurs spécialisés \ 15.6 - Entrepreneur en propane
,Entrepreneurs spécialisés \ 5.2 - Entrepreneur en ouvrages métalliques
,Entrepreneurs spécialisés \ 15.3 - Entrepreneur en systèmes de brûleurs à l'huile
,Entrepreneurs généraux \ 1.2 - Entrepreneur en petits bâtiments
,Entrepreneurs spécialisés \ 15.2 - Entrepreneur en systèmes de brûleurs au gaz naturel
,Entrepreneurs spécialisés \ 11.1 - Entrepreneur en tuyauterie industrielle ou institutionnelle sous pression
,Entrepreneurs spécialisés \ 15.10 - Entrepreneur en réfrigération
,Entrepreneurs spécialisés \ 15.4 - Entrepreneur en systèmes de chauffage à eau chaude et à vapeur
142743,Meuble et électroménager \ Meuble
,Décoration \ Service - Design d'intérieur
142847,"Matériaux de construction \ Bloc de béton, pavé, pierre et brique"
142857,"Matériel de bureau \ Reliure, porte-document"
,Marketing \ Service - Distribution
,"Marketing \ Service - Agence de publicité, promotion"
,"Matériel de bureau \ Article, accessoire et équipement de bureau"
,Multimédia \ Service - Production multimédia
,"Matériel promotionnel \ Drapeau, bannière, fanion et décoration temporaire"
142876,Équipement et produit d'entretien \ Produit d'entretien ménager
,"Équipement et produit d'entretien \ Produit de papier, papier hygiénique"
,Équipement et produit d'entretien \ Distributeur de produit nettoyant
,Plastique \ Matière plastique
142889,"Déneigement \ Service - Véhicule et appareil pour déblaiement, chargement de la neige et épandage d'abrasif avec opérateur"
142915,"Informatique \ Photocopieur, télécopieur, imprimante et numériseur"
,"Informatique \ Encre, toner"
,"Informatique \ Location - Photocopieur, télécopieur, imprimante et numériseur"
,"Informatique \ Réparation/Entretien - Photocopieur, télécopieur, imprimante et numériseur"
142933,"Arts et culture \ Service - Formation, animation d'atelier"
,Communication écrite et orale \ Service - Conférence
142992,"Matériaux de construction \ Bloc de béton, pavé, pierre et brique"
143024,Matériaux de construction \ Matériel de finition
143069,Communication graphique \ Service - Photographie
,"Relations publiques et communications \ Concepteur graphique, infographiste"
143137,Ingénierie \ Ingénieur en mécanique du bâtiment
143142,Informatique et télécommunication \ Spécialiste Internet/Web
,Informatique et télécommunication \ Conseiller en informatique
,Informatique \ Service - Soutien informatique
,Informatique \ Logiciel et progiciel
,Informatique et télécommunication \ Concepteur et développeur de systèmes informatiques
143175,Entrepreneurs spécialisés \ 15.1 - Entrepreneur en systèmes de chauffage à air chaud
,Entrepreneurs spécialisés \ 15.3 - Entrepreneur en systèmes de brûleurs à l'huile
,Entrepreneurs spécialisés \ 15.2 - Entrepreneur en systèmes de brûleurs au gaz naturel
,Plomberie \ Tuyauterie et raccord
,Plomberie \ Réparation/Entretien - Chauffe-eau
,Plomberie \ Chauffe-eau
,Entrepreneurs spécialisés \ 15.5 - Entrepreneur en plomberie
,Plomberie \ Accessoire et fourniture de plomberie
,Entrepreneurs spécialisés \ 15.4 - Entrepreneur en systèmes de chauffage à eau chaude et à vapeur
143181,"Ressources humaines \ Conseiller, programme d'aide aux employés"
143182,Entrepreneurs spécialisés \ 12.0 - Entrepreneur en armoires et comptoirs usinés
,"Entrepreneurs spécialisés \ 17.2 - Entrepreneur en intercommunication, téléphonie et surveillance"
,Entrepreneurs spécialisés \ 15.6 - Entrepreneur en propane
,Entrepreneurs généraux \ 1.4 - Entrepreneur en routes et canalisation
,Entrepreneurs spécialisés \ 13.5 - Entrepreneur en installations spéciales ou préfabriquées
,Entrepreneurs spécialisés \ 15.3 - Entrepreneur en systèmes de brûleurs à l'huile
,"Entrepreneurs généraux \ 1.7 - Entrepreneur en télécommunication, transport, transformation et distribution d'énergie électrique"
,Entrepreneurs spécialisés \ 2.7 - Entrepreneur en travaux d'emplacement
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
,Entrepreneurs spécialisés \ 15.2 - Entrepreneur en systèmes de brûleurs au gaz naturel
,Entrepreneurs spécialisés \ 9.0 - Entrepreneur en travaux de finition
,Entrepreneurs spécialisés \ 11.2 - Entrepreneur en équipements et produits spéciaux
,Entrepreneurs spécialisés \ 15.5 - Entrepreneur en plomberie
,Entrepreneurs spécialisés \ 5.2 - Entrepreneur en ouvrages métalliques
,Entrepreneurs généraux \ 1.2 - Entrepreneur en petits bâtiments
,Entrepreneurs spécialisés \ 13.1 - Entrepreneur en protection contre la foudre
,Entrepreneurs spécialisés \ 10.0 - Entrepreneur en systèmes de chauffage localisé à combustible solide
,Entrepreneurs généraux \ 1.6 - Entrepreneur en ouvrages de génie civil immergés
