No_UADM,Description,Type,Service_arrondissement 
180007030000,SECTION ENTRETIEN EST,SEC,Service
180008000000,DIVISION TRANSITION ÉCOLOGIE,DIV,Service
180008020000,SECTION ÉNERGIE,SEC,Service
180010000000,DIVISION SÉCURITÉ,DIV,Service
180010020000,SECTION ANALYSE - SOUTIEN AUX OPÉRATIONS,SEC,Service
180010030000,SECTION SERVICES TECHNIQUES - SÉCURITÉ,SEC,Service
180070000000,DIVISION SOUTIEN ET EXPLOITATION,DIV,Service
180070020000,SEC. SOUTIEN À L EXPLOITTION À LA SÉCURITÉ DES IMMEUBLES,SEC,Service
180070030000,SECTION DES TRAVAUX D ENTRETIEN À CONTRAT,SEC,Service
180205000000,DIVISION SÉCURITÉ,DIV,Service
180300000000,DIRECTION - GESTION IMMOBILIÈRE ET EXPLOITATION,DIR,Service
180302000000,DIVISION EXPLOITATION DES BÂTIMENTS SPÉCIALISÉES-RÉGION EST,DIV,Service
180302020000,SEC GESTION IMMOBILIÈRE ET EXPLOITATION BÂTIMENT SPÉC EST,SEC,Service
180303000000,DIV. EXPLOITATION DES BÂTIMENTS SPÉCIALISÉES-RÉGION OUEST,DIV,Service
180303020000,SEC GESTION IMMOBILIÈRE ET EXPLOITATION BÂTIMENT SPÉC OUEST,SEC,Service
180304000000,GESTION IMMOBILIÈRE ET EXPLOITATION À CONTRATS,DIV,Service
180304020000,SEC GESTION IMMOBILIÈRE ET EXPLOITATION BÂTIMENTS À CONTRAT,SEC,Service
180304030000,SECTION ÉNERGIE,SEC,Service
180304040000,SEC.PRO.ENT.IMMOTI,SEC,Service
180305000000,DIVISION GESTION IMMOBILIÈRE EPLV ET SPÉCIALITÉ VILLE,DIV,Service
180305020000,SECTION GESTION DE L ÉNERGIE ET IMMOTIQUE,SEC,Service
180400020000,SEC CENTRE D APPEL,SEC,Service
180405000000,DIVISION SÉCURITÉ,DIV,Service
180500000000,DIRECTION DE LA GESTION DE PROJETS IMMOBILIERS,DIR,Service
180502000000,DIVISION DES PROJETS SERVICES ET SPORTS,DIV,Service
180503000000,DIVISION PROJETS SÉCURITÉ PUBLIQUE ET ESPACE POUR LA VIE,DIV,Service
180504000000,DIVISION PROJETS INDUSTRIELS,DIV,Service
180505000000,DIVISION DES PROGRAMMES,DIV,Service
180505020000,SECTION PROJETS SPÉCIAUX,SEC,Service
180506000000,DIVISION PROJETS CORPORATIFS,DIV,Service
180600000000,DIRECTION GESTION DES ACTIFS IMMOBILIERS,DIR,Service
180602000000,DIVISION - GESTION DU PORTEFEUILLE IMMOBILIER,DIV,Service
180603000000,DIVISION EXPERTISE CONSEIL,DIV,Service
180603010000,SECTION AUDITS DES IMMEUBLES MUNICIPAUX,SEC,Service
180604000000,DIVISION DES SERVICES ADMINISTRATIFS,DIV,Service
180604020000,SECTION CENTRE D APPELS,SEC,Service
180605000000,DIVISION DE LA PLANIFICATION ET DE LA GESTION DES ESPACES,DIV,Service
180607000000,DIVISION GESTION DES ESPACES ET AMÉNAGEMENTS,DIV,Service
180700000000,DIRECTION DE LA SÉCURITÉ,DIR,Service
180702000000,DIVISION - OPÉRATIONS SÉCURITÉ,DIV,Service
180702020000,SECTION - CENTRE DE SERVICES,SEC,Service
180703000000,DIVISION - SYSTÈMES DE SÉCURITÉ,DIV,Service
190000000000,SERVICE DE LA DIVERSITÉ ET DE L INCLUSION SOCIALE,SER,Service
190000000001,DIRECTION SERVICE DE LA DIVERSITÉ ET DE L INCLUSION SOCIALE,BUR,Service
190002000000,DIVISION INTELLIGENCE D AFFAIRES ET OPTIMISATION,DIV,Service
190003000000,DIVISION ÉQUITÉ ET LUTTE CONTRE LES DISCRIMINATIONS,DIV,Service
190003020000,SECTION ENFANCE,SEC,Service
190004000000,BUREAU D INTÉGRATION DES NOUVEAUX ARRIVANTS À MONTRÉAL BINAM,DIV,Service
190004020000,SECTION DÉVELOPPEMENT LOCAL,SEC,Service
190005000000,"PRÉVENTION, MÉDIATION ET INTERVENTION SOCIALE",DIV,Service
190008000000,DIV RÉDUCTION DES INÉGALITÉS ET MILIEUX DE VIE INCLUSIFS,DIV,Service
190200000000,DIRECTION TERRITOIRES ET INTERVENTIONS DE PROXIMITÉ,DIR,Service
190200040000,SECTION STATION NOUVEAU DÉPART,SEC,Service
190202000000,"DIVISION PRÉVENTION, MÉDICATION EN INTERVENTION SOCIALE",DIV,Service
190203000000,DIVISION SOUTIEN AUX PARTENARIATS TERRITORIAUX,DIV,Service
190300000000,"DIRECTION DÉVELOPPEMENT, PROGRAMMES ET ACTIVITÉS",DIR,Service
190302000000,DIVISION PLANIFICATION ET COORDINATION DES PROGRAMMES,DIV,Service
190303000000,DIVISION STRATÉGIE ET MOBILISATION DES CONNAISSANCES,DIV,Service
200000000000,BUREAU DU TAXI DE MONTRÉAL - PARAMUNICIPAL,INS,Service
200000000001,BUREAU TAXI - DIR. ADMINISTRATION,BUR,Service
200000000002,INSPECTION ET ENQUÊTES BUREAU DU TAXI DE MONTRÉAL,BUR,Service
200100000000,DIRECTION SERVICE À L INFORMATION ET SOUTIEN ADMINISTRATIF,DIR,Service
200504000000,BTM - INSPECTION ET REMORQUAGE SPVM,DIV,Service
210000000000,"SERVICE DES GRANDS PARCS, DU MONT-ROYAL ET DES SPORTS",SER,Service
210002000000,DIVISION STRATÉGIE ET DÉVELOPPEMENT DU RÉSEAU,DIV,Service
210003000000,DIVISION GESTION DES PROJETS ET SERVICES ADMINISTRATIFS,DIV,Service
210003020000,SECTION - CONSEIL À LA GESTION ET SUIVI DE PROJETS,SEC,Service
210200000000,DIRECTION GESTION DE GRANDS PARCS ET MILIEUX NATURELS,DIR,Service
210202000000,DÉVELOPPEMENT ET PROGRAMMATION,DIV,Service
210204000000,FORÊT URBAINE,DIV,Service
210204020000,SECTION PÉPINIÈRE ET RENFORCEMENT DE LA CANOPÉE,SEC,Service
210205000000,GESTION DES PARCS-NATURE,DIV,Service
210205030000,BIODIVERSITÉ,SEC,Service
210205040000,SECTION DES PARCS NATURE,DIV,Service
210205060000,BERGES,SEC,Service
210206000000,DIVISION CONCERTATION ET BUREAU DU MONT-ROYAL,DIV,Service
210300000000,DIRECTION AMÉNAGEMENT DES PARCS ET ESPACES PUBLICS,DIR,Service
210302000000,AMÉNAGEMENT DES PARCS-NATURE ET ESPACES RIVERAINS,DIV,Service
210303000000,DIVISION AMÉNAGEMENT DES PARCS URBAINS,DIV,Service
210304000000,DIVISION AMÉNAGEMENT DES ESPACES PUBLICS ET RÉALISATION,DIV,Service
210305000000,CONCERTATION ET BUREAU DU MONT-ROYAL,DIV,Service
210305020000,AMÉNAGEMENT DES PARCS MÉTROPOLITAINS ET AUTRES PARCS,SEC,Service
210306000000,DIVISION AMÉNAGEMENT DES PARCS MÉTROPOLITAINS ET AUTRES PARC,DIV,Service
210307000000,AMÉNAGEMENT DES NOUVEAUX PARCS ET CORRIDORS VERTS,DIV,Service
210400000000,DIRECTION DES SPORTS,DIR,Service
210404000000,GESTION DES INSTALLATIONS,DIV,Service
210404020000,"IMMEUBLES, ENTRETIEN ET RÉPARATIONS",SEC,Service
210404030000,ARENA MICHEL-NORMANDIN,SEC,Service
210404040000,CENTRE CSCR,SEC,Service
210405000000,SPORTS ET ACTIVITES PHYSIQUES (PAVILLON PRINCE),DIV,Service
210405020000,ÉVÉNEMENTS ET PRATIQUE SPORTIVE,SEC,Service
220000000000,SERVICE DE LA STRATÉGIE IMMOBILIÈRE,SER,Service
220004000000,DIVISION DES SOLUTIONS IMMOBILIÈRES,DIV,Service
220200000000,DIRECTION DES TRANSACTIONS,DIR,Service
220202000000,DIVISION DES TRANSACTIONS IMMOBILIÈRES,DIV,Service
220202020000,SECTION DES SERVICES CENTRAUX,SEC,Service
220202030000,SECTION DES ARRONDISSEMENTS ET CLIENTS EXTERNES,SEC,Service
220203000000,DIVISION DES LOCATIONS,DIV,Service
220205000000,DIVISION DES ANALYSES IMMOBILIÈRES,DIV,Service
220205020000,SECTION DES ÉVALUATIONS,DIV,Service
220205030000,SECTION DES ANALYSES,DIV,Service
230000000000,SERVICE DE L ENVIRONNEMENT,SER,Service
230000020000,SECTION CONTRÔLE ET SOUTIEN À LA DIRECTION,SEC,Service
230005000000,DIVISION DE L INSPECTION DES ALIMENTS,DIV,Service
230006000000,DIVISION DU CONTRÔLE DES REJETS ET SUIVI ENVIRONNEMENTAL,DIV,Service
230006020000,SECTION INTERVENTION,SEC,Service
230006030000,SECTION PRÉLÈVEMENT,SEC,Service
230006040000,SECTION DU RÉSEAU DE SURVEILLANCE DE LA QUALITÉ DE L AIR,SEC,Service
230009000000,DIVISON DE L EXPERTISE TECHNIQUE,DIV,Service
230009020000,SECTION LABORATOIRE DES BAILLETS,SEC,Service
230009030000,SECTION LABORATOIRE CRÉMAZIE ANALYSE AIR ET EAU,SEC,Service
230009040000,SECTION LABORATOIRE CRÉMAZIE ANALYSE ALIMENTS ET PISCINE,INS,Service
230010000000,DIV.SOUTIEN TECHNIQUE INFRASTRUCTURES-GEST.MAT.RÉSIDUELLES,DIV,Service
230010020000,SECTION COMPLEXE ENVIRONNEMENTAL ST-MICHEL,SEC,Service
230011000000,DIV.PLANIFICATION OPÉRATIONS - GESTION DES MAT.RÉSIDUELLES,DIV,Service
230200000000,DIRECTION DE LA GESTION DES MATIÈRES RÉSIDUELLES,DIR,Service
230202000000,DIVISION SOUTIEN TECHNIQUE INFRASTRUCTURES CESM,DIV,Service
230202020000,SECTION COMPLEXE ENVIRONNEMENTAL ST-MICHEL,SEC,Service
230202030000,SECTION - SOUTIEN TECHNIQUE POUR LES SOLS CONTAMINÉS,SEC,Service
230202040000,CONCEPTION ET RÉALISATION DE PROJETS D INGÉNIERIE,SEC,Service
230203000000,"DIV. COLLECTE, TRANSPORT ET TRAITEMENT MATIÈRES RÉSIDUELLES",DIV,Service
230203020000,SECTION OPÉRATIONS,SEC,Service
230203030000,SECTION PLANIFICATION ET DÉVELOPPEMENT GMR,SEC,Service
240000000000,SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS,SER,Service
240000020000,SECTION SOUTIEN ET EXPERTISE,SEC,Service
240002020000,SECTION UNITÉ D INTERVENTION RAPIDE,SEC,Service
240003000000,DIVISION DU 311 ET DES INTERVENTIONS RAPIDES ET PRIORITAIRES,DIV,Service
240003020000,SECTION UNITÉ D INTERVENTIONS RAPIDES ET PRIORITAIRES,SEC,Service
240005000000,DIVISION PLANIFICATION ET COORDINATION CONTRACTUELLE,DIV,Service
240006000000,DIVISION SOUTIEN TECHNIQUE ET OPÉRATIONNEL,DIV,Service
240200000000,DIRECTION DES TRAVAUX PUBLICS (SCA),DIR,Service
240203000000,DIVISION DU SOUTIEN TECHNIQUE ET OPÉRATIONNEL,DIV,Service
240300000000,"DIRECTION PROJETS, PROGRAMMES ET SYSTÈMES",DIR,Service
240302000000,"DIV DU DÉVELOPPEMENT, EXPLOITATION ET PILOTAGE DE SYSTÈME",DIV,Service
240303000000,DIVISION PROGRAMMES ET SERVICES ADMINISTRATIFS,DIV,Service
240303030000,SECTION ESCOUADE MOBILITÉ,SEC,Service
240304000000,DIVISION FORMATION,DIV,Service
240304020000,SECTION FORMATION DU MRA,SEC,Service
240400000000,DIR STRATÉGIE DES OPÉRATIONS D ENTRETIEN DE LA VOIE PUBLIQUE,DIR,Service
240402000000,DIVISION SOUTIEN TECHNIQUE ET OPÉRATIONNEL,DIV,Service
240403000000,"GESTION CONTRACTUELLE, OPÉRATIONNELLE DES TRAV. MUNICIPAUX",DIV,Service
240404000000,DIVISION FORMATION,DIV,Service
240405000000,DIVISION MOBILITÉ,DIV,Service
240500000000,DIRECTION DE L EXPÉRIENCE CITOYENNE ET DU CSE 311,DIR,Service
240502000000,DIVISION 311 ET INTERVENTIONS RAPIDES ET PRIORITAIRES,DIV,Service
240503000000,BUREAU DE PROJETS 311 ET SOUTIEN AU OPÉRATIONS,DIV,Service
240504000000,EXPÉRIENCE CITOYENNE,DIV,Service
240505000000,DIVISION STRATÉGIES NUMERIQUES ET DEV. DE PRODUITS,DIV,Service
250000000000,SERVICE DE LA CULTURE,SER,Service
250000000003,CULTURE,BUR,Service
250002000000,DIVISION DU DÉVELOPPEMENT CULTUREL,DIV,Service
250002020000,SECTION CENTRE D HISTOIRE DE MONTRÉAL,SEC,Service
250002030000,SECTION ÉQUIPEMENTS CULTURELS ET BUREAU D ART PUBLIC,SEC,Service
250200000000,DIRECTION DU DÉVELOPPEMENT CULTUREL,DIR,Service
250201020000,SECTION MÉMOIRE DES MONTRÉALAIS.ES (MEM),DIV,Service
250202000000,DIV SOUTIEN DÉVELOPPEMENT CULTUREL,DIV,Service
250203000000,ÉQUIPEMENT CULTUREL BUREAU ART PUBLIQUE,DIV,Service
250204000000,DIV MÉMOIRE DES MONTRÉALAIS.ES(MEM),DIV,Service
250204020000,SECTION MEM,SEC,Service
250205000000,DIVISION DES MAISONS DE LA CULTURE,DIV,Service
250500000000,DIRECTION DES BIBLIOTHÈQUES,DIR,Service
250502000000,DIV.PLANIFICATION ET DÉV. DU RÉSEAU DES BIBLIOTHÈQUES,DIV,Service
250502020000,SECTION GESTION DES SYSTÈMES D INFORMATION - BIBLIOTHÈQUES,SEC,Service
250503000000,DIVISION DEVELOPPEMENT ET STRATÉGIE,DIV,Service
250504000000,DIVISION CENTRE DE SERVICES PARTAGÉS - BIBLIOTHÈQUES,DIV,Service
250504020000,SECTION CATALOGAGE ET ANALYSE DOCUMENTAIRE,SEC,Service
250504030000,SYSTÈMES ET SERVICES AUX ARRONDISSEMENTS,SEC,Service
250505000000,DIVISION RAC,DIR,Service
250600000000,DIRECTION DU CINÉMA-FESTIVALS-ÉVÉNEMENTS,DIR,Service
250603000000,DIVISION DES FESTIVALS ET ÉVÉNEMENTS,DIV,Service
260000000000,OMBUDSMAN DE MONTREAL,SER,Service
260001000000,DIRECTION DE L OMBUDSMAN,DIR,Service
280000000002,DIRECTION - INFRASTRUCTURES DU RÉSEAU ROUTIER,BUR,Service
280005030000,SECTION ARPENTAGE ET REPRÉSENTATION DU TERRITOIRE,SEC,Service
280006000000,DIVISION DE LA GESTION DES ACTIFS DE VOIRIE,DIV,Service
280007000000,DIVISION DES PONTS ET TUNNELS,DIV,Service
280008000000,DIVISION EXPERTISE ET SOUTIEN TECHNIQUE,DIV,Service
280008020000,SECTION CONTRÔLE DES MATÉRIAUX ET EXPERTISE,SEC,Service
280010000000,DIVISION DE LA RÉALISATION DES TRAVAUX,DIV,Service
280010020000,SECTION DE LA GESTION DES TRAVAUX,SEC,Service
280011000000,DIVISION DE LA CONCEPTION DES TRAVAUX,DIV,Service
280011020000,SECTION AQUEDUC ET ÉGOUTS,SEC,Service
280011030000,SECTION VOIRIE,SEC,Service
280012000000,DIVISION SÉCURITÉ ET AMÉNAGEMENT DU RÉSEAU ARTÉRIEL,DIV,Service
280013000000,DIVISON DES TRANSPORTS ACTIFS ET COLLECTIFS,DIV,Service
280015000000,DIVISION DE L EXPLOITATION DU RÉSEAU ARTÉRIEL,DIV,Service
280016000000,BUREAU D INTÉGRATION ET DE COORDINATION,DIV,Service
280016020000,PLANIFICATION INTÉGRÉE,SEC,Service
280016030000,CONSENTEMENT MUNICIPAL,SEC,Service
280017000000,DIVISION DES GRANDS PROJETS 2,DIV,Service
280017020000,PROJET SAINTE-CATHERINE OUEST,SEC,Service
280018000000,DIVISION DES GRANDS PROJETS 3,DIV,Service
280019000000,DIVISION DES GRANDS PROJETS 1,DIV,Service
280019020000,PROJET TURCOT,SEC,Service
280019030000,RÉSEAU ÉLECTRIQUE MÉTROPOLITAIN,SEC,Service
280020000000,DIVISION DES GRANDS PROJETS 4,DIV,Service
280020020000,PORTEFEUILLE 4A,SEC,Service
280300000000,RÉALISATION DES PROJETS D INFRASTRUCTURES URBAINES,DIR,Service
280300020000,SECTION INFO-TRAVAUX,SEC,Service
280303000000,DIVISION GESTION DE PROJETS ET L ÉCONOMIE DE LA CONSTRUCTION,DIV,Service
280303020000,SOLLICITATION DES MARCHÉS ET SOUTIEN OPÉRATIONNEL,SEC,Service
280303030000,SECTION ESTIMATION ET GESTION DE PORTEFEUILLES,SEC,Service
280308000000,DIVISION EXPERTISE ET SOUTIEN TECHNIQUE,DIV,Service
280308020000,SECTION CONTRÔLE DES MATÉRIAUX ET EXPERTISE,SEC,Service
280308030000,"SECTION GÉOTECHNIQUE, ENVIRONNEMENT ET CHAUSSÉE",SEC,Service
280310000000,DIVISION DE LA RÉALISATION DES TRAVAUX,DIV,Service
280310020000,SECTION DE LA GESTION DES TRAVAUX,SEC,Service
280310030000,SECTION GESTION DES IMPACTS SUR LA CIRCULATION,SEC,Service
280310040000,SECTION GESTION DES TRAVAUX-PROJETS DE RÉFECTION,SEC,Service
280311000000,DIVISION DE LA CONCEPTION DES TRAVAUX,DIV,Service
280311020000,SECTION AQUEDUC ET ÉGOUTS,SEC,Service
280311030000,SECTION VOIRIE,SEC,Service
280311040000,SECTION PONTS ET TUNNELS,SEC,Service
280314000000,DIVISION DES GRANDS PROJETS,DIV,Service
280314020000,SECTION DES GRANDS PROJETS1,SEC,Service
280314030000,SECTION DES GRANDS PROJETS 2,SEC,Service
280314040000,SECTION DES GRANDS PROJETS PARTENAIRES,SEC,Service
280900000000,GESTION DES INFRASTRUCTURES URBAINES ET DES ENTRAVES,DIR,Service
280900020000,SECTION SUPPORT AUX GRANDS PROJETS,SEC,Service
280904000000,DIVISION GRANDS PROJETS PORTEFEUILLE 2,DIV,Service
280904030000,SECTION - SRB PIE-IX,SEC,Service
280905000000,DIVISION DE LA GÉOMATIQUE,DIV,Service
280905020000,SECTION - LE FONCIER,SEC,Service
280905030000,SECTION - LA BASE GÉOSPATIALE,SEC,Service
280905040000,SECTION - LE PROFIL CIVIL,SEC,Service
280906000000,DIVISION DE LA GESTION STRATÉGIQUE DES ACTIFS,DIV,Service
280906020000,SECTION PONTS ET TUNNELS,SEC,Service
280906030000,SECTION VOIRIE ET ÉCLAIRAGE,SEC,Service
280907000000,DIV DE LA PLANIFICATION DES TRAVAUX ET GESTION DES ENTRAVES,DIV,Service
280907020000,SECTION DE LA PLANIFICATION INTÉGRÉE,SEC,Service
280907030000,SECTION CONSENTEMENT ET AFFAIRES RTU,SEC,Service
280907040000,SEC DE LA GESTION DES IMPACTS ET MAINTIEN DE LA CIRCULATION,SEC,Service
290000000000,SERVICE DE L ESPACE POUR LA VIE,SER,Service
290200000000,DIRECTION DE L EXPLOITATIONET EXPÉRIENCE CLIENT,DIR,Service
290202000000,DIVISION DES SERVICES TECHNIQUES,DIV,Service
290203000000,DIVISION DÉVELOPPEMENT COMMERCIAL,DIV,Service
290203020000,SECTION RESTAURATION,SEC,Service
290204000000,DIVISION DE L APPROCHE CLIENT,DIV,Service
290206000000,DIVISION COMMUNICATIONS - MARKETING,DIV,Service
290300000000,BUREAU MARKETING ET COMMUNICATIONS,BUR,Service
290305000000,DIVISION IDENTITÉ ET MISE EN VALEUR,DIV,Service
290306000000,DIVISION - MARKETING ET COMMUNICATIONS,DIV,Service
290500000000,DIRECTION DU JARDIN BOTANIQUE,DIR,Service
290502000000,DIVISION DE LA PRODUCTION HORTICULTURE ET COLLECTIONS,DIV,Service
290503000000,DIVISION DE LA RECHERCHE ET DU DÉVELOPPEMENT SCIENTIFIQUE,DIV,Service
290504000000,DIVISION PROGRAMMES PUBLICS ET EDUCATIFS,DIV,Service
290504020000,SECTION - ANIMATION ET MOUVEMENT CITOYEN,SEC,Service
290505000000,DIVISION DU SERVICE À LA CLIENTÈLE ET DE LA SÉCURITÉ,DIV,Service
290600000000,DIRECTION DU BIODÔME,DIR,Service
290602000000,"DIV.COLLECTION VIVANTE,DE LA RECHERCHE DU DÉV.SCIENTIFIQUE",DIV,Service
290603000000,DIVISION PROGRAMMES PUBLICS ET EDUCATIFS,DIV,Service
290700000000,DIRECTION DE L INSECTARIUM,DIR,Service
290702000000,DIVISION PROGRAMMES PUBLICS ET EDUCATIFS,DIV,Service
290703000000,DIV. COLLECTION ENTOMOLOGIQUE ET RECHERCHE,DIV,Service
290800000000,DIRECTION DU PLANÉTARIUM,DIR,Service
290800000200,SERVICE À LA CLIENTÈLE,INS,Service
290800020000,SECTION ANIMATION ET PROGRAMMATION,SEC,Service
290802000000,DIVISION PROGRAMMES PUBLICS ET EDUCATIFS,DIV,Service
290900000000,BIOSPHERE,DIR,Service
290902000000,DIVISION PROGRAMMES PUBLICS ET EDUCATIFS,DIV,Service
310000000000,LA RONDE (SIX-FLAG),INS,Service
330000000000,SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS,SER,Service
330000020000,SECTION SERVICES ADMINISTRATIFS - SMRA,SEC,Service
330002000000,DIVISION PLANIFICATION ET SOUTIEN AUX OPÉRATIONS,DIV,Service
330002030000,DIVISION INGÉNIERIE ET STRAT D INVESTISSEMENT,SEC,Service
330002030200,SECTION INGÉNIERIE ET STRATÉGIES D INVESTISSEMENT,BUR,Service
330002030300,"SECTION - MISE EN SERV. VÉHICULES, ENTRETIEN P. DE CARBURANT",BUR,Service
330003000000,DIVISION ATELIERS MÉCANIQUES OUEST,DIV,Service
330003020000,CENTRE D EXPERTISE MADISON,SEC,Service
330003030000,ATELIER DU SUD-OUEST,SEC,Service
330003040000,CENTRE D EXPERTISE DES CARRIÈRES,SEC,Service
330003050000,ATELIER VILLE-MARIE,SEC,Service
330003060000,ATELIER CDN/NDG DARLINGTON,SEC,Service
330003070000,ATELIER ST-MICHEL,SEC,Service
330003080000,ATELIER ROSEMONT,SEC,Service
330003090000,ATELIER POINCARRÉ,SEC,Service
330004000000,DIVISION SERVICES SUR ROUTE ET FORMATION,DIV,Service
330004020000,SERVICES ROUTIERS,SEC,Service
330004030000,CENTRE DE FORMATION,SEC,Service
330004040000,ENTRETIEN MÉNAGER,SEC,Service
330004050000,"GESTION DU CARBURANT ET INSPECTION, VÉHICULES NEUFS",SEC,Service
330004060000,TRANSPORT,SEC,Service
330005000000,DIVISION ATELIERS MÉCANIQUES EST,DIV,Service
330005020000,ATELIER DE PROXIMITÉ MHM,SEC,Service
330005030000,CENTRE EXPERTISE DICKSON,SEC,Service
330005040000,CENTRE EXPERTISE NACELLE,SEC,Service
330005050000,ATELIER DE PROXIMITÉ BERCY,SEC,Service
330005060000,ATELIER DE PROXIMITÉ PAT,SEC,Service
330006000000,DIVISION ATELIERS VIAU,DIV,Service
330006020000,SECTION ATELIER VIAU,SEC,Service
330007000000,DIVISION EXPERTISE - SERVICES SPÉCIALISÉS,DIV,Service
330007020000,PEINTURE / DÉBOSSELAGE,SEC,Service
330007030000,SÉRIGRAPHIE,SEC,Service
330007040000,MENUISERIE,SEC,Service
330007050000,TRAITEMENT DU MÉTAL,SEC,Service
330007060000,ÉLECTRONIQUE,SEC,Service
330008000000,DIVISION SERVICES ET PRODUITS SPÉCIALISÉS,DIV,Service
330008020000,SECTION USINE TRAITEMENT MÉTAL,SEC,Service
330008030000,SECTION ÉLECTRONIQUE,SEC,Service
330008040000,SECTION FORMATION,SEC,Service
330008050000,SECTION TRANSPORT ET ENTRETIEN POSTES,SEC,Service
330008060000,SECTION MENUISERIE,SEC,Service
330008070000,SECTION PEINTURE ET DÉBOSSELAGE,SEC,Service
330009000000,DIV.PARC VÉHIC. ET PLAN OP.,DIV,Service
330009020000,SECTION PLANIFICATION OPÉRATIONNELLE,SEC,Service
330009030000,SEC FORMATION,SEC,Service
330200000000,DIRECTION ATELIERS ET SERVICES SPÉCIALISÉS,DIR,Service
330202000000,DIVISION ATELIERS SPÉCIALISÉS,DIV,Service
330202020000,ATELIER PEINTURE ET DÉBOSSELAGE,SEC,Service
330202030000,ATELIER SÉRIGRAPHIE,SEC,Service
330202040000,ATELIER MENUISERIE,SEC,Service
330202050000,SECTION UTM,SEC,Service
330202060000,SECTION ÉLECTRONIQUE,SEC,Service
330203020000,SECTION FORMATION,SEC,Service
330204000000,DIVISION SÉCURITÉ PUBLIQUE,DIV,Service
330204020000,ATELIER VIAU/SIM,SEC,Service
330204030000,ATELIER IBERVILLE/SPVM,SEC,Service
330204040000,ATELIER MADISON/SIM,SEC,Service
330300000000,DIRECTION ATELIERS MÉCANIQUES ET DE PROXIMITÉ,DIR,Service
330302000000,DIVISION ATELIERS MÉCANIQUES OUEST,DIV,Service
330302020000,ATELIER ILE BIZARD,SEC,Service
330302030000,ATELIER PIERREFONDS,SEC,Service
330302040000,ATELIER ST-LAURENT,SEC,Service
330302050000,ATELIER AHUNTSIC,SEC,Service
330302060000,ATELIER ST-MICHEL,SEC,Service
330302070000,SECTION CESM,SEC,Service
330303000000,DIVISION ATELIERS MÉCANIQUES SUD,DIV,Service
330303020000,ATELIER NDG/CDN,SEC,Service
330303030000,ATELIER SUD-OUEST,SEC,Service
330303040000,ATELIER VERDUN,SEC,Service
330303050000,ATELIER LASALLE,SEC,Service
330303060000,ATELIER LACHINE,SEC,Service
330304000000,DIVISION ATELIERS MÉCANIQUES CENTRE,DIV,Service
330304020000,ATELIER OUTREMONT,SEC,Service
330304030000,ATELIER VILLE-MARIE,SEC,Service
330304040000,ATELIER PLATEAU MONT-ROYAL,SEC,Service
330304050000,ATELIER ROSEMONT,SEC,Service
330304060000,ATELIER DES CARRIÈRES,SEC,Service
330304070000,VILLERAY - ST-MICHEL,SEC,Service
330305000000,DIVISION ATELIERS MÉCANIQUES EST,DIV,Service
330305020000,ATELIER ST-LÉONARD,SEC,Service
330305030000,ATELIER ANJOU,SEC,Service
330305040000,ATELIER MONTRÉAL-NORD,SEC,Service
330305050000,ATELIER RDP/PAT ET PÉPINIÈRE L ASSOMPTION,SEC,Service
330305060000,ATELIER SERVICE DE L EAU,SEC,Service
330305070000,ATELIER MHM,SEC,Service
330305080000,ATELIER DICKSON,SEC,Service
330305090000,ATELIER TRANSPORTS,SEC,Service
330306000000,DIVISION SÉCURITÉ PUBLIQUE,DIV,Service
330306020000,SECTION VIAU/SIM,SEC,Service
330306030000,SECTION IBERVILLE/SPVM,SEC,Service
330306040000,SECTION MADISON/SIM,SEC,Service
340000000000,SERVICE DE L URBANISME ET DE LA MOBILITÉ,SER,Service
340007000000,DIVISION GESTION DE PORTEFEUILLE ET D ADMINISTRATION,DIV,Service
340200000000,DIRECTION DES GRANDS PROJETS DE TRANSPORT EN PARTENARIAT,DIR,Service
340202000000,DIVISION DES GRANDS PROJETS PARTENAIRES EN EXÉCUTION 1,DIV,Service
340202020000,SECTION GRANDS PROJETS PARTENAIRES - PORTEFEUILLE 1,SEC,Service
340202030000,SECTION GRANDS PROJETS PARTENAIRES - PORTEFEUILLE 2,SEC,Service
340203000000,DIVISION DÉVELOPPEMENT DES GRANDS PROJETS PARTENAIRES,DIV,Service
340204000000,DIVISION DES GRANDS PROJETS PARTENAIRES EN EXÉCUTION 2,DIV,Service
340204020000,SECTION GRANDS PROJETS PARTENAIRES PORTEFEUILLE 3,SEC,Service
340204030000,SECTION GRANDS PROJETS PARTENAIRES PORTEFEUILLE 4,SEC,Service
340500000000,DIR PLANIFICATION ET DE LA MISE EN VALEUR DU TERRITOIRE,DIR,Service
340501000000,GRANDS PROJETS - M.T.Q.,DIV,Service
340502000000,DIVISION PLANIFICATION DES SECTEURS STRATÉGIQUES,DIV,Service
340503000000,DIVISION STRATÉGIES DE MOBILITÉ DURABLE,DIV,Service
340504000000,DIV PLANIFICATION DES RÉSEAUX ET PROGRAMMATION DES AMÉNAG.,DIV,Service
340504020000,SECTION PLANIFICATION ET PROGRAMMATION,SEC,Service
340505000000,"DIVISION DESIGN,PROGRAMMES ET EXPERTISES",DIV,Service
340506000000,PROMOTION ET SOUTIEN À L INVESTISSEMENT,DIV,Service
340515000000,PLANIFICATION URBAINE,DIV,Service
340516000000,PROJETS URBAINS,DIV,Service
