no_civiq,Rue,Rue_De,Rue_A,Nom_parc,Sigle,Nom_arrond,Invent,Coord_X,Coord_Y,Injections,Longitude,Latitude
9455,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPE,Ahuntsic-Cartierville,R,293129.219,5045773,2017,-73.64947479,45.55177203
9455,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPE,Ahuntsic-Cartierville,R,293120.313,5045776.5,2017,-73.64958894,45.55180337
9305,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPE,Ahuntsic-Cartierville,R,293298.438,5045703,2017,-73.64730586,45.55114496
9405,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPE,Ahuntsic-Cartierville,R,293183.594,5045750.5,2017,-73.64877784,45.55157047
9435,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPESU,Ahuntsic-Cartierville,R,293152.625,5045763.5,2017,-73.64917479,45.55168693
9365,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPE,Ahuntsic-Cartierville,R,293229.219,5045731.5,2017,-73.64819305,45.55140027
9315,"Millen, avenue","Chabanel Est, rue","Louvain Est, rue de",,FRPE,Ahuntsic-Cartierville,R,293288.156,5045707,2017,-73.64743764,45.55118078
9070,"Millen, avenue","Émile-Journault, avenue","Legendre Est, rue",,FRAMAP,Ahuntsic-Cartierville,R,293596.25,5045562.5,2017,-73.64348844,45.54988555
9023,"Millen, avenue","Émile-Journault, avenue","Legendre Est, rue",,FRPE,Ahuntsic-Cartierville,R,293657.656,5045554.5,2017,-73.64270182,45.54981455
9067,"Millen, avenue","Émile-Journault, avenue","Legendre Est, rue",,FRPE,Ahuntsic-Cartierville,R,293590.75,5045582.5,2017,-73.64355933,45.55006543
10370,"Merritt, avenue","Fleury Est, rue","Prieur Est, rue",,FRPE,Ahuntsic-Cartierville,R,292969.103,5048015.106,2017,-73.65157973,45.57194448
10415,"Merritt, avenue","Fleury Est, rue","Prieur Est, rue",,FRPEMS,Ahuntsic-Cartierville,R,292950.183,5048045.5,2017,-73.65182287,45.57221765
10177,"Merritt, avenue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,293177.807,5047910.5,2017,-73.64890329,45.57100672
9930,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293380,5047771,2017,-73.64630955,45.56975481
9880,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293405.677,5047755.5,2017,-73.64598022,45.56961575
9903,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293411.227,5047771.5,2017,-73.64590949,45.56975982
0,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293458.726,5047724.5,2017,-73.64529986,45.56933767
10015,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293328.457,5047821.5,2017,-73.64697109,45.57020837
10051,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293289.343,5047843,2017,-73.64747271,45.57040119
9951,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293375.901,5047792.5,2017,-73.64636257,45.5699482
9843,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293445.168,5047751.5,2017,-73.64547419,45.56958041
9720,"Merritt, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,293552.247,5047667,2017,-73.64410039,45.56882179
0,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293470.6418,5047735.4072,2017,-73.64514745,45.56943601
0,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293460.3579,5047741.6333,2017,-73.64527935,45.56949187
9825,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293453.3746,5047745.6998,2017,-73.64536891,45.56952835
9951,"Merritt, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293366.6515,5047797.3614,2017,-73.64648118,45.5699918
9703,"Merritt, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRAM,Ahuntsic-Cartierville,R,293566.214,5047680,2017,-73.64392175,45.56893899
9645,"Merritt, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,293613.264,5047651.5,2017,-73.64331832,45.5686833
10775,"De Martigny, rue","André-Ouimet, rue","Gouin Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,292562.832,5048478.1531,2017,-73.65679652,45.57610408
10760,"De Martigny, rue","André-Ouimet, rue","Gouin Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,292550.531,5048464.5,2017,-73.6569538,45.57598101
10765,"De Martigny, rue","André-Ouimet, rue","Gouin Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,292575,5048470.5,2017,-73.65664042,45.57603543
9835,"De Martigny, rue","Sauvé Est, rue","Sauriol Est, rue",,FRAMAP,Ahuntsic-Cartierville,R,293540.938,5047900.5,2017,-73.64425065,45.57092271
