NoBI,XNAD83MTM6,YNAD83MTM6,DESIGNA,CODELIEN,VOIE,MARQUEB,NBSORTIE1,NBSORTIE2,NBFILETPC,DIAMCOND,DEBITAQ,CLASSENFBA,MUNICIPALITE,GEOM
0415,226178.67300000042,5367351.779999999,BOULEVARD,,SAINT-GERMAIN,Daigle D-67M (Concorde),2,1,7,6,0,Classe AA,10043,Point
0419,226174.6799999997,5367209.145,RUE,,TURCOTTE,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0666,226069.47499999963,5367212.059,RUE,,GERARD-MAJELLA,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0665,226135.49199999962,5367143.119999999,RUE,,GERARD-MAJELLA,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0580,226089.12700000033,5367110.198999999,RUE,DES,MELEZES,Daigle D-67,2,0,7,0,0,Classe AA,10043,Point
0579,225999.61000000034,5367169.592,RUE,DES,MELEZES,Daigle D-67,2,0,7,0,0,Classe AA,10043,Point
0422,225985.52099999972,5367112.982000001,RUE,DU,COTEAU,Daigle D-63,2,0,7,6,0,Classe AA,10043,Point
0789,226914.38999999966,5367011.308,RUE,,DE BEAUHARNOIS,Mc Avity,2,0,7,6,0,Classe AA,10043,Point
0664,226201.2379999999,5367069.348999999,RUE,,GUY,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0702,226211.90899999999,5366993.915999999,RUE,DES,MELEZES,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0770,226809.87399999984,5366981.948999999,RUE,,DE BEAUHARNOIS,Daigle D-67M,2,0,7,0,0,Classe AA,10043,Point
0795,226660.82400000002,5367015.897,RUE,,DE DENONVILLE,Canron CT,2,0,7,0,0,Classe AA,10043,Point
0808,226610.11400000006,5367048.7129999995,RUE,,DE COURCELLE,Canron CT,2,0,7,0,0,Classe AA,10043,Point
0768,226679.76300000027,5366950.238,RUE,DU,MARQUIS-DE-VAUDREUIL,Daigle D-67M,2,0,7,0,0,Classe AA,10043,Point
0767,226535.0259999996,5366970.263,RUE,DU,MARQUIS-DE-VAUDREUIL,Daigle D-67M,2,0,7,0,0,Classe AA,10043,Point
0906,226480.983,5366855.550000001,RUE,DE,LAUSANNE,Daigle D-67M (Concorde),2,0,7,6,0,Classe C,10043,Point
0804,226570.142,5366724.614,RUE,,DE MONTMAGNY,Daigle D-67M,2,0,7,6,0,Classe AA,10043,Point
0769,226596.31099999975,5366852.704,RUE,,DE MONTMAGNY,Daigle D-67M,2,0,7,6,0,Classe AA,10043,Point
0815,226738.10400000028,5366823.468,RUE,,DE MONTMAGNY,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0821,226814.96999999974,5366727.813999999,RUE,,GILLES-HOCQUART,Drolet 500,2,0,7,6,0,Classe AA,10043,Point
0816,226714.0499999998,5366695.607999999,RUE,,DE MONTMAGNY,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0820,226673.9009999996,5366767.9,RUE,,GILLES-HOCQUART,Drolet 500,2,0,7,6,0,Classe AA,10043,Point
0418,226489.73099999968,5367064.404999999,RUE,,MAURICE SUD,Drolet 100,2,0,7,6,0,Classe C,10043,Point
0802,226438.41500000004,5366993.9120000005,RUE,DES,MELEZES,Daigle Concord Premier,2,0,7,6,0,Classe C,10043,Point
0559,226198.5769750001,5366906.251625,RUE,DU,COTEAU,Canada valve Century,2,0,7,6,0,Classe A,10043,Point
0819,226625.64300000016,5366648.932,RUE,,GILLES-HOCQUART,Drolet 500,2,0,7,6,0,Classe AA,10043,Point
0817,226648.07699999958,5366565.464,RUE,,DE MONTMAGNY,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0814,226542.2259999998,5366609.942,RUE,,DE MONTMAGNY,Daigle D-67M,2,0,7,6,0,Classe AA,10043,Point
0805,226449.11099999957,5366759.393999999,RUE,,DE MONTMAGNY,Daigle D-67M (Concorde),2,0,7,6,0,Classe AA,10043,Point
0907,226402.11799999978,5366669.834000001,RUE,DE,LAUSANNE,Daigle D-67M (Concorde),2,1,7,6,0,Classe AA,10043,Point
0557,226405.80599999987,5366712.113,RUE,DU,COTEAU,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0558,226307.21300000045,5366800.818,RUE,DU,COTEAU,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0926,226609.47900000028,5366433.8379999995,RUE,,FREDERIC-ROUSSEAU,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0925,226463.01099999994,5366469.846000001,RUE,,FREDERIC-ROUSSEAU,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0924,226357.8049999997,5366570.489,RUE,,FREDERIC-ROUSSEAU,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0393,226650.5251749996,5367668.692725001,RUE,,RADISSON,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0392,226790.39400000032,5367708.585999999,RUE,,LAVAL NORD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0835,226743.65600000042,5367188.675000001,RUE,,DE COURCELLE,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0794,226777.7209999999,5367097.59,RUE,,DE DENONVILLE,Canron CT,2,0,7,0,0,Classe AA,10043,Point
0771,226847.0580000002,5367096.4059999995,RUE,,DE BEAUHARNOIS,Daigle D-67M (Concorde),2,0,7,0,0,Classe AA,10043,Point
0400,226783.95299999975,5367321.914999999,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,2,0,7,6,0,Classe AA,10043,Point
0399,226874.02699999977,5367292.351,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0398,227008.19299999997,5367250.921,BOULEVARD,,SAINT-GERMAIN,Canada valve Century,2,1,7,6,0,Classe AA,10043,Point
0379,227062.91700000037,5367577.8379999995,RUE,,CARTIER,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0389,227024.8459999999,5367465.77,RUE,,LAVAL NORD,Daigle Concord Premier,2,0,7,6,0,Classe AA,10043,Point
