District;Bureau;Candidat1;Vote1;Candidat2;Vote2;Candidat3;Vote3;Candidat4;Vote4;Candidat5;Vote5;Rejetes
3;53;Clément BÉLANGER;7;Rémi BERGERON;5;Sylvie GONEAU;23;Maxime PEDNEAUD-JOBIN;40;Denis TASSÉ;29;2
3;54;Clément BÉLANGER;10;Rémi BERGERON;3;Sylvie GONEAU;13;Maxime PEDNEAUD-JOBIN;47;Denis TASSÉ;12;1
3;55;Clément BÉLANGER;7;Rémi BERGERON;0;Sylvie GONEAU;15;Maxime PEDNEAUD-JOBIN;66;Denis TASSÉ;45;2
3;56;Clément BÉLANGER;10;Rémi BERGERON;2;Sylvie GONEAU;20;Maxime PEDNEAUD-JOBIN;85;Denis TASSÉ;13;0
3;57;Clément BÉLANGER;9;Rémi BERGERON;6;Sylvie GONEAU;29;Maxime PEDNEAUD-JOBIN;32;Denis TASSÉ;35;1
3;58;Clément BÉLANGER;5;Rémi BERGERON;2;Sylvie GONEAU;21;Maxime PEDNEAUD-JOBIN;53;Denis TASSÉ;27;2
3;59;Clément BÉLANGER;26;Rémi BERGERON;3;Sylvie GONEAU;29;Maxime PEDNEAUD-JOBIN;70;Denis TASSÉ;33;2
3;60;Clément BÉLANGER;19;Rémi BERGERON;0;Sylvie GONEAU;18;Maxime PEDNEAUD-JOBIN;80;Denis TASSÉ;47;0
3;BVA-03-1;Clément BÉLANGER;7;Rémi BERGERON;1;Sylvie GONEAU;15;Maxime PEDNEAUD-JOBIN;69;Denis TASSÉ;35;2
3;BVA-03-2;Clément BÉLANGER;4;Rémi BERGERON;1;Sylvie GONEAU;10;Maxime PEDNEAUD-JOBIN;27;Denis TASSÉ;26;0
3;BVA-03-3;Clément BÉLANGER;10;Rémi BERGERON;3;Sylvie GONEAU;25;Maxime PEDNEAUD-JOBIN;46;Denis TASSÉ;52;0
3;BVA-03-4;Clément BÉLANGER;7;Rémi BERGERON;1;Sylvie GONEAU;24;Maxime PEDNEAUD-JOBIN;70;Denis TASSÉ;26;3
3;BVA-03-5;Clément BÉLANGER;7;Rémi BERGERON;6;Sylvie GONEAU;35;Maxime PEDNEAUD-JOBIN;103;Denis TASSÉ;39;0
3;BVA-03-6;Clément BÉLANGER;12;Rémi BERGERON;0;Sylvie GONEAU;15;Maxime PEDNEAUD-JOBIN;75;Denis TASSÉ;37;0
3;61;Clément BÉLANGER;12;Rémi BERGERON;3;Sylvie GONEAU;30;Maxime PEDNEAUD-JOBIN;55;Denis TASSÉ;35;1
3;62;Clément BÉLANGER;8;Rémi BERGERON;1;Sylvie GONEAU;30;Maxime PEDNEAUD-JOBIN;67;Denis TASSÉ;42;0
3;63;Clément BÉLANGER;11;Rémi BERGERON;2;Sylvie GONEAU;28;Maxime PEDNEAUD-JOBIN;66;Denis TASSÉ;39;1
3;64;Clément BÉLANGER;11;Rémi BERGERON;0;Sylvie GONEAU;16;Maxime PEDNEAUD-JOBIN;64;Denis TASSÉ;45;1
3;65;Clément BÉLANGER;6;Rémi BERGERON;5;Sylvie GONEAU;28;Maxime PEDNEAUD-JOBIN;62;Denis TASSÉ;37;0
3;66;Clément BÉLANGER;5;Rémi BERGERON;1;Sylvie GONEAU;12;Maxime PEDNEAUD-JOBIN;30;Denis TASSÉ;34;45
3;67;Clément BÉLANGER;9;Rémi BERGERON;3;Sylvie GONEAU;27;Maxime PEDNEAUD-JOBIN;50;Denis TASSÉ;44;2
3;68;Clément BÉLANGER;14;Rémi BERGERON;6;Sylvie GONEAU;13;Maxime PEDNEAUD-JOBIN;46;Denis TASSÉ;24;4
3;69;Clément BÉLANGER;7;Rémi BERGERON;2;Sylvie GONEAU;17;Maxime PEDNEAUD-JOBIN;44;Denis TASSÉ;25;7
3;70;Clément BÉLANGER;9;Rémi BERGERON;6;Sylvie GONEAU;16;Maxime PEDNEAUD-JOBIN;58;Denis TASSÉ;39;5
3;71;Clément BÉLANGER;16;Rémi BERGERON;3;Sylvie GONEAU;25;Maxime PEDNEAUD-JOBIN;60;Denis TASSÉ;38;3
3;72;Clément BÉLANGER;3;Rémi BERGERON;5;Sylvie GONEAU;12;Maxime PEDNEAUD-JOBIN;38;Denis TASSÉ;29;1
3;73;Clément BÉLANGER;3;Rémi BERGERON;4;Sylvie GONEAU;24;Maxime PEDNEAUD-JOBIN;44;Denis TASSÉ;23;2
3;74;Clément BÉLANGER;18;Rémi BERGERON;4;Sylvie GONEAU;12;Maxime PEDNEAUD-JOBIN;65;Denis TASSÉ;35;1
3;75;Clément BÉLANGER;11;Rémi BERGERON;1;Sylvie GONEAU;20;Maxime PEDNEAUD-JOBIN;102;Denis TASSÉ;33;4
3;76;Clément BÉLANGER;14;Rémi BERGERON;6;Sylvie GONEAU;9;Maxime PEDNEAUD-JOBIN;51;Denis TASSÉ;33;1
3;77;Clément BÉLANGER;17;Rémi BERGERON;3;Sylvie GONEAU;22;Maxime PEDNEAUD-JOBIN;77;Denis TASSÉ;42;0
3;78;Clément BÉLANGER;10;Rémi BERGERON;4;Sylvie GONEAU;28;Maxime PEDNEAUD-JOBIN;49;Denis TASSÉ;37;0
