ï»¿objectid,sport,nom,adresse,url,photo,photo_360
87,pÃ©tanque,Parc Antoine-St-Onge,"2143, boulevard Royal",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
88,pÃ©tanque,Parc des Piles,Rue Morin,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
92,volley,Parc du Beau-Rivage,Av. Beaurivage,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
96,football,Complexe sportif RenÃ©-Perron,"5285, Avenue Albert-Tessier",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
97,basket,Ãcole secondaire Val-Mauricie,"1700, rue de Val-Mauricie",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
98,basket,Ãcole secondaire des Chutes,"5285, Avenue Albert-Tessier",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
99,hockey cosom,Ãcole secondaire des Chutes,"5285, Avenue Albert-Tessier",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
100,plage,Parc des Piles,Rue Morin,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
101,jeux d'eau,Parc Boisvert,128e Rue / 110e Avenue,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
102,anneau de glace,Parc des Trois-L,Rue Viger / Av. Laval,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,https://flic.kr/p/22SdEtS
103,sentier glacÃ©,Parc de la Plage-IdÃ©ale,"5790, Avenue du Tour-du-Lac",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
104,boxe,Ãcole Saint-Jean-de-Bosco,"1590, 10e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
105,aire d'exercice canin,Parc Frank-Gauthier,"1201, 3e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
106,aire d'exercice canin,Parc multisport RÃ©al-Dufresne,"925, 129e Rue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
