ï»¿OBJECTID,MUNICIPALITE,LONGUEUR,TopResCyc,TypeRevtCyc,TypeVoieCyc,LargCyc,GEOM
3117,10043,46.20010884759259,,,1,,Ligne
3118,10043,166.36342467542238,,,1,,Ligne
3119,10043,244.61726249034902,,,1,,Ligne
3120,10043,260.42314658628544,,,1,,Ligne
3121,10043,158.6249360526916,,,1,,Ligne
3122,10043,209.70753998846925,6,,1,,Ligne
3123,10043,155.2577797456803,,,1,,Ligne
3124,10043,44.577813057125816,,,1,,Ligne
3125,10043,131.67163317386706,,,1,,Ligne
3126,10043,72.92161915405443,,,1,,Ligne
3127,10043,80.66339903409477,,,1,,Ligne
3128,10043,14.977057469088873,,,1,,Ligne
3129,10043,114.05749049302142,,,1,,Ligne
3130,10043,232.2317195131033,,,5,4,Ligne
3131,10043,342.1089526190586,,,2,3,Ligne
3132,10043,975.2571204231738,,,5,,Ligne
3133,10043,169.57538905807925,,,1,,Ligne
3134,10043,129.35475949112754,Parc BeausÃ©jour,,8,2,Ligne
3135,10043,256.8706469039031,L'Ãboulis Ouest,,7,,Ligne
3136,10043,621.4382155954913,Piste cyclable Charles-Albert,,5,3,Ligne
3137,10043,23.062895286804658,Parc BeausÃ©jour,,8,3,Ligne
3138,10043,22.503069645936247,Accezz,,8,3,Ligne
3139,10043,25.776777852762038,Parc BeausÃ©jour,,8,2,Ligne
3140,10043,111.86734692042293,Parc BeausÃ©jour,,6,2,Ligne
3141,10043,64.2336483781379,L'Ãboulis Ouest,,7,,Ligne
3142,10043,88.90849670361666,Remonte-pente,,8,,Ligne
3143,10043,143.72399229570183,AccÃ¨s principal,,8,,Ligne
3144,10043,69.93835165610423,Accezz,,8,,Ligne
3145,10043,9.038781033966915,Parc BeausÃ©jour,,8,,Ligne
3146,10043,48.68406190826447,AccÃ¨s principal,,8,,Ligne
3147,10043,101.46688080934186,Remonte-pente,,8,,Ligne
3148,10043,35.10033762933805,Remonte-pente,,8,,Ligne
3149,10043,110.03432049096166,Remonte-pente,,8,,Ligne
3150,10043,35.98878103179771,Remonte-pente,,8,,Ligne
3151,10043,119.07785791453723,Accezz,,8,,Ligne
3152,10043,236.80869835337438,L'Ãboulis Ouest,,7,,Ligne
3153,10043,85.13207045897728,L'Ãboulis Est,,7,,Ligne
3154,10043,54.79510821323544,L'Ãboulis Ouest,,7,,Ligne
3155,10043,24.175168816896498,L'Ãboulis Ouest,,7,,Ligne
3156,10043,15.549328456153162,L'Ãboulis Est,,7,,Ligne
3157,10043,40.71942732071895,L'Ãboulis Nord,,7,,Ligne
3158,10043,5.9079522560697795,Parc BeausÃ©jour,,7,,Ligne
3159,10043,101.97510651232284,Le Draveur,,7,,Ligne
3160,10043,365.5803439809566,AccÃ¨s principal,,8,,Ligne
3161,10043,211.01950152274603,Assiette,,8,,Ligne
3162,10043,234.70135657989593,Bonus ML,,8,,Ligne
3163,10043,246.3609021274408,Boucle verte,,8,,Ligne
3164,10043,200.28026565594183,Cadillac,,8,,Ligne
3165,10043,73.04715220459836,Copilote,,8,,Ligne
3166,10043,444.1045947520788,CÃ´te de glaise,,8,,Ligne
3167,10043,414.08675147718,Couleuvre,,8,,Ligne
3168,10043,250.54968320525046,Crane,,8,,Ligne
3169,10043,233.31018777030678,Descentapat,,8,,Ligne
3170,10043,471.5167746868648,DÃ©tour,,8,,Ligne
3171,10043,251.19204181116842,L'Aviateur,,8,,Ligne
3172,10043,249.44322536157551,La pic,,8,,Ligne
3173,10043,142.64394037385628,Laveuse,,8,,Ligne
3174,10043,106.26657351701189,Mur,,8,,Ligne
3175,10043,120.09224064165375,Paintball,,8,,Ligne
3176,10043,201.86516453965294,Petite vic,,8,,Ligne
3177,10043,196.25311206505896,Racines,,8,,Ligne
3178,10043,252.8589347522121,Souvenir,,8,,Ligne
3179,10043,263.8275391383335,Ticoup,,8,,Ligne
3180,10043,591.0821299207514,Yo,,8,,Ligne
3181,10043,296.9443836915148,Zigzags,,8,,Ligne
3182,10043,119.49691244553968,Cathodique,,8,,Ligne
3183,10043,149.00573771284212,Remonte-pente,,8,,Ligne
3184,10043,116.42583045594583,Boucle verte,,8,,Ligne
3185,10043,155.76632618926013,DÃ©tour,,8,,Ligne
3186,10043,120.3029232805198,Boucle verte,,8,,Ligne
3187,10043,123.92211384528207,Petite vic,,8,,Ligne
3188,10043,99.96399992000062,Petite vic,,8,,Ligne
3189,10043,20.958775316039002,Petite vic,,8,,Ligne
3190,10043,70.75943365166773,Sauts du trou,,8,,Ligne
3191,10043,59.7863015810716,Petite vic,,8,,Ligne
3192,10043,49.31403972677331,Yo,,8,,Ligne
3193,10043,186.54000733703415,Petite vic,,8,,Ligne
3194,10043,91.74732802253018,Boucle verte,,8,,Ligne
3195,10043,23.006156961459187,Yo,,8,,Ligne
3196,10043,62.5968414306933,Boucle verte,,8,,Ligne
3197,10043,34.35936444496168,Couleuvre,,8,,Ligne
3198,10043,48.61994851183526,,,7,,Ligne
3199,10043,130.2901693715728,,,7,,Ligne
3200,10043,665.4873926714897,,,8,,Ligne
3201,10043,126.52843695400159,AccÃ¨s Rue Dollard Sud,,8,,Ligne
3202,10043,30.849972430698084,AccÃ¨s Rue Dollard Sud,,8,,Ligne
3203,10043,129.30924553820785,Le Draveur,,8,,Ligne
3204,10043,1805.9273320894356,,,2,1,Ligne
3205,10043,1791.9842724025,,,2,1,Ligne
3206,10043,1618.6004771610674,,,2,1,Ligne
3207,10043,1615.6505767342453,,,2,1,Ligne
3208,10043,1438.934216792864,,,2,1,Ligne
3209,10043,1888.3017117983695,,,2,1,Ligne
3210,10043,1893.3987859498836,,,2,1,Ligne
3211,10043,673.9026250001713,,,2,1,Ligne
3212,10043,134.36736206537213,,,6,1,Ligne
3213,10043,137.3480927222401,,,3,1,Ligne
3214,10043,237.26518738403433,,,3,1,Ligne
3215,10043,62.05830831859361,,,3,1,Ligne
3216,10043,240.82040417862865,,,3,1,Ligne
3217,10043,129.10295123372714,,,1,,Ligne
3218,10043,143.77921024881562,,,1,,Ligne
3219,10043,203.00066810092642,,,6,3,Ligne
3220,10043,66.52436450101739,,,7,3,Ligne
3221,10043,117.32098922881565,,,7,3,Ligne
3222,10043,40.714394570658165,,,7,3,Ligne
3223,10043,19.70862711257433,,,7,3,Ligne
3224,10043,196.970875590136,,,1,,Ligne
3225,10043,53.57491190109185,,,5,,Ligne
3226,10043,250.69986250235425,,,1,,Ligne
3227,10043,12.438709991338722,Le Draveur,,7,,Ligne
3228,10043,69.33031910242647,L'Ãboulis Est,,7,,Ligne
3229,10043,21.51111653196407,L'Ãboulis Est,,7,,Ligne
3230,10043,26.74267315924872,L'Ãboulis Est,,7,,Ligne
3231,10043,8.687747626542796,L'Ãboulis Ouest,,7,,Ligne
3232,10043,8.319690786355746,L'Ãboulis Ouest,,7,,Ligne
3233,10043,42.596596483884554,L'Ãboulis Ouest,,7,,Ligne
3234,10043,41.15343211324767,Accezz,,8,,Ligne
3235,10043,38.23035358731909,Accezz,,8,,Ligne
3236,10043,80.06208156918083,Cadillac,,8,,Ligne
3237,10043,10.146625252885809,Racines,,8,,Ligne
3238,10043,60.3975787348701,Crane,,8,,Ligne
3239,10043,71.29820944993962,Cadillac,,8,,Ligne
3240,10043,43.579417713063336,Descentapat,,8,,Ligne
3241,10043,189.37214298000282,L'Aviateur,,8,,Ligne
3242,10043,61.115797450326255,L'Aviateur,,8,,Ligne
3243,10043,11.171715248304672,AccÃ¨s principal,,8,,Ligne
3244,10043,5.127504561484194,AccÃ¨s principal,,8,,Ligne
3245,10043,16.567183948624297,Remonte-pente,,8,,Ligne
3246,10043,11.500848050544011,Remonte-pente,,8,,Ligne
3247,10043,8.715468124636576,Yo,,8,,Ligne
3248,10043,403.63459705703747,,,2,,Ligne
3249,10043,403.96134869889426,,,2,,Ligne
3250,10043,654.4722381106174,,,3,1,Ligne
3251,10043,171.72484481157943,,,3,1,Ligne
3252,10043,148.48287802780698,,,3,1,Ligne
3253,10043,66.56685297626413,,,5,,Ligne
3254,10043,13.839688890334566,,,4,,Ligne
3256,10043,101.46688080934186,Souvenir Hiver #22,,,,Ligne
3257,10043,35.98878103179771,Petite vic #23,,,,Ligne
3258,10043,331.9053826448925,Boucle verte #21,,,,Ligne
3259,10043,246.3609021274408,Boucle verte #21,,,,Ligne
3260,10043,414.08675147718,Couleuvre Hiver #25,,,,Ligne
3261,10043,201.86516453965294,Petite vic #23,,,,Ligne
3262,10043,198.40077030966188,Souvenir Hiver #22,,,,Ligne
3263,10043,591.0821299207514,Yo Hiver #24,,,,Ligne
3264,10043,94.878464191264,Boucle verte #21,,,,Ligne
3265,10043,120.3029232805198,Boucle verte #21,,,,Ligne
3266,10043,123.92211384528207,Petite vic #23,,,,Ligne
3267,10043,99.96399992000062,Petite vic #23,,,,Ligne
3268,10043,70.75943365166773,Souvenir Hiver #22,,,,Ligne
3269,10043,59.7863015810716,Petite vic #23,,,,Ligne
3270,10043,49.31403972677331,Yo Hiver #24,,,,Ligne
3271,10043,186.54000733703415,Petite vic #23,,,,Ligne
3272,10043,23.006156961459187,Yo Hiver #24,,,,Ligne
3273,10043,34.35936444496168,Couleuvre Hiver #25,,,,Ligne
3274,10043,8.715468124636576,Yo Hiver #24,,,,Ligne
3275,10043,1021.5081990289553,Digue Hiver,,,,Ligne
3276,10043,73.62174055766691,Boucle verte #21,,,,Ligne
3277,10043,53.989068288053005,Boucle verte #21,,,,Ligne
3278,10043,990.5905080115841,Cadillac Hiver #7,,,,Ligne
3279,10043,50.88440889421202,Boucle verte #21,,,,Ligne
3280,10043,132.18803256163181,Boucle verte #21,,,,Ligne
3281,10043,58.94161708769724,Boucle verte #21,,,,Ligne
3282,10043,135.8152789970804,Boucle verte #21,,,,Ligne
3283,10043,135.04267987457314,Boucle verte #21,,,,Ligne
3284,10043,111.19599302359698,Boucle verte #21,,,,Ligne
3285,10043,11.38268994043148,Boucle verte #21,,,,Ligne
3286,10043,84.34006971385762,Le Draveur,,8,1,Ligne
3287,10043,655.6133534037854,Piste cyclable Charles-Albert,,5,2,Ligne
3289,10043,1.0152602501945007,,,5,3,Ligne
3290,10043,67.60875085326249,,,5,3,Ligne
3291,10043,516.5185038765642,,,2,2,Ligne
3292,10043,757.2356613173667,,,2,2,Ligne
3293,10043,761.6017716981613,,,2,2,Ligne
3294,10043,337.5188750515471,,,2,2,Ligne
3295,10043,343.0035751868608,,,2,2,Ligne
