an_profil,an_donnee,cod_mrc,nom_mrc,PRC0320,PRC3120,PRC4320,PRC3220,PRC4420,PRC2720,PRC3520,PRC3620,PRC2820,PRC2920,PRC3720,PRC2520,PRC2120,PRC3820,PRC0120,PRC3020,PRC4520,PRC0220,PRC3920,PRC4020,PRC4220
2020,2019,AR480,Acton,0.012300,2626.000000,2882.000000,2127.000000,2159.000000,0.748700,0.592600,0.156100,0.016900,0.094800,0.139600,0.297800,0.592300,0.061100,0.007900,1695.000000,1861.000000,0.194500,0.199800,0.884400,1299.000000
2020,2019,AR490,Drummond,0.014600,3570.000000,3001.000000,2871.000000,2347.000000,0.767700,0.602400,0.165300,0.029300,0.051900,0.151000,0.195000,0.617300,0.051300,0.017600,4309.000000,3623.000000,0.179500,0.296500,0.997200,1513.000000
2020,2019,AR500,Nicolet-Yamaska,0.013700,2972.000000,3313.000000,2220.000000,2390.000000,0.754700,0.603000,0.151700,0.056300,0.101500,0.087500,0.413700,0.595300,0.053700,0.012000,2612.000000,2911.000000,0.160600,0.194500,1.003000,1335.000000
2020,2019,AR510,Maskinonge,0.015500,1995.000000,2672.000000,1594.000000,1964.000000,0.762000,0.573400,0.188600,0.027600,0.104300,0.106000,0.356900,0.630800,0.063100,0.017900,2307.000000,3090.000000,0.171800,0.219600,1.113800,1421.000000
2020,2019,AR520,D'Autray,0.013500,2386.000000,2868.000000,1878.000000,2206.000000,0.800000,0.616200,0.183800,0.015000,0.073300,0.111700,0.316100,0.617500,0.047000,0.011800,2088.000000,2509.000000,0.112300,0.220400,1.001500,1651.000000
2020,2019,AR530,Pierre-De Saurel,0.015200,3221.000000,3008.000000,2842.000000,2503.000000,0.770900,0.631000,0.139800,0.057100,0.024800,0.147200,0.192200,0.610400,0.039600,0.016900,3567.000000,3331.000000,0.127100,0.281200,1.155200,1663.000000
2020,2019,AR540,Les Maskoutains,0.012200,4379.000000,3417.000000,3646.000000,2775.000000,0.749000,0.547200,0.201800,0.045900,0.036200,0.168900,0.190600,0.602800,0.051300,0.012700,4555.000000,3554.000000,0.150400,0.202000,0.913500,1610.000000
2020,2019,AR550,Rouville,0.011700,3558.000000,3312.000000,3048.000000,2704.000000,0.822700,0.615800,0.207000,0.013600,0.027900,0.135800,0.345000,0.577200,0.050000,0.010800,3278.000000,3051.000000,0.112000,0.223600,0.910500,1827.000000
2020,2019,AR560,Le Haut-Richelieu,0.013800,4384.000000,3724.000000,3484.000000,2773.000000,0.726500,0.585100,0.141400,0.037700,0.054600,0.181300,0.164800,0.628700,0.047800,0.013500,4287.000000,3642.000000,0.126000,0.276000,0.933200,1911.000000
2020,2019,AR570,La Vallee-du-Richelieu,0.012000,3611.000000,3750.000000,3392.000000,3162.000000,0.763600,0.585100,0.178400,0.011900,0.027400,0.197100,0.316200,0.627700,0.048200,0.016700,5049.000000,5243.000000,0.229000,0.295800,0.928900,2657.000000
2020,2019,AR581,Hors MRC - Longueuil,0.016400,6845.000000,4847.000000,4973.000000,3440.000000,0.555700,0.504700,0.051100,0.016100,0.020000,0.408200,0.144300,0.622800,0.062900,0.020600,8599.000000,6088.000000,0.162400,0.334300,0.874000,2270.000000
