an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003
2020,2020,05050,Saint-Elzear,M,440,1 @ 1 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,29964051.420000,,29207088.000000,,21777510.000000,,1770108.000000,,652800.000000,,5006670.000000,,0.745600,,0.060600,,0.022400,,0.171400,,87436.000000,71651.000000,46241.000000,,34.000000,648.000000,
2020,2020,05055,Saint-Simeon,P,1163,1 @ 1 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,87466512.000000,,86616000.000000,,75284500.000000,,4493600.000000,,2417400.000000,,4420500.000000,,0.869200,,0.051900,,0.027900,,0.051000,,145244.000000,114793.000000,86089.000000,,64.000000,1016.000000,
2020,2020,05060,Caplan,M,1980,1 @ 1 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,162012237.560000,,158346891.000000,,131819847.000000,,12952442.000000,,6029902.000000,,7544700.000000,,0.832500,,0.081800,,0.038100,,0.047600,,154915.000000,122854.000000,112119.000000,,84.000000,1445.000000,
2020,2020,05065,Saint-Alphonse,M,707,1 @ 1 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,44303909.500000,,43557200.000000,,33935000.000000,,3039300.000000,,2243100.000000,,4339800.000000,,0.779100,,0.069800,,0.051500,,0.099600,,104988.000000,87978.000000,62225.000000,,46.000000,712.000000,
2020,2020,05070,New Richmond,V,3709,2 000 @ 9 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,330251674.965000,,322623775.500000,,242697814.800000,,60115568.700000,,7745469.000000,,12064923.000000,,0.752300,,0.186300,,0.024000,,0.037400,,167468.000000,128101.000000,127955.000000,,60.000000,2581.000000,
2020,2020,05077,Cascapedia--Saint-Jules,M,741,1 @ 1 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,62282131.065000,,62001621.000000,,51888771.000000,,2920104.000000,,1088109.000000,,6104637.000000,,0.836900,,0.047100,,0.017500,,0.098500,,131969.000000,117969.000000,66541.000000,,50.000000,936.000000,
2020,2020,06005,Maria,M,2683,2 000 @ 9 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,261851702.110000,,227358070.000000,,196311175.000000,,17825389.000000,,3421375.000000,,9800131.000000,,0.863400,,0.078400,,0.015000,,0.043100,,187846.000000,150569.000000,157932.000000,,74.000000,1658.000000,
2020,2020,06013,Carleton-sur-Mer,V,4015,2 000 @ 9 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,412101566.780000,,390210168.000000,,316861634.200000,,53701751.800000,,5936212.000000,,13710570.000000,,0.812000,,0.137600,,0.015200,,0.035100,,180964.000000,139887.000000,138801.000000,,65.000000,2969.000000,
2020,2020,06020,Nouvelle,M,1712,1 @ 1 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,144416337.730000,,138347759.800000,,109942035.000000,,14874855.800000,,3571764.000000,,9959105.000000,,0.794700,,0.107500,,0.025800,,0.072000,,133965.000000,107084.000000,82289.000000,,61.000000,1755.000000,
2020,2020,06025,Escuminac,M,539,1 @ 1 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,49627823.500000,,48462700.000000,,38410800.000000,,1922600.000000,,980100.000000,,7149200.000000,,0.792600,,0.039700,,0.020200,,0.147500,,123472.000000,107346.000000,65907.000000,,49.000000,753.000000,
2020,2020,06030,Pointe-a-la-Croix,M,1386,1 @ 1 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,89861884.440000,,85062344.000000,,67423697.000000,,11742721.000000,,113300.000000,,5782626.000000,,0.792600,,0.138000,,0.001300,,0.068000,,117441.000000,86185.000000,86323.000000,,64.000000,1041.000000,
