cod_geo_n,an_profil,an_donnee,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010103,POSTE_9600,RF01010104,POSTE_224b,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_1508,POSTE_8978,POSTE_8958,POSTE_8938,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,PRC3101,PRC3103,PRC3200,PRC3202,PRC3201,PRC3203,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC0200,PRC3900,nom_mun,classe_population,designation,cod_mrc,nom_mrc,cod_ra,nom_ra,population
05020,2016,2015,21968060.828,0,518155,0,234556,0,508155,0,193281,0,41275,0,0,0,88,0,172528,0,484680,0,0,0,0,0,0,108041,1331694,0,137176,0,0,0,0,0,0,0,0.0221,0,903,0,0,0,448,0,0,0,0.4616,0.3804,0.0812,0.0002,0.3395,0.1987,0.2699,0.6333,0.008,0,0,0,0,0,0,0,0.2083,0,Hope Town,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,373
05025,2016,2015,34224626.7,0,802012,0,439348,0,790693,0,327055,0,112293,0,0,0,1124,0,282862,0,817221,0,166175,0,0,0,0,89538,2296535,280327,50562,0,0,0,0,0,0,0,0.0239,0,1222,0,0,0,691,0,0,0,0.5556,0.4136,0.142,0.0014,0.3577,0.0852,0.0639,0.5869,0.0236,0.0049,0,0,248,0,0,0,0.1105,0.1221,Hope,1 @ 1 999,CT,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,607
05032,2016,2015,219866198.61,0,5250994,0,3472029,0,5124193,0,2254345,0,1217684,0,103233,0,214937,0,433014,0,5140124,0,4929689,0,0,0,0,1129018,27021492,8678007,573179,0,0,0,0,0,0,0,0.0229,0,2001,0,0,0,1460,0,0,0,0.6776,0.4399,0.2376,0.0419,0.0845,0.196,0.1119,0.6044,0.0133,0.0224,0,0,1959,0,0,0,0.2222,0.3212,Paspebiac,2 000 @ 9 999,V,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,3131
05040,2016,2015,96606533.826,0,1955186,0,1122537,0,1714088,0,803640,0,318897,0,3393,0,304292,0,131205,0,1704651,0,694090,0,0,0,0,115035,6127579,476390,568124,0,0,0,0,0,0,0,0.0176,0,1229,0,0,0,862,0,0,0,0.6549,0.4688,0.186,0.1775,0.0765,0.091,0.3314,0.4955,0.0761,0.0072,0,0,502,0,0,0,0.0746,0.0777,New Carlisle,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,1348
05045,2016,2015,229270148.18,0,4633173,0,2826940,0,4304547,0,2230494,0,596446,0,16674,0,214480,0,400130,0,5096823,0,5431492,0,0,0,0,864018,21243905,6028088,386297,0,0,0,0,0,0,0,0.0222,0,2112,0,0,0,1243,0,0,0,0.6567,0.5182,0.1386,0.0498,0.093,0.2005,0.0897,0.5311,0.0596,0.0237,0,0,2258,0,0,0,0.1813,0.2838,Bonaventure,2 000 @ 9 999,V,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,2758
05050,2016,2015,25917220.438,0,1096857,0,487470,0,902072,0,372087,0,115383,0,2474,0,31745,0,222671,0,934174,0,503293,0,0,0,0,180500,3309788,677396,-16409,0,0,0,0,0,0,0,0.0359,0,1333,0,0,0,777,0,0,0,0.5404,0.4125,0.1279,0.0352,0.2468,0.1776,-0.0182,0.5983,0.07,0.0194,0,0,720,0,0,0,0.1913,0.2047,Saint-Elzear,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,458
05055,2016,2015,80734865.851,0,1429109,0,1091291,0,1429109,0,797000,0,294291,0,0,0,11359,0,191263,0,1521560,0,1426168,0,0,0,0,220823,6762622,1859627,140216,0,0,0,0,0,0,0,0.0188,0,1459,0,0,0,1088,0,0,0,0.7636,0.5577,0.2059,0.0079,0.1338,0.0946,0.0981,0.5333,0.0378,0.0177,0,0,1367,0,0,0,0.1624,0.275,Saint-Simeon,1 @ 1 999,P,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,1202
05060,2016,2015,144630366.86,0,3019086,0,1854813,0,3004749,0,1317089,0,537724,0,0,0,47420,0,343043,0,2802292,0,3496952,0,0,0,0,1300364,22625870,7805500,1425487,0,0,0,0,0,0,0,0.0194,0,1866,0,0,0,1290,0,0,0,0.6173,0.4383,0.179,0.0158,0.1142,0.2528,0.4744,0.6307,0.0158,0.0242,0,0,2328,0,0,0,0.371,0.345,Caplan,2 000 @ 9 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,2025
05065,2016,2015,37848786.31,0,3575338,0,550947,0,3575338,0,391620,0,159327,0,1944466,0,13296,0,210239,0,3220632,0,1081416,0,0,0,0,1005422,15366148,7214751,1097367,0,0,0,0,0,0,0,0.0337,0,1751,0,0,0,795,0,0,0,0.1541,0.1095,0.0446,0.0037,0.0588,0.7834,0.3069,0.7347,0.0064,0.0286,0,0,1483,0,0,0,0.6854,0.4695,Saint-Alphonse,1 @ 1 999,M,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,676
05070,2016,2015,273157774.58,0,8303358,0,4687145,0,8426041,0,4174172,0,512973,0,14758,0,89760,0,1068375,0,9872332,0,13059513,0,0,0,0,4932132,72879704,27045327,-3065660,0,0,0,0,0,0,0,0.0361,0,3610,0,0,0,1826,0,0,0,0.5563,0.4954,0.0609,0.0107,0.1268,0.3063,-0.3638,0.6498,0.0127,0.0478,0,0,4782,0,0,0,0.4476,0.3711,New Richmond,2 000 @ 9 999,V,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,3765
