"Nom","Prénom","Parti","Nom-Co","Prénom-Co","Titre ","Poste no"
"D'AVIRRO","Sabrina","Intégrité Montréal",,,,"15"
"GIRAUD","Cyrille","Projet Montréal - Équipe Bergeron",,,,"15"
"TALARICO","Dominic","Coalition Montréal - Marcel Côté",,,,"15"
"MOSCHELLA","Domenico","Coalition Montréal - Marcel Côté",,,,"15.1"
"PERESSINI","Roberta","Projet Montréal - Équipe Bergeron",,,,"15.1"
"DI PAOLA","Tommaso","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"15.11"
"DRATLER","Nathan","Projet Montréal - Équipe Bergeron",,,,"15.11"
"MADIH","Yassir","Indépendant",,,,"15.11"
"MORMINA","Giuseppe (Joe)","Coalition Montréal - Marcel Côté",,,,"15.11"
"TREMBLAY","Lili-Anne","Équipe Denis Coderre pour Montréal",,,,"15.11"
"CONSTANT","Edna","Projet Montréal - Équipe Bergeron",,,,"15.2"
"MULLINS","Sonya","Coalition Montréal - Marcel Côté",,,,"15.2"
"PERRI","Dominic","Équipe Denis Coderre pour Montréal",,,,"15.2"
"BATTISTA","Mario","Équipe Denis Coderre pour Montréal",,,,"15.21"
"PANETTA","Orlando","Coalition Montréal - Marcel Côté",,,,"15.21"
"TARABORRELLI","Teresa","Projet Montréal - Équipe Bergeron",,,,"15.21"
"DORAIS","Benoit","Coalition Montréal - Marcel Côté",,,,"16"
"FILIATRAULT","Cindy","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"16"
"PRINCE","Jason","Projet Montréal - Équipe Bergeron",,,,"16"
"RIVÈS","Sylvia M.","Équipe Denis Coderre pour Montréal",,,,"16"
"FOURNIER","Véronique","Coalition Montréal - Marcel Côté",,,,"16.1"
"KABEYA","Mudi Wa Mbuji Liévin","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"16.1"
"PERRIER","Patrice-Hans","Intégrité Montréal",,,,"16.1"
"ROBERTSON","Derek","Équipe Denis Coderre pour Montréal",,,,"16.1"
"SAUVÉ","Craig","Projet Montréal - Équipe Bergeron",,,,"16.1"
"DE BONVILLE","Kristi","Coalition Montréal - Marcel Côté",,,,"16.11"
"FRÉCHETTE","Pierre","Équipe Denis Coderre pour Montréal",,,,"16.11"
"THIÉBAUT","Sophie","Projet Montréal - Équipe Bergeron",,,,"16.11"
"OUAMABIA","Claudia Olga","Équipe Denis Coderre pour Montréal",,,,"16.2"
"ROY","Huguette","Coalition Montréal - Marcel Côté",,,,"16.2"
"SALAS CASTRO","José Humberto","Intégrité Montréal",,,,"16.2"
"SIGOUIN","Anne-Marie","Projet Montréal - Équipe Bergeron",,,,"16.2"
"BÉLANGER","Daniel","Coalition Montréal - Marcel Côté",,,,"16.21"
"PHANEUF","Guillaume","Équipe Denis Coderre pour Montréal",,,,"16.21"
"VAILLANCOURT","Alain","Projet Montréal - Équipe Bergeron",,,,"16.21"
"BENDJENNET","Mourad","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"17"
"CHAMPOUX","Andrée","Équipe Andrée Champoux pour Verdun",,,,"17"
"DAVIS","Mary Ann","Projet Montréal - Équipe Bergeron",,,,"17"
"LE ROUGETEL","Katherine","Indépendant",,,,"17"
"MERCIER","Jency","Intégrité Montréal",,,,"17"
"PARENTEAU","Jean-François","Équipe Denis Coderre pour Montréal",,,,"17"
"SAVARD","André","Équipe Savard - option Verdun / Montréal",,,,"17"
"TASSÉ","Alain","Coalition Montréal - Marcel Côté",,,,"17"
"BÉLANGER","Mathieu","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"17.1"
"GAUTHIER","Manon","Équipe Denis Coderre pour Montréal",,,,"17.1"
"GENDRON","Jacques","Équipe Andrée Champoux pour Verdun",,,,"17.1"
"JULIEN","André","Coalition Montréal - Marcel Côté",,,,"17.1"
"KUGELMASS","Jack L.","Projet Montréal - Équipe Bergeron",,,,"17.1"
"TOUCHETTE","Marc","Équipe Savard - option Verdun / Montréal",,,,"17.1"
"ANCTIL","Carole","Équipe Andrée Champoux pour Verdun",,,,"17.11"
"BEAUPRÉ","Paul","Coalition Montréal - Marcel Côté",,,,"17.11"
"CÔTÉ","Charles","Équipe Savard - option Verdun / Montréal",,,,"17.11"
"DURBAU","Dolores","Projet Montréal - Équipe Bergeron",,,,"17.11"
"KASSEM","Abdulilah","Indépendant",,,,"17.11"
"LEROUX","Jacline","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"17.11"
"L'HEUREUX","Pierre","Équipe Denis Coderre pour Montréal",,,,"17.11"
"BOIVIN","Jean-Pierre","Coalition Montréal - Marcel Côté",,,,"17.12"
"BRUNET","Marie-Eve","Équipe Denis Coderre pour Montréal",,,,"17.12"
"GUAY PEPPER","Béatrice","Équipe Andrée Champoux pour Verdun",,,,"17.12"
"LAMASANU","Stefana","Projet Montréal - Équipe Bergeron",,,,"17.12"
"LATENDRESSE","Luce","Équipe Savard - option Verdun / Montréal",,,,"17.12"
"RAYMOND-BOUGIE","Stéphanie","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"17.12"
"CAYA","France","Équipe Andrée Champoux pour Verdun",,,,"17.2"
"DHAVERNAS","Sébastien","Équipe Denis Coderre pour Montréal",,,,"17.2"
"DOWNEY","Sterling","Projet Montréal - Équipe Bergeron",,,,"17.2"
"GLOUTNAY","Françoise","Coalition Montréal - Marcel Côté",,,,"17.2"
"LANGLAIS","Richard","Équipe Savard - option Verdun / Montréal",,,,"17.2"
"PARENT","Marie-Josée","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"17.2"
"GAGNON","Luc","Projet Montréal - Équipe Bergeron",,,,"17.21"
"L'ALLIER-DAVIES","Michèle  ","Équipe Andrée Champoux pour Verdun",,,,"17.21"
"NEGRET","Gladys","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"17.21"
"POULIN","Joanne","Équipe Savard - option Verdun / Montréal",,,,"17.21"
"TREMBLAY","Michelle","Équipe Denis Coderre pour Montréal",,,,"17.21"
"TRUDEL","Monique","Coalition Montréal - Marcel Côté",,,,"17.21"
"AUGER","Robert","Équipe Savard - option Verdun / Montréal",,,,"17.22"
"LÉVESQUE","Rielle","Coalition Montréal - Marcel Côté",,,,"17.22"
"MAUGER","Marie-Andrée","Projet Montréal - Équipe Bergeron",,,,"17.22"
"PARENT","André-Yanne","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"17.22"
"RAHEEMEEA","Mamad","Équipe Andrée Champoux pour Verdun",,,,"17.22"
"SARRASIN","Philippe","Équipe Denis Coderre pour Montréal",,,,"17.22"
"SHANAHAN","Steve","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"18.1"
"SILÈS","Damien","Équipe Denis Coderre pour Montréal",,,,"18.1"
"TRUDEAU","Nicole","Coalition Montréal - Marcel Côté",,,,"18.1"
"ZOUBRIS","Jimmy","Projet Montréal - Équipe Bergeron",,,,"18.1"
"DESCHAMPS","Stéphane","Indépendant",,,,"18.2"
"DIAS","Nelson","Indépendant",,,,"18.2"
"BERGERON","Richard","Projet Montréal - Équipe Bergeron","KRIEBER","Janine","Colistière","18.2"
"ROBILLARD","François","Coalition Montréal - Marcel Côté",,,,"18.2"
"SALVADORI","Francis","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"18.2"
"SCHNOBB","Philippe","Équipe Denis Coderre pour Montréal",,,,"18.2"
"WANG","Jade","Intégrité Montréal",,,,"18.2"
"GÉLINAS","Anne-Marie","Intégrité Montréal",,,,"18.3"
"HAREL","Louise","Coalition Montréal - Marcel Côté",,,,"18.3"
"MAINVILLE","Pierre","Indépendant",,,,"18.3"
"PAIEMENT","Pierre","Équipe Denis Coderre pour Montréal",,,,"18.3"
"PLANTE","Valérie","Projet Montréal - Équipe Bergeron",,,,"18.3"
"GOULET","Nathalie","Projet Montréal - Équipe Bergeron",,,,"19"
"MARTINEZ","Soraya","Coalition Montréal - Marcel Côté",,,,"19"
"SAMSON","Anie","Équipe Denis Coderre pour Montréal",,,,"19"
"ZAKO","Béatrice","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"19"
"ALVAREZ GARCIA","Emilio","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"19.1"
"BENJAMIN","Frantz","Équipe Denis Coderre pour Montréal",,,,"19.1"
"BERNARD","Isabelle","Projet Montréal - Équipe Bergeron",,,,"19.1"
"DE LUCA","John","Coalition Montréal - Marcel Côté",,,,"19.1"
"BRICAULT","Claude","Équipe Denis Coderre pour Montréal",,,,"19.2"
"COLAVECCHIO","Nino","Coalition Montréal - Marcel Côté",,,,"19.2"
"DE CICCO","Angelo","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"19.2"
"LESSARD","André-Germain","Indépendant",,,,"19.2"
"OUELLET","Sylvain","Projet Montréal - Équipe Bergeron",,,,"19.2"
"ST-LOUIS","François","Intégrité Montréal",,,,"19.2"
"AUBUT-LUSSIER","Ludovic","Indépendant",,,,"19.3"
"IACOBACCI","Pasquale Lino","Équipe Denis Coderre pour Montréal",,,,"19.3"
"LEFEBVRE","Elsie","Coalition Montréal - Marcel Côté",,,,"19.3"
"PRÉVOST","Robert","Projet Montréal - Équipe Bergeron",,,,"19.3"
"ANASTASAKIS","Stella","Coalition Montréal - Marcel Côté",,,,"19.4"
"DEROS","Mary","Équipe Denis Coderre pour Montréal",,,,"19.4"
"DYCK","Sasha","Projet Montréal - Équipe Bergeron",,,,"19.4"
"SINGH","Dilbagh","Vrai changement pour Montréal - Groupe Mélanie Joly",,,,"19.4"
