"Cote/Titre","Dates","Fichier TIFF - 300 dpi (CLIQUEZ SUR LE LIEN)","Mention de crédits"
"VM97,S3,D15,P120","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-120.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P121","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-121.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P122","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-122.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P123","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-123.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P124","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-124.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P125","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-125.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P126","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-126.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P127","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-127.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P128","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-128.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P129","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-129.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P130","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-130.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P131","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-131.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P132","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-132.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P133","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-133.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P134","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-134.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P135","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-135.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P136","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-136.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P137","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-137.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P138","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-138.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P139","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-139.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P140","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-140.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P141","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-141.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P142","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-142.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P143","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-143.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P144","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-144.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P145","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-145.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P146","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-146.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P147","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-147.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P148","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-148.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P149","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-149.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P150","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-150.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P151","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-151.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P152","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-152.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P153","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-153.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P154","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-154.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P155","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-155.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P156","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-156.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P157","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-157.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P158","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-158.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P159","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-159.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P161","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-161.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P162","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-162.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P163","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-163.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P164","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-164.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P165","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-165.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P166","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-166.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P167","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-167.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P168","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-168.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P169","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-169.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P170","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-170.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P171","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-171.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P172","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-172.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P173","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-173.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P174","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-174.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P175","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-175.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P176","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-176.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P177","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-177.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P178","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-178.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P179","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-179.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P180","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-180.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P181","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-181.TIF","Archives de la Ville de Montréal"
"VM97,S3,D15,P182","1975","http://depot.ville.montreal.qc.ca/vues-aeriennes-1975/VM97-3_15-182.TIF","Archives de la Ville de Montréal"
