Cote/Titre,Dates,Fichier TIFF - 300 dpi (CLIQUEZ SUR LE LIEN),Mention de crédits
"VM97,S3,D08,P152",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-152.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P153",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-153.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P154",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-154.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P155",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-155.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P156",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-156.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P157",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-157.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P158",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-158.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P159",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-159.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P160",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-160.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P161",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-161.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P162",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-162.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P163",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-163.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P164",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-164.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P165",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-165.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P166",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-166.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P167",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-167.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P168",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-168.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P169",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-169.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P170",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-170.TIF,Archives de la Ville de Montréal
"VM97,S3,D08,P171",1966,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-171.TIF,Archives de la Ville de Montréal
