Date,Instance_politique ,Resolution,Nom,Genre,Titre_du_poste,Organisme
2016-05-19,Conseil d'agglomération,CG16 0365,Patricia Lattanzio,F,membre,Conseil de la Communauté métropolitaine de Montréal
2016-06-22,Conseil d'agglomération,CG16 0444,Dida Berku,F,"représentante des villes de Côtes-Saint-Luc, d'Hampstead et de Montréal-Ouest",Conseil d'administration de PME MTL Centre-Ouest
2016-08-22,Conseil municipal,CM16 0902,Rym El-Ouazzani,F,Membre,Conseil jeunesse de Montréal
2016-08-22,Conseil municipal,CM16 0902,Amina Janssen,F,Membre,Conseil jeunesse de Montréal
2016-08-22,Conseil municipal,CM16 0901,Dorothy Alexandre,F,Membre,Conseil des Montréalaises
2016-08-22,Conseil municipal,CM16 0901,Lindsay Daudier,F,Membre,Conseil des Montréalaises
2016-08-22,Conseil municipal,CM16 0901,Christine Hoang,F,Membre,Conseil des Montréalaises
2016-08-22,Conseil municipal,CM16 0901,Youla Pompilus-Touré,F,Membre,Conseil des Montréalaises
2016-08-22,Conseil municipal,CM16 0901,Marie-Eve Rancourt,F,Membre,Conseil des Montréalaises
2016-08-23,Conseil municipal,CM16 0995,Mary Deros,F,Mairesse suppléante,Conseil de Ville
2016-08-25,Conseil d'agglomération,CG16 0514,Christine Black,F,Représentante de l'arrondissement,Conseil d'administration du PME MTL - Est-de-L'Île
2016-09-27,Conseil municipal,CM16 1107,Julie Pépin,F,Présidente,Commission de la fonction publique de Montréal
2016-09-27,Conseil municipal,CM16 1106,Jean Caouette,H,Commissaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Jean Burton,H,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Alain Duhamel,H,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Habib El-Hage,H,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Peter Jacob,H,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Gaëtan Lebeau,H,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Marie Leahey,F,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Jean Paré,H,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Michel Séguin,H,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Joshua Wolfe,H,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Mounia Benalil,F,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Danielle Casara,F,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-09-27,Conseil municipal,CM16 1105,Nadja Raphaël,F,Commissaire supplémentaire,Officile de consultation publique de Montréal
2016-10-24,Conseil municipal,CM16 1187,Anne Xuan Lan Nguyen,F,Membre,Conseil jeunesse de Montréal
