quest,ville,codep,rta,arron,debut,mess1,q1,q2_m1,q2_m2,q2_m3,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_m1,q14_m2,q14_m3,q15,q16,q17,q18,q19,q20,q20a,q21,q22,q23,q24,q25,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,pond
00876,MONTREAL,H2K2X7,H2K,16,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,4,4,4,2,0,1,9,1,1,2,2,2,1,3,3,2,1,1,1,2, ,.91357010076408
00878,DORVAL,H9P1P3,H9P,20,1,1,1,1,3, ,4,1,2,2,2,2,2,2,2,1,1, , , ,4,4,2,1,4,2,0,1,5,1,2,3,3,4,3,1,1,2,1,1,2,1,3,.56147799073084
00880,SAINT-LEONARD,H1S1M6,H1S,15,1,1,2, , , , , , , , , , , , , , ,5, , ,1,5,3,4,4,2,2,2,5,2,1,1,1,1,4,2,3,2,2,2,1,2, ,2.16279574167529
00881,DORVAL,H9S3T7,H9S,20,1,1,1,2, , ,4,2,1,2,2,2,1,1,1,1,1, , , ,4,4,1,1,4,2,0,1,3,2,1,3,3,4,3,1,1,2,1,2,1,1,3,.71318334403313
00887,MONTREAL,H4A2H9,H4A,11,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,4,4,3,1, ,1,6,2,1,2,2,2,1,3,3,1,1,2,1,2, ,.98007152863766
00888,SAINTE-GENEVIEVE,H9G,H9G,19,1,1,2, , , , , , , , , , , , , , ,9,97,1,2,1,3,1,4,3,3,1,3,1,2,3,3,2,1,2,1,2,1,1,2,2, ,.91357010076408
00896,MONTREAL,H4A1M7,H4A,11,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,4,2,4,2,0,1,6,2,1,2,2,3,1,3,2,2,1,2,1,2, ,.76672607558491
00898,WESTMOUNT,H3Y2X7,H3Y,8,1,1,2, , , , , , , , , , , , , , ,1, , ,4,4,4,3,4,1, ,1,6,1,2,2,2,4,3,3,2,2,1,1,2,2, ,.56147799073084
00905,PIERREFONDS,H9H2V6,H9H,26,1,1,1,2, , ,4,1,2,2,2,2,3,2,2,1,1, , , ,2,1,4,1,4,4,0,1,9,2,2,3,3,2,1,3,1,2,1,2,2,1,3,.98007152863766
00912,MONTREAL,H2K3Z3,H2K,16,1,1,2, , , , , , , , , , , , , , ,4, , ,2,1,4,1,4,3,1,2,6,2,1,2,2,2,1,3,1,2,2,2,1,2, ,.98007152863766
00913,MONTREAL,H1Z3M5,H1Z,6,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,1,1,4,2,0,2,9,2,1,2,2,4,3,1,1,2,2,2,1,2, ,.71318334403313
00916,MONTREAL,H3H1C2,H3H,16,1,1,2, , , , , , , , , , , , , , ,11, , ,1,1,4,1,4,2,0,2,6,1,1,2,2,1,1,3,1,2,2,1,1,2, ,2.30148156975812
00917,SAINT-LEONARD,H1R2R2,H1R,15,1,1,1,1, , ,2,4,2,2,2,2,1,2,2,1,1, , , ,3,1,2,1,4,2,0,2,9,2,1,1,1,3,1,1,1,2,2,2,1,1,1,.76672607558491
00931,DORVAL,H9S2M9,H9S,20,1,1,1,2, , ,4,2,2,2,2,2,2,2,2,2,2, , , ,2,1,4,1,4,2,3,1,6,2,1,3,3,2,1,3,1,2,1,2,1,1,3,.98007152863766
00933,SAINT-LAURENT,H4R3N3,H4R,27,1,1,2, , , , , , , , , , , , , , ,97, , ,1,1,4,4,3,2,2,1,6,2,1,3,3,1,1,3,3,1,1,2,1,2, ,2.16279574167529
00946,VERDUN,H4G3C8,H4G,7,1,1,1,1, , ,4,3,1,2,2,2,1,1,2,1,1, , , ,4,4,1,1,4,2,0,1,5,1,1,2,2,4,3,1,1,2,1,1,1,1,3,.56147799073084
00947,MONTREAL,H1M2J6,H1M,13,1,1,2, , , , , , , , , , , , , , ,97, , ,2,5,1,1,4,3,1,2,1,1,1,1,1,2,4,1,1,2,2,1,1,2, ,.91357010076408
00949,ANJOU,H1K3R5,H1K,10,1,1,2, , , , , , , , , , , , , , ,18, , ,3,4,3,1,4,1, ,2,3,2,1,1,1,3,3,2,1,2,2,2,1,2, ,.76672607558491
00953,MONTREAL,H3L1A9,H3L,9,1,1,1,2, , ,1,1,1,2,2,2,1,2,2,1,2, , , ,2,1,4,4,4,2,2,1,5,1,1,2,2,2,1,3,3,2,1,1,1,1,1,.91357010076408
00954,MONTREAL,H2R2B5,H2R,6,1,1,2, , , , , , , , , , , , , , ,8, , ,2,1,4,2,4,2,1,2,5,1,1,2,2,2,1,3,2,2,2,1,1,2, ,.91357010076408
00955,MONTREAL,H1T1E5,H1T,4,1,1,2, , , , , , , , , , , , , , ,4,5, ,2,1,4,4,2,2,0,2,3,1,1,2,2,2,1,3,3,1,2,1,1,2, ,.91357010076408
00956,MONTREAL,H2S2H4,H2S,4,1,1,1,2, , ,1,1,2,2,2,2,2,1,2,1,2, , , ,4,4,3,2,4,3,0,1,3,1,1,2,2,4,3,2,2,2,1,1,1,1,1,.56147799073084
00962,MONTREAL,H1N2W1,H1N,13,1,1,1,1, , ,2,1,2,2,2,1,1,2,2,1,2, , , ,3,1,3,4,4,2,2,2,3,1,1,1,1,3,1,2,3,2,2,1,1,1,1,.81856585972332
00965,ANJOU,H1K4X6,H1K,10,1,1,1,2, , ,3,1,2,2,2,2,1,2,1,1,1, , , ,3,1,4,2,4,1, ,1,4,2,1,1,1,3,1,3,2,2,1,2,1,1,2,.76672607558491
00967,MONTREAL,H1A3B4,H1A,3,1,1,2, , , , , , , , , , , , , , ,3, , ,3,4,4,1,4,2,0,1,9,2,1,1,1,3,3,3,1,2,1,2,1,2, ,.76672607558491
00970,MONTREAL,H1Y2M4,H1Y,4,1,1,2, , , , , , , , , , , , , , ,3,1, ,2,1,4,1,4,1, ,2,2,2,1,2,2,2,1,3,1,2,2,2,1,2, ,.98007152863766
00972,POINTE-AUX-TREMBLES,H1A4Z7,H1A,3,1,1,1,2, , ,2,1,1,2,2,2,1,1,2,1,2, , , ,3,1,4,1,4,3,0,1,6,1,1,1,1,3,1,3,1,2,1,1,1,1,1,.81856585972332
00978,LASALLE,H8N3E8,H8N,12,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,3,1,4,2,0,1,4,1,1,3,3,4,3,2,1,2,1,1,1,2, ,.56147799073084
00979,SAINT-LEONARD,H1S3E6,H1S,15,1,1,2, , , , , , , , , , , , , , ,8,4, ,3,1,3,1,4,1, ,1,3,2,1,1,1,3,1,2,1,2,1,2,1,2, ,.76672607558491
00988,COTE SAINT-LUC,H4W1T9,H4W,18,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,4,1,4,4,1,1,6,2,1,3,3,2,1,3,1,2,1,2,1,2, ,.98007152863766
00994,MONTREAL-NORD,H1G4L1,H1G,14,1,1,2, , , , , , , , , , , , , , ,10, , ,4,1,4,1,4,6,0,1,9,1,1,1,1,4,1,3,1,2,1,1,1,2, ,.56147799073084
00996,COTE SAINT-LUC,H4W2N9,H4W,18,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,4,1,4,2,1,1,9,2,2,3,3,2,1,3,1,2,1,2,2,2, ,.98007152863766
00997,MONTREAL,H2C2R4,H2C,9,1,1,2, , , , , , , , , , , , , , ,17, , ,4,4,4,2,4,1, ,2,1,2,1,2,2,4,3,3,2,2,2,2,1,2, ,.71318334403313
01006,SAINT-LEONARD,H1S2A4,H1S,15,1,1,2, , , , , , , , , , , , , , ,5, , ,3,1,4,4,3,2,2,2,2,1,1,1,1,3,1,3,3,1,2,1,1,2, ,.81856585972332
01007,DOLLARD-DES-ORMEAUX,H9G1K9,H9G,19,1,1,1,2, , ,4,3,2,2,2,2,2,1,2,1,2, , , ,3,2,3,3,4,3,0,1,4,1,2,3,3,3,1,2,2,2,1,1,2,1,3,.81856585972332
01013,MONTREAL,H2S2B4,H2S,4,1,1,2, , , , , , , , , , , , , , ,1,3, ,4,4,1,1,4,2,0,1,9,2,1,2,2,4,3,1,1,2,1,2,1,2, ,.71318334403313
01014,LACHINE,H8S1R4,H8S,28,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,1,4,4,1, ,2,1,1,2,3,3,4,3,1,3,2,2,1,2,2, ,.56147799073084
01015,MONTREAL,H1N1G3,H1N,13,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,1,1,4,1, ,2,2,1,1,1,1,4,3,1,1,2,2,1,1,2, ,.56147799073084
01022,MONTREAL,H1B1R9,H1B,17,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,2,4,2,1, ,1,4,2,1,1,1,3,1,1,3,1,1,2,1,2, ,.76672607558491
01045,VERDUN,H4E,H4E,5,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,4,1,4,2,0,1,6,2,1,2,2,3,1,3,1,2,1,2,1,2, ,.76672607558491
01051,OUTREMONT,H2V1B9,H2V,1,1,1,1,2,1, ,3,1,2,2,2,2,2,2,2,1,2, , , ,2,1,4,1,4,2,2,1,6,2,1,2,2,2,1,3,1,2,1,2,1,1,2,.98007152863766
01054,MONTREAL,H1M3A8,H1M,13,1,1,2, , , , , , , , , , , , , , ,5,1,4,2,1,3,4,4,1, ,2,4,1,1,1,1,2,1,2,3,2,2,1,1,2, ,.91357010076408
01066,SAINT-LAURENT,H4L4T4,H4L,27,1,1,1,2, , ,4,3,1,2,2,2,2,2,2,1,2, , , ,2,1,2,1,4,4,0,1,9,1,2,3,3,2,1,1,1,2,1,1,2,1,3,.91357010076408
01076,MONTREAL,H2B2E9,H2B,9,1,1,2, , , , , , , , , , , , , , ,5, , ,1,6,3,1,4,2,1,2,2,1,1,2,2,1,4,2,1,2,2,1,1,2, ,2.30148156975812
01081,MONTREAL,H1W2Z3,H1W,13,1,1,2, , , , , , , , , , , , , , ,13, , ,4,4,1,1,4,3,0,1,9,2,1,1,1,4,3,1,1,2,1,2,1,2, ,.71318334403313
01084,MONTREAL,H3T1M7,H3T,11,1,1,1,2, , ,1,1,2,2,2,2,1,2,2,9,2, , , ,4,4,4,4,4,3,0,1,9,1,1,2,2,4,3,3,3,2,1,1,1,1,1,.56147799073084
01086,MONTREAL,H2L3K5,H2L,16,1,1,2, , , , , , , , , , , , , , ,4, , ,3,4,4,4,3,2,0,1,6,1,2,2,2,3,3,3,3,1,1,1,2,2, ,.81856585972332
01087,MONTREAL,H2S,H2S,4,1,1,1,2, , ,4,1,2,2,2,2,1,2,2,1,1, , , ,2,1,4,4,4,2,2,1,6,1,1,2,2,2,1,3,3,2,1,1,1,1,3,.91357010076408
01088,MONTREAL,H1A,H1A,3,1,1,2, , , , , , , , , , , , , , ,3, , ,3,1,1,1,4,1, ,1,9,1,1,1,1,3,1,1,1,2,1,1,1,2, ,.81856585972332
01092,VERDUN,H4H2R8,H4H,7,1,1,1,2, , ,2,1,2,2,2,1,2,2,2,2,2, , , ,3,2,3,1,4,2,0,1,3,2,1,2,2,3,1,2,1,2,1,2,1,1,1,.76672607558491
01098,ANJOU,H1J2Y4,H1J,10,1,1,2, , , , , , , , , , , , , , ,2,3, ,1,5,3,2,2,1, ,2,1,2,1,1,1,1,4,2,2,1,2,2,1,2, ,2.16279574167529
01104,POINTE-CLAIRE,H9R5P5,H9R,22,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,4,3,1,99,0,2,2,2,1,3,3,4,3,3,2,1,2,2,1,2, ,.71318334403313
01106,SAINT-LAURENT,H4L4E7,H4L,27,1,1,1,2, , ,1,1,2,2,2,1,1,1,2,1,2, , , ,3,1,4,1,4,3,0,1,6,1,2,3,3,3,1,3,1,2,1,1,2,1,1,.81856585972332
01111,LASALLE,H8R2M8,H8R,28,1,1,2, , , , , , , , , , , , , , ,4,5, ,3,4,2,1,4,1, ,2,1,2,2,3,3,3,3,1,1,2,2,2,2,2, ,.76672607558491
01118,MONTREAL,H1Y2B1,H1Y,4,1,1,2, , , , , , , , , , , , , , ,18, , ,2,2,3,1,4,1, ,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2, ,.98007152863766
01120,MONTREAL,H2R2B9,H2R,6,1,1,1,2, , ,4,1,2,2,2,1,2,1,1,1,2, , , ,4,4,4,1,4,2,0,1,6,1,1,2,2,4,3,3,1,2,1,1,1,1,3,.56147799073084
01137,SAINT-LAURENT,H4L3B5,H4L,27,1,1,1,2, , ,4,3,2,2,2,2,2,1,2,1,1, , , ,1,1,3,4,4,3,1,1,9,2,2,3,3,1,1,2,3,2,1,2,2,1,3,2.16279574167529
01140,MONTREAL,H3C0G1,H3C,5,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,4,1,4,3,0,1,6,2,1,2,2,3,1,3,1,2,1,2,1,2, ,.76672607558491
01143,MONTREAL,H1E7G9,H1E,3,1,1,2, , , , , , , , , , , , , , ,6,1, ,1,1,2,1,4,2,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2, ,2.30148156975812
01149,MONTREAL,H3J1H8,H3J,5,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,4,1,4,2,0,1,9,1,1,2,2,2,1,3,1,2,1,1,1,2, ,.91357010076408
01151,MONTREAL,H2N1W9,H2N,9,1,1,1,2, , ,4,1,2,1,1,1,1,1,1,1,1, , , ,3,2,2,1,4,2,0,1,4,2,2,2,2,3,1,1,1,2,1,2,2,1,3,.76672607558491
01160,MONTREAL,H9R,H9R,22,1,1,2, , , , , , , , , , , , , , ,1,4, ,2,1,2,1,4,2,0,2,3,1,1,3,3,2,1,1,1,2,2,1,1,2, ,.91357010076408
01163,ANJOU,H1J1Y5,H1J,10,1,1,2, , , , , , , , , , , , , , ,5, , ,3,1,2,1,4,1, ,2,1,1,1,1,1,3,1,1,1,2,2,1,1,2, ,.81856585972332
01186,MONTREAL,H1T3N4,H1T,4,1,1,1,2, , ,4,3,2,2,2,2,2,1,1,1,2, , , ,2,1,4,4,3,2,2,1,5,1,1,2,2,2,1,3,3,1,1,1,1,1,3,.91357010076408
01189,MONTREAL,H2K3A4,H2K,16,1,1,1,2, , ,3,1,2,1,1,2,3,1,2,1,1, , , ,1,2,4,2,4,2,2,1,6,2,1,2,2,1,1,3,2,2,1,2,1,1,2,2.16279574167529
01195,POINTE-CLAIRE,H9S4X6,H9S,20,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,4,3,4,2,0,1,6,1,2,3,3,4,3,3,2,2,1,1,2,2, ,.56147799073084
01202,MONTREAL,H3L1A3,H3L,9,1,1,1,2, , ,2,1,2,2,2,2,1,2,2,1,1, , , ,4,4,4,2,4,1, ,1,4,2,1,2,2,4,3,3,2,2,1,2,1,1,1,.71318334403313
01203,MONTREAL,H3W1J4,H3W,11,1,1,2, , , , , , , , , , , , , , ,1,4, ,2,5,2,1,4,2,0,1,9,2,2,2,2,2,4,1,1,2,1,2,2,2, ,.98007152863766
01206,SAINT-LEONARD,H1R3C3,H1R,15,1,1,2, , , , , , , , , , , , , , ,5,4, ,2,1,3,1,2,3,2,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2, ,.91357010076408
01207,MONTREAL,H1N,H1N,13,1,1,2, , , , , , , , , , , , , , ,14, , ,4,4,1,1,4,1, ,1,1,2,1,1,1,4,3,1,1,2,1,2,1,2, ,.71318334403313
01209,MONTREAL,H1N2B1,H1N,13,1,1,2, , , , , , , , , , , , , , ,1, , ,1,2,4,1,4,2,1,1,5,1,1,1,1,1,1,3,1,2,1,1,1,2, ,2.30148156975812
01218,MONT-ROYAL,H3P1R3,H3P,33,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,4,1,4,3,1,1,9,2,1,2,2,2,1,3,1,2,1,2,1,2, ,.98007152863766
01223,MONTREAL,H1X2J5,H1X,4,1,1,1,1, , ,3,1,1,2,2,1,1,2,2,1,1, , , ,2,1,4,1,4,1, ,2,3,2,1,2,2,2,1,3,1,2,2,2,1,1,2,.98007152863766
01229,MONTREAL,H1L4H8,H1L,13,1,1,1,2, , ,1,9,1,2,2,2,2,1,2,1,2, , , ,1,1,2,1,4,1, ,2,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2.30148156975812
01233,PIERREFONDS,H8Y3P3,H8Y,25,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,4,2,4,2,0,1,6,2,1,3,3,2,1,3,2,2,1,2,1,2, ,.98007152863766
01244,MONTREAL,H3N2S3,H3N,6,1,1,1,2, , ,4,1,2,2,2,2,2,1,1,1,2, , , ,3,2,3,4,4,3,0,1,2,1,2,2,2,3,1,2,3,2,1,1,2,1,3,.81856585972332
01247,MONTREAL,H2W2C6,H2W,2,1,1,2, , , , , , , , , , , , , , ,4, , ,1,2,3,1,2,2,2,2,4,1,1,2,2,1,1,2,1,1,2,1,1,2, ,2.30148156975812
01250,SAINT-LEONARD,H1R2L1,H1R,15,1,1,1,2, , ,4,1,2,2,2,2,1,2,2,1,2, , , ,4,4,1,1,4,2,0,9,9,1,1,1,1,4,3,1,1,2, ,1,1,1,3,.56147799073084
01269,MONTREAL-NORD,H1H5P5,H1H,14,1,1,2, , , , , , , , , , , , , , ,4,5,3,4,4,1,2,4,1, ,2,1,2,1,1,1,4,3,1,2,2,2,2,1,2, ,.71318334403313
01275,MONTREAL,H2A2P2,H2A,6,1,1,2, , , , , , , , , , , , , , ,5,1, ,2,1,2,1,4,2,2,2,4,1,1,2,2,2,1,1,1,2,2,1,1,2, ,.91357010076408
01282,MONTREAL,H1E4S1,H1E,3,1,1,1,2, , ,3,1,2,2,2,2,2,1,2,1,1, , , ,2,1,2,1,4,3,1,1,9,2,1,1,1,2,1,1,1,2,1,2,1,1,2,.98007152863766
01284,SAINT-LAURENT,H4M2K7,H4M,27,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,3,4,4,2,2,1,3,1,1,3,3,2,1,2,3,2,1,1,1,2, ,.91357010076408
01286,MONTREAL,H1M2Y6,H1M,13,1,1,2, , , , , , , , , , , , , , ,5,4, ,3,2,4,2,4,2,0,1,2,1,1,1,1,3,1,3,2,2,1,1,1,2, ,.81856585972332
01287,VERDUN,H4H1E1,H4H,7,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,2,3,4,1, ,2,1,2,2,2,2,4,3,1,2,2,2,2,2,2, ,.71318334403313
01292,SAINT-LAURENT,H4N2K5,H4N,27,1,1,2, , , , , , , , , , , , , , ,4, , ,1,1,4,1,4,2,0,1,5,1,1,3,3,1,1,3,1,2,1,1,1,2, ,2.30148156975812
01293,KIRKLAND,H9H4M3,H9H,26,1,1,1,2, , ,4,3,1,2,2,2,3,1,2,1,1, , , ,4,4,2,1,4,2,0,1,9,2,2,3,3,4,3,1,1,2,1,2,2,1,3,.71318334403313
01294,MONTREAL,H1E7P2,H1E,3,1,1,1,2, , ,2,1,2,2,2,2,1,2,2,1,2, , , ,2,1,2,1,4,2,0,1,6,1,1,1,1,2,1,1,1,2,1,1,1,1,1,.91357010076408
01302,MONTREAL,H1W2K5,H1W,13,1,1,1,97, , ,4,3,1,2,2,1,4,1,1,1,1, , , ,4,2,4,1,4,1, ,2,2,2,1,1,1,4,1,3,1,2,2,2,1,1,3,.71318334403313
01308,VERDUN,H4G2Z2,H4G,7,1,1,1,2,3, ,2,1,2,2,2,2,3,1,1,1,2, , , ,1,1,4,2,3,2,2,2,2,2,1,2,2,1,1,3,2,1,2,2,1,1,1,2.16279574167529
01318,POINTE-AUX-TREMBLES,H1B3A7,H1B,17,1,1,2, , , , , , , , , , , , , , ,4, , ,2,1,2,1,4,2,0,2,4,2,1,1,1,2,1,1,1,2,2,2,1,2, ,.98007152863766
01321,MONTREAL-NORD,H1G,H1G,14,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,2,4,2,2,0,1,4,2,1,1,1,4,3,1,3,1,1,2,1,2, ,.71318334403313
01324,MONTREAL,H3W1C8,H3W,11,1,1,2, , , , , , , , , , , , , , ,4,5, ,2,1,3,4,4,2,2,2,3,2,1,2,2,2,1,2,3,2,2,2,1,2, ,.98007152863766
01325,MONTREAL,H2W1V5,H2W,2,1,1,1,5,1, ,3,2,2,2,2,2,3,1,1,1,2, , , ,1,3,4,1,4,2,1,1,4,1,1,2,2,1,2,3,1,2,1,1,1,1,2,2.30148156975812
01332,MONTREAL,H2M2L4,H2M,9,1,1,1,97, , ,4,1,2,2,2,2,1,1,2,1,1, , , ,3,4,3,1,4,1, ,1,5,2,1,2,2,3,3,2,1,2,1,2,1,1,3,.76672607558491
01339,MONTREAL,H4C2E9,H4C,5,1,1,2, , , , , , , , , , , , , , ,1, , ,1,1,3,4,4,1, ,2,2,2,2,2,2,1,1,2,3,2,2,2,2,2, ,2.16279574167529
01341,MONTREAL,H2M1T1,H2M,9,1,1,1,2, , ,2,1,2,2,2,2,2,2,2,1,2, , , ,2,1,4,2,4,1, ,2,4,2,1,2,2,2,1,3,2,2,2,2,1,1,1,.98007152863766
01342,MONTREAL,H2B,H2B,9,1,1,2, , , , , , , , , , , , , , ,3, , ,2,1,2,1,4,1, ,2,9,2,1,2,2,2,1,1,1,2,2,2,1,2, ,.98007152863766
01344,MONTREAL,H2A3E3,H2A,6,1,1,2, , , , , , , , , , , , , , ,3, , ,4,6,2,2,4,1, ,2,9,2,1,2,2,4,4,1,2,2,2,2,1,2, ,.71318334403313
01350,MONTREAL,H2N1K2,H2N,9,1,1,1,1, , ,4,4,1,2,2,2,2,1,2,9,1, , , ,3,1,3,4,4,2,0,2,6,1,1,2,2,3,1,2,3,2,2,1,1,1,3,.81856585972332
01353,MONTREAL-NORD,H1H4N9,H1H,14,1,1,1,2, , ,2,2,2,2,2,2,2,1,2,9,1, , , ,2,2,4,4,3,2,3,1,5,2,1,1,1,2,1,3,3,1,1,2,1,1,1,.98007152863766
01356,SAINT-LEONARD,H1R1C4,H1R,15,1,1,2, , , , , , , , , , , , , , ,3,18, ,2,1,2,1,4,2,2,2,5,1,1,1,1,2,1,1,1,2,2,1,1,2, ,.91357010076408
01359,MONTREAL-NORD,H1G2M8,H1G,14,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,4,2,4,1, ,2,1,1,1,1,1,4,3,3,2,2,2,1,1,2, ,.56147799073084
01372,MONTREAL-NORD,H1H4K9,H1H,14,1,1,1,2, , ,4,1,2,2,2,2,2,1,2,1,2, , , ,3,4,3,2,4,2,0,1,9,1,1,1,1,3,3,2,2,2,1,1,1,1,3,.81856585972332
01396,MONTREAL,H1A3A9,H1A,3,1,1,2, , , , , , , , , , , , , , ,99, , ,3,1,2,1,4,1, ,2,4,1,1,1,1,3,1,1,1,2,2,1,1,2, ,.81856585972332
01398,MONTREAL,H3W2N1,H3W,11,1,1,1,1, , ,2,1,2,2,2,2,1,2,2,9,2, , , ,1,3,3,4,2,3,0,1,9,1,1,2,2,1,2,2,3,1,1,1,1,1,1,2.30148156975812
01405,MONTREAL,H1K3G1,H1K,10,1,1,2, , , , , , , , , , , , , , ,5, , ,1,5,3,1,4,1, ,2,9,1,1,1,1,1,4,2,1,2,2,1,1,2, ,2.30148156975812
01409,MONTREAL,H1X3J7,H1X,4,1,1,2, , , , , , , , , , , , , , ,14,97, ,3,1,4,1,4,1, ,1,5,2,1,2,2,3,1,3,1,2,1,2,1,2, ,.76672607558491
01410,MONTREAL,H3T1H9,H3T,11,1,1,2, , , , , , , , , , , , , , ,99, , ,3,1,4,1,3,2,0,2,2,2,1,2,2,3,1,3,1,1,2,2,1,2, ,.76672607558491
01414,MONTREAL,H2G1X4,H2G,4,1,1,2, , , , , , , , , , , , , , ,1,97, ,1,1,3,1,4,2,0,2,2,2,1,2,2,1,1,2,1,2,2,2,1,2, ,2.16279574167529
01417,SAINT-LAURENT,H4L4L7,H4L,27,1,1,2, , , , , , , , , , , , , , ,1, , ,4,6,1,2,4,1, ,2,1,2,1,3,3,4,4,1,2,2,2,2,1,2, ,.71318334403313
01429,MONTREAL,H3M2Y5,H3M,9,1,1,1,2, , ,4,4,2,2,2,2,3,1,2,1,2, , , ,2,1,3,4,4,3,2,1,5,2,1,2,2,2,1,2,3,2,1,2,1,1,3,.98007152863766
01438,MONTREAL,H1X1V9,H1X,4,1,1,2, , , , , , , , , , , , , , ,4, , ,1,1,3,2,3,2,0,2,9,2,1,2,2,1,1,2,2,1,2,2,1,2, ,2.16279574167529
01439,PIERREFONDS,H9J3P3,H9J,21,1,1,1,2, , ,3,1,2,2,2,2,1,2,2,1,1, , , ,3,1,3,2,4,4,0,1,6,1,1,3,3,3,1,2,2,2,1,1,1,1,2,.81856585972332
01443,LASALLE,H8R2K4,H8R,28,1,1,2, , , , , , , , , , , , , , ,3, , ,3,1,4,1,4,4,0,2,6,2,1,3,3,3,1,3,1,2,2,2,1,2, ,.76672607558491
01449,MONTREAL,H2E,H2E,6,1,1,1,1, , ,2,4,2,2,2,2,2,1,1,1,2, , , ,2,1,3,1,4,2,0,2,3,2,1,2,2,2,1,2,1,2,2,2,1,1,1,.98007152863766
01450,MONTREAL,H1N1T8,H1N,13,1,1,2, , , , , , , , , , , , , , ,5, , ,4,6,1,2,4,2,0,2,1,2,1,1,1,4,4,1,2,2,2,2,1,2, ,.71318334403313
01451,MONTREAL,H2E1W4,H2E,6,1,1,2, , , , , , , , , , , , , , ,5,4, ,2,1,4,2,4,1, ,2,5,2,1,2,2,2,1,3,2,2,2,2,1,2, ,.98007152863766
01459,MONTREAL,H1K4J1,H1K,10,1,1,2, , , , , , , , , , , , , , ,3,1, ,4,4,3,1,4,1, ,2,3,1,1,1,1,4,3,2,1,2,2,1,1,2, ,.56147799073084
01485,MONTREAL,H3S2W3,H3S,11,1,1,2, , , , , , , , , , , , , , ,3, , ,4,4,4,3,4,1, ,1,4,2,1,2,2,4,3,3,2,2,1,2,1,2, ,.71318334403313
01495,MONTREAL,H2Y,H2Y,16,1,1,1,1, , ,2,1,2,2,2,2,1,2,2,1,2, , , ,1,1,4,1,4,2,1,1,6,1,1,2,2,1,1,3,1,2,1,1,1,1,1,2.30148156975812
01496,VERDUN,H4G2Y9,H4G,7,1,1,2, , , , , , , , , , , , , , ,3, , ,3,5,2,1,4,1, ,2,1,2,2,2,2,3,4,1,1,2,2,2,2,2, ,.76672607558491
01497,MONTREAL,H4B2K3,H4B,11,1,1,1,97, , ,2,1,2,2,2,2,1,2,2,1,1, , , ,4,1,2,1,4,2,0,1,3,2,2,2,2,4,1,1,1,2,1,2,2,1,1,.71318334403313
01498,MONTREAL-NORD,H1H4G3,H1H,14,1,1,1,1, , ,1,1,2,2,2,2,1,2,2,1,2, , , ,2,1,3,4,2,2,0,2,2,1,1,1,1,2,1,2,3,1,2,1,1,1,1,.91357010076408
01501,MONTREAL,H2C1W7,H2C,9,1,1,1,2, , ,4,1,1,2,2,2,1,2,2,2,2, , , ,3,4,2,1,4,1, ,1,9,1,1,2,2,3,3,1,1,2,1,1,1,1,3,.81856585972332
01502,MONTREAL,H2M1T5,H2M,9,1,1,1,1, , ,2,1,2,2,2,2,2,2,2,1,2, , , ,2,1,4,2,4,2,2,1,3,1,1,2,2,2,1,3,2,2,1,1,1,1,1,.91357010076408
01505,MONTREAL,H2L1L2,H2L,16,1,1,1,97, , ,2,2,2,2,2,2,2,2,2,1,1, , , ,1,1,4,2,3,2,0,1,3,1,1,2,2,1,1,3,2,1,1,1,1,1,1,2.30148156975812
01511,LASALLE,H8R4C4,H8R,28,1,1,1,1, , ,3,3,2,2,2,2,2,2,2,2,1, , , ,4,4,4,2,4,2,0,1,2,1,1,3,3,4,3,3,2,2,1,1,1,1,2,.56147799073084
01518,MONTREAL,H3C6J4,H3C,5,1,1,1,1, , ,3,1,2,2,2,2,1,2,2,1,1, , , ,3,1,4,2,4,2,0,1,6,1,1,2,2,3,1,3,2,2,1,1,1,1,2,.81856585972332
