id_entente,date_signature_sys,nom_entente,arrondissement,adr_emplacement,lot,superf_resid_ajout,nb_log_ajout,contrib_social_fin,mnt_contrib_social_fin,contrib_social_tss,superf_resid_social_tss,prix_achat_tss,contrib_social_ths,superf_resid_social_prevu_ths,prix_achat_ths,contrib_social_cem,contrib_abord_fin,mnt_contrib_abord_fin,real_log_abord_ss,superf_tot_ss_entente,real_log_abord_hs,superf_tot_hs_entente,nb_log_famil_scdp
"1000179","2022-05-06","Domaine Bord-du-Lac","L'Île-Bizard - Sainte-Geneviève","1601, chemin Bord-du-Lac, H9E1K2",,2420,7,"Oui",50831,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000183","2022-06-15","4530, place Claire-Oderra","Saint-Laurent","4500, place Claire-Oddera, H4R0L3",,465,1,"Oui",488,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000277","2022-09-06","4055, rue Claude-Henri-Grignon","Saint-Laurent",,,504,1,"Oui",1758,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000317","2022-09-28","Projet Alepin","LaSalle",,,3970,16,"Oui",96401,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000318","2022-09-19","VINAIGRIERS147","L'Île-Bizard - Sainte-Geneviève",,,1166,1,"Oui",17291,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000130","2022-12-22","Symphonia phase 3","Verdun",,,38273,257,"Oui",2823908,"Non",,,"Non",,,"Non","Oui",821697,"Non",,"Non",,26
"1000533","2024-06-17",,"Ville-Marie","1172, rue Bishop, H3G2E3",,2749,67,"Oui",173506,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,3
"1000565","2024-05-16","1845-1855 rue du Liban","Ahuntsic - Cartierville","1845, rue Liban, H4N2V7",,4663,99,"Oui",174424,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,10
"1000112","2022-01-31","Le Sabrevois","Montréal-Nord","3645, rue Sabrevois, H1H2W7",,2601,32,"Oui",56151.9,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000165","2022-05-27"," 6461 -6465 - 6469,  avenue Azilda (Nouveaux lots  6 452 480, 6 452 481, 6 452 482)","Anjou",,,519,3,"Oui",1666,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000166","2022-04-06",,"Villeray - Saint-Michel - Parc-Extension",,,2542,31,"Oui",97852,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
"1000570","2024-06-11","Marquette","Rosemont - La Petite-Patrie",,,2300,22,"Oui",93591,"Non",,,"Non",,,"Non","Oui",0,"Non",,"Non",,0
