"Code de la
municipalité";Nom de la municipalité;"Type de
municipalité";"Code
de la
MRC";Nom de la MRC;"Code de la
région
administrative";"Nom de la région
administrative";"Code de
l'arrondissement";Nom de l'arrondissement;Nom du district électoral;"Identifiant
du poste";"Code
du
type
de
poste";Type de poste;Nom;Prénom;Sexe;Sortant;"Nom du parti ou de
l'équipe";"Nombre
d'électeurs";"Nombre
de votes
reçus
par le
candidat";"Nombre
de
votes
rejetés";"Statut du
candidat"
02015;Grande-Rivière;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;3;CV;Conseiller;BRIAND;LEOPOLD;M;"Sortant
(même
poste)"; ;478;0;.;"Élu sans
opposition"
02015;Grande-Rivière;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;4;CV;Conseiller;NICOLAS;LUCIE;F;"Sortant
(même
poste)"; ;469;0;.;"Élu sans
opposition"
02015;Grande-Rivière;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;5;CV;Conseiller;LEBLANC;GASTON;M;"Sortant
(même
poste)"; ;567;0;.;"Élu sans
opposition"
02015;Grande-Rivière;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;6;CV;Conseiller;BEAUDIN;DENIS;M;"Sortant
(même
poste)"; ;499;0;.;"Élu sans
opposition"
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Daraiche;Gilles;M;"Nouveau
candidat"; ;6443;1843;14;Élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Pelchat;Denis;M;"Sortant
(autre
poste)"; ;6443;1375;14;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Blais;Marie Claire;F;"Nouveau
candidat"; ;6443;512;14;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Newport;1;CV;Conseiller;Godbout;Bruno-Pierre;M;"Sortant
(même
poste)"; ;1294;446;8;Élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Newport;1;CV;Conseiller;Grenier;Claude;M;"Nouveau
candidat"; ;1294;303;8;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Pabos Mills;2;CV;Conseiller;Ritchie;Meggie;F;"Sortant
(même
poste)"; ;1198;604;1;Élu
