OBJECTID,MUNICIPALITE,USAGE,ADRESSE,DATE_CREATION,HAUTEUR,ALTITUDE_TOIT,TYPE,SUPERFICIE,GEOM,Suivit_JP
238548,10043,Production et extraction de richesses naturelles,"1275, Bel-Air (Route du)",20061010,-666,-666,2,210.6624,Polygone,
238549,10043,Résidentielle,"1267, Bel-Air (Route du)",20061010,-666,-666,2,62.44650235,Polygone,
238550,10043,Production et extraction de richesses naturelles,"1236, Bel-Air (Route du)",20061010,-666,-666,2,165.939758455,Polygone,
238551,10043,Production et extraction de richesses naturelles,"1236, Bel-Air (Route du)",20160501,-666,-666,2,1775.16418275,Polygone,
238552,10043,Production et extraction de richesses naturelles,"1233, Bel-Air (Route du)",20061010,-666,-666,2,31.92277924,Polygone,
238553,10043,Production et extraction de richesses naturelles,"1236, Bel-Air (Route du)",20061010,-666,-666,2,382.5256735,Polygone,
238554,10043,Résidentielle,"1196, Bel-Air (Route du)",20061010,-666,-666,2,55.934220575,Polygone,
238555,10043,Production et extraction de richesses naturelles,"1169 à 1183, Bel-Air (Route du)",20061010,-666,-666,2,654.0045,Polygone,
238556,10043,Production et extraction de richesses naturelles,"1147 à 1153, BEL-AIR (Route du)",20061010,-666,-666,2,881.05023176,Polygone,
238557,10043,Production et extraction de richesses naturelles,"1147 à 1153, BEL-AIR (Route du)",20061010,-666,-666,2,22.06,Polygone,
238558,10043,Production et extraction de richesses naturelles,"0, Bel-Air (Route du)",20061010,-666,-666,2,437.06845,Polygone,
238559,10043,Résidentielle,"1162, Bel-Air (Route du)",20160501,-666,-666,2,18.534405,Polygone,
238560,10043,Production et extraction de richesses naturelles,"0, Bel-Air (Route du)",20061010,-666,-666,2,127.2589696,Polygone,
238561,10043,Résidentielle,"1129, Bel-Air (Route du)",20061010,-666,-666,2,75.58119604,Polygone,
238562,10043,Résidentielle,"1125, Bel-Air (Route du)",20061010,-666,-666,2,67.0768,Polygone,
238563,10043,Résidentielle,"1109, Bel-Air (Route du)",20061010,-666,-666,2,82.43588062,Polygone,
238564,10043,Résidentielle,"1375, Lausanne (Chemin de)",20061010,-666,-666,2,25.132218,Polygone,
238565,10043,Résidentielle,"1375, Lausanne (Chemin de)",20061010,-666,-666,2,9.0934078,Polygone,
238566,10043,Résidentielle,"1361, Lausanne (Chemin de)",20061010,-666,-666,2,55.38291701,Polygone,
238567,10043,Résidentielle,"1406, Lausanne (Chemin de)",20061010,-666,-666,2,65.34134566,Polygone,
238568,10043,Résidentielle,"1392, Lausanne (Chemin de)",20061010,-666,-666,2,34.778923885,Polygone,
238569,10043,Production et extraction de richesses naturelles,"0, BEL-AIR (Route du)",20061010,-666,-666,2,406.3976,Polygone,
238570,10043,Résidentielle,"1396, Lausanne (Chemin de)",20061010,-666,-666,2,57.1080126,Polygone,
238571,10043,Résidentielle,"1392, Lausanne (Chemin de)",20061010,-666,-666,2,24.1688,Polygone,
238572,10043,Résidentielle,"1380, Lausanne (Chemin de)",20061010,-666,-666,2,16.09738929,Polygone,
238573,10043,Résidentielle,"1366, Lausanne (Chemin de)",20061010,-666,-666,2,21.2656,Polygone,
238574,10043,Résidentielle,"1392, Lausanne (Chemin de)",20061010,-666,-666,2,10.016,Polygone,
238575,10043,Résidentielle,"1392, Lausanne (Chemin de)",20061010,-666,-666,2,23.448,Polygone,
238576,10043,Résidentielle,"1356, Lausanne (Chemin de)",20061010,-666,-666,2,49.56697383,Polygone,
238577,10043,Production et extraction de richesses naturelles,"0, Bel-Air (Route du)",20061010,-666,-666,2,21.5296,Polygone,
238578,10043,Immeubles non exploités et étendues d'eau,"0, Lausanne (Chemin de)",20061010,-666,-666,2,11.4976,Polygone,
238579,10043,Résidentielle,"1122, Bel-Air (Route du)",20061010,-666,-666,2,10.9176,Polygone,
238580,10043,Production et extraction de richesses naturelles,"1043, Bel-Air (Route du)",20061010,148.20657349,148.20657349,2,343.34595,Polygone,
238581,10043,Résidentielle,"1137, Lausanne (Chemin de)",20061010,-666,-666,2,13.7844,Polygone,
238582,10043,Résidentielle,"1106, Lausanne (Chemin de)",20061010,119.43136597,119.43136597,2,23.1623,Polygone,
238583,10043,Résidentielle,"1106, Lausanne (Chemin de)",20061010,121.46765137,121.46765137,2,9.1772,Polygone,
238584,10043,Résidentielle,"0, Lausanne (Chemin de)",20061010,101.32095337,101.32095337,2,83.2358,Polygone,
238585,10043,Production et extraction de richesses naturelles,"1349, Saint-Germain (Boulevard le)",20061010,3.6698048,83.02683258,2,106.2934,Polygone,
238586,10043,Résidentielle,"1312, Saint-Germain (Boulevard le)",20061010,2.69702186,81.64846802,2,39.4463,Polygone,
238587,10043,Résidentielle,"1312, Saint-Germain (Boulevard le)",20061010,3.26873897,82.70228577,2,60.688676535,Polygone,
238588,10043,Production et extraction de richesses naturelles,"337, Prés Ouest (Chemin des)",20061010,-666,-666,2,178.772892375,Polygone,
238589,10043,, ,20061010,-666,-666,2,8.338385,Polygone,
238590,10043,Production et extraction de richesses naturelles,"0, Prés Ouest (Chemin des)",20061010,-666,-666,2,441.4736,Polygone,
238591,10043,Production et extraction de richesses naturelles,"0, Saint-Germain (Boulevard le)",20061010,8.72909436,90.44877625,2,324.237,Polygone,
238592,10043,Production et extraction de richesses naturelles,"0, Prés Ouest (Chemin des)",20061010,-666,-666,2,72.776,Polygone,
238593,10043,Résidentielle,"896, Lausanne (Rue de)",20061010,5.02057381,101.90480804,2,44.5922,Polygone,
238594,10043,Résidentielle,"57, Pulpe (Chemin de la)",20061010,2.93989722,59.77186203,2,70.7295,Polygone,
238595,10043,"Culturelle, récréative et de loisirs","400, Rivière (Boulevard de la)",20061010,4.72285677,58.99173737,2,71.095379,Polygone,
238596,10043,Résidentielle,"1199, Saint-Germain (Boulevard le)",20061010,2.31112586,88.30220795,2,21.24,Polygone,
238597,10043,Industries manufacturières,"1145, Saint-Germain  (Boulevard le)",20061010,8.54057083,86.13323212,2,97.3563,Polygone,
238598,10043,Industries manufacturières,"1145, Saint-Germain  (Boulevard le)",20160501,0.04229926,77.42170715,2,7.29469115,Polygone,
238599,10043,Résidentielle,"270, Lac-Bellavance (Chemin du)",20061010,-666,-666,2,9.001703525,Polygone,
238600,10043,Résidentielle,"1250, Plage (Rue de la)",20061010,2.41956109,8.38691616,2,22.4233,Polygone,
238601,10043,, ,20061010,-666,-666,2,5.5404,Polygone,
238602,10043,Résidentielle,"200, Lac-Bellavance (Chemin du)",20160501,-666,-666,2,48.933052125,Polygone,
238603,10043,Production et extraction de richesses naturelles,"0, Prés Ouest (Chemin des)",20061010,-666,-666,2,452.3982,Polygone,
238604,10043,, ,20061010,-666,-666,2,532.8744,Polygone,
238605,10043,Résidentielle,"109, Prés O (Chemin des)",20061010,-666,-666,2,45.31732664,Polygone,
238606,10043,Production et extraction de richesses naturelles,"0, Prés Ouest (Chemin des)",20061010,-666,-666,2,18.551674635,Polygone,
238607,10043,Industries manufacturières,"1145, Saint-Germain  (Boulevard le)",20061010,4.35997958,79.04329681,2,225.1138,Polygone,
238608,10043,Industries manufacturières,"1145, Saint-Germain  (Boulevard le)",20061010,3.23836394,78.54769897,2,61.5903,Polygone,
238609,10043,, ,20061010,-666,-666,2,13.2152,Polygone,
238610,10043,Production et extraction de richesses naturelles,"183, Prés O (Chemin des)",20061010,-666,-666,2,459.8144,Polygone,
238611,10043,Résidentielle,"81, Prés Ouest (Chemin des)",20061010,-666,-666,2,48.585,Polygone,
238612,10043,Résidentielle,"81, Prés Ouest (Chemin des)",20061010,-666,-666,2,522.409205775,Polygone,
238613,10043,Résidentielle,"81, Prés Ouest (Chemin des)",20061010,-666,-666,2,26.7492,Polygone,
238614,10043,, ,20061010,-666,-666,2,72.237154,Polygone,
238615,10043,Résidentielle,"1220, Plage (Rue de la)",20160501,1.91108614,8.30508614,2,10.81303209,Polygone,
238616,10043,Production et extraction de richesses naturelles,"0, Prés E (Chemin des)",20061010,-666,-666,2,71.6136,Polygone,
238617,10043,Résidentielle,"1206, Plage (Rue de la)",20061010,2.72865435,8.45696831,2,9.6645,Polygone,
238618,10043,Résidentielle,"55, Prés Ouest (Chemin des)",20061010,-666,-666,2,357.92773894,Polygone,
238619,10043,Résidentielle,"256, Lac-Bellavance (Chemin du)",20160501,-666,-666,2,23.417270505,Polygone,
238620,10043,, ,20061010,-666,-666,2,54.42338632,Polygone,
238621,10043,Résidentielle,"236, Lac-Bellavance (Chemin du)",20160501,-666,-666,2,15.92531731,Polygone,
238622,10043,Résidentielle,"240, Lac-Bellavance  (Chemin du)",20061010,-666,-666,2,8.9352,Polygone,
238623,10043,Résidentielle,"982, Buttes (Chemin des)",20160501,-666,-666,2,41.8814034,Polygone,
238624,10043,Résidentielle,"1106, Saint-Germain (Boulevard le)",20061010,3.54347624,59.1413002,2,43.7178,Polygone,
238625,10043,Résidentielle,"869, Cathédrale (Avenue de la)",20061010,-666,-666,2,51.55762405,Polygone,
238626,10043,Résidentielle,"23, Prés Est (Chemin des)",20061010,-666,-666,2,29.71080147,Polygone,
238627,10043,Production et extraction de richesses naturelles,"0, Buttes (Chemin des)",20061010,-666,-666,2,76.29985,Polygone,
238628,10043,Résidentielle,"859, Cathédrale (Avenue de la)",20061010,-666,-666,2,9.956491,Polygone,
238629,10043,Résidentielle,"23, Prés Est (Chemin des)",20061010,-666,-666,2,18.242354915,Polygone,
238630,10043,Résidentielle,"1082, Saint-Germain (Boulevard le)",20061010,1.81169742,45.07780457,2,18.4218,Polygone,
238631,10043,Résidentielle,"876, Cathédrale (Avenue de la)",20160501,-666,-666,2,52.16202268,Polygone,
238632,10043,Résidentielle,"850, Cathédrale (Avenue de la)",20061010,-666,-666,2,52.15282166,Polygone,
238633,10043,Résidentielle,"856, Cathédrale (Avenue de la)",20061010,-666,-666,2,11.69050186,Polygone,
238634,10043,Résidentielle,"73, Prés Est (Chemin des)",20061010,-666,-666,2,82.84247902,Polygone,
238635,10043,"Transports, communications et services publics","0, Saules (Montée des)",20061010,3.96585851,105.70011139,2,7.28,Polygone,
238636,10043,Résidentielle,"1106, Plage (Rue de la)",20061010,3.39161496,9.04537106,2,12.2205,Polygone,
238637,10043,"Transports, communications et services publics","0, Saules (Montée des)",20061010,2.98219532,105.08431244,2,23.7555,Polygone,
238638,10043,Résidentielle,"914, Buttes (Chemin des)",20061010,-666,-666,2,11.0774,Polygone,
238639,10043,Résidentielle,"66, Prés Est (Chemin des)",20061010,-666,-666,2,45.928542,Polygone,
238640,10043,Résidentielle,"914, Buttes (Chemin des)",20061010,-666,-666,2,38.74121913,Polygone,
238641,10043,Résidentielle,"308, Saules (Montée des)",20061010,2.27413721,106.73461914,2,10.5449,Polygone,
238642,10043,Résidentielle,"906, Buttes (Chemin des)",20061010,-666,-666,2,20.50715915,Polygone,
238643,10043,Résidentielle,"66, Prés Est (Chemin des)",20061010,-666,-666,2,27.12,Polygone,
238644,10043,Résidentielle,"93, Prés Est (Chemin des)",20160501,-666,-666,2,99.22301944,Polygone,
238645,10043,Résidentielle,"897, Buttes (Chemin des)",20160501,-666,-666,2,80.750440205,Polygone,
238646,10043,Résidentielle,"850, Cathédrale (Avenue de la)",20061010,-666,-666,2,17.58827708,Polygone,
238647,10043,Résidentielle,"84, Prés Est (Chemin des)",20061010,-666,-666,2,70.20612687,Polygone,
