# accreditation;Nom_employeur;Adresse_employeur;Nom_association;Syndicat;Statut_arret_de_travail;Secteur_Prive_Public;Secteur_activite_economique;Code_activite_economique;Region_administrative;Nombre_de_travailleurs_touches;Nombre_de_jours_personnes_perdus_dans_annee;Debut_du_conflit;Date_de_fin;Date_expiration_derniere_convention_collective;Nombre_ jours_personnes_perdus_depuis_debut_du_conflit;Duree_jours_ouvrables_depuis_debut 
AM20008678;Capsules Amcor Flexibles Canada inc.;2301. route 112.  Saint-Cesaire J0L1T0;Syndicat des travailleuses et des travailleurs d'Amcor-CSN;CSN;Greve;Prive;Industries de la fabrication des produits metalliques (sauf les industries de la machinerie et du ma;3042;Monteregie;72;613;2024-02-18;2024-04-29;2023-07-31;613;9
AQ20018270;Ville de Saint-Georges;11700. boulevard Lacroix.  Saint-Georges G5Y1L3;Syndicat des travailleuses et travailleurs municipaux de la Ville de Saint-Georges - CSN;CSN;Greve;Public;Services des administrations locales;8364;Chaudiere-Appalaches;36;3392;2024-02-03;;2022-12-31;3392;95
AM20010900;Industries Lemieux inc.;1401. RUE Graham-Bell.  Boucherville J4B6A1;Syndicat des Metallos. section locale 7625;FTQ;Greve;Prive;Industries de la fabrication des produits metalliques (sauf les industries de la machinerie et du ma;3081;Monteregie;29;232;2024-02-23;2024-03-05;2023-12-31;145;8
AM20003127;Les Planchers Mercier (Drummondville) inc.;1125. rue Rocheleau Drummondville (Quebec)  ;Union des employes et employees de service. section locale 800;FTQ;Greve;Prive;Industries du bois;2545;Centre-du-Quebec;69;345;2024-02-26;2024-03-02;2023-11-29;345;5
AM20014994;Societe de Developpement Culturel de Terrebonne (SODECT/TVT);866. rue Saint-Pierre.  Terrebonne J6W1E5;Alliance internationale des employes de  scene et de cinema section locale 56;FTQ;Greve;Prive;Associations;9862;Lanaudiere;30;60;2024-02-05;;2022-12-31;60;2
AC30001683;Universite McGill;3644. RUE Peel.  Montreal H3A1W9;Association of McGill Professors of Law (AMPL) / Association mcgillienne des professeur.e.s de droit (AMPD);IND LOC;Greve;Public;Services d'enseignement;8531;Montreal;45;1298;2024-02-13;;;1298;29
AQ20021472;Autobus Voltigeurs inc.;1602. boulevard Lemire Drummondville (Quebec)  J2C 5A4  ;Syndicat des travailleuses et travailleurs des Autobus Voltigeurs - CSN;CSN;Greve;Prive;Transports;4573;Centre-du-Quebec;40;1680;2024-02-22;;2023-06-30;1680;42
AQ20013484;Syndicat des professionnelles et professionnels de recherche de l'Universite Laval;Pavillon Maurice-Pollack 2305. rue de l'Universite. local 3109 Quebec QC  G1V 0A6 ;Syndicat des employees et employes professionnels-les et de bureau. section locale 574. SEPB CTC-FTQ;FTQ;Greve;Prive;Associations;9841;Capitale-Nationale;3;1.5;2024-02-27;;2022-03-19;1;1
AQ20017802;Institut canadien de Quebec;350. rue Saint-Joseph Est.  Quebec G1K3B2;Travailleurs et travailleuses unis de l'alimentation et du commerce. Section locale 501;FTQ;Greve;Public;Services d'enseignement;8561;Capitale-Nationale;205;13530;2024-03-01;;2022-12-31;13530;66
AC30000302;Promark-Telecon inc.;9500. BOUL Parkway.  Montreal H1J1N9;Teamsters Quebec Local 1999;FTQ;Lock-out;Prive;Autres services;9999;Montreal;50;3150;2024-03-06;;;3150;63
