NO_REF_BIO,SUPERFICIE,NO_REG_ADM,NM_REG_ADM,MODE_GEST,STATUT,DTMAJ,DATE_PUBLI 
08751R025,440.4,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04151R016,54.9,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
11153R075,142.2,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02751R027,324.1,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02352R051,120,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02451R011,154.6,02,Saguenay--Lac-Saint-Jean,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
01253R037,126.6,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
08764R021,501.1,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
02666R007,570.5,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
04251R509,132.4,04,Mauricie,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04352R075,80,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
02751R025,599.3,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04351R004,308.2,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
04151R075,199.2,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
02551R016,471.1,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R758,60.5,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
06152R018,191.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
09352R012,522.7,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
09352R063,185.9,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
02661R026,537.6,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
09451R066,177.4,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
02352R059,305.6,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02661R089,195.5,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
09351R065_P,232.2,09,Côte-Nord,55,Projet de refuge biologique exclu de la production forestière,20200715000000,2023-04-01
07152R071,162.4,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
09551R012,260.9,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
06251R016,78.6,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
11255R116,111.6,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08351R107,164.3,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R074,88.8,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
11256R181,144.5,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07451R059,108.5,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
11256R160,247.7,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06251R017,49.9,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
02452R005,139.3,02,Saguenay--Lac-Saint-Jean,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06152R017,80.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
11152R012,110,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20220617000000,2023-04-01
07351R066,109.8,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R506,308.9,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
08152R019,142.7,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
941-005,11.1,02,Saguenay--Lac-Saint-Jean,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
009-001,64.6,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04352R008,58.2,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
11153R072,879.1,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08551R053,166.8,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
11255R139,205.2,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
06251R006,91.7,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
02661R081,183.1,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
02451R061,309.1,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20210714000000,2023-04-01
02452R042,114.6,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08551R074,147.1,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04351R014,127.5,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
09352R027,168.3,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
09351R102,499.9,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
11256R146,172.3,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
07451R137,562.6,07,Outaouais,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07351R033,54.6,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R048,66.6,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
08251R001,192.9,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07352R075,57.3,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
02251R022,130.6,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08152R201,94.9,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
08451R017,206.9,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
11152R034,112.5,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02551R106,448.7,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08152R098,85,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R060,305.6,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
02451R022,253.8,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
07451R547,64.5,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02661R053,216.7,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
02251R015,149.9,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02452R047,115.3,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02352R018,196.3,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09352R048,318.1,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
08651R019,562.9,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
03151R021,60.3,03,Capitale-Nationale,55,Projet de refuge biologique exclu de la production forestière,20230228000000,2023-04-01
04151R069,67.2,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
02661R059,236.4,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
02251R009,24.6,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
01152R011,166.1,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
11256R170,623.7,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
03351R029,82.8,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
079-003,5.8,15,Laurentides,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07151R001,159.8,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R059,85.6,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R062,163.7,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R005,121.4,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
07451R057,185.1,07,Outaouais,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06152R004,96.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R148,66.3,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
02251R045,114.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09551R011,177.6,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
07451R079,91.8,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R114,51.4,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
06252R026,71.5,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R035,72.6,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R006,183,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
07152R044,83.2,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
089-003,84.4,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08764R020,291.3,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
08451R053,505.2,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06451R002,128.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
08451R040,648.5,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09751R055,204.2,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
02251R037,115.9,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02664R003,866.1,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
09352R019,139.1,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
08351R011,291.2,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09351R024,598.6,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
02665R014,186.9,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
02663R004,90.3,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
01253R033,133.9,01,Bas-Saint-Laurent,59,Refuge biologique désigné,20200619000000,2023-04-01
04151R937,122.7,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
09352R045,119.3,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
07151R008,75.4,07,Outaouais,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07152R049,89.7,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
088-019,71.8,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04351R002,119.6,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
04351R076,149.8,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
08651R011,107.3,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20210225000000,2023-04-01
09351R083,144.4,09,Côte-Nord,55,Projet de refuge biologique exclu de la production forestière,20200715000000,2023-04-01
04352R518,106.3,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
02452R006,215.7,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R080,554.4,04,Mauricie,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02452R040,908.9,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
11153R046,133.8,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
02751R003,159.9,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
11257R188,259.9,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
01254R003,168.1,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
087-003,75.5,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06451R011,121.1,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
08152R031,22.6,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R113,115,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
08551R030,150.4,10,Nord-du-Québec,59,Refuge biologique désigné,20200619000000,2023-04-01
09452R048,499.7,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R098,60.9,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
11257R199,222.3,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02551R157,146.1,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R032,467.5,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
07451R167,209.7,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
06251R045,57.8,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
02751R051,171.5,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08251R003,230.8,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02352R052,174.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
01151R017,54.5,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02551R032,168.5,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08351R092,134.4,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20230306000000,2023-04-01
08451R015,382.6,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06452R008,75,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
08751R019,120.5,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
11256R148,185,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
02665R004,203.3,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
09351R008,152.4,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
04251R187,221.4,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
08762R019,309.3,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
06251R032,105.1,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
07451R016,458.7,07,Outaouais,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02351R008,192.7,03,Capitale-Nationale,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R097,304.4,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R029,68.3,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
02451R018,155.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02352R014,131.3,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02452R004,108.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R041,60.7,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R027,179.3,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
06251R011,71.9,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R075,84.5,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
02351R282,185.8,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09751R159,177.9,09,Côte-Nord,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
11256R157,381.5,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06451R088,86.1,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
11151R009,531.9,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08151R057,68,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09351R063,217.6,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
01151R019,107.8,01,Bas-Saint-Laurent,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02661R077,124,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
11153R040,103,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
003-001,3.6,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02665R029,582.1,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
08451R051,139.5,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02451R050,129.5,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R058,123.6,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
07152R048,92.2,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
08762R027,162.2,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
02751R045,560.9,02,Saguenay--Lac-Saint-Jean,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06452R030,75.7,15,Laurentides,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
07152R094,54,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
09452R041,328.3,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
08651R039,188.7,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08551R058,147.8,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04351R075,200.1,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
11256R162,294.2,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
11256R173,134.3,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
02551R022,112.6,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
06151R009,60.9,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
02451R049,65.6,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09451R098,136.9,09,Côte-Nord,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
088-021,86.1,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200710000000,2023-04-01
09352R051,127.2,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
08151R010,62.8,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09452R063,320.7,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
08651R003,116.9,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09452R056,409.1,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
04151R088,538.8,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
01252R044,273.7,01,Bas-Saint-Laurent,59,Refuge biologique désigné,20200619000000,2023-04-01
02351R303,134.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08551R039,168.5,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
11152R019,388.3,11,Gaspésie--Îles-de-la-Madeleine,59,Refuge biologique désigné,20200619000000,2023-04-01
02751R002,317.9,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08763R009,304.3,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
09351R019,345.9,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
07251R052,52.1,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
06451R050,108.7,15,Laurentides,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09351R086,115,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
06451R139,88.8,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
03153R006,91.1,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
03153R011,648,03,Capitale-Nationale,59,Refuge biologique désigné,20230228000000,2023-04-01
02352R053,274.7,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02665R008,117,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
06451R031,108.2,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
04151R046,58.7,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
07451R533,345.4,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
08351R071,171.7,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
03351R053,279.9,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20230228000000,2023-04-01
02452R016,92.9,02,Saguenay--Lac-Saint-Jean,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02352R055,152,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
08251R025,244.2,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
08351R098,75.1,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
02251R033,115.7,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09452R043,204.2,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
02651R015,159.9,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
02451R059,175.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
02751R056,6.5,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R028,115.5,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
02661R029,373.4,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
08665R008,499.7,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
09551R008,111.8,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
07151R035,81.6,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
07352R036,58,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
02251R012,104.2,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04251R512,104,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
08663R003,422.6,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
09451R113,329.6,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
03351R061,85.6,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20230228000000,2023-04-01
02451R069,1139.1,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R016,67.5,04,Mauricie,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
04351R078,704.8,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
02451R028,176.9,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R029,88.4,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
04352R744,110.7,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
08764R027,321.5,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
08664R005,171.7,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
08663R012,335.5,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20230323000000,2023-04-01
02452R071,184.3,02,Saguenay--Lac-Saint-Jean,59,Refuge biologique désigné,20200619000000,2023-04-01
09352R018,397.4,09,Côte-Nord,59,Refuge biologique désigné,20200715000000,2023-04-01
04352R524,130.8,04,Mauricie,59,Refuge biologique désigné,20200619000000,2023-04-01
06251R023,122.8,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
11153R055,257.2,11,Gaspésie--Îles-de-la-Madeleine,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08152R074,148.5,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
09352R001,219.9,09,Côte-Nord,55,Projet de refuge biologique exclu de la production forestière,20200715000000,2023-04-01
06451R058,129.7,15,Laurentides,59,Refuge biologique désigné,20200619000000,2023-04-01
08551R004,174,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09451R001,133.9,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
07451R109,102.8,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
06251R031,114.3,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
08664R002,273.1,10,Nord-du-Québec,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
06252R015,112.4,14,Lanaudière,59,Refuge biologique désigné,20200619000000,2023-04-01
02661R027,868.9,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
07152R086,148.5,07,Outaouais,59,Refuge biologique désigné,20200619000000,2023-04-01
07451R128,188.8,07,Outaouais,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
08462R021,206.2,08,Abitibi-Témiscamingue,55,Projet de refuge biologique exclu de la production forestière,20200619000000,2023-04-01
09751R163,152.3,09,Côte-Nord,59,Refuge biologique désigné,20200619000000,2023-04-01
02662R006,142.4,10,Nord-du-Québec,59,Refuge biologique désigné,20230323000000,2023-04-01
08152R086,458.5,08,Abitibi-Témiscamingue,59,Refuge biologique désigné,20200619000000,2023-04-01
