PrjName,RecordNo,JOUR,PERIO,QC,QB,Q13,Q1AM1,Q1AM1O,Q1AM2,Q1AM2O,Q1AM3,Q1AM3O,Q1AM4,Q1AM4O,Q1AM5,Q1AM5O,Q1B,Q1BO,Q1C,Q2AA,Q2AB,Q2AC,Q2AD,Q2AE,Q2BA,Q2BB,Q2BC,Q2BD,Q2BE,Q3,Q4M1,Q4M1O,Q4M2,Q4M2O,Q4M3,Q4M3O,Q4M4,Q4M4O,Q4M5,Q4M5O,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10,Q11,Q12,Q14,Q14O,Q15,Q16,Q16B,Q16BO,Q16C,Q16CO,Q17,LANG;,,,,, 
12000_112B,2169,5,2,H8P3B6,5,3,13, , , , , , , , , , , ,1,1,2,2,2,2,1, , , , ,2, , , , , , , , , , ,9,1,1,1,1,1,2,1,1,2,1,1,2,1,1,3, ,2,3,5, ,3, ,2,FR;,,,,,
12000_112B,2176,1,2,H4C2Y3,16,3,10, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,2, ,1,4,1, ,1, ,2,FR;,,,,,
12000_112B,2177,5,2,H2P2J7,19,4,7, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,1,1,1,1,1,1,1,2,1,5,2, ,1,4,1, ,1, ,1,FR;,,,,,
"""12000_112B",2180,1,2,H4L4P5,14,5,7,"""""Travaux d 'égouts dans la rue ... alors ils ont mis des signaux pour que les voitures ne se parquent pas devant la maison et ils sont toujours là et pendant les travaux qui ont durés plusieurs jours"," il a fallu endurer les coupures d'eau donc avec des""""", , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,4,4,2,3,3,2,4,3,4,4,4,8,1, ,1,4,1, ,99,Arménien,2,"FR"";",,,,
12000_112B,2184,3,2,H8B2C6,5,3,10, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,2,1,2,2,2,2,2,2,4, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,2192,5,2,H2B2R2,1,5,21,Animaux dans la maison, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,2,1,2,2,1,1,1,2,4,3,1,4, ,2,4,3, ,1, ,2,FR;,,,,,
12000_112B,2194,3,2,H1V1Z3,7,2,21,nouvelle loi pour les chiens, , , , , , , , , , ,1,1,2,2,2,2,1, , , , ,2, , , , , , , , , , ,2,1,3,2,2,2,4,3,3,2,2,2,3,3,8,1, ,1,2,2, ,1, ,1,FR;,,,,,
12000_112B,2195,3,2,H3L2Z2,1,6,1, ,14,Agrile du frêne (arbres chez moi), , , , , , ,14,Agrile du frêne (arbres chez moi),2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,2,2, ,1,2,2,2,2,2,9,2,2,9,2,99,4, ,1,2,3, ,1, ,2,FR;,,,,,
12000_112B,2202,3,2,H3X3P4,3,5,14,un arbre tombé sur ma maison,4, , , , , , , ,14,un arbre est tombé sur ma maison,3,1,1,2,1,2,2,2, ,1, ,2, , , , , , , , , , ,1,2, ,1,1,1,2,1,1,2,2,1,2,2,9,1, ,1,4,3, ,2, ,2,FR;,,,,,
12000_112B,2205,1,2,H1R2N5,15,5,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,2,3,2,3,2,2,2,2,3,4,98,1, ,1,2,3, ,1, ,2,FR;,,,,,
12000_112B,2208,2,1,H2R2A4,19,4,21,Sur l'abolition des pitbulls à Montréal..., , , , , , , , , , ,99,2,1,2,2,2, ,1, , , ,2, , , , , , , , , , ,1,2, ,1,9,9,9,9,9,9,9,9,2,2,1,4, ,2,4,1, ,1, ,2,FR;,,,,,
12000_112B,2209,3,2,H4G1R2,1,6,7,Probleme d'eau, , , , , , , , , , ,5,2,1,2,2,2, ,999, , , ,2, , , , , , , , , , ,1,2, ,3,2,9,9,2,1,9,9,1,3,2,9,4, ,1,4,3, ,1, ,1,FR;,,,,,
"""12000_112B",2211,2,2,H4H1V8,17,6,17,"""""For the light out front was broken "," it took them  8 months to repair it...""""", , , , , , , , , , ,10,2,2,1,2,2, , ,1, , ,1,10, , , , , , , , , ,1,2, ,4,4,2,4,4,2,4,2,2,4,4,10,1, ,2,2,3, ,2, ,2,"EN"";",,,,
12000_112B,2214,5,2,H2E2R2,19,3,1, ,97,remarquage, , , , , , ,1, ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,5,9,2,2,2,2,2,1,1,2,2,1,2, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,2218,2,2,H2K3E8,18,4,1,PROBLEMES DE VIDANGES,15,PROBLEMES EXCRÉMENTS DE CHIEN, , , , , , ,1,PROBLEMES DE VIDANGES,5,2,1,1,2,2, ,3,2, , ,2, , , , , , , , , , ,9,2, ,2,2,1,1,1,1,2,1,1,2,2,5,1, ,1,4,1, ,1, ,1,FR;,,,,,
"""12000_112B",2220,1,1,H3J2Z7,16,4,97,"""""Un bri de fenêtre que la ville a fait...Une amende qu 'on allait avoir pour une haie qui n' était pas coupée...et puis les autres je ne me souviens pas "," je suis superintendant du building...""""", , , , , , , , , , ,2,2,2,1,1,2, , ,1,1, ,2, , , , , , , , , , ,1,2, ,5,2,2,2,2,2,2,2,2,2,9,5,4, ,2,3,1, ,1, ,1,"FR"";",,,,
12000_112B,2222,3,2,H1W3L6,7,6,4, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,1,3, , , , , , , , , ,9,2, ,3,9,1,1,9,1,9,9,2,2,2,8,1, ,2,2,3, ,1, ,1,FR;,,,,,
"""12000_112B",2223,5,2,H1Y3R6,13,3,10,"""""les droits de mutation"," taxes de bienvenue""""", , , , , , , , , , ,1,2,1,2,1,2, ,1, ,2, ,2, , , , , , , , , , ,1,2, ,1,1,2,2,1,2,2,2,2,2,1,4,4, ,1,4,1, ,1, ,1,"FR"";",,,,
12000_112B,2224,1,2,H1Y1B9,13,5,4, ,14,Arbres émondage, , , , , , ,4, ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,5,3,1,3,1,1,1,1,1,2,2,3,1, ,1,3,1, ,1, ,1,FR;,,,,,
12000_112B,2227,5,2,H3G2P5,18,5,12, ,1,dépôt de débris, , , , , , ,15,les débris,6,2,1,2,2,2, ,1, , , ,1,6, ,1, ,9, , , , , ,1,2, ,4,4,9,9,3,2,3,3,2,4,4,9,4, ,1,4,3, ,1, ,2,FR;,,,,,
12000_112B,2228,3,2,H1V2S3,7,6,18,Insectes dans les arbres, , , , , , , , , , ,3,2,1,2,2,2, ,1, , , ,1,7, , , , , , , , , ,9,1,9,2,1,9,9,3,1,9,9,2,3,3,8,4, ,1,4,3, ,1, ,2,FR;,,,,,
12000_112B,2232,5,2,H2A3E8,19,2,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,4,4,1,1,1,1,2,1,1,4,4,10,2, ,2,4,1, ,2, ,2,FR;,,,,,
12000_112B,2234,1,2,H1S3E3,15,6,6,vitesse sur la rue,1, , , , , , , ,1, ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,2,2,2,1,1,1,2,2,3,1, ,2,2,3, ,1, ,1,FR;,,,,,
12000_112B,2241,5,2,H1M2H5,7,6,4, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,1,1,1,1,1,1,2,1,7,4, ,2,4,3, ,1, ,2,FR;,,,,,
12000_112B,2242,1,2,H4M1L6,14,3,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,1,1,1,1,9,1,1,1,1,2, ,1,4,2, ,1, ,2,FR;,,,,,
12000_112B,2252,2,2,H1A5N4,12,2,25,horaire de piscines extèrieures, , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,2,2,1,2,1,1,2, ,1,2,1, ,1, ,2,FR;,,,,,
12000_112B,2258,3,2,H4A3H6,3,3,1, , , , , , , , , , , ,1,2,2,2,1,2, , , ,1, ,9, , , , , , , , , , ,1,2, ,1,2,2,2,2,2,2,2,2,2,2,9,4, ,2,4,2, ,2, ,1,EN;,,,,,
12000_112B,2260,1,1,H2S2N6,13,3,1, ,16,stationnement, , , , , , ,1, ,4,2,2,1,2,2, , ,1, , ,1,4, ,10, ,1,difficulté d'obtenir un numéro de suivi, , , , ,9,2, ,2,3,1,2,2,2,3,2,2,3,3,8,2, ,1,4,1, ,1, ,2,FR;,,,,,
12000_112B,2263,2,1,H2K3M7,18,5,12, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,3,1,1,2,3,1,2,2,1,3,3,5,5, ,2,4,3, ,1, ,1,FR;,,,,,
12000_112B,2267,1,2,H4C3N4,16,4,12, , , , , , , , , , , ,1,2,2,1,2,2, , ,1, , ,1,6, , , , , , , , , ,2,2, ,4,2,4,2,3,3,2,4,2,4,4,7,1, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,2268,2,2,H2E2W6,19,5,22,Traveaux public, , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,1,1,1,1,1,1,1,2,1,7,2, ,1,4,3, ,1, ,1,FR;,,,,,
12000_112B,2281,5,2,H1B4Z8,12,3,4, , , , , , , , , , , ,3,1,2,2,2,2,2, , , , ,1,3, ,1, ,6, ,7, ,8, ,1,2, ,4,1,2,2,2,1,3,3,1,4,4,7,5, ,2,2,1, ,1, ,1,FR;,,,,,
12000_112B,2284,2,2,999999,11,3,7, ,1, ,14,emondage des arbres,4, ,17,lampadaire défectueux,99, ,3,2,2,2,2,2, , , , , ,1,4, ,10, , , , , , , ,1,2, ,4,4,2,4,4,2,4,3,4,4,4,6,1, ,1,4,1, ,1, ,2,FR;,,,,,
12000_112B,2289,1,2,H4E2X3,16,3,1, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,2,2,2,2,2,9,2,2,2,1,1,2, ,2,3,1, ,1, ,2,FR;,,,,,
"""12000_112B",2291,4,2,H1H5S8,8,3,1, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,1,4,"""""ligne a raccorcher le premier fois dans 20 minutes d`attentes. La dexieume fois", il mon transferres dans un mauvais department. (Dans un mauvais region," Anjou)""""", , , , , , , , ,1,2, ,4,9,3,3,4,2,4,3,2,4,4,7,2, ,1,3,1, ,1, ,1,"FR"";",,,
12000_112B,2292,1,2,H3G2F1,16,4,97,plant waste, , , , , , , , , , ,4,2,1,2,2,2, ,3, , , ,1,11,they do not respond quickly !, , , , , , , , ,1,2, ,2,2,1,2,2,1,3,9,1,3,3,7,1, ,1,4,5, ,2, ,2,EN;,,,,,
12000_112B,2297,3,2,H1N2Z5,7,4,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,2,1,2,2,2,2,2,7,4, ,2,2,1, ,1, ,1,FR;,,,,,
12000_112B,2303,2,1,H2E2M7,19,6,1, , , , , , , , , , , ,1,2,1,2,2,2, ,3, , , ,2, , , , , , , , , , ,1,2, ,4,4,2,4,2,1,3,2,1,4,4,5,1, ,1,4,3, ,1, ,1,FR;,,,,,
12000_112B,2305,3,2,H1K3N8,7,2,21,A propos des chien (pitbull)., , , , , , , , , , ,3,1,2,2,2,2,2, , , , ,1,15,Personne avais un réponse., , , , , , , , ,2,2, ,4,2,3,2,3,3,3,3,1,3,4,10,4, ,2,2,4, ,1, ,1,FR;,,,,,
12000_112B,2306,5,2,H2H1W9,11,3,4, ,12, , , , , , , ,4, ,2,2,2,1,1,2, , ,1,1, ,2, , , , , , , , , , ,1,2, ,4,4,3,4,3,1,4,9,1,4,4,8,1, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,2307,3,2,H8T2S3,4,6,25,eco centre heures d'ouverture, , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,1,1,1,1,2,1,2,1,1,1, ,1,4,3, ,2, ,2,FR;,,,,,
12000_112B,2309,2,1,999999,19,2,7, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,4,1,2,2,4,3,2,2,2,3,3,5,2, ,2,2,5, ,1, ,2,FR;,,,,,
12000_112B,2312,5,2,H2X2Y3,11,6,12, , , , , , , , , , , ,3,2,2,2,2,2, , , , , ,1,8, , , , , , , , , ,9,2, ,4,4,3,3,3,2,9,3,2,3,3,7,5, ,1,4,3, ,1, ,1,FR;,,,,,
12000_112B,2319,3,2,H8F3N1,4,4,1, , , , , , , , , , , ,4,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,2,2, ,4,3,2,3,2,1,4,2,1,4,4,8,2, ,2,4,1, ,1, ,2,FR;,,,,,
12000_112B,2330,3,2,H8F3K5,4,2,7, ,16,installation de parking, , , , , , ,7, ,20,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,1,1,1,1,1,1,1,1,2,1,1,2, ,1,4,8,employeur,1, ,1,FR;,,,,,
"""12000_112B",2332,5,2,H2X3G5,18,3,4, , , , , , , , , , , ,1,2,1,2,1,2, ,1, ,1, ,2, , , , , , , , , , ,1,2, ,2,2,1,1,1,1,1,1,2,2,1,2,3, ,2,3,1, ,1,"""""French", english," portuguese""""",2,"EN"";",,,
12000_112B,2333,5,2,H9H4P2,10,3,9, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,2,2,2,2,2,2,1,8,2, ,2,3,5, ,6, ,2,EN;,,,,,
12000_112B,2340,4,1,H3T1J6,9,3,25,pour savoir a quel endroit pour faire des photos, , , , , , , , , , ,1,2,2,2,1,2, , , ,3, ,1,11,cest long, , , , , , , , ,9,1,2,2,4,9,2,2,2,3,2,2,3,3,7,2, ,1,4,8,entrepeneur,1, ,2,FR;,,,,,
12000_112B,2341,1,1,H1R2V7,15,4,25,savoir où était accès montréal, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,2,3,2,2,9,1,2,9,2,2,2,8,5, ,1,3,1, ,2, ,2,FR;,,,,,
12000_112B,2342,4,1,H2V2W8,9,4,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,4,4,2,3,3,2,3,4,2,4,4,8,1, ,1,4,5, ,2, ,2,EN;,,,,,
12000_112B,2347,1,1,H4E2B8,19,2,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,2,2,2,1,1,1,2,2,6,2, ,2,3,5,En maternité,1, ,2,FR;,,,,,
12000_112B,2353,2,2,H3J2V5,18,4,4, , , , , , , , , , , ,2,2,1,2,2,2, ,2, , , ,2, , , , , , , , , , ,2,2, ,4,4,9,4,4,4,4,4,4,4,4,8,2, ,1,4,2, ,1, ,2,FR;,,,,,
12000_112B,2357,5,2,H1A4E6,12,5,7,puisard bloqué dans  pointe aux trembles,17,lampadaires eteints  dans une rue de l'arrondissement, , , , , , ,7,le puisard  bloqué  a pointe-aux trembles,2,2,1,2,2,2, ,1, , , ,2, , , , , , , , , , ,1,2, ,2,9,1,2,1,1,1,9,1,2,1,1,4,divorcée  sans enfants,1,2,1, ,1, ,2,FR;,,,,,
12000_112B,2370,3,2,H4A3G5,3,5,4, , , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,2,1,1,1,1,1,2,1,1,2,1,6,5, ,1,4,1, ,2, ,2,EN;,,,,,
12000_112B,2373,5,1,H2G1Y8,13,3,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,1,1,1,2,1,2,1,1,1,2, ,2,3,1, ,1, ,2,FR;,,,,,
12000_112B,2382,1,1,H1X2N5,13,6,1, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,1, ,1,2,3, ,1, ,2,FR;,,,,,
12000_112B,2390,1,1,H4L1E7,14,6,14,Couper des arbres., , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,5,2,2,1,1,1,1,1,1,2,1,10,4,Veuve.,1,2,3, ,1, ,2,FR;,,,,,
"""12000_112B",2391,2,1,H3J1F4,16,2,12,"""""Une plainte contre une compagnie devant chez moi"," car la compagnie fesait beaucoup de bruit et de polution.""""", , , , , , , , , , ,3,2,1,2,1,1, ,1, ,1,3,2, , , , , , , , , , ,1,2, ,5,2,2,2,2,1,2,2,1,2,2,8,4, ,2,4,2, ,1, ,2,"FR"";",,,,
12000_112B,2399,1,2,H4K1R6,14,6,14,arbre tombé, , , , , , , , , , ,2,1,2,2,2,2,2, , , , ,2, , , , , , , , , , ,1,2, ,1,2,1,2,1,1,1,1,2,2,2,1,1, ,1,2,3, ,1, ,1,FR;,,,,,
12000_112B,2422,1,2,H1R2P5,15,4,97,Ticket, , , , , , , , , , ,2,2,2,2,1,2, , , ,5, ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,2, ,2,4,1, ,9, ,1,FR;,,,,,
12000_112B,2427,3,2,H9C2X5,6,5,1, ,14,pick up branches, , , , , , ,14,branches,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,2,1,2,2,1,1,2,1,3,5, ,1,3,1, ,99,perse,1,EN;,,,,,
12000_112B,2430,5,1,H1T1Y2,13,5,3, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,4,divorcée,2,4,1, ,1, ,2,FR;,,,,,
12000_112B,2434,2,1,H2R2W3,19,6,1,obtenir un bac brun, , , , , , , , , , ,1,1,2,2,2,2,1, , , , ,2, , , , , , , , , , ,9,2, ,3,2,9,2,3,9,2,2,2,2,3,10,4, ,1,4,3, ,1, ,2,FR;,,,,,
12000_112B,2442,5,2,H2J2N3,11,6,20,1-Faire planter un nouvel arbre qui avait été cassé par un employé en avril dernier en reculant avec le véhicule de la ville (deuxième fois que cela arrive).Il vient d'être planté. 2- Déchets d'arbres (branches) laissés sur le trottoir pendant 2,1, , , , , , , ,20,Faire planter un nouvel arbre qui avait été cassé par un employé en avril dernier en reculant avec le véhicule de la ville (deuxième fois que cela arrive).Il vient d'être planté.Pas de suivi par la ville. Doit rappeler la ville pour savoir ce qui,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,9,2,2,2,3,2,3,1,3,2,5,4, ,1,4,3, ,1, ,2,FR;,,,,,
12000_112B,2449,5,2,H2E2C4,19,5,21,Moufettes ds le coin et vidanges,1, , , , , , , ,1,vidanges à ramasser qui traînaient,1,2,1,2,2,2, ,6, , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,5, ,2,2,1, ,1, ,2,FR;,,,,,
12000_112B,2451,5,2,H2K2P9,18,5,13, , , , , , , , , , , ,5,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,4,3,2,2,2,1,3,3,2,3,3,5,1, ,1,2,3, ,1, ,1,FR;,,,,,
12000_112B,2467,2,2,H3A1H3,18,6,4,panneaux de signalisation laissés sur le coin de Peel et Sherbrooke arbres brisés et non remplacés c'est négligé, , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,4,3,4,2,4,4,2,9,1,4,4,3,4, ,2,4,3, ,1, ,1,FR;,,,,,
12000_112B,2470,5,2,H4J1Z5,1,4,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,2,2, ,1,1,1,1,1,1,1,1,2,2,1,1,2, ,1,4,1, ,1, ,2,FR;,,,,,
12000_112B,2472,1,2,H1Z3C5,19,5,15,nettoyer la ruelle./réparation dans parc/poubelles publiques, , , , , , , , , , ,1,2,2,1,1,2, , ,1,1, ,2, , , , , , , , , , ,2,2, ,2,2,2,3,1,1,1,1,1,2,2,5,4, ,2,3,3, ,1, ,2,FR;,,,,,
12000_112B,2483,2,1,H1C2B4,12,5,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,2,1,1,2,1,2,1,2,4, ,1,2,1, ,1, ,1,FR;,,,,,
12000_112B,2485,5,2,H2N1T1,1,5,10, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,3,1,3,1,4,4, ,1,2,1, ,1, ,1,FR;,,,,,
12000_112B,2499,5,1,999999,19,4,4, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,1,10, , , , , , , , , ,1,2, ,2,1,2,2,2,2,2,2,2,9,2,98,2, ,1,3,1, ,99,bengali,1,EN;,,,,,
12000_112B,2508,5,2,H1R2L6,15,3,14,Arbre dangereux, , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,5,4,2,2,2,2,2,3,2,2,1,98,1, ,1,4,1, ,2, ,2,FR;,,,,,
12000_112B,2517,1,1,H4E2M3,16,2,15,animal mort près du trottoir, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,2, ,2,3,1, ,1, ,2,FR;,,,,,
12000_112B,2519,5,1,H1L4T7,7,2,11, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,1,1,1,1,1,1,1,1,1,4, ,2,2,1, ,2, ,2,FR;,,,,,
12000_112B,2522,5,2,H4E3V4,16,2,26,La propreté ds les parcs et faire réparer un abreuvoir (fontaine)., , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,2,4,1,4,3,1,2,1,1,3,3,9,3, ,2,3,5, ,1, ,2,FR;,,,,,
12000_112B,2524,5,1,H2K1P1,18,2,7, ,1, , , , , , , ,7, ,2,2,2,2,1,2, , , ,1, ,2, , , , , , , , , , ,9,2, ,2,2,9,3,2,2,2,9,9,3,3,7,4, ,1,4,1, ,1, ,1,FR;,,,,,
12000_112B,2535,3,1,H2C2A1,1,2,4, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,1,1,2,1,1,2,2,1,9, ,9,9,99, ,1, ,2,FR;,,,,,
12000_112B,2538,5,2,H4A2X8,3,3,26,parc a chien, , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,5,1,1,1,2,1,2,2,1,2,1,7,4, ,2,3,6, ,1, ,1,FR;,,,,,
12000_112B,2542,5,2,H8N2J1,5,6,1, , , , , , , , , , , ,3,1,1,9,2,2,3,1, , , ,2, , , , , , , , , , ,2,2, ,1,1,2,1,1,1,2,9,2,2,1,6,4, ,1,4,3, ,1,equal french and english.,1,EN;,,,,,
12000_112B,2544,1,1,H1S1V4,15,4,14,UN RISQUE QUUNE BRANCHE TOMBE ET CEST TRES DANGEREUX !, , , , , , , , , , ,2,2,2,2,2,2, , , , , ,1,4, , , , , , , , , ,1,2, ,4,4,2,2,2,2,3,9,3,4,4,7,2, ,1,3,1, ,2, ,1,FR;,,,,,
12000_112B,2549,2,1,H1E4T3,12,2,14,Un permis d 'abattage pour mon arbre car il devenait dangereux après la tempête et le  ranmassage des branches..., , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,1,1,9,2,1,2,1,1,1,1,3,5, ,1,3,2, ,1, ,2,FR;,,,,,
12000_112B,2552,3,2,H8N1L4,5,4,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,4,2,2,2,2,2,2,2,2,2,2,5,2, ,1,4,6, ,2, ,2,EN;,,,,,
12000_112B,2554,2,1,H3E2C3,17,6,10, , , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,9,1,1,1,1,1,1,1,1,2,1,2,4, ,2,3,3, ,1, ,2,FR;,,,,,
12000_112B,2556,1,1,H2S2T6,13,6,25,les publi-sacs, , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,1,1,2,2,1,2,2,2,1, ,2,2,3, ,1, ,2,FR;,,,,,
12000_112B,2558,5,2,H3H1V2,18,6,4, , , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,1,1,1,1,1,1,1,1,2,1,1,1, ,2,4,3, ,2, ,2,EN;,,,,,
12000_112B,2577,3,1,999999,1,2,16,Le stationement sur la rue.,7,La qualite d'eau, , , , , , ,7,La qualite de l'eau,4,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,2,2, ,1,2,2,2,1,1,2,1,1,3,2,8,1, ,2,3,1, ,1, ,1,FR;,,,,,
12000_112B,2582,5,2,H1M2G3,7,6,14,tree outside to cut the branches, , , , , , , , , , ,12,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,3,2,1,1,2,2,1,2,2,1,7,1, ,1,2,3, ,2, ,1,EN;,,,,,
12000_112B,2593,1,1,H1Y3J5,13,1,14,C'était pour faire ramasser des branches..., , , , , , , , , , ,2,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,2,2, ,1,3,2,2,1,2,1,1,2,3,1,4,3, ,9,9,99, ,1, ,1,FR;,,,,,
12000_112B,2616,5,2,999999,7,3,1, , , , , , , , , , , ,3,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,3,4,3,3,2,2,3,1,1,3,3,5,3, ,2,1,1, ,1, ,1,FR;,,,,,
12000_112B,2620,3,1,H3L2J1,1,4,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,2,2,2,2,2,2,2,2,2,5,2,ma conjointe a 2 enfants,2,4,2, ,1, ,1,FR;,,,,,
12000_112B,2622,2,2,H4H2H4,17,3,16,Demande de stationnement lors de travaux., , , , , , , , , , ,1,2,2,2,2,2, , , , , ,1,4, , , , , , , , , ,1,2, ,4,3,2,1,1,1,4,4,2,3,4,3,1, ,2,4,1, ,2, ,1,FR;,,,,,
12000_112B,2640,5,2,H1V3B1,7,2,1, , , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,9,2, ,1,3,1,1,1,1,1,1,2,2,2,2,2, ,2,2,5, ,1, ,2,FR;,,,,,
12000_112B,2644,3,2,H4B4K5,3,3,14,POUR DEMANDER QU'ON COUPE UN ARBRE., , , , , , , , , , ,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,5,2,2,2,2,2,2,2,2,2,2,4,2, ,1,4,1, ,2, ,1,FR;,,,,,
12000_112B,2648,5,2,H8P1L9,5,4,19,Permits for renovation,4, , , , , , , ,19,Permits for renovation,1,2,2,2,2,2, , , , , ,2, , , , , , , , , , ,1,2, ,1,2,1,1,1,1,1,1,1,2,1,2,3, ,1,3,1, ,2, ,1,EN;,,,,,
